context,experiment,body_part_count,body_part_mode,model,macro_f1_mean,context_label,model_label
all_context,first_2_parts_plus_all,2,progressive,random_forest,0.788755079821739,Baseline + all context,Random Forest
all_context,first_3_parts_plus_all,3,progressive,random_forest,0.8125686913313601,Baseline + all context,Random Forest
all_context,first_4_parts_plus_all,4,progressive,random_forest,0.8107025118131144,Baseline + all context,Random Forest
all_context,first_5_parts_plus_all,5,progressive,random_forest,0.8263311739860975,Baseline + all context,Random Forest
all_context,first_6_parts_plus_all,6,progressive,random_forest,0.8331717252905305,Baseline + all context,Random Forest
all_context,standard,7,all_7,random_forest,0.836120850804141,Baseline + all context,Random Forest
all_context,first_2_parts_plus_all,2,progressive,svm,0.801549971503946,Baseline + all context,SVM
all_context,first_3_parts_plus_all,3,progressive,svm,0.804480889662191,Baseline + all context,SVM
all_context,first_4_parts_plus_all,4,progressive,svm,0.8218430387292073,Baseline + all context,SVM
all_context,first_5_parts_plus_all,5,progressive,svm,0.8823997316288923,Baseline + all context,SVM
all_context,first_6_parts_plus_all,6,progressive,svm,0.8870938794277372,Baseline + all context,SVM
all_context,standard,7,all_7,svm,0.883568735049787,Baseline + all context,SVM
all_context,first_2_parts_plus_all,2,progressive,xgboost,0.7517054517950107,Baseline + all context,XGBoost
all_context,first_3_parts_plus_all,3,progressive,xgboost,0.7674544373202322,Baseline + all context,XGBoost
all_context,first_4_parts_plus_all,4,progressive,xgboost,0.7748526724033038,Baseline + all context,XGBoost
all_context,first_5_parts_plus_all,5,progressive,xgboost,0.8472169485725772,Baseline + all context,XGBoost
all_context,first_6_parts_plus_all,6,progressive,xgboost,0.8527850383453683,Baseline + all context,XGBoost
all_context,standard,7,all_7,xgboost,0.841341891075651,Baseline + all context,XGBoost
baseline,first_2_body_parts,2,progressive,random_forest,0.8043670189565185,Baseline,Random Forest
baseline,first_3_body_parts,3,progressive,random_forest,0.8249208062999955,Baseline,Random Forest
baseline,first_4_body_parts,4,progressive,random_forest,0.8172635183358671,Baseline,Random Forest
baseline,first_5_body_parts,5,progressive,random_forest,0.8174957356084375,Baseline,Random Forest
baseline,first_6_body_parts,6,progressive,random_forest,0.8142461987819197,Baseline,Random Forest
baseline,standard,7,all_7,random_forest,0.824431740983958,Baseline,Random Forest
baseline,first_2_body_parts,2,progressive,svm,0.801082584726799,Baseline,SVM
baseline,first_3_body_parts,3,progressive,svm,0.8060351108738667,Baseline,SVM
baseline,first_4_body_parts,4,progressive,svm,0.8348601557503902,Baseline,SVM
baseline,first_5_body_parts,5,progressive,svm,0.8955108172042169,Baseline,SVM
baseline,first_6_body_parts,6,progressive,svm,0.8912428916908534,Baseline,SVM
baseline,standard,7,all_7,svm,0.8854940259704552,Baseline,SVM
baseline,first_2_body_parts,2,progressive,xgboost,0.7957925945968738,Baseline,XGBoost
baseline,first_3_body_parts,3,progressive,xgboost,0.7800278488153799,Baseline,XGBoost
baseline,first_4_body_parts,4,progressive,xgboost,0.7918929448066182,Baseline,XGBoost
baseline,first_5_body_parts,5,progressive,xgboost,0.8009975136343317,Baseline,XGBoost
baseline,first_6_body_parts,6,progressive,xgboost,0.8218854630752156,Baseline,XGBoost
