model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,context,experiment,body_part_count,body_part_mode,body_part
random_forest,0.743246431513932,0.1790837335933782,0.7393750410746845,0.1922010099569435,0.7477689132515785,0.1792203684426546,0.6987470677995451,0.203852816868517,all_context,only_chest_plus_all,1,single,chest
random_forest,0.8246680660914121,0.1246100318797476,0.8283797009066247,0.1336783446828318,0.827771667492406,0.1235629647820742,0.8078214585888309,0.1388642652416943,all_context,only_forearm_plus_all,1,single,forearm
random_forest,0.7307785774342513,0.1281597394544626,0.75728865275993,0.1141734603454,0.7341037445612574,0.1290962359894175,0.7054988666804479,0.1445883104682767,all_context,only_head_plus_all,1,single,head
random_forest,0.7739770814001343,0.160638455554706,0.7809165543962261,0.1606200973285236,0.7765774613765422,0.1596200528774644,0.752028312780219,0.1777229048278763,all_context,only_shin_plus_all,1,single,shin
random_forest,0.7450881944616212,0.194297671874004,0.7257743841758919,0.2302877500065662,0.7520757211778303,0.1917825087187396,0.7031254310570847,0.2325874391612165,all_context,only_thigh_plus_all,1,single,thigh
random_forest,0.7647519409054772,0.2009626000853865,0.7783439264566027,0.2001985065584465,0.7705212678174836,0.2020004648464138,0.7309332100533577,0.2314249840432398,all_context,only_upperarm_plus_all,1,single,upperarm
random_forest,0.7569813024081921,0.1417257553717875,0.7722507315969785,0.1580907442703298,0.7611437010705456,0.1412933390363147,0.7154366392586379,0.173670555984044,all_context,only_waist_plus_all,1,single,waist
svm,0.7298749241345386,0.1760827570921284,0.7101965140378675,0.2002577698075901,0.7329176689710472,0.1746899838606815,0.6952589243784815,0.1880398387065169,all_context,only_chest_plus_all,1,single,chest
svm,0.8191323089545022,0.1300325293343246,0.8166509032587346,0.146747846462535,0.8207278302732735,0.1299645508572675,0.8017145713068693,0.1498715983722592,all_context,only_forearm_plus_all,1,single,forearm
svm,0.6602155712655763,0.1504368693631069,0.6387640057050156,0.1704393637477981,0.6620689539113455,0.1543861775067787,0.6230195235370083,0.1631262535494844,all_context,only_head_plus_all,1,single,head
svm,0.7483942434504429,0.1688860189103062,0.775789452645009,0.1545616606176298,0.7532888007424219,0.1678588949496921,0.7262713820689746,0.1934441445059665,all_context,only_shin_plus_all,1,single,shin
svm,0.7182563164062383,0.1586915912606642,0.7157658179627296,0.1738365263116193,0.7202236220497028,0.1642706686509251,0.6802220533999489,0.1864953680337707,all_context,only_thigh_plus_all,1,single,thigh
svm,0.7577233951287563,0.1560170055411951,0.7520927046502807,0.1841016867921328,0.7622065384800439,0.1549903979409951,0.7241650385131112,0.1781945501936791,all_context,only_upperarm_plus_all,1,single,upperarm
svm,0.7543358685152017,0.1644189385192989,0.7675020190618669,0.1809757287549234,0.7570510256654575,0.1680690174593567,0.7112906409822212,0.1941462671723235,all_context,only_waist_plus_all,1,single,waist
xgboost,0.7098802166699981,0.1895455729747231,0.7118043598885778,0.2024754184135467,0.7123741594787212,0.1894628474892678,0.6617920912765388,0.2046348448141443,all_context,only_chest_plus_all,1,single,chest
xgboost,0.7625751991274841,0.1851554740214926,0.7602163396345124,0.1891282453745022,0.7663262569624736,0.1833828649877082,0.7377345872402273,0.2064507094114352,all_context,only_forearm_plus_all,1,single,forearm
xgboost,0.7242955478799104,0.1253775122597522,0.7287734390495928,0.1318114771913784,0.7276002302372928,0.1256730335597636,0.6838121976873003,0.152628862077106,all_context,only_head_plus_all,1,single,head
xgboost,0.7159377838086178,0.1462875575580524,0.7246020951628246,0.1418357446210949,0.724087933612211,0.1361783368681658,0.6901936470013424,0.1653214342601306,all_context,only_shin_plus_all,1,single,shin
xgboost,0.7551597724437535,0.1826971670593076,0.7318567820662637,0.2305067994463022,0.7625208933887212,0.1754932944075638,0.712024321986673,0.2188646296890957,all_context,only_thigh_plus_all,1,single,thigh
xgboost,0.7323742346455309,0.1840621829908302,0.7410320561437299,0.199579774786369,0.7409321400299537,0.179442901432568,0.6989344483898564,0.2084436429031474,all_context,only_upperarm_plus_all,1,single,upperarm
xgboost,0.7520306537973229,0.1421794229452719,0.7622880268611049,0.162480411867458,0.7573396591205436,0.1360136838956995,0.7089905583960429,0.1680886240782339,all_context,only_waist_plus_all,1,single,waist
