fold,model,accuracy,precision_macro,recall_macro,f1_macro,precision_lying,recall_lying,f1_lying,precision_running,recall_running,f1_running,precision_sitting,recall_sitting,f1_sitting,precision_standing,recall_standing,f1_standing,precision_walking,recall_walking,f1_walking,context,experiment,body_part_count,body_part_mode,body_part
1,random_forest,0.7386958591147073,0.8223744686783018,0.7386966815646107,0.7177658055026053,0.9184782608695652,0.4072289156626506,0.5642737896494157,0.7917485265225933,0.9975247524752476,0.882803943044907,0.5078597339782346,0.963302752293578,0.665083135391924,0.9102564102564102,0.3349056603773584,0.4896551724137931,0.983529411764706,0.990521327014218,0.987012987012987,all_context,first_2_parts_plus_all,2,progressive,first_2
2,random_forest,0.9729574223245108,0.9406445199869856,0.9755991049816808,0.9530203132367,1.0,0.997560975609756,0.9987789987789988,0.7133333333333334,0.9907407407407408,0.8294573643410853,0.9972602739726028,0.8921568627450981,0.9417852522639067,0.9975429975429976,1.0,0.998769987699877,0.995085995085995,0.9975369458128078,0.996309963099631,all_context,first_2_parts_plus_all,2,progressive,first_2
3,random_forest,0.9477035015916324,0.9518752416560442,0.9523439102610102,0.9488959669842044,0.9975786924939468,0.988009592326139,0.9927710843373494,0.9951219512195122,0.8143712574850299,0.8957189901207464,0.9649532710280374,0.9904076738609112,0.9775147928994082,0.8170731707317073,0.973365617433414,0.8883977900552487,0.9846491228070176,0.9955654101995566,0.9900771775082692,all_context,first_2_parts_plus_all,2,progressive,first_2
4,random_forest,0.7182087029995775,0.7086982146103442,0.7380658916808968,0.7145184187514887,0.9885321100917432,0.96420581655481,0.9762174405436014,0.6635514018691588,0.5137481910274964,0.5791190864600326,0.6502384737678856,0.9738095238095238,0.7797902764537655,0.301775147928994,0.2556390977443609,0.276797829036635,0.9393939393939394,0.9829268292682928,0.9606674612634089,all_context,first_2_parts_plus_all,2,progressive,first_2
5,random_forest,0.8618314424635333,0.885623566130463,0.8903957842886715,0.8727101644071077,0.9954337899543378,0.9931662870159452,0.9942987457240592,1.0,0.6495263870094723,0.7875307629204266,0.8980044345898004,0.9353348729792148,0.916289592760181,0.554160125588697,0.889168765743073,0.6827852998065764,0.9805194805194806,0.9847826086956522,0.982646420824295,all_context,first_2_parts_plus_all,2,progressive,first_2
6,random_forest,0.7940074906367042,0.8962387473771084,0.7975544163134564,0.7348672208419158,0.9952380952380953,0.983529411764706,0.9893491124260356,0.997716894977169,0.9954441913439636,0.9965792474344356,1.0,0.0183908045977011,0.0361173814898419,0.4906542056074766,1.0,0.658307210031348,0.997584541062802,0.9904076738609112,0.9939831528279182,all_context,first_2_parts_plus_all,2,progressive,first_2
7,random_forest,0.7077063383492932,0.7856024742896814,0.7001406792922226,0.6881630441356847,0.9929411764705882,0.9791183294663574,0.985981308411215,0.5324675324675324,0.9279835390946504,0.6766691672918229,0.655417406749556,0.858139534883721,0.743202416918429,0.7591623036649214,0.3310502283105023,0.4610492845786963,0.9880239520958084,0.4044117647058823,0.5739130434782609,all_context,first_2_parts_plus_all,2,progressive,first_2
8,random_forest,0.3470254957507082,0.1714407260351673,0.3564241486068111,0.2258342344154701,0.2398255813953488,0.7894736842105263,0.3678929765886287,0.6173780487804879,0.9926470588235294,0.7612781954887218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,all_context,first_2_parts_plus_all,2,progressive,first_2
9,random_forest,0.9380053908355797,0.9461256162715171,0.9464262900545016,0.9417916541918177,0.9975786924939468,0.9903846153846154,0.993968636911942,1.0,0.7911275415896488,0.8833849329205367,0.9593679458239278,0.9906759906759908,0.9747706422018348,0.7760910815939279,0.9623529411764706,0.8592436974789915,0.9975903614457832,0.9975903614457832,0.9975903614457832,all_context,first_2_parts_plus_all,2,progressive,first_2
10,random_forest,0.9629282027217267,0.9669510506027958,0.9627815133306896,0.9636902311788784,1.0,0.9576470588235294,0.9783653846153846,0.9904761904761904,0.9788235294117648,0.9846153846153848,0.979643765903308,0.9080188679245284,0.9424724602203184,0.8694779116465864,0.9908466819221968,0.9262032085561496,0.9951573849878934,0.9785714285714284,0.9867947178871548,all_context,first_2_parts_plus_all,2,progressive,first_2
11,random_forest,0.8600472813238771,0.8896974131505541,0.8593101837670339,0.8436589753029249,0.8105065666041276,0.9976905311778292,0.8944099378881988,0.9311926605504588,0.9902439024390244,0.9598108747044918,0.715034965034965,0.9879227053140096,0.8296146044624746,0.9942528735632185,0.4138755980861244,0.5844594594594594,0.9975,0.906818181818182,0.95,all_context,first_2_parts_plus_all,2,progressive,first_2
12,random_forest,0.8923897237033447,0.9260330459923536,0.8927774865274376,0.8856062246800332,1.0,0.9903147699757868,0.9951338199513382,0.980722891566265,0.9951100244498776,0.9878640776699028,0.9951456310679612,0.4951690821256038,0.6612903225806451,0.6591276252019386,1.0,0.7945472249269717,0.9951690821256038,0.9832935560859188,0.9891956782713084,all_context,first_2_parts_plus_all,2,progressive,first_2
13,random_forest,0.7657196087564043,0.7808107249482423,0.768839735455592,0.7567972827533151,0.997584541062802,0.9649532710280374,0.980997624703088,0.725,0.9926650366748166,0.8379772961816305,0.7053140096618358,0.3419203747072599,0.4605678233438486,0.4882032667876588,0.5977777777777777,0.5374625374625375,0.9879518072289156,0.9468822170900691,0.9669811320754716,all_context,first_2_parts_plus_all,2,progressive,first_2
14,random_forest,0.672224868985231,0.7188197591689585,0.6823828854303285,0.6062417148786671,1.0,0.9760191846522782,0.9878640776699028,0.475177304964539,0.9804878048780488,0.6401273885350318,0.9896907216494846,0.460431654676259,0.6284779050736498,0.6292307692307693,0.9927184466019418,0.7702448210922788,0.5,0.0022573363431151,0.0044943820224719,all_context,first_2_parts_plus_all,2,progressive,first_2
15,random_forest,0.977818853974122,0.9779469776153498,0.9779409196347992,0.9777649460652726,1.0,0.9794050343249427,0.9895953757225432,0.9885321100917432,0.9663677130044844,0.9773242630385488,0.9506726457399104,0.9953051643192488,0.9724770642201837,0.9598108747044918,0.9759615384615384,0.9678188319427892,0.9907192575406032,0.9726651480637812,0.9816091954022989,all_context,first_2_parts_plus_all,2,progressive,first_2
1,svm,0.7306044740599714,0.8142818727291713,0.7291993850192703,0.6928049369279197,0.6842105263157895,0.0626506024096385,0.1147902869757174,0.9901960784313726,1.0,0.9950738916256158,0.440625,0.970183486238532,0.6060171919770774,0.9635036496350364,0.6226415094339622,0.7564469914040115,0.992874109263658,0.990521327014218,0.9916963226571768,all_context,first_2_parts_plus_all,2,progressive,first_2
2,svm,0.9591484464902188,0.9220974277234428,0.9638271077050576,0.9346014408649213,1.0,0.9926829268292684,0.996328029375765,0.6407185628742516,0.9907407407407408,0.7781818181818182,0.9747191011235956,0.8504901960784313,0.9083769633507852,0.9975186104218362,0.9901477832512317,0.9938195302843016,0.9975308641975308,0.9950738916256158,0.996300863131936,all_context,first_2_parts_plus_all,2,progressive,first_2
3,svm,0.9422464756707596,0.9475092572752488,0.9473926616790376,0.9433962268529672,1.0,0.9760191846522782,0.9878640776699028,0.9974937343358397,0.7944111776447106,0.8844444444444445,0.9454545454545454,0.9976019184652278,0.970828471411902,0.8056112224448898,0.973365617433414,0.881578947368421,0.9889867841409692,0.9955654101995566,0.9922651933701656,all_context,first_2_parts_plus_all,2,progressive,first_2
4,svm,0.6818757921419518,0.5846474100141441,0.6934505515745921,0.6191000714889596,0.8930041152263375,0.970917225950783,0.930332261521972,0.6036789297658863,0.5224312590448625,0.5601241272304112,0.5877318116975749,0.9809523809523808,0.7350579839429081,0.0869565217391304,0.0100250626566416,0.0179775280898876,0.7518656716417911,0.9829268292682928,0.8520084566596194,all_context,first_2_parts_plus_all,2,progressive,first_2
5,svm,0.7552674230145867,0.7035638214908531,0.7428491630503579,0.7198679406680683,0.9861751152073732,0.9749430523917996,0.9805269186712484,0.6483909415971395,0.7361299052774019,0.6894803548795945,0.8088803088803089,0.9676674364896074,0.8811777076761304,0.0981308411214953,0.052896725440806,0.0687397708674304,0.976241900647948,0.982608695652174,0.9794149512459372,all_context,first_2_parts_plus_all,2,progressive,first_2
6,svm,0.7954119850187266,0.8932064975638238,0.7988796504514514,0.7467310551537243,0.995260663507109,0.9882352941176472,0.9917355371900828,0.9815668202764976,0.9703872437357632,0.9759450171821306,1.0,0.0620689655172413,0.1168831168831168,0.494047619047619,0.988095238095238,0.6587301587301587,0.9951573849878934,0.9856115107913668,0.9903614457831326,all_context,first_2_parts_plus_all,2,progressive,first_2
7,svm,0.7387140902872777,0.6448318928646722,0.7404743696964922,0.6787079784483968,0.983490566037736,0.9675174013921114,0.975438596491228,0.827037773359841,0.8559670781893004,0.8412537917087968,0.4854014598540146,0.927906976744186,0.6373801916932907,0.0,0.0,0.0,0.9282296650717704,0.9509803921568628,0.9394673123486684,all_context,first_2_parts_plus_all,2,progressive,first_2
8,svm,0.2889518413597733,0.4438337131662068,0.2973835998862688,0.2440589965739712,0.1408730158730158,0.5095693779904307,0.2207253886010362,0.9949622166246852,0.9681372549019608,0.9813664596273292,0.0833333333333333,0.0023148148148148,0.0045045045045045,0.0,0.0,0.0,1.0,0.0068965517241379,0.0136986301369863,all_context,first_2_parts_plus_all,2,progressive,first_2
9,svm,0.862084456424079,0.8669402546757257,0.8706286293412167,0.8671843264855829,0.9833333333333332,0.9927884615384616,0.9880382775119616,0.779559118236473,0.7190388170055453,0.7480769230769231,0.8373015873015873,0.9836829836829836,0.904608788853162,0.7395577395577395,0.7082352941176471,0.7235576923076923,0.9949494949494948,0.9493975903614458,0.9716399506781752,all_context,first_2_parts_plus_all,2,progressive,first_2
10,svm,0.9694978883153448,0.97085578240169,0.969416628116641,0.9697679932591968,1.0,0.9458823529411764,0.9721886336154776,0.981042654028436,0.9741176470588236,0.9775678866587958,0.955607476635514,0.964622641509434,0.960093896713615,0.924892703862661,0.9862700228832952,0.954595791805094,0.9927360774818402,0.9761904761904762,0.9843937575030012,all_context,first_2_parts_plus_all,2,progressive,first_2
11,svm,0.9101654846335696,0.9150346527103944,0.9099460457837326,0.9078842050032646,0.9814385150812064,0.976905311778291,0.9791666666666666,0.8052208835341366,0.9780487804878047,0.8832599118942731,0.8758314855875832,0.9541062801932368,0.9132947976878611,0.9151515151515152,0.722488038277512,0.8074866310160428,0.9975308641975308,0.9181818181818182,0.9562130177514792,all_context,first_2_parts_plus_all,2,progressive,first_2
12,svm,0.9428017450315076,0.9503050224776352,0.9429823412524276,0.941963902080986,1.0,0.9878934624697336,0.9939098660170524,0.969047619047619,0.9951100244498776,0.9819059107358264,0.9813084112149532,0.7608695652173914,0.8571428571428571,0.806,0.9877450980392156,0.8876651982378855,0.9951690821256038,0.9832935560859188,0.9891956782713084,all_context,first_2_parts_plus_all,2,progressive,first_2
13,svm,0.8630647414997671,0.8662496608170265,0.8656225914183316,0.8646508891599656,0.9878345498783456,0.9485981308411215,0.9678188319427892,0.8693790149892934,0.9926650366748166,0.9269406392694064,0.7465753424657534,0.765807962529274,0.7560693641618497,0.7424593967517401,0.7111111111111111,0.7264472190692395,0.985,0.9099307159353348,0.9459783913565426,all_context,first_2_parts_plus_all,2,progressive,first_2
14,svm,0.9232968080038112,0.9339353770466844,0.9229861152223964,0.9212110020799472,0.9926650366748166,0.973621103117506,0.9830508474576272,0.7528089887640449,0.9804878048780488,0.8516949152542372,0.9503311258278144,0.6882494004796164,0.7983310152990264,0.973871733966746,0.9951456310679612,0.9843937575030012,1.0,0.9774266365688488,0.9885844748858448,all_context,first_2_parts_plus_all,2,progressive,first_2
15,svm,0.9713493530499075,0.9716355830864069,0.9717711946041508,0.9713186075113204,0.9884526558891455,0.9794050343249427,0.9839080459770116,0.9787234042553192,0.9282511210762332,0.952819332566168,0.9591836734693876,0.9929577464788732,0.9757785467128028,0.9318181818181818,0.9855769230769232,0.9579439252336448,1.0,0.9726651480637812,0.9861431870669746,all_context,first_2_parts_plus_all,2,progressive,first_2
1,xgboost,0.6739647786768206,0.8505342443795894,0.67311478325995,0.6303719192119972,1.0,0.0915662650602409,0.1677704194260485,0.9641148325358851,0.9975247524752476,0.9805352798053528,0.3990654205607477,0.9793577981651376,0.5670650730411687,0.9285714285714286,0.3066037735849056,0.4609929078014184,0.960919540229885,0.990521327014218,0.9754959159859976,all_context,first_2_parts_plus_all,2,progressive,first_2
2,xgboost,0.7744533947065593,0.8237903225806452,0.8064693370105729,0.6936533219419548,1.0,0.9926829268292684,0.996328029375765,0.2157258064516129,0.9907407407407408,0.3543046357615894,0.9032258064516128,0.0686274509803921,0.1275626423690205,1.0,0.9827586206896552,0.991304347826087,1.0,0.9975369458128078,0.998766954377312,all_context,first_2_parts_plus_all,2,progressive,first_2
