context,model,mean,std,best,context_label,model_label
mic,svm,0.7873444719318938,0.08059797640538188,0.8969717523858735,Baseline + microphone,SVM
baseline,svm,0.7832852947460206,0.0816955719152187,0.8955108172042169,Baseline,SVM
light,svm,0.7782851179641549,0.08182882494543238,0.8795203955970272,Baseline + light,SVM
all_context,svm,0.7725291061683366,0.08551151052490841,0.8870938794277372,Baseline + all context,SVM
mic,random_forest,0.7711237782491723,0.05876093362449619,0.8252818810793267,Baseline + microphone,Random Forest
all_context,random_forest,0.7708646937896234,0.05424716511828111,0.836120850804141,Baseline + all context,Random Forest
baseline,random_forest,0.7665858833492761,0.05938416381836839,0.8249208062999955,Baseline,Random Forest
gps,svm,0.7663534179935437,0.08888417468886231,0.8893702156925489,Baseline + GPS,SVM
light,random_forest,0.76548969813519,0.0545371892622479,0.8264470852329414,Baseline + light,Random Forest
gps,random_forest,0.76335882248125,0.05638056291524661,0.8382511011927093,Baseline + GPS,Random Forest
mic,xgboost,0.7617087212386355,0.05850637594610678,0.8349803524660543,Baseline + microphone,XGBoost
baseline,xgboost,0.7522413733974963,0.06357759023052563,0.8305993176688333,Baseline,XGBoost
all_context,xgboost,0.7483721762684711,0.06510909532787425,0.8527850383453683,Baseline + all context,XGBoost
gps,xgboost,0.7470545268712248,0.06147224362872529,0.8449374702818563,Baseline + GPS,XGBoost
light,xgboost,0.746331633782407,0.05830944571191754,0.8246502119669867,Baseline + light,XGBoost
