context,experiment,body_part_count,body_part_mode,body_part,model,macro_f1_mean,context_label,model_label,rank
mic,first_5_parts_plus_mic,5,progressive,first_5,svm,0.8969717523858735,Baseline + microphone,SVM,1
baseline,first_5_body_parts,5,progressive,first_5,svm,0.8955108172042169,Baseline,SVM,2
mic,first_6_parts_plus_mic,6,progressive,first_6,svm,0.8936264039395015,Baseline + microphone,SVM,3
baseline,first_6_body_parts,6,progressive,first_6,svm,0.8912428916908534,Baseline,SVM,4
gps,first_5_parts_plus_gps,5,progressive,first_5,svm,0.8893702156925489,Baseline + GPS,SVM,5
gps,first_6_parts_plus_gps,6,progressive,first_6,svm,0.8884673792822999,Baseline + GPS,SVM,6
mic,standard,7,all_7,all_7,svm,0.887146613888547,Baseline + microphone,SVM,7
all_context,first_6_parts_plus_all,6,progressive,first_6,svm,0.8870938794277372,Baseline + all context,SVM,8
baseline,standard,7,all_7,all_7,svm,0.8854940259704552,Baseline,SVM,9
gps,standard,7,all_7,all_7,svm,0.8842476211591407,Baseline + GPS,SVM,10
all_context,standard,7,all_7,all_7,svm,0.883568735049787,Baseline + all context,SVM,11
all_context,first_5_parts_plus_all,5,progressive,first_5,svm,0.8823997316288923,Baseline + all context,SVM,12
light,first_5_parts_plus_light,5,progressive,first_5,svm,0.8795203955970272,Baseline + light,SVM,13
light,first_6_parts_plus_light,6,progressive,first_6,svm,0.878260282719405,Baseline + light,SVM,14
light,standard,7,all_7,all_7,svm,0.8772891573953362,Baseline + light,SVM,15
all_context,first_6_parts_plus_all,6,progressive,first_6,xgboost,0.8527850383453683,Baseline + all context,XGBoost,16
all_context,first_5_parts_plus_all,5,progressive,first_5,xgboost,0.8472169485725772,Baseline + all context,XGBoost,17
gps,standard,7,all_7,all_7,xgboost,0.8449374702818563,Baseline + GPS,XGBoost,18
all_context,standard,7,all_7,all_7,xgboost,0.841341891075651,Baseline + all context,XGBoost,19
gps,first_6_parts_plus_gps,6,progressive,first_6,random_forest,0.8382511011927093,Baseline + GPS,Random Forest,20
gps,first_6_parts_plus_gps,6,progressive,first_6,xgboost,0.8380037114446223,Baseline + GPS,XGBoost,21
all_context,standard,7,all_7,all_7,random_forest,0.836120850804141,Baseline + all context,Random Forest,22
mic,first_4_parts_plus_mic,4,progressive,first_4,svm,0.8350649238142658,Baseline + microphone,SVM,23
mic,standard,7,all_7,all_7,xgboost,0.8349803524660543,Baseline + microphone,XGBoost,24
baseline,first_4_body_parts,4,progressive,first_4,svm,0.8348601557503902,Baseline,SVM,25
mic,first_6_parts_plus_mic,6,progressive,first_6,xgboost,0.8344534845585259,Baseline + microphone,XGBoost,26
all_context,first_6_parts_plus_all,6,progressive,first_6,random_forest,0.8331717252905305,Baseline + all context,Random Forest,27
gps,first_4_parts_plus_gps,4,progressive,first_4,svm,0.8325009434107523,Baseline + GPS,SVM,28
baseline,standard,7,all_7,all_7,xgboost,0.8305993176688333,Baseline,XGBoost,29
mic,only_forearm_plus_mic,1,single,forearm,svm,0.8278622384073644,Baseline + microphone,SVM,30
light,standard,7,all_7,all_7,random_forest,0.8264470852329414,Baseline + light,Random Forest,31
all_context,first_5_parts_plus_all,5,progressive,first_5,random_forest,0.8263311739860975,Baseline + all context,Random Forest,32
mic,first_6_parts_plus_mic,6,progressive,first_6,random_forest,0.8252818810793267,Baseline + microphone,Random Forest,33
baseline,first_3_body_parts,3,progressive,first_3,random_forest,0.8249208062999955,Baseline,Random Forest,34
light,standard,7,all_7,all_7,xgboost,0.8246502119669867,Baseline + light,XGBoost,35
baseline,standard,7,all_7,all_7,random_forest,0.824431740983958,Baseline,Random Forest,36
light,only_forearm_plus_light,1,single,forearm,svm,0.8234855752093022,Baseline + light,SVM,37
baseline,first_6_body_parts,6,progressive,first_6,xgboost,0.8218854630752156,Baseline,XGBoost,38
all_context,first_4_parts_plus_all,4,progressive,first_4,svm,0.8218430387292073,Baseline + all context,SVM,39
mic,standard,7,all_7,all_7,random_forest,0.8215078615161369,Baseline + microphone,Random Forest,40
mic,first_5_parts_plus_mic,5,progressive,first_5,random_forest,0.8214085050427412,Baseline + microphone,Random Forest,41
light,first_6_parts_plus_light,6,progressive,first_6,xgboost,0.8206133490388496,Baseline + light,XGBoost,42
