id,attr_time,attr_x,attr_y,attr_z
1,1435995489010,-20.304,-41.769,4.029
2,1435995489031,-20.304,-41.769,4.029
3,1435995489052,-20.304,-41.769,4.029
4,1435995489070,-20.304,-41.769,4.029
5,1435995489090,-20.304,-41.769,4.029
6,1435995489110,-20.304,-41.769,4.029
7,1435995489132,-20.304,-41.769,4.029
8,1435995489152,-20.304,-41.769,4.029
9,1435995489173,-20.304,-41.769,4.029
10,1435995489193,-20.304,-41.769,4.029
11,1435995489211,-20.304,-41.769,4.029
12,1435995489232,-20.304,-41.769,4.029
13,1435995489251,-20.304,-41.769,4.029
14,1435995489272,-20.304,-41.769,4.029
15,1435995489341,-20.304,-41.769,4.029
16,1435995489342,-20.304,-41.769,4.029
17,1435995489343,-20.304,-41.769,4.029
18,1435995489351,-20.304,-41.769,4.331
19,1435995489369,-20.304,-41.769,4.331
20,1435995489393,-20.304,-41.769,4.331
21,1435995489415,-20.304,-41.769,4.331
22,1435995489430,-20.304,-41.769,4.331
23,1435995489449,-20.304,-41.769,4.331
24,1435995489472,-20.304,-41.769,4.331
25,1435995489490,-20.304,-41.769,4.331
26,1435995489511,-20.304,-41.769,4.331
27,1435995489534,-20.304,-41.769,4.331
28,1435995489557,-20.304,-41.769,4.331
29,1435995489570,-20.304,-41.769,4.331
30,1435995489591,-20.304,-41.769,4.331
31,1435995489613,-20.304,-41.769,4.331
32,1435995489633,-20.304,-41.769,4.331
33,1435995489653,-20.304,-41.769,4.331
34,1435995489673,-20.304,-41.769,4.331
35,1435995489692,-20.304,-41.769,4.331
36,1435995489714,-20.304,-41.769,4.331
37,1435995489733,-20.304,-41.769,4.646
38,1435995489753,-20.304,-41.769,4.646
39,1435995489803,-20.304,-41.769,4.646
40,1435995489804,-20.304,-41.769,4.646
41,1435995489811,-20.304,-41.769,4.646
42,1435995489830,-20.304,-41.769,4.646
43,1435995489850,-20.304,-41.769,4.646
44,1435995489870,-20.304,-41.769,4.646
45,1435995489890,-20.304,-41.769,4.646
46,1435995489913,-20.304,-41.769,4.646
47,1435995489930,-20.304,-41.769,4.646
48,1435995489950,-20.304,-41.769,4.646
49,1435995489970,-20.304,-41.769,4.646
50,1435995490012,-20.304,-41.769,4.646
51,1435995490013,-20.304,-41.769,4.646
52,1435995490032,-20.304,-41.769,4.646
53,1435995490054,-20.304,-41.769,4.646
54,1435995490103,-20.304,-41.769,4.646
55,1435995490104,-20.304,-41.769,4.646
56,1435995490114,-20.304,-41.769,4.646
57,1435995490130,-20.304,-41.769,4.646
58,1435995490150,-20.304,-41.769,4.646
59,1435995490170,-20.304,-41.769,4.646
60,1435995490190,-20.304,-41.769,4.646
61,1435995490212,-20.304,-41.769,4.646
62,1435995490230,-20.304,-41.769,4.646
63,1435995490251,-20.304,-41.769,4.646
64,1435995490271,-20.304,-41.769,4.646
65,1435995490291,-20.304,-41.769,4.646
66,1435995490315,-20.304,-41.769,4.646
67,1435995490332,-20.304,-41.769,4.646
68,1435995490354,-20.304,-41.769,4.646
69,1435995490374,-20.304,-41.769,4.646
70,1435995490394,-20.304,-41.769,4.646
71,1435995490413,-20.304,-41.769,4.646
72,1435995490433,-20.304,-41.769,4.646
73,1435995490454,-20.304,-41.769,4.646
74,1435995490474,-20.304,-41.769,4.646
75,1435995490496,-20.304,-41.769,4.646
76,1435995490512,-20.304,-41.769,4.646
77,1435995490534,-20.304,-41.769,4.646
78,1435995490552,-20.304,-41.769,4.646
79,1435995490574,-20.304,-41.769,4.646
80,1435995490593,-20.304,-41.464,4.646
81,1435995490616,-20.304,-41.464,4.646
82,1435995490631,-20.304,-41.464,4.646
83,1435995490651,-20.304,-41.464,4.646
84,1435995490671,-20.304,-41.464,4.646
85,1435995490691,-20.304,-41.464,4.646
86,1435995490711,-20.304,-41.464,4.646
87,1435995490731,-20.304,-41.464,4.646
88,1435995491062,-20.304,-41.464,4.646
89,1435995491063,-20.304,-41.464,4.646
90,1435995491064,-20.304,-41.464,4.646
91,1435995491065,-20.304,-41.464,4.646
92,1435995491066,-20.304,-41.464,4.646
93,1435995491067,-20.304,-41.464,4.646
94,1435995491068,-20.304,-41.464,4.646
95,1435995491069,-20.304,-41.464,4.646
96,1435995491070,-20.304,-41.464,4.646
97,1435995491071,-20.304,-41.464,4.646
98,1435995491072,-20.304,-41.464,4.646
99,1435995491073,-20.304,-41.464,4.646
100,1435995491074,-20.304,-41.464,4.646
101,1435995491075,-20.304,-41.464,4.646
102,1435995491076,-20.304,-41.464,4.646
103,1435995491077,-20.304,-41.464,4.646
104,1435995491089,-20.304,-41.464,4.646
105,1435995491091,-20.304,-41.464,4.646
106,1435995491123,-20.304,-41.464,4.646
107,1435995491132,-20.304,-41.464,4.646
108,1435995491151,-20.304,-41.464,4.339
109,1435995491171,-20.304,-41.464,4.339
110,1435995491191,-20.304,-41.464,4.339
111,1435995491212,-20.304,-41.464,4.339
112,1435995491232,-20.304,-41.464,4.339
113,1435995491252,-20.304,-41.464,4.339
114,1435995491272,-20.304,-41.464,4.339
115,1435995491294,-20.304,-41.464,4.339
116,1435995491312,-20.304,-41.464,4.339
117,1435995491335,-20.304,-41.464,4.339
118,1435995491351,-20.304,-41.464,4.339
119,1435995491373,-20.304,-41.464,4.339
120,1435995491395,-20.304,-41.464,4.339
121,1435995491413,-20.304,-41.464,4.339
122,1435995491434,-20.304,-41.464,4.339
123,1435995491451,-20.304,-41.464,4.339
124,1435995491472,-20.304,-41.464,4.339
125,1435995491495,-20.304,-41.464,3.997
126,1435995491515,-20.304,-41.464,3.997
127,1435995491532,-20.304,-41.464,3.997
128,1435995491552,-20.304,-41.464,3.997
129,1435995491573,-20.304,-41.464,3.997
130,1435995491599,-20.304,-41.464,3.997
131,1435995491611,-20.304,-41.464,3.997
132,1435995491633,-20.304,-41.464,3.997
133,1435995491651,-20.304,-41.464,3.997
134,1435995491673,-20.304,-41.464,3.997
135,1435995491692,-20.304,-41.464,3.997
136,1435995491712,-20.304,-41.464,3.997
137,1435995491733,-20.304,-41.464,3.997
138,1435995491754,-20.304,-41.464,3.997
139,1435995491773,-20.304,-41.464,3.997
140,1435995491795,-20.304,-41.464,3.997
141,1435995491815,-20.304,-41.464,3.997
142,1435995491835,-20.304,-41.464,3.686
143,1435995491853,-20.304,-41.464,3.686
144,1435995491873,-20.304,-41.464,3.686
145,1435995491895,-20.304,-41.464,3.686
146,1435995491915,-20.304,-41.464,3.686
147,1435995491935,-20.304,-41.464,3.686
148,1435995491953,-20.304,-41.464,3.686
149,1435995491973,-20.304,-41.464,3.686
150,1435995491993,-20.304,-41.464,3.686
151,1435995492014,-20.304,-41.464,3.686
152,1435995492034,-20.304,-41.464,3.686
153,1435995492053,-20.304,-41.464,3.686
154,1435995492075,-20.304,-41.464,3.686
155,1435995492096,-20.304,-41.464,3.686
156,1435995492116,-20.304,-41.464,3.686
157,1435995492135,-20.304,-41.464,3.686
158,1435995492153,-20.304,-41.464,3.686
159,1435995492173,-20.304,-41.464,3.686
160,1435995492194,-20.304,-41.464,3.686
161,1435995492213,-20.304,-41.464,3.686
162,1435995492235,-20.304,-41.464,3.686
163,1435995492301,-20.304,-41.464,3.686
164,1435995492302,-20.304,-41.464,3.686
165,1435995492303,-20.304,-41.464,3.686
166,1435995492312,-20.304,-41.464,3.686
167,1435995492337,-20.304,-41.464,3.686
168,1435995492353,-20.304,-41.464,3.686
169,1435995492374,-20.606,-41.464,3.686
170,1435995492393,-20.606,-41.464,3.686
171,1435995492413,-20.606,-41.148,3.686
172,1435995492434,-20.606,-41.148,3.686
173,1435995492454,-20.606,-41.148,3.686
174,1435995492474,-20.606,-41.148,3.686
175,1435995492493,-20.606,-41.148,3.686
176,1435995492516,-20.606,-41.148,3.686
177,1435995492536,-20.606,-40.827,3.686
178,1435995492556,-20.918,-40.827,3.686
179,1435995492572,-20.918,-40.827,3.686
180,1435995492593,-20.918,-40.827,3.686
181,1435995492616,-20.918,-40.827,3.686
182,1435995492636,-20.918,-40.827,3.686
183,1435995492656,-20.918,-40.827,3.686
184,1435995492675,-20.918,-40.827,3.686
185,1435995492697,-20.918,-40.827,3.686
186,1435995492716,-20.918,-40.827,3.686
187,1435995492738,-20.918,-40.827,3.686
188,1435995492756,-20.918,-40.827,3.686
189,1435995492779,-20.918,-40.827,3.686
190,1435995492793,-20.918,-41.184,3.686
191,1435995492814,-20.918,-41.184,3.686
192,1435995492833,-20.918,-41.184,3.686
193,1435995492853,-20.581,-41.184,3.686
194,1435995492877,-20.581,-41.184,3.686
195,1435995492897,-20.581,-41.184,3.686
196,1435995492917,-20.581,-41.508,3.686
197,1435995492936,-20.581,-41.508,3.686
198,1435995492957,-20.581,-41.508,3.686
199,1435995493019,-20.581,-41.508,3.686
200,1435995493032,-20.581,-41.508,3.686
201,1435995493033,-20.581,-41.508,3.686
202,1435995493034,-20.581,-41.508,3.686
203,1435995493054,-20.581,-41.508,3.686
204,1435995493076,-20.581,-41.508,3.686
205,1435995493093,-20.581,-41.508,3.686
206,1435995493118,-20.581,-41.508,3.686
207,1435995493133,-20.581,-41.508,3.686
208,1435995493153,-20.581,-41.508,3.686
209,1435995493175,-20.581,-41.508,3.686
210,1435995493194,-20.581,-41.508,3.686
211,1435995493216,-20.581,-41.508,3.686
212,1435995493236,-20.581,-41.508,4.002
213,1435995493254,-20.581,-41.508,4.002
214,1435995493276,-20.581,-41.508,4.002
215,1435995493296,-20.581,-41.508,4.002
216,1435995493314,-20.581,-41.508,4.002
217,1435995493337,-20.581,-41.508,4.002
218,1435995493355,-20.581,-41.508,4.002
219,1435995493377,-20.581,-41.508,4.002
220,1435995493394,-20.581,-41.508,4.002
221,1435995493418,-20.581,-41.508,4.002
222,1435995493437,-20.581,-41.508,4.002
223,1435995493457,-20.581,-41.508,4.002
224,1435995493475,-20.581,-41.508,4.002
225,1435995493496,-20.581,-41.508,4.002
226,1435995493514,-20.581,-41.508,4.002
227,1435995493533,-20.581,-41.508,4.002
228,1435995493554,-20.581,-41.508,4.002
229,1435995493575,-20.581,-41.508,4.002
230,1435995493600,-20.581,-41.508,4.002
231,1435995493616,-20.581,-41.508,4.002
232,1435995493635,-20.581,-41.508,4.002
233,1435995493656,-20.581,-41.508,4.002
234,1435995493684,-20.581,-41.508,4.002
235,1435995493743,-20.581,-41.508,4.002
236,1435995493755,-20.581,-41.508,4.002
237,1435995493756,-20.581,-41.508,4.002
238,1435995493757,-20.581,-41.508,4.002
239,1435995493774,-20.581,-41.508,4.002
240,1435995493796,-20.581,-41.508,4.002
241,1435995493814,-20.581,-41.508,4.002
242,1435995493834,-20.269,-41.508,4.002
243,1435995493855,-20.269,-41.508,4.002
244,1435995493877,-20.269,-41.508,4.002
245,1435995493896,-20.269,-41.508,4.002
246,1435995493914,-20.269,-41.508,4.002
247,1435995493940,-20.269,-41.508,4.002
248,1435995493958,-20.269,-41.809,4.002
249,1435995493976,-20.269,-41.809,4.002
250,1435995493996,-20.269,-41.809,4.002
251,1435995494016,-20.269,-41.809,4.002
252,1435995494036,-20.269,-41.809,4.002
253,1435995494058,-20.269,-41.809,4.002
254,1435995494076,-20.269,-41.809,4.002
255,1435995494097,-20.269,-41.809,4.002
256,1435995494116,-20.269,-41.809,4.002
257,1435995494135,-20.269,-41.809,4.002
258,1435995494156,-20.269,-41.809,3.639
259,1435995494178,-20.269,-41.809,3.639
260,1435995494194,-20.269,-41.809,1.812
261,1435995494216,-20.269,-41.809,-0.781
262,1435995494234,-20.269,-41.809,-2.145
263,1435995494257,-20.269,-41.809,-3.198
264,1435995494280,-20.269,-41.809,-5.436
265,1435995494296,-20.269,-41.809,-5.436
266,1435995494318,-20.269,-41.809,-5.999
267,1435995494334,-20.269,-41.436,-5.999
268,1435995494354,-20.617,-41.436,-6.561
269,1435995494374,-20.617,-41.436,-7.189
270,1435995494398,-20.617,-41.436,-6.851
271,1435995494417,-20.617,-41.436,-7.164
272,1435995494475,-20.617,-41.055,-5.947
273,1435995494487,-20.988,-41.055,-6.787
