id,attr_time,attr_x,attr_y,attr_z
1,1435994343834,-18.977,-40.997,-4.878
2,1435994343853,-18.977,-40.997,-4.878
3,1435994343879,-18.977,-40.997,-4.878
4,1435994343898,-18.977,-40.997,-4.878
5,1435994343916,-18.977,-40.997,-4.878
6,1435994343938,-18.977,-40.997,-4.878
7,1435994343958,-18.977,-40.997,-4.878
8,1435994343974,-18.977,-40.997,-4.878
9,1435994343994,-18.977,-40.997,-4.878
10,1435994344018,-18.977,-40.997,-4.878
11,1435994344034,-18.977,-40.997,-4.878
12,1435994344058,-18.977,-40.997,-4.878
13,1435994344082,-18.977,-40.997,-4.878
14,1435994344097,-18.977,-40.997,-4.878
15,1435994344117,-18.977,-40.997,-4.878
16,1435994344139,-18.977,-40.997,-4.878
17,1435994344190,-18.977,-40.997,-4.878
18,1435994344191,-18.977,-40.997,-4.878
19,1435994344194,-18.977,-40.997,-4.878
20,1435994344213,-18.977,-40.997,-4.878
21,1435994344232,-18.977,-40.997,-4.878
22,1435994344255,-18.977,-40.997,-4.878
23,1435994344271,-18.669,-40.997,-5.21
24,1435994344291,-18.669,-40.997,-5.21
25,1435994344314,-18.669,-40.997,-5.21
26,1435994344333,-18.669,-40.997,-5.21
27,1435994344355,-18.669,-40.997,-5.21
28,1435994344383,-18.669,-40.997,-5.21
29,1435994344393,-18.669,-40.997,-5.21
30,1435994344415,-18.669,-40.997,-5.21
31,1435994344437,-18.669,-40.997,-5.21
32,1435994344455,-18.669,-40.997,-5.21
33,1435994344473,-18.669,-40.997,-5.21
34,1435994344497,-18.669,-40.997,-5.21
35,1435994344515,-18.669,-40.997,-5.21
36,1435994344536,-18.669,-40.997,-5.21
37,1435994344557,-18.669,-40.997,-5.21
38,1435994344573,-18.669,-40.997,-5.21
39,1435994344594,-18.669,-40.997,-5.21
40,1435994344620,-18.669,-40.997,-5.21
41,1435994344639,-18.669,-40.997,-5.21
42,1435994344654,-18.669,-40.997,-5.21
43,1435994344678,-18.669,-40.997,-5.21
44,1435994344694,-18.669,-40.997,-5.21
45,1435994344714,-18.669,-40.997,-5.21
46,1435994344746,-18.669,-40.997,-5.21
47,1435994344765,-18.669,-40.997,-5.21
48,1435994344797,-18.669,-40.997,-5.21
49,1435994344798,-18.669,-40.997,-5.21
50,1435994344812,-18.669,-40.997,-5.21
51,1435994344831,-18.669,-40.997,-5.21
52,1435994344856,-18.669,-40.997,-5.52
53,1435994344872,-18.669,-40.997,-5.52
54,1435994344895,-18.669,-40.997,-5.52
55,1435994344915,-18.669,-40.997,-5.52
56,1435994344936,-18.669,-40.997,-5.52
57,1435994344955,-18.669,-40.997,-5.52
58,1435994344978,-18.669,-40.997,-5.52
59,1435994344999,-18.669,-40.997,-5.52
60,1435994345016,-18.669,-40.997,-5.52
61,1435994345039,-18.669,-40.997,-5.52
62,1435994345057,-18.362,-40.997,-5.52
63,1435994345074,-18.362,-40.997,-5.52
64,1435994345099,-18.362,-40.997,-5.52
65,1435994345117,-18.362,-40.997,-5.52
66,1435994345142,-18.362,-40.997,-5.52
67,1435994345156,-18.362,-40.997,-5.52
68,1435994345173,-18.362,-40.997,-5.52
69,1435994345194,-18.362,-40.997,-5.52
70,1435994345216,-18.362,-40.997,-5.52
71,1435994345297,-18.362,-40.997,-5.52
72,1435994345298,-18.362,-40.997,-5.52
73,1435994345299,-18.362,-40.997,-5.52
74,1435994345300,-18.362,-40.997,-5.52
75,1435994345313,-18.362,-40.997,-5.52
76,1435994345334,-18.362,-40.997,-5.52
77,1435994345352,-18.362,-40.997,-5.52
78,1435994345373,-18.362,-40.997,-5.52
79,1435994345413,-18.362,-40.997,-5.52
80,1435994345414,-18.362,-40.997,-5.52
81,1435994345432,-18.362,-40.997,-5.52
82,1435994345457,-18.362,-40.997,-5.52
83,1435994345472,-18.675,-40.997,-5.52
84,1435994345496,-18.675,-40.997,-5.52
85,1435994345520,-18.675,-40.997,-5.52
86,1435994345533,-18.675,-40.997,-5.52
87,1435994345552,-18.675,-40.997,-5.52
88,1435994345574,-18.675,-40.997,-5.52
89,1435994345592,-18.675,-40.997,-5.52
90,1435994345612,-18.675,-40.997,-5.52
91,1435994345637,-18.675,-40.997,-5.52
92,1435994345657,-18.675,-40.997,-5.52
93,1435994345678,-18.675,-40.997,-5.52
94,1435994345699,-18.675,-40.997,-5.52
95,1435994345717,-18.675,-40.997,-5.52
96,1435994345738,-18.675,-40.997,-5.52
97,1435994345761,-18.675,-40.997,-5.52
98,1435994345775,-18.675,-40.997,-5.52
99,1435994345798,-18.675,-40.997,-5.52
100,1435994345819,-18.675,-40.997,-5.52
