id,attr_time,attr_lat,attr_lng
1,1435991673000,49.44991956,8.89838573
2,1435991678000,49.44991902,8.89838592
3,1435991690000,49.44991888,8.89838542
4,1435991700000,49.44991866,8.89838497
5,1435991710000,49.44991855,8.89838497
6,1435991720000,49.44991717,8.89837996
7,1435991730000,49.44991462,8.89836907
8,1435991740000,49.44991334,8.89836322
9,1435991750000,49.44991273,8.8983606
10,1435991761000,49.4499126,8.89836017
11,1435991779000,49.44991367,8.8983604
12,1435991807000,49.44991446,8.89836016
13,1435991819000,49.44991449,8.89836014
14,1435991835000,49.44991445,8.89836012
15,1435991845000,49.44991435,8.89836011
16,1435991856000,49.44991453,8.89836037
17,1435991867000,49.44991532,8.89836292
18,1435991877000,49.44991635,8.89836343
19,1435991887000,49.4499187,8.89836593
20,1435991898000,49.44992169,8.8983665
21,1435991912000,49.44992218,8.89836404
22,1435991918000,49.44992247,8.89836623
23,1435991930000,49.44991362,8.89836161
24,1435991940000,49.44991093,8.89835966
25,1435991950000,49.44991108,8.8983595
26,1435991958000,49.44991112,8.89835965
27,1435991970000,49.44991109,8.89835967
28,1435991980000,49.44991033,8.89835785
29,1435991990000,49.44990983,8.8983562
30,1435992014000,49.44990993,8.89835611
31,1435992025000,49.44990972,8.89835614
32,1435992063000,49.44991156,8.89835428
33,1435992084000,49.44991153,8.89835438
34,1435992135000,49.44991151,8.89835428
35,1435992147000,49.44991072,8.89835196
36,1435992156000,49.44991222,8.89835413
37,1435992166000,49.4499141,8.89835798
38,1435992177000,49.44991461,8.89835979
39,1435992186000,49.44991576,8.89835917
40,1435992200000,49.44992375,8.8983557
41,1435992209000,49.44992302,8.89834932
42,1435992218000,49.44991725,8.89834487
43,1435992229000,49.44991897,8.89834638
44,1435992238000,49.44992001,8.89834819
45,1435992249000,49.44991985,8.89834665
46,1435992259000,49.44992042,8.89834239
47,1435992268000,49.44992023,8.89834171
48,1435992279000,49.44991836,8.89834375
49,1435992289000,49.44991756,8.89834574
50,1435992299000,49.44991656,8.89834617
51,1435992310000,49.44991315,8.89834752
