id,attr_time,attr_x,attr_y,attr_z
1,1435991672026,7.145,-29.56,21.385
2,1435991672050,7.145,-29.56,21.385
3,1435991672068,7.145,-29.56,21.385
4,1435991672086,7.145,-29.56,21.385
5,1435991672109,7.145,-29.56,21.385
6,1435991672129,7.145,-29.56,21.385
7,1435991672150,7.145,-29.56,21.385
8,1435991672174,7.145,-29.56,21.385
9,1435991672189,7.145,-29.56,21.385
10,1435991672210,7.145,-29.56,21.385
11,1435991672238,7.145,-29.56,21.385
12,1435991672254,7.145,-29.56,21.064
13,1435991672267,7.145,-29.56,21.064
14,1435991672288,7.145,-29.56,21.064
15,1435991672306,7.145,-29.56,21.064
16,1435991672329,7.145,-29.56,21.064
17,1435991672352,7.145,-29.56,21.064
18,1435991672370,7.145,-29.56,21.064
19,1435991672390,7.145,-29.56,21.064
20,1435991672412,7.145,-29.56,21.064
21,1435991672429,7.145,-29.56,21.064
22,1435991672449,7.145,-29.56,21.064
23,1435991672471,7.145,-29.56,21.064
24,1435991672489,7.145,-29.56,21.064
25,1435991672509,7.145,-29.56,21.064
26,1435991672532,7.145,-29.56,20.759
27,1435991672548,7.145,-29.56,20.759
28,1435991672569,7.145,-29.56,20.759
29,1435991672599,7.145,-29.56,20.759
30,1435991672608,7.145,-29.56,20.759
31,1435991672650,7.145,-29.56,20.759
32,1435991672651,7.145,-29.56,20.759
33,1435991672667,7.145,-29.56,20.759
34,1435991672686,7.145,-29.56,20.759
35,1435991672709,7.145,-29.56,20.759
36,1435991672726,7.145,-29.56,20.759
37,1435991672747,7.145,-29.56,20.759
38,1435991672769,7.145,-29.56,20.759
39,1435991672787,7.145,-29.56,20.759
40,1435991672807,7.145,-29.56,20.759
41,1435991672832,7.145,-29.56,20.759
42,1435991672850,7.145,-29.56,20.759
43,1435991672870,7.145,-29.56,20.759
44,1435991672894,7.145,-29.56,20.759
45,1435991672909,7.145,-29.56,20.759
46,1435991672930,7.145,-29.56,20.759
47,1435991672952,7.145,-29.56,20.759
48,1435991672968,7.145,-29.56,20.759
49,1435991672991,7.145,-29.56,20.759
50,1435991673010,7.145,-29.56,20.759
51,1435991673028,7.145,-29.56,20.759
52,1435991673050,7.145,-29.56,20.759
53,1435991673076,7.145,-29.56,20.759
54,1435991673089,7.145,-29.56,20.759
55,1435991673110,7.145,-29.56,20.759
56,1435991673134,7.145,-29.56,20.759
57,1435991673149,7.145,-29.56,20.759
58,1435991673169,7.145,-29.56,20.759
59,1435991673190,7.145,-29.56,20.759
60,1435991673287,7.145,-29.56,20.759
61,1435991673288,7.145,-29.56,20.759
62,1435991673289,7.145,-29.56,20.759
63,1435991673290,7.145,-29.56,20.759
64,1435991673291,7.145,-29.56,20.759
65,1435991673309,7.145,-29.56,20.759
66,1435991673327,7.145,-29.56,21.07
67,1435991673347,7.145,-29.56,21.07
68,1435991673374,7.145,-29.56,21.07
69,1435991673405,7.145,-29.56,21.07
70,1435991673408,7.145,-29.56,21.07
71,1435991673434,7.145,-29.56,21.07
72,1435991673451,7.145,-29.56,21.07
73,1435991673469,7.145,-29.56,21.07
74,1435991673493,7.145,-29.56,21.07
75,1435991673509,7.145,-29.56,21.07
76,1435991673529,7.145,-29.56,21.07
77,1435991673555,7.145,-29.56,21.07
78,1435991673570,7.145,-29.56,21.07
79,1435991673591,7.145,-29.56,21.07
80,1435991673613,7.145,-29.56,21.385
81,1435991673631,7.145,-29.56,21.385
82,1435991673649,7.145,-29.56,21.385
83,1435991673673,6.825,-29.875,21.385
84,1435991673692,6.825,-29.875,21.385
85,1435991673718,6.825,-29.875,21.385
86,1435991673734,6.825,-29.875,21.385
87,1435991673748,6.825,-29.875,21.385
88,1435991673768,6.825,-29.875,21.385
89,1435991673791,6.825,-29.875,21.385
90,1435991673809,6.825,-29.875,21.385
91,1435991673838,6.825,-29.875,21.385
92,1435991673924,6.825,-29.875,21.385
93,1435991673925,6.825,-29.875,21.385
94,1435991673926,6.825,-29.875,21.385
95,1435991673927,6.825,-29.875,21.385
96,1435991673945,6.825,-29.875,21.385
97,1435991673947,6.825,-29.875,21.385
98,1435991673970,6.825,-29.875,21.385
99,1435991673988,6.825,-29.875,21.07
100,1435991674008,6.825,-29.875,21.07
101,1435991674029,6.825,-29.875,21.07
102,1435991674047,6.825,-29.875,21.07
103,1435991674067,6.825,-29.875,21.07
104,1435991674089,7.142,-29.875,21.07
105,1435991674107,7.142,-29.875,21.07
106,1435991674127,7.142,-29.875,21.07
107,1435991674150,7.142,-29.573,21.07
108,1435991674167,7.142,-29.573,21.07
109,1435991674187,7.142,-29.573,21.07
110,1435991674213,7.142,-29.573,21.07
111,1435991674228,7.142,-29.573,21.07
112,1435991674247,7.142,-29.573,21.07
113,1435991674270,7.142,-29.573,21.07
114,1435991674287,7.142,-29.573,21.07
115,1435991674307,7.142,-29.573,21.07
116,1435991674332,7.142,-29.573,21.07
117,1435991674351,7.142,-29.573,21.07
118,1435991674372,7.142,-29.573,21.07
119,1435991674394,7.142,-29.573,21.07
120,1435991674412,7.142,-29.573,21.07
121,1435991674430,7.142,-29.573,21.07
122,1435991674454,7.142,-29.573,21.07
123,1435991674469,7.142,-29.573,21.07
124,1435991674490,7.142,-29.573,21.07
125,1435991674542,7.142,-29.573,21.07
126,1435991674543,7.142,-29.573,21.07
127,1435991674555,7.142,-29.573,21.07
128,1435991674574,7.142,-29.573,21.07
129,1435991674588,7.142,-29.573,21.07
130,1435991674610,7.142,-29.573,21.07
131,1435991674632,7.142,-29.573,21.07
132,1435991674651,7.142,-29.573,21.07
133,1435991674670,7.142,-29.573,21.07
134,1435991674695,7.142,-29.573,21.07
135,1435991674710,7.142,-29.573,21.07
136,1435991674729,7.142,-29.573,21.07
137,1435991674751,7.142,-29.573,21.07
138,1435991674769,7.142,-29.573,21.07
139,1435991674789,7.142,-29.573,21.07
140,1435991674811,7.142,-29.573,21.07
141,1435991674830,7.142,-29.573,21.07
142,1435991674852,7.142,-29.573,21.07
143,1435991674875,7.142,-29.573,21.07
144,1435991674891,7.142,-29.573,21.07
145,1435991674912,7.142,-29.573,21.07
146,1435991674935,7.142,-29.573,21.07
147,1435991674950,7.142,-29.573,21.07
148,1435991674971,7.142,-29.573,21.07
149,1435991674993,7.142,-29.573,20.756
150,1435991675015,7.142,-29.573,20.756
151,1435991675036,7.142,-29.573,20.756
152,1435991675056,7.142,-29.573,20.756
153,1435991675072,7.142,-29.573,20.756
154,1435991675090,7.447,-29.573,20.756
155,1435991675115,7.447,-29.573,20.756
156,1435991675130,7.447,-29.573,20.756
157,1435991675151,7.447,-29.573,20.756
158,1435991675172,7.447,-29.573,20.756
159,1435991675236,7.447,-29.573,20.756
160,1435991675238,7.447,-29.573,20.756
161,1435991675239,7.447,-29.573,20.756
162,1435991675251,7.447,-29.573,20.756
163,1435991675268,7.447,-29.573,20.756
164,1435991675291,7.447,-29.573,20.756
165,1435991675309,7.447,-29.573,20.756
166,1435991675332,7.447,-29.573,20.756
167,1435991675355,7.447,-29.573,20.756
168,1435991675374,7.447,-29.573,20.756
169,1435991675393,7.447,-29.573,20.756
170,1435991675415,7.447,-29.573,20.756
171,1435991675430,7.112,-29.573,20.756
172,1435991675453,7.112,-29.573,20.756
173,1435991675475,7.112,-29.573,20.756
174,1435991675492,7.112,-29.573,20.756
175,1435991675513,7.112,-29.573,20.756
176,1435991675535,7.112,-29.573,20.756
177,1435991675551,7.112,-29.573,20.756
178,1435991675573,7.112,-29.573,20.756
179,1435991675594,7.112,-29.573,20.756
180,1435991675611,7.112,-29.573,20.756
181,1435991675630,7.112,-29.573,20.756
182,1435991675658,7.112,-29.573,20.756
183,1435991675670,7.112,-29.573,20.756
184,1435991675690,7.112,-29.573,20.756
185,1435991675712,7.112,-29.573,20.756
186,1435991675729,7.112,-29.573,20.756
187,1435991675749,7.112,-29.573,20.756
188,1435991675772,7.112,-29.573,20.756
189,1435991675790,7.112,-29.573,20.756
190,1435991675834,7.112,-29.573,20.756
191,1435991675837,7.112,-29.573,20.756
192,1435991675851,7.112,-29.573,20.756
193,1435991675879,7.112,-29.573,20.756
194,1435991675894,7.112,-29.573,20.756
195,1435991675914,7.112,-29.573,20.756
196,1435991675931,7.112,-29.573,20.756
197,1435991675954,7.112,-29.573,20.756
198,1435991675971,7.112,-29.573,20.756
199,1435991675995,7.112,-29.573,20.756
200,1435991676018,7.112,-29.573,20.756
201,1435991676035,7.112,-29.573,20.756
202,1435991676051,7.112,-29.573,20.756
203,1435991676076,7.112,-29.573,20.756
204,1435991676094,7.112,-29.573,20.756
205,1435991676114,7.112,-29.573,20.756
206,1435991676136,7.112,-29.573,20.756
207,1435991676154,7.112,-29.573,20.756
208,1435991676172,7.112,-29.573,20.756
209,1435991676195,7.112,-29.573,20.756
210,1435991676215,7.112,-29.573,21.067
211,1435991676242,7.112,-29.573,21.067
212,1435991676257,7.112,-29.573,21.067
213,1435991676270,7.112,-29.573,21.067
214,1435991676289,7.112,-29.573,21.067
215,1435991676313,7.112,-29.573,21.067
216,1435991676330,7.112,-29.573,21.067
217,1435991676357,7.112,-29.573,21.067
218,1435991676377,7.112,-29.573,21.368
219,1435991676390,7.112,-29.573,21.368
220,1435991676411,7.112,-29.573,21.368
221,1435991676436,7.112,-29.573,21.368
222,1435991676462,7.112,-29.573,21.368
223,1435991676472,7.112,-29.573,21.368
224,1435991676517,7.112,-29.573,21.368
225,1435991676518,7.112,-29.573,21.368
226,1435991676530,7.112,-29.573,21.368
227,1435991676552,7.112,-29.573,21.368
228,1435991676571,7.112,-29.573,21.368
229,1435991676590,7.112,-29.573,21.368
230,1435991676614,7.112,-29.573,21.368
231,1435991676630,7.112,-29.573,21.368
232,1435991676652,7.112,-29.573,21.368
233,1435991676677,7.112,-29.573,21.368
234,1435991676695,7.112,-29.573,21.368
235,1435991676716,7.112,-29.573,21.368
236,1435991676738,7.112,-29.573,21.055
237,1435991676752,7.112,-29.573,21.055
238,1435991676771,7.112,-29.573,21.055
239,1435991676793,7.112,-29.573,21.055
240,1435991676826,7.112,-29.573,21.055
241,1435991676833,7.112,-29.573,21.055
242,1435991676854,7.112,-29.573,21.055
243,1435991676870,7.112,-29.573,21.055
244,1435991676890,7.112,-29.573,21.055
245,1435991676912,7.112,-29.573,21.055
246,1435991676931,7.112,-29.573,21.055
247,1435991676953,7.112,-29.573,21.055
248,1435991676979,7.112,-29.573,21.055
249,1435991676994,7.112,-29.573,21.055
250,1435991677014,7.112,-29.573,21.055
251,1435991677037,7.112,-29.573,21.055
252,1435991677054,7.112,-29.573,21.055
253,1435991677075,7.112,-29.573,21.055
254,1435991677094,7.112,-29.573,21.055
255,1435991677113,7.112,-29.573,21.055
256,1435991677135,7.112,-29.573,21.055
257,1435991677180,7.112,-29.573,21.055
258,1435991677181,7.112,-29.573,21.055
259,1435991677191,7.112,-29.573,21.055
260,1435991677213,7.112,-29.573,21.055
261,1435991677232,7.112,-29.573,21.055
262,1435991677251,7.112,-29.573,21.055
263,1435991677273,7.112,-29.573,21.055
264,1435991677291,7.112,-29.573,21.055
265,1435991677311,7.112,-29.573,21.055
266,1435991677336,7.112,-29.573,21.055
267,1435991677355,7.112,-29.573,21.055
268,1435991677375,7.112,-29.573,21.055
269,1435991677396,7.112,-29.573,21.055
270,1435991677414,7.112,-29.573,21.055
271,1435991677435,7.112,-29.573,21.055
272,1435991677454,7.112,-29.573,21.055
273,1435991677477,7.112,-29.573,21.055
274,1435991677525,7.112,-29.573,21.055
275,1435991677526,7.112,-29.573,21.055
276,1435991677531,7.112,-29.573,21.055
277,1435991677555,7.112,-29.573,21.055
278,1435991677575,7.112,-29.573,21.055
279,1435991677593,7.112,-29.573,21.055
280,1435991677615,7.112,-29.573,21.055
281,1435991677636,7.112,-29.573,21.055
282,1435991677655,7.112,-29.573,21.055
283,1435991677675,7.112,-29.573,21.055
284,1435991677695,7.112,-29.573,21.055
285,1435991677721,7.112,-29.573,21.055
286,1435991677738,7.112,-29.573,21.055
287,1435991677755,7.112,-29.573,21.055
288,1435991677794,7.112,-29.573,21.055
289,1435991677795,7.112,-29.573,21.055
290,1435991677814,7.112,-29.573,21.055
291,1435991677832,7.112,-29.573,20.735
292,1435991677855,7.112,-29.573,20.735
293,1435991677875,7.112,-29.573,20.735
294,1435991677897,7.112,-29.573,20.735
295,1435991677914,7.112,-29.573,20.735
296,1435991677956,7.112,-29.573,20.735
297,1435991677957,7.112,-29.573,20.735
298,1435991677974,7.112,-29.573,20.735
299,1435991677998,7.112,-29.573,20.735
300,1435991678015,7.112,-29.573,20.735
301,1435991678035,7.112,-29.573,20.735
302,1435991678058,7.112,-29.573,20.735
303,1435991678075,7.112,-29.573,20.735
304,1435991678095,7.112,-29.573,20.735
305,1435991678118,7.112,-29.573,20.735
306,1435991678133,7.112,-29.573,20.735
307,1435991678155,7.112,-29.573,20.735
308,1435991678178,7.112,-29.573,20.735
309,1435991678195,7.112,-29.573,20.735
310,1435991678227,7.112,-29.573,20.735
311,1435991678239,7.112,-29.573,20.735
312,1435991678259,7.112,-29.573,20.735
313,1435991678274,7.112,-29.573,20.735
314,1435991678295,7.112,-29.573,20.735
315,1435991678312,7.112,-29.573,20.735
316,1435991678337,7.112,-29.573,20.735
317,1435991678357,7.112,-29.573,20.735
318,1435991678375,7.112,-29.573,20.735
319,1435991678402,7.112,-29.573,20.735
320,1435991678462,7.112,-29.573,20.735
321,1435991678463,7.112,-29.573,20.735
322,1435991678464,7.112,-29.573,20.735
323,1435991678478,7.112,-29.573,20.735
324,1435991678491,7.112,-29.573,20.735
325,1435991678512,7.112,-29.873,20.735
326,1435991678535,7.112,-29.873,20.735
327,1435991678554,7.112,-29.873,20.735
328,1435991678574,7.112,-29.873,21.038
329,1435991678598,7.112,-29.873,21.038
330,1435991678616,7.112,-29.873,21.038
331,1435991678635,7.112,-29.873,21.038
332,1435991678659,7.112,-29.873,21.038
333,1435991678676,7.112,-29.873,21.038
334,1435991678696,7.112,-29.873,21.038
335,1435991678720,6.799,-29.873,21.038
336,1435991678733,6.799,-29.873,21.353
337,1435991678754,6.799,-29.873,21.353
338,1435991678776,6.799,-29.873,21.353
339,1435991678793,6.799,-29.873,21.353
340,1435991678815,6.799,-29.873,21.353
341,1435991678838,6.799,-29.873,21.353
342,1435991678854,6.799,-29.873,21.353
343,1435991678875,6.799,-29.873,21.353
344,1435991678904,6.799,-29.873,21.353
345,1435991678918,6.799,-29.873,21.353
346,1435991678939,6.799,-29.873,21.353
347,1435991678958,6.799,-29.873,21.353
348,1435991678975,6.799,-29.873,21.353
349,1435991678993,6.799,-29.873,21.353
350,1435991679018,6.799,-29.873,21.353
351,1435991679043,6.799,-29.873,21.023
352,1435991679093,6.799,-29.873,21.023
353,1435991679094,6.799,-29.873,21.023
354,1435991679095,6.799,-29.873,21.023
355,1435991679116,6.799,-29.873,21.023
356,1435991679135,6.799,-29.873,21.023
357,1435991679153,6.799,-29.873,21.023
358,1435991679176,6.799,-29.873,21.023
359,1435991679197,6.799,-29.873,21.023
360,1435991679217,6.799,-29.873,21.023
361,1435991679233,6.799,-29.873,21.023
362,1435991679255,6.799,-29.873,21.023
363,1435991679273,6.799,-29.873,21.023
364,1435991679294,6.799,-29.873,21.023
365,1435991679316,6.799,-29.873,21.023
366,1435991679337,6.799,-29.873,21.023
367,1435991679357,6.799,-29.873,21.023
368,1435991679379,6.799,-29.873,21.023
369,1435991679397,6.799,-29.873,21.023
370,1435991679417,6.799,-29.873,21.351
371,1435991679439,6.799,-29.873,21.351
372,1435991679455,6.799,-29.873,21.351
373,1435991679477,6.799,-29.873,21.351
374,1435991679496,6.799,-29.873,21.351
375,1435991679517,6.799,-29.873,21.351
376,1435991679536,6.799,-29.873,21.351
377,1435991679564,7.138,-29.873,21.351
378,1435991679577,7.138,-29.873,21.351
379,1435991679597,7.138,-29.873,21.351
380,1435991679619,7.138,-29.873,21.351
381,1435991679637,7.138,-29.873,21.047
382,1435991679657,7.138,-29.873,21.047
383,1435991679677,7.138,-29.873,21.047
384,1435991679697,7.138,-29.873,21.047
385,1435991679772,7.138,-29.873,21.047
386,1435991679773,7.138,-29.873,21.047
387,1435991679774,7.44,-29.873,21.047
388,1435991679778,7.44,-29.873,21.047
389,1435991679797,7.44,-29.873,21.047
390,1435991679814,7.44,-29.873,20.732
391,1435991679833,7.44,-29.873,20.732
392,1435991679856,7.44,-29.873,20.732
393,1435991679874,7.44,-29.565,20.732
394,1435991679894,7.44,-29.565,20.732
395,1435991679919,7.44,-29.565,20.732
396,1435991679937,7.44,-29.565,20.732
397,1435991679957,7.44,-29.565,20.732
398,1435991679979,7.44,-29.565,20.732
399,1435991679997,7.44,-29.565,20.732
400,1435991680017,7.44,-29.565,20.732
401,1435991680039,7.44,-29.565,20.732
402,1435991680057,7.44,-29.565,20.732
403,1435991680077,7.44,-29.565,20.732
404,1435991680097,7.44,-29.565,20.732
405,1435991680132,7.44,-29.565,20.732
406,1435991680136,7.44,-29.565,20.732
407,1435991680158,7.44,-29.565,20.732
408,1435991680177,7.44,-29.565,20.732
409,1435991680202,7.44,-29.565,20.732
410,1435991680218,7.44,-29.565,20.732
411,1435991680239,7.44,-29.565,20.732
412,1435991680254,7.44,-29.565,20.732
413,1435991680277,7.44,-29.565,20.732
414,1435991680297,7.44,-29.565,20.732
415,1435991680314,7.44,-29.565,20.732
416,1435991680339,7.44,-29.565,20.732
417,1435991680359,7.44,-29.565,20.732
418,1435991680380,7.44,-29.565,20.732
419,1435991680425,7.44,-29.565,20.732
420,1435991680426,7.44,-29.565,20.732
421,1435991680441,7.44,-29.565,20.732
422,1435991680460,7.44,-29.565,20.732
423,1435991680475,7.44,-29.565,20.732
424,1435991680495,7.44,-29.565,20.732
425,1435991680516,7.44,-29.565,20.732
426,1435991680536,7.44,-29.565,20.732
427,1435991680555,7.44,-29.565,20.732
428,1435991680580,7.44,-29.565,20.732
429,1435991680598,7.44,-29.565,20.732
430,1435991680618,7.44,-29.565,20.732
431,1435991680639,7.44,-29.565,21.049
432,1435991680658,7.44,-29.565,21.049
433,1435991680678,7.44,-29.565,21.049
434,1435991680700,7.44,-29.565,21.049
435,1435991680718,7.44,-29.565,21.049
436,1435991680745,7.44,-29.565,21.049
437,1435991680761,7.44,-29.565,21.049
438,1435991680777,7.125,-29.565,21.049
439,1435991680795,7.125,-29.565,21.049
440,1435991680831,7.125,-29.565,21.049
441,1435991680835,7.125,-29.565,21.049
442,1435991680855,7.125,-29.565,21.049
443,1435991680877,7.125,-29.565,21.049
444,1435991680904,7.125,-29.565,21.049
445,1435991680915,7.125,-29.565,21.049
446,1435991680938,7.125,-29.565,21.049
447,1435991680958,7.125,-29.565,21.357
448,1435991680981,7.125,-29.565,21.357
449,1435991681002,7.125,-29.565,21.357
450,1435991681017,7.125,-29.565,21.357
451,1435991681038,7.125,-29.565,21.357
452,1435991681078,7.125,-29.565,21.357
453,1435991681079,7.125,-29.565,21.357
454,1435991681099,7.125,-29.565,21.357
455,1435991681119,7.125,-29.565,21.357
456,1435991681135,7.125,-29.565,21.357
457,1435991681157,7.125,-29.565,21.357
458,1435991681178,7.125,-29.565,21.357
459,1435991681198,7.125,-29.565,21.357
460,1435991681216,7.125,-29.565,21.357
461,1435991681249,7.125,-29.565,21.357
462,1435991681266,7.125,-29.565,21.357
463,1435991681275,7.125,-29.565,21.051
464,1435991681297,7.125,-29.565,21.051
465,1435991681315,7.125,-29.565,21.051
466,1435991681335,7.125,-29.565,21.051
