id,attr_time,attr_x,attr_y,attr_z
1,1435991672017,-14.691,-43.714,6.199
2,1435991672038,-14.691,-43.714,6.199
3,1435991672061,-14.691,-43.714,6.199
4,1435991672083,-14.691,-43.714,6.199
5,1435991672103,-14.691,-43.714,6.199
6,1435991672124,-14.691,-43.714,6.199
7,1435991672140,-14.691,-43.714,6.199
8,1435991672159,-14.691,-43.714,6.199
9,1435991672181,-14.691,-43.714,6.199
10,1435991672198,-14.691,-43.714,6.199
11,1435991672220,-14.691,-43.714,6.199
12,1435991672243,-14.691,-43.714,6.199
13,1435991672318,-14.691,-43.714,6.199
14,1435991672319,-14.691,-43.714,6.199
15,1435991672320,-14.691,-43.714,6.199
16,1435991672321,-14.691,-43.714,6.199
17,1435991672338,-14.691,-43.714,6.199
18,1435991672359,-14.691,-43.714,6.199
19,1435991672377,-14.691,-43.714,6.199
20,1435991672397,-14.691,-43.714,6.199
21,1435991672420,-14.691,-43.714,6.199
22,1435991672438,-14.691,-43.714,6.199
23,1435991672462,-14.691,-43.714,6.199
24,1435991672483,-14.691,-43.714,6.199
25,1435991672501,-15.019,-43.714,6.199
26,1435991672521,-15.019,-43.714,6.199
27,1435991672543,-15.019,-43.714,6.199
28,1435991672561,-15.019,-43.714,6.199
29,1435991672581,-15.019,-43.714,6.199
30,1435991672611,-15.019,-43.714,6.199
31,1435991672628,-15.019,-43.714,6.199
32,1435991672638,-15.019,-43.714,6.199
33,1435991672660,-15.019,-43.714,6.199
34,1435991672679,-15.019,-43.714,6.199
35,1435991672699,-15.019,-43.714,6.199
36,1435991672725,-15.019,-43.714,6.199
37,1435991672743,-15.019,-43.714,6.199
38,1435991672786,-15.019,-43.714,6.199
39,1435991672787,-15.019,-43.714,6.199
40,1435991672807,-15.019,-43.714,6.199
41,1435991672825,-15.019,-43.714,6.199
42,1435991672840,-15.019,-43.714,6.199
43,1435991672858,-15.332,-43.714,6.199
44,1435991672887,-15.332,-43.714,6.199
45,1435991672904,-15.332,-43.714,6.199
46,1435991672917,-15.332,-43.714,6.199
47,1435991672937,-15.332,-43.714,6.199
48,1435991672959,-15.332,-43.714,6.199
49,1435991672977,-15.332,-43.714,6.199
50,1435991672997,-15.332,-43.714,6.199
51,1435991673020,-15.332,-43.714,6.199
52,1435991673038,-15.332,-43.714,6.199
53,1435991673058,-15.332,-43.714,6.199
54,1435991673081,-15.332,-43.714,6.199
55,1435991673098,-15.332,-43.714,6.199
56,1435991673119,-15.332,-43.714,6.199
57,1435991673141,-15.332,-43.714,6.199
58,1435991673159,-15.332,-43.714,6.199
59,1435991673180,-15.332,-43.714,6.199
60,1435991673201,-15.332,-43.714,6.199
61,1435991673229,-15.332,-43.714,6.199
62,1435991673247,-15.332,-43.714,6.199
63,1435991673261,-15.332,-43.714,6.199
64,1435991673283,-15.332,-43.714,6.199
65,1435991673299,-15.332,-43.714,6.199
66,1435991673321,-15.332,-43.714,6.199
