id,attr_time,attr_x,attr_y,attr_z
1,1435993159435,-5.815,-44.445,-9.143
2,1435993159443,-5.815,-44.445,-9.143
3,1435993159444,-5.815,-44.445,-9.143
4,1435993159465,-5.815,-44.445,-9.143
5,1435993159473,-5.815,-44.445,-9.143
6,1435993159493,-5.815,-44.445,-9.143
7,1435993159516,-5.474,-44.445,-9.143
8,1435993159534,-5.474,-44.445,-9.143
9,1435993159556,-5.474,-44.445,-9.143
10,1435993159573,-5.474,-44.445,-9.143
11,1435993159594,-5.474,-44.769,-9.143
12,1435993159614,-5.474,-44.769,-9.143
13,1435993159639,-5.474,-44.769,-9.143
14,1435993159653,-5.474,-44.769,-9.143
15,1435993159673,-5.474,-44.769,-9.143
16,1435993159693,-5.474,-44.769,-9.143
17,1435993159719,-5.474,-44.769,-9.143
18,1435993159739,-5.165,-44.769,-9.143
19,1435993159759,-5.165,-44.769,-9.143
20,1435993159776,-5.165,-44.769,-9.143
21,1435993159796,-5.165,-44.769,-9.143
22,1435993159813,-5.165,-44.769,-9.143
23,1435993159833,-5.165,-44.769,-9.143
24,1435993159856,-5.165,-44.769,-9.143
25,1435993159874,-5.165,-44.769,-9.143
26,1435993159939,-5.165,-44.769,-9.143
27,1435993159940,-5.165,-44.769,-9.143
28,1435993159941,-5.165,-44.769,-9.143
29,1435993159966,-5.165,-44.769,-9.143
30,1435993159973,-5.165,-44.769,-9.143
31,1435993160014,-5.165,-44.769,-9.143
32,1435993160015,-5.165,-44.769,-9.143
33,1435993160036,-5.165,-44.769,-9.143
34,1435993160056,-5.165,-44.769,-9.143
35,1435993160074,-5.165,-44.769,-9.143
36,1435993160095,-5.165,-44.769,-9.143
37,1435993160117,-5.165,-44.769,-9.143
38,1435993160133,-5.165,-44.769,-9.143
39,1435993160154,-5.479,-44.769,-9.143
40,1435993160173,-5.479,-44.769,-9.143
41,1435993160195,-5.479,-44.769,-9.143
42,1435993160216,-5.479,-44.769,-9.143
43,1435993160239,-5.479,-44.769,-9.143
44,1435993160260,-5.479,-44.769,-9.143
45,1435993160277,-5.479,-44.769,-9.143
46,1435993160295,-5.479,-44.769,-9.143
47,1435993160314,-5.479,-44.769,-9.143
48,1435993160334,-5.479,-44.769,-9.143
49,1435993160356,-5.479,-44.769,-9.143
50,1435993160375,-5.479,-44.436,-9.143
51,1435993160427,-5.834,-44.436,-9.143
52,1435993160428,-5.834,-44.436,-9.143
53,1435993160442,-5.834,-44.436,-9.143
54,1435993160468,-6.159,-44.436,-9.143
55,1435993160474,-6.159,-44.068,-9.143
56,1435993160494,-6.159,-44.068,-9.143
57,1435993160521,-6.159,-44.068,-9.143
58,1435993160540,-6.159,-44.068,-9.143
59,1435993160556,-6.159,-44.068,-9.143
60,1435993160576,-6.462,-44.068,-9.143
61,1435993160598,-6.462,-44.068,-9.143
62,1435993160616,-6.462,-44.068,-9.143
63,1435993160635,-6.462,-44.068,-9.143
64,1435993160657,-6.462,-44.068,-9.143
65,1435993160687,-6.462,-44.068,-9.143
66,1435993160694,-6.462,-44.068,-9.143
67,1435993160715,-6.462,-44.068,-9.143
68,1435993160738,-6.462,-44.068,-9.143
69,1435993160759,-6.066,-44.068,-9.143
70,1435993160779,-6.066,-44.068,-9.143
71,1435993160796,-6.066,-44.068,-9.143
72,1435993160815,-5.726,-44.406,-9.143
73,1435993160836,-5.726,-44.406,-9.143
74,1435993160857,-5.726,-44.406,-8.833
75,1435993160876,-5.342,-44.406,-8.833
76,1435993160941,-5.342,-44.754,-8.833
77,1435993160942,-5.342,-44.754,-8.833
78,1435993160943,-5.342,-44.754,-8.833
79,1435993160958,-5.342,-44.754,-8.833
80,1435993160986,-5.342,-44.754,-8.833
81,1435993160997,-5.342,-44.754,-8.833
82,1435993161017,-5.342,-44.754,-8.833
83,1435993161037,-5.342,-44.754,-8.833
84,1435993161055,-5.342,-44.754,-8.833
85,1435993161080,-5.342,-44.754,-8.833
86,1435993161096,-5.342,-44.754,-8.833
87,1435993161116,-5.342,-44.754,-8.833
88,1435993161138,-5.342,-44.754,-8.833
89,1435993161154,-5.342,-44.754,-8.833
90,1435993161177,-5.342,-44.754,-8.833
91,1435993161195,-5.342,-44.754,-8.833
92,1435993161219,-5.342,-44.754,-8.833
93,1435993161242,-5.342,-44.754,-8.833
94,1435993161260,-5.342,-44.754,-8.833
95,1435993161277,-5.664,-44.754,-8.833
96,1435993161297,-5.664,-44.754,-8.833
97,1435993161315,-5.664,-44.754,-8.833
98,1435993161336,-5.664,-44.754,-8.833
99,1435993161364,-5.664,-44.754,-8.833
100,1435993161425,-5.981,-44.754,-8.833
101,1435993161426,-5.981,-44.754,-8.833
102,1435993161427,-5.981,-44.433,-8.833
103,1435993161449,-6.294,-44.433,-8.833
104,1435993161458,-6.294,-44.433,-8.833
105,1435993161475,-6.294,-44.433,-8.833
106,1435993161502,-6.741,-44.433,-8.833
107,1435993161517,-6.741,-44.433,-8.833
108,1435993161539,-7.366,-44.433,-8.833
109,1435993161556,-8.131,-44.433,-8.833
110,1435993161576,-9.027,-44.433,-8.833
111,1435993161597,-9.524,-44.433,-8.833
112,1435993161619,-10.296,-44.433,-8.833
113,1435993161635,-10.939,-44.433,-9.149
114,1435993161666,-11.543,-44.11,-9.149
115,1435993161675,-12.129,-44.11,-9.149
116,1435993161695,-12.948,-44.11,-9.149
117,1435993161716,-13.378,-44.11,-9.149
118,1435993161735,-13.378,-44.11,-9.149
119,1435993161755,-14.297,-44.11,-9.149
120,1435993161776,-14.297,-43.792,-9.48
121,1435993161796,-15.054,-43.792,-9.48
122,1435993161817,-15.054,-43.792,-9.48
123,1435993161837,-15.361,-43.792,-9.48
124,1435993161856,-15.808,-43.792,-9.48
125,1435993161905,-15.808,-43.434,-9.48
126,1435993161906,-16.999,-43.434,-9.48
127,1435993161918,-17.472,-43.434,-9.48
128,1435993161939,-17.472,-43.09,-9.48
129,1435993161957,-17.472,-43.09,-9.799
130,1435993161977,-17.472,-43.09,-9.799
131,1435993161995,-17.472,-42.703,-9.799
132,1435993162018,-17.472,-42.703,-9.799
133,1435993162035,-17.472,-42.703,-9.799
134,1435993162057,-17.472,-42.399,-9.799
135,1435993162077,-17.472,-42.399,-9.799
136,1435993162095,-17.021,-42.399,-9.799
