id,attr_time,attr_lat,attr_lng
1,1436800489000,49.45007641,8.89791226
2,1436800499000,49.45005087,8.89782554
3,1436800509000,49.45005896,8.89780626
4,1436800519000,49.45003776,8.8977815
5,1436800529000,49.4500439,8.89778685
6,1436800541000,49.45004184,8.89778813
7,1436800549000,49.45004416,8.89777688
8,1436800559000,49.4500412,8.89777548
9,1436800570000,49.45004118,8.89777729
10,1436800580000,49.45005486,8.89778644
11,1436800591000,49.45005338,8.89778973
12,1436800600000,49.4500533,8.89779039
13,1436800611000,49.45006139,8.89780646
14,1436800622000,49.45008105,8.89781551
15,1436800632000,49.45010249,8.89782762
16,1436800642000,49.45012794,8.8978417
17,1436800652000,49.45012294,8.89785353
18,1436800663000,49.45012416,8.89785682
19,1436800673000,49.45013049,8.89786027
20,1436800683000,49.4501346,8.89786228
21,1436800693000,49.45015418,8.89787075
22,1436800703000,49.45015397,8.89787007
23,1436800713000,49.45015244,8.89786627
24,1436800724000,49.45016167,8.89787154
25,1436800733000,49.45016647,8.89787218
26,1436800744000,49.45016969,8.89787133
27,1436800756000,49.45016977,8.89787087
28,1436800765000,49.45017562,8.89787909
29,1436800774000,49.45018558,8.89787981
30,1436800785000,49.45019207,8.89788268
31,1436800795000,49.45019122,8.89788317
32,1436800806000,49.45019362,8.89788923
33,1436800816000,49.45019878,8.89789587
34,1436800826000,49.45021271,8.89790209
35,1436800836000,49.45021298,8.89790081
36,1436800847000,49.45020979,8.89789674
37,1436800856000,49.45021033,8.89790024
38,1436800867000,49.4502146,8.89790309
39,1436800877000,49.45021683,8.89790667
40,1436800888000,49.45021706,8.89790742
41,1436800898000,49.45021868,8.89791435
42,1436800908000,49.45021746,8.89791721
43,1436800918000,49.4502143,8.89791939
44,1436800929000,49.45021902,8.89792238
45,1436800939000,49.45022412,8.89793224
46,1436800949000,49.45021941,8.89793031
47,1436800960000,49.45021855,8.89793217
48,1436800970000,49.45022412,8.89793825
49,1436800979000,49.45022673,8.89794032
50,1436800989000,49.45022623,8.89793682
51,1436801000000,49.4502297,8.89793896
52,1436801010000,49.45022924,8.89793728
53,1436801021000,49.45022888,8.89793674
54,1436801032000,49.45023429,8.89794062
55,1436801042000,49.4502366,8.89794502
56,1436801052000,49.4502406,8.8979514
57,1436801063000,49.45023962,8.89794863
58,1436801072000,49.45023806,8.89794544
59,1436801082000,49.4502402,8.89794764
60,1436801093000,49.4502405,8.89794768
61,1436801103000,49.45024187,8.89794813
62,1436801112000,49.45024153,8.89794692
63,1436801124000,49.45024433,8.89794843
