id,attr_time,attr_x,attr_y,attr_z
1,1436800486859,24.499,-40.612,-12.763
2,1436800486879,24.499,-40.612,-12.763
3,1436800486899,24.499,-40.612,-12.763
4,1436800486919,24.499,-40.612,-12.763
5,1436800486939,24.499,-40.612,-12.763
6,1436800486959,24.499,-40.612,-12.763
7,1436800486979,24.499,-40.612,-13.131
8,1436800486999,24.499,-40.612,-13.131
9,1436800487020,24.499,-40.612,-13.131
10,1436800487039,24.499,-40.612,-13.131
11,1436800487059,24.499,-40.612,-13.131
12,1436800487082,24.499,-40.612,-13.131
13,1436800487102,24.499,-40.612,-13.131
14,1436800487123,24.499,-40.612,-13.485
15,1436800487141,24.499,-40.612,-13.485
16,1436800487162,24.499,-40.612,-13.485
17,1436800487183,24.499,-40.612,-13.485
18,1436800487203,24.499,-40.612,-13.485
19,1436800487223,24.83,-40.292,-13.485
20,1436800487244,24.83,-40.292,-13.485
21,1436800487262,24.83,-40.292,-13.485
22,1436800487282,24.83,-40.292,-13.485
23,1436800487303,24.83,-40.292,-13.485
24,1436800487322,24.83,-40.292,-13.485
25,1436800487344,24.83,-40.292,-13.485
26,1436800487383,24.83,-40.292,-13.485
27,1436800487384,24.83,-40.292,-13.485
28,1436800487405,24.83,-40.292,-13.485
29,1436800487422,24.83,-40.292,-13.485
30,1436800487442,24.83,-40.292,-13.485
31,1436800487462,24.83,-40.292,-13.485
32,1436800487481,24.83,-40.292,-13.485
33,1436800487502,24.83,-40.292,-13.485
34,1436800487522,24.83,-40.292,-13.485
35,1436800487544,24.83,-40.292,-13.485
36,1436800487563,24.83,-40.292,-13.485
37,1436800487582,24.83,-40.292,-13.485
38,1436800487601,24.83,-40.292,-13.485
39,1436800487624,24.83,-40.292,-13.485
40,1436800487644,24.83,-40.292,-13.485
41,1436800487664,24.83,-40.292,-13.485
42,1436800487684,24.83,-40.292,-13.485
43,1436800487703,24.83,-40.292,-13.485
44,1436800487722,24.83,-40.292,-13.485
45,1436800487742,24.83,-40.292,-13.485
46,1436800487764,24.83,-40.292,-13.485
47,1436800487785,24.83,-40.292,-13.485
48,1436800487805,24.83,-40.292,-13.485
49,1436800487826,24.83,-40.292,-13.485
50,1436800487844,24.83,-40.292,-13.485
51,1436800487866,24.83,-40.292,-13.485
52,1436800487884,24.83,-40.292,-13.485
53,1436800487906,24.83,-40.292,-13.485
54,1436800487924,24.83,-40.292,-13.485
55,1436800487943,24.83,-40.292,-13.485
56,1436800487962,24.83,-40.292,-13.485
57,1436800487984,24.83,-40.292,-13.485
58,1436800488017,24.83,-40.292,-13.485
59,1436800488105,24.83,-40.292,-13.485
60,1436800488116,24.83,-40.292,-13.485
61,1436800488117,24.83,-40.292,-13.485
62,1436800488118,24.83,-40.292,-13.485
63,1436800488119,24.83,-40.292,-13.485
64,1436800488127,24.83,-40.292,-13.485
65,1436800488146,24.83,-40.292,-13.485
66,1436800488164,24.83,-40.292,-13.18
67,1436800488197,24.83,-40.292,-13.18
68,1436800488202,24.83,-40.292,-13.18
69,1436800488223,24.83,-40.292,-13.18
70,1436800488242,24.83,-40.599,-13.18
71,1436800488262,24.83,-40.599,-13.18
72,1436800488282,24.83,-40.599,-13.18
73,1436800488306,24.83,-40.599,-13.18
74,1436800488325,24.83,-40.599,-13.18
75,1436800488344,24.83,-40.599,-13.18
76,1436800488363,24.83,-40.599,-13.18
77,1436800488383,24.83,-40.599,-13.18
78,1436800488405,24.83,-40.599,-13.18
79,1436800488428,24.83,-40.599,-13.18
80,1436800488446,24.83,-40.599,-13.18
81,1436800488469,24.83,-40.599,-13.18
82,1436800488486,24.83,-40.599,-13.18
83,1436800488504,24.83,-40.599,-13.18
84,1436800488525,24.83,-40.599,-13.18
85,1436800488546,24.83,-40.599,-13.18
86,1436800488567,24.83,-40.599,-13.18
87,1436800488586,24.83,-40.599,-13.18
88,1436800488606,24.83,-40.599,-13.18
89,1436800488626,24.83,-40.599,-13.18
90,1436800488646,24.83,-40.599,-13.18
91,1436800488667,24.83,-40.599,-13.18
92,1436800488686,24.83,-40.599,-13.18
93,1436800488707,24.83,-40.599,-13.18
94,1436800488723,24.83,-40.599,-13.18
95,1436800488797,24.83,-40.599,-13.18
96,1436800488798,24.83,-40.599,-13.18
97,1436800488799,24.83,-40.599,-13.18
98,1436800488818,24.83,-40.599,-13.18
99,1436800488827,24.83,-40.599,-13.18
100,1436800488844,24.83,-40.599,-13.18
101,1436800488868,24.83,-40.599,-13.18
102,1436800488883,24.83,-40.599,-13.18
103,1436800488903,24.83,-40.599,-13.18
104,1436800488925,24.83,-40.599,-13.18
105,1436800488943,24.83,-40.599,-13.18
106,1436800488965,24.83,-40.599,-13.18
107,1436800488984,25.154,-40.599,-13.18
108,1436800489004,25.154,-40.599,-13.18
109,1436800489024,25.154,-40.599,-13.18
110,1436800489045,25.154,-40.599,-13.18
111,1436800489067,25.154,-40.599,-13.18
112,1436800489086,25.154,-40.599,-13.18
113,1436800489106,25.154,-40.599,-13.18
114,1436800489126,25.154,-40.599,-13.18
115,1436800489147,25.154,-40.599,-13.18
116,1436800489166,25.154,-40.599,-13.18
117,1436800489185,25.154,-40.599,-13.18
118,1436800489204,25.154,-40.599,-13.18
119,1436800489223,25.154,-40.599,-13.18
120,1436800489246,25.154,-40.599,-13.18
121,1436800489266,25.154,-40.599,-13.18
122,1436800489286,25.154,-40.599,-13.18
123,1436800489305,25.154,-40.599,-13.18
124,1436800489327,25.154,-40.599,-13.18
125,1436800489346,25.154,-40.599,-13.18
126,1436800489366,25.154,-40.599,-13.18
127,1436800489384,25.154,-40.599,-13.18
128,1436800489404,25.154,-40.599,-13.18
129,1436800489425,25.154,-40.599,-13.18
130,1436800489447,25.154,-40.599,-13.18
131,1436800489467,25.154,-40.599,-13.18
132,1436800489536,24.835,-40.599,-13.18
133,1436800489537,24.835,-40.599,-13.18
134,1436800489538,24.835,-40.599,-13.18
135,1436800489558,24.835,-40.599,-13.18
136,1436800489568,24.835,-40.599,-13.18
137,1436800489585,24.835,-40.599,-13.18
138,1436800489607,24.835,-40.599,-13.18
139,1436800489624,24.835,-40.599,-13.18
140,1436800489644,24.835,-40.599,-13.18
141,1436800489668,24.835,-40.599,-13.18
142,1436800489685,24.835,-40.599,-13.18
143,1436800489706,24.835,-40.599,-13.18
144,1436800489726,24.835,-40.599,-13.18
145,1436800489744,24.835,-40.599,-13.18
146,1436800489766,24.835,-40.599,-13.18
147,1436800489784,24.835,-40.599,-13.18
148,1436800489809,24.835,-40.599,-13.18
149,1436800489827,24.835,-40.599,-13.18
150,1436800489847,24.835,-40.599,-13.18
151,1436800489867,24.835,-40.599,-13.18
152,1436800489888,24.835,-40.599,-13.18
153,1436800489907,24.835,-40.599,-13.18
154,1436800489926,24.835,-40.599,-13.18
155,1436800489944,24.835,-40.599,-13.18
156,1436800489966,24.835,-40.599,-13.18
157,1436800489987,24.835,-40.599,-13.18
158,1436800490007,24.835,-40.599,-13.18
159,1436800490029,24.835,-40.599,-13.18
160,1436800490049,24.835,-40.599,-13.18
161,1436800490071,24.835,-40.599,-13.18
162,1436800490088,24.835,-40.599,-13.18
163,1436800490106,24.835,-40.599,-13.18
164,1436800490125,24.835,-40.599,-13.18
165,1436800490144,24.835,-40.599,-13.18
166,1436800490170,24.835,-40.599,-13.18
167,1436800490190,24.835,-40.599,-13.18
168,1436800490211,24.835,-40.599,-13.18
169,1436800490226,24.835,-40.599,-13.18
170,1436800490250,24.835,-40.599,-13.18
171,1436800490307,24.835,-40.599,-13.18
172,1436800490308,24.835,-40.599,-13.18
173,1436800490309,24.835,-40.599,-13.18
174,1436800490328,24.835,-40.599,-13.18
175,1436800490346,24.835,-40.599,-13.18
176,1436800490372,24.835,-40.599,-13.18
177,1436800490387,24.835,-40.599,-13.18
178,1436800490408,24.835,-40.599,-13.18
179,1436800490429,24.835,-40.599,-13.18
180,1436800490446,24.835,-40.599,-13.18
181,1436800490465,24.835,-40.599,-13.18
182,1436800490485,24.835,-40.599,-13.18
183,1436800490507,24.835,-40.599,-13.18
184,1436800490524,24.835,-40.599,-13.18
185,1436800490547,24.835,-40.599,-12.866
186,1436800490568,24.835,-40.599,-12.866
187,1436800490587,24.835,-40.599,-12.866
188,1436800490607,24.835,-40.599,-12.866
189,1436800490629,24.835,-40.599,-12.866
190,1436800490648,24.835,-40.599,-12.866
191,1436800490667,24.835,-40.599,-12.866
192,1436800490686,24.835,-40.599,-12.866
193,1436800490705,24.835,-40.599,-12.866
194,1436800490726,24.835,-40.599,-12.866
195,1436800490746,24.835,-40.599,-12.866
196,1436800490766,24.835,-40.599,-12.866
197,1436800490788,24.835,-40.599,-12.866
198,1436800490808,24.835,-40.599,-12.866
199,1436800490827,24.835,-40.599,-12.866
200,1436800490846,24.835,-40.599,-12.866
201,1436800490865,24.835,-40.599,-12.866
202,1436800490887,24.835,-40.599,-12.866
203,1436800490908,24.835,-40.599,-12.866
204,1436800490928,24.835,-40.599,-12.866
205,1436800490948,24.835,-40.599,-12.866
206,1436800490967,24.835,-40.599,-12.866
207,1436800490995,24.835,-40.599,-12.866
208,1436800491051,24.835,-40.599,-12.866
209,1436800491052,24.835,-40.599,-12.866
210,1436800491053,24.835,-40.599,-12.866
211,1436800491076,24.835,-40.599,-13.186
212,1436800491085,24.835,-40.599,-13.186
213,1436800491114,24.835,-40.599,-13.186
214,1436800491128,24.835,-40.599,-13.186
215,1436800491149,24.835,-40.599,-13.186
216,1436800491168,24.835,-40.599,-13.186
217,1436800491187,24.835,-40.599,-13.186
218,1436800491206,24.835,-40.599,-13.186
219,1436800491225,24.835,-40.599,-13.186
220,1436800491248,24.835,-40.599,-13.186
221,1436800491266,24.835,-40.599,-13.186
222,1436800491288,24.835,-40.599,-13.186
223,1436800491308,24.835,-40.599,-13.186
224,1436800491328,24.835,-40.599,-13.186
225,1436800491350,24.835,-40.599,-13.186
226,1436800491369,24.835,-40.599,-13.186
227,1436800491388,24.835,-40.599,-13.186
228,1436800491407,24.835,-40.599,-13.186
229,1436800491425,24.835,-40.599,-13.186
230,1436800491446,24.835,-40.599,-13.186
231,1436800491468,24.835,-40.599,-13.186
232,1436800491485,24.835,-40.914,-13.186
233,1436800491507,24.835,-40.914,-13.186
234,1436800491526,24.835,-40.914,-13.186
235,1436800491547,24.835,-40.914,-13.186
236,1436800491608,24.835,-40.914,-13.186
237,1436800491609,24.835,-40.914,-13.186
238,1436800491610,24.835,-40.914,-13.186
239,1436800491626,24.835,-40.914,-13.186
240,1436800491646,24.835,-40.914,-13.186
241,1436800491667,24.835,-40.914,-13.186
242,1436800491686,24.835,-40.914,-13.186
243,1436800491712,24.835,-40.914,-13.186
244,1436800491753,24.835,-40.914,-13.186
245,1436800491754,24.835,-40.914,-13.186
246,1436800491771,24.835,-40.914,-13.186
247,1436800491790,24.835,-40.914,-13.186
248,1436800491807,24.835,-40.914,-13.186
249,1436800491826,24.835,-40.914,-13.186
250,1436800491847,24.835,-40.914,-13.186
251,1436800491868,24.835,-40.914,-13.186
252,1436800491886,24.835,-40.914,-13.186
253,1436800491909,24.835,-40.914,-13.186
254,1436800491928,24.835,-40.914,-13.186
255,1436800491953,24.835,-40.914,-13.186
256,1436800491972,24.835,-40.914,-13.186
257,1436800491986,24.835,-40.914,-13.186
258,1436800492007,24.835,-40.914,-13.186
259,1436800492026,24.835,-40.914,-13.186
260,1436800492046,24.835,-40.914,-13.186
261,1436800492068,24.835,-40.914,-13.186
262,1436800492086,24.835,-40.914,-13.186
263,1436800492106,24.835,-40.914,-13.186
264,1436800492128,24.835,-40.914,-13.186
265,1436800492146,24.835,-40.914,-13.186
266,1436800492166,24.835,-40.914,-13.186
267,1436800492186,24.835,-40.914,-13.186
268,1436800492210,24.835,-40.914,-13.186
269,1436800492229,24.835,-40.914,-13.186
270,1436800492249,24.835,-40.914,-13.186
271,1436800492267,24.835,-40.914,-12.858
272,1436800492286,24.835,-40.914,-12.858
273,1436800492305,24.835,-40.914,-12.858
274,1436800492325,24.835,-40.914,-12.858
275,1436800492345,24.835,-40.914,-12.858
276,1436800492367,24.835,-40.914,-12.858
277,1436800492389,24.835,-40.914,-12.858
278,1436800492410,24.835,-40.914,-12.858
279,1436800492427,24.835,-40.914,-12.858
280,1436800492458,24.835,-40.914,-12.858
281,1436800492467,24.835,-40.914,-12.858
282,1436800492485,24.835,-40.914,-12.858
283,1436800492505,24.835,-40.914,-12.858
284,1436800492527,24.835,-40.914,-12.858
285,1436800492549,24.835,-40.914,-12.858
286,1436800492567,24.835,-40.914,-12.858
287,1436800492587,24.835,-40.914,-12.858
288,1436800492605,24.835,-40.914,-12.858
289,1436800492627,24.835,-40.914,-12.858
290,1436800492647,24.835,-40.914,-12.858
291,1436800492667,24.835,-40.914,-12.858
292,1436800492687,24.835,-40.914,-12.858
293,1436800492710,24.835,-40.914,-12.858
294,1436800492730,24.835,-40.914,-12.858
295,1436800492749,24.835,-40.914,-12.858
296,1436800492767,24.835,-40.914,-12.858
297,1436800492786,24.835,-40.914,-12.858
298,1436800492808,24.835,-40.914,-12.858
299,1436800492830,24.835,-40.914,-12.858
300,1436800492846,24.835,-40.914,-12.858
301,1436800492866,24.835,-40.914,-12.858
302,1436800492887,24.835,-40.914,-12.858
303,1436800492908,24.835,-40.914,-12.858
304,1436800492926,24.835,-40.914,-12.858
305,1436800492947,24.835,-40.914,-12.858
306,1436800492968,24.835,-40.914,-12.858
307,1436800492988,24.835,-40.914,-12.858
308,1436800493006,24.835,-40.914,-12.858
309,1436800493026,24.835,-40.914,-12.858
310,1436800493048,24.835,-40.914,-12.858
311,1436800493094,24.835,-40.914,-12.858
312,1436800493095,24.835,-40.914,-12.858
313,1436800493109,24.835,-40.914,-12.858
314,1436800493130,24.835,-40.914,-12.858
315,1436800493157,24.835,-40.914,-12.858
316,1436800493169,24.835,-40.914,-12.858
317,1436800493188,24.835,-40.914,-12.858
318,1436800493208,24.835,-40.914,-12.858
319,1436800493227,24.835,-40.914,-12.858
320,1436800493261,24.835,-40.914,-12.858
321,1436800493269,24.835,-40.914,-12.858
322,1436800493294,24.835,-40.914,-12.858
323,1436800493308,24.835,-40.914,-12.858
324,1436800493328,24.835,-40.914,-12.858
325,1436800493347,24.835,-40.914,-12.858
326,1436800493368,24.835,-40.914,-12.858
327,1436800493389,24.835,-40.914,-12.858
328,1436800493439,24.835,-40.914,-12.858
329,1436800493440,24.835,-40.914,-12.858
330,1436800493449,24.835,-40.914,-12.858
331,1436800493470,24.835,-40.914,-12.858
332,1436800493491,24.835,-40.914,-12.858
333,1436800493512,24.835,-40.914,-12.858
334,1436800493528,24.835,-40.914,-12.858
335,1436800493547,24.835,-40.914,-12.858
336,1436800493570,24.835,-40.914,-12.858
337,1436800493589,24.835,-40.914,-12.858
338,1436800493609,24.835,-40.914,-12.858
339,1436800493629,24.835,-40.914,-12.858
340,1436800493648,24.835,-40.914,-12.858
341,1436800493667,24.835,-40.914,-12.858
342,1436800493688,24.835,-40.914,-12.858
343,1436800493708,24.835,-40.914,-12.858
344,1436800493728,24.835,-40.914,-12.858
345,1436800493748,24.835,-40.914,-12.858
346,1436800493882,24.835,-40.914,-12.858
347,1436800493883,24.835,-40.914,-12.858
348,1436800493884,24.835,-40.914,-12.858
349,1436800493885,24.835,-40.914,-12.858
350,1436800493886,24.835,-40.914,-12.858
351,1436800493896,24.835,-40.914,-12.858
352,1436800493897,24.835,-40.914,-13.163
353,1436800493917,24.835,-40.914,-13.163
354,1436800493928,24.835,-40.914,-13.163
355,1436800493962,24.835,-40.914,-13.163
356,1436800493969,24.835,-40.914,-13.163
357,1436800493989,24.835,-40.914,-13.163
358,1436800494012,24.835,-40.914,-13.163
359,1436800494028,24.835,-40.914,-13.163
360,1436800494052,24.835,-40.914,-13.163
361,1436800494068,24.835,-40.914,-13.163
362,1436800494092,24.835,-40.914,-13.163
363,1436800494111,24.835,-40.914,-13.163
364,1436800494132,24.835,-40.914,-13.163
365,1436800494149,24.835,-40.914,-13.163
366,1436800494171,24.835,-40.914,-13.163
367,1436800494190,24.835,-40.914,-13.163
368,1436800494211,24.835,-40.914,-13.163
369,1436800494240,24.835,-40.914,-13.163
370,1436800494250,24.835,-40.914,-13.163
371,1436800494270,24.835,-40.914,-13.467
372,1436800494288,24.835,-40.914,-13.467
373,1436800494309,24.835,-40.914,-13.467
374,1436800494330,24.835,-40.914,-13.467
375,1436800494352,24.835,-40.914,-13.467
376,1436800494372,24.835,-40.914,-13.467
377,1436800494393,24.835,-40.914,-13.467
378,1436800494412,24.835,-40.914,-13.467
379,1436800494432,24.835,-40.914,-13.467
380,1436800494449,24.835,-40.914,-13.467
381,1436800494470,24.835,-40.914,-13.467
382,1436800494488,24.835,-40.914,-13.467
383,1436800494557,24.835,-40.914,-13.467
384,1436800494558,24.835,-40.914,-13.467
385,1436800494559,24.835,-40.914,-13.467
386,1436800494580,24.835,-40.914,-13.467
387,1436800494588,24.835,-40.914,-13.467
388,1436800494609,24.835,-40.914,-13.467
389,1436800494630,24.835,-40.914,-13.163
390,1436800494648,24.835,-40.914,-13.163
391,1436800494675,24.835,-40.914,-13.163
392,1436800494690,24.835,-40.914,-13.163
393,1436800494710,24.835,-40.914,-13.163
394,1436800494730,24.835,-40.914,-13.163
395,1436800494749,24.835,-40.914,-13.163
396,1436800494770,24.835,-40.914,-13.163
397,1436800494791,24.835,-40.914,-13.163
398,1436800494811,24.835,-40.914,-13.163
399,1436800494833,24.835,-40.914,-13.163
400,1436800494852,24.835,-40.914,-13.163
401,1436800494871,24.835,-40.914,-13.163
402,1436800494891,24.835,-40.914,-13.163
403,1436800494909,24.835,-40.914,-13.163
404,1436800494929,24.835,-40.914,-13.163
405,1436800494949,24.835,-40.914,-13.163
406,1436800494971,24.835,-40.914,-13.163
407,1436800494990,24.835,-40.914,-13.163
408,1436800495011,24.835,-40.914,-13.163
409,1436800495029,24.835,-40.914,-13.163
410,1436800495049,24.835,-40.914,-13.163
411,1436800495069,24.835,-40.914,-12.846
412,1436800495093,24.835,-40.914,-12.846
413,1436800495110,24.835,-40.914,-12.846
414,1436800495137,24.835,-40.914,-12.846
415,1436800495149,24.835,-40.914,-12.846
416,1436800495173,24.835,-40.914,-12.846
417,1436800495193,24.835,-40.914,-12.846
418,1436800495214,24.835,-40.914,-12.846
419,1436800495241,24.835,-40.914,-12.846
420,1436800495320,24.835,-40.914,-12.846
421,1436800495321,24.835,-40.914,-12.846
422,1436800495322,24.835,-40.914,-12.846
423,1436800495323,24.835,-40.914,-12.846
424,1436800495331,24.835,-40.914,-12.846
425,1436800495350,24.835,-40.914,-12.846
426,1436800495371,24.835,-40.914,-12.846
427,1436800495389,24.835,-40.914,-12.846
428,1436800495409,24.835,-40.914,-12.846
429,1436800495430,24.835,-40.914,-12.846
430,1436800495450,24.835,-40.914,-12.846
431,1436800495469,24.835,-40.914,-12.846
432,1436800495492,24.835,-40.914,-12.846
433,1436800495511,24.835,-40.914,-12.846
434,1436800495531,24.835,-40.914,-12.846
435,1436800495552,24.835,-40.914,-12.846
436,1436800495570,24.835,-40.914,-12.846
437,1436800495590,24.835,-40.914,-12.846
438,1436800495609,24.835,-40.914,-12.846
439,1436800495631,24.835,-40.914,-12.846
440,1436800495651,24.835,-40.914,-12.846
441,1436800495671,24.835,-40.914,-12.471
442,1436800495691,24.835,-40.914,-12.471
443,1436800495717,24.835,-40.914,-12.471
444,1436800495731,24.835,-40.914,-12.142
445,1436800495752,25.181,-40.914,-12.142
446,1436800495771,25.181,-40.914,-11.511
447,1436800495791,25.181,-40.914,-10.478
448,1436800496080,25.181,-40.914,-9.539
449,1436800496081,25.527,-40.914,-8.84
450,1436800496082,25.527,-40.914,-8.395
451,1436800496083,25.527,-40.914,-7.862
452,1436800496084,25.83,-40.914,-6.854
453,1436800496085,25.83,-40.914,-6.854
454,1436800496086,25.83,-40.914,-6.1
455,1436800496087,26.179,-40.914,-5.633
456,1436800496088,26.179,-40.914,-5.633
457,1436800496089,26.179,-40.914,-5.023
458,1436800496106,26.515,-40.914,-4.344
459,1436800496109,26.515,-40.914,-4.344
460,1436800496110,26.821,-40.914,-3.486
461,1436800496111,26.821,-40.914,-3.486
462,1436800496112,27.131,-40.914,-3.828
463,1436800496113,27.131,-40.914,-2.534
464,1436800496132,27.455,-40.914,-2.847
465,1436800496189,27.455,-40.914,-2.847
466,1436800496190,27.455,-40.914,-2.847
467,1436800496191,27.818,-40.914,-2.485
468,1436800496218,27.818,-40.914,-3.607
469,1436800496231,27.818,-40.914,-2.706
470,1436800496256,27.818,-40.914,-3.392
471,1436800496270,27.818,-40.914,-3.392
472,1436800496291,27.818,-40.914,-3.392
473,1436800496310,27.818,-40.914,-3.077
474,1436800496330,27.818,-40.914,-3.077
475,1436800496351,25.915,-40.914,-3.077
476,1436800496371,24.519,-41.256,-3.077
477,1436800496391,23.289,-41.256,-3.077
478,1436800496411,22.102,-42.036,-3.077
479,1436800496434,20.886,-42.819,-3.077
480,1436800496453,19.924,-43.434,-3.077
481,1436800496473,19.11,-43.75,-3.077
482,1436800496491,18.769,-44.23,-3.077
483,1436800496511,17.921,-44.65,-3.077
484,1436800496532,17.921,-44.65,-3.422
485,1436800496553,16.931,-45.025,-3.422
486,1436800496573,16.931,-45.848,-3.422
487,1436800496591,16.471,-45.251,-3.739
488,1436800496611,15.859,-45.614,-3.739
489,1436800496630,15.859,-45.614,-3.739
490,1436800496651,15.257,-45.614,-4.067
491,1436800496671,15.257,-45.614,-4.067
492,1436800496693,14.877,-45.614,-4.067
