id,attr_time,attr_lat,attr_lng
1,1436798097000,49.44988295,8.89824452
2,1436798107000,49.44988247,8.89824401
3,1436798118000,49.44988925,8.89824388
4,1436798129000,49.44989119,8.89824397
5,1436798140000,49.44990123,8.89824481
6,1436798148000,49.44989939,8.89824461
7,1436798158000,49.44990055,8.89824562
8,1436798169000,49.44990325,8.89824599
9,1436798180000,49.44991538,8.89824551
10,1436798190000,49.4499173,8.89824666
11,1436798200000,49.44992305,8.89824773
12,1436798210000,49.44993052,8.89824889
13,1436798221000,49.44993908,8.89824951
14,1436798231000,49.44993971,8.89825057
15,1436798241000,49.44994289,8.89825125
16,1436798251000,49.44994636,8.89825007
17,1436798263000,49.44994374,8.89824735
18,1436798273000,49.44994829,8.89824661
19,1436798282000,49.44994953,8.89824654
20,1436798293000,49.4499551,8.89824779
21,1436798303000,49.4499554,8.89824839
22,1436798313000,49.44996303,8.89825017
23,1436798323000,49.44996639,8.89825074
24,1436798333000,49.44996564,8.89824911
25,1436798344000,49.4499688,8.89824833
26,1436798354000,49.44997579,8.89824933
27,1436798365000,49.44997789,8.89825153
28,1436798375000,49.44997847,8.89825223
29,1436798386000,49.44998139,8.89825459
30,1436798396000,49.44998392,8.89825603
31,1436798405000,49.449988,8.89825711
32,1436798415000,49.44999003,8.89825816
33,1436798426000,49.44999388,8.89825985
34,1436798436000,49.44999319,8.89825815
35,1436798446000,49.4499964,8.89825898
36,1436798456000,49.44999753,8.89825715
37,1436798467000,49.45000095,8.89825567
38,1436798477000,49.45,8.8982539
39,1436798497000,49.45000866,8.89825439
40,1436798507000,49.4500073,8.89825348
41,1436798527000,49.45000306,8.89825456
42,1436798537000,49.45000403,8.89825452
43,1436798548000,49.45000595,8.89825373
44,1436798558000,49.45000561,8.89825426
45,1436798568000,49.45000541,8.89825433
46,1436798579000,49.4500056,8.8982551
47,1436798589000,49.45000529,8.89825331
48,1436798599000,49.45000617,8.89825201
49,1436798610000,49.45000907,8.89825201
50,1436798620000,49.45001251,8.89825039
51,1436798630000,49.45001527,8.89824895
52,1436798640000,49.45001399,8.89824821
53,1436798651000,49.45001283,8.8982491
54,1436798661000,49.45001404,8.89825297
55,1436798670000,49.45001762,8.89825288
56,1436798680000,49.45002375,8.89825267
57,1436798691000,49.45002674,8.89825404
58,1436798701000,49.45003405,8.8982557
59,1436798712000,49.45003669,8.89825718
60,1436798722000,49.45003843,8.89825617
61,1436798732000,49.4500414,8.89825747
62,1436798742000,49.45004341,8.89825773
