id,attr_time,attr_x,attr_y,attr_z
1,1436798088027,-11.732,-48.182,-1.383
2,1436798088047,-11.732,-47.882,-1.383
3,1436798088067,-11.732,-47.882,-1.383
4,1436798088087,-11.732,-47.882,-1.383
5,1436798088107,-11.732,-47.882,-1.383
6,1436798088127,-11.732,-47.882,-1.383
7,1436798088147,-11.732,-47.882,-1.383
8,1436798088167,-11.732,-47.882,-1.383
9,1436798088187,-11.732,-47.882,-1.383
10,1436798088207,-11.732,-47.882,-1.383
11,1436798088227,-11.732,-47.882,-1.383
12,1436798088247,-11.732,-47.882,-1.383
13,1436798088267,-11.732,-47.882,-1.383
14,1436798088287,-11.732,-47.882,-1.383
15,1436798088307,-11.732,-47.882,-1.383
16,1436798088327,-11.732,-47.882,-1.383
17,1436798088347,-11.732,-47.882,-1.383
18,1436798088367,-11.732,-47.882,-1.383
19,1436798088387,-11.732,-47.882,-1.383
20,1436798088407,-11.732,-47.882,-1.383
21,1436798088427,-11.732,-47.882,-1.383
22,1436798088447,-11.732,-47.882,-1.383
23,1436798088467,-11.732,-47.882,-1.383
24,1436798088487,-11.732,-47.882,-1.383
25,1436798088507,-11.732,-47.882,-1.383
26,1436798088527,-11.732,-47.882,-1.383
27,1436798088548,-11.732,-47.882,-1.383
28,1436798088567,-11.732,-47.882,-1.383
29,1436798088587,-11.732,-47.882,-1.383
30,1436798088607,-11.732,-47.882,-1.383
31,1436798088627,-11.732,-47.882,-1.383
32,1436798088647,-11.732,-47.882,-1.077
33,1436798088667,-11.732,-47.882,-1.077
34,1436798088687,-11.732,-47.882,-1.077
35,1436798088707,-11.732,-47.882,-1.077
36,1436798088727,-11.732,-47.882,-1.077
37,1436798088747,-11.732,-47.882,-1.077
38,1436798088767,-11.732,-47.882,-1.077
39,1436798088787,-11.732,-47.882,-1.077
40,1436798088807,-11.732,-47.882,-1.077
41,1436798088827,-11.732,-47.882,-1.077
42,1436798088847,-11.732,-47.882,-1.077
43,1436798088867,-11.732,-47.882,-1.077
44,1436798088887,-11.732,-47.882,-1.077
45,1436798088907,-11.732,-47.882,-1.077
46,1436798088927,-11.732,-47.882,-1.077
47,1436798088947,-11.732,-47.882,-1.077
48,1436798088967,-11.732,-47.882,-1.077
49,1436798088987,-11.732,-47.882,-1.077
50,1436798089008,-11.732,-47.882,-1.077
51,1436798089028,-11.732,-47.882,-1.077
52,1436798089048,-11.732,-47.882,-1.077
53,1436798089068,-11.732,-47.882,-1.077
54,1436798089088,-11.732,-47.882,-1.077
55,1436798089108,-11.732,-47.882,-1.077
56,1436798089128,-11.732,-47.882,-1.077
57,1436798089148,-11.732,-47.882,-1.077
58,1436798089168,-11.732,-47.882,-1.077
59,1436798089188,-11.732,-47.882,-1.077
60,1436798089208,-11.732,-47.882,-1.077
61,1436798089228,-11.732,-47.882,-1.077
62,1436798089248,-11.732,-47.882,-1.077
63,1436798089268,-11.732,-47.882,-1.077
64,1436798089288,-11.732,-47.882,-1.077
65,1436798089308,-11.732,-47.882,-1.077
66,1436798089328,-11.732,-47.882,-1.077
67,1436798089348,-11.732,-47.882,-1.077
68,1436798089368,-11.732,-47.882,-1.077
69,1436798089388,-11.732,-47.882,-1.077
70,1436798089408,-11.732,-47.882,-1.077
71,1436798089428,-11.732,-47.882,-1.077
72,1436798089448,-11.732,-47.882,-1.077
73,1436798089468,-11.732,-47.882,-1.077
74,1436798089488,-11.732,-47.882,-1.077
75,1436798089508,-11.732,-47.882,-1.077
76,1436798089528,-11.732,-47.882,-1.077
77,1436798089548,-11.732,-47.882,-1.077
78,1436798089568,-11.732,-47.882,-1.077
79,1436798089588,-11.732,-47.882,-1.077
80,1436798089609,-11.732,-47.882,-1.077
81,1436798089631,-11.732,-47.882,-1.077
82,1436798089650,-11.732,-47.882,-1.077
83,1436798089668,-11.732,-47.882,-1.077
84,1436798089688,-11.732,-47.882,-1.077
85,1436798089708,-11.732,-47.882,-1.077
86,1436798089728,-11.732,-47.882,-1.077
87,1436798089748,-11.732,-47.882,-1.077
88,1436798089768,-11.732,-47.882,-1.077
