id,attr_time,attr_lat,attr_lng
1,1436796650000,49.44985315,8.89830117
2,1436796661000,49.44985699,8.89828877
3,1436796668000,49.44985717,8.89828671
4,1436796681000,49.44986788,8.89825815
5,1436796687000,49.44987027,8.89825109
6,1436796701000,49.45009475,8.89836611
7,1436796710000,49.45006533,8.89847979
8,1436796721000,49.44999259,8.89863332
9,1436796730000,49.45000756,8.89883956
10,1436796741000,49.45001968,8.89904192
11,1436796751000,49.45011035,8.89916801
12,1436796762000,49.45025036,8.89935017
13,1436796772000,49.45033615,8.89942665
14,1436796783000,49.45043908,8.89943299
15,1436796792000,49.45045203,8.89952445
16,1436796802000,49.45072643,8.89958167
17,1436796812000,49.45081339,8.89966795
18,1436796822000,49.45091955,8.89969026
19,1436796834000,49.45122963,8.89933195
20,1436796843000,49.45126002,8.89937709
21,1436796864000,49.45132475,8.89975767
22,1436796884000,49.45141264,8.9002851
23,1436796904000,49.45169495,8.90044432
24,1436796915000,49.45181579,8.9005065
25,1436796926000,49.45187781,8.9006467
26,1436796935000,49.45188725,8.9007818
27,1436796945000,49.4522799,8.90086429
28,1436796956000,49.45233745,8.90101909
29,1436796966000,49.45235876,8.90114228
30,1436796976000,49.45241254,8.90118621
31,1436796987000,49.45247403,8.90114799
32,1436796996000,49.45239147,8.90119416
33,1436797007000,49.45222898,8.90121888
34,1436797017000,49.45217373,8.90113268
35,1436797027000,49.45211457,8.90114098
36,1436797037000,49.45203947,8.90103952
37,1436797048000,49.45191044,8.90084906
38,1436797059000,49.45181143,8.90066703
39,1436797068000,49.45167151,8.90055502
40,1436797081000,49.45157228,8.90043195
41,1436797089000,49.45148541,8.90037976
42,1436797099000,49.45144806,8.90017305
43,1436797110000,49.45131307,8.9001139
44,1436797121000,49.45115862,8.90015481
45,1436797131000,49.45096843,8.90013442
46,1436797141000,49.45079911,8.90003153
47,1436797151000,49.45076331,8.89989999
48,1436797160000,49.45070323,8.89984745
49,1436797172000,49.45062362,8.89966668
50,1436797182000,49.45057913,8.89949327
51,1436797193000,49.45060643,8.8992831
52,1436797202000,49.4506086,8.89908745
53,1436797213000,49.45063681,8.8988703
54,1436797222000,49.45034777,8.89894272
55,1436797233000,49.4503027,8.89899639
56,1436797243000,49.45031546,8.8989501
57,1436797253000,49.45032817,8.89891996
58,1436797264000,49.4503596,8.8988854
