id,attr_time,attr_lat,attr_lng
1,1437992090508,49.4473501,8.8963105
2,1437992110703,49.4473501,8.89631
3,1437992130679,49.4473504,8.896307
4,1437992150858,49.4473517,8.896315
5,1437992170979,49.4473477,8.8963136
6,1437992190952,49.4473508,8.8963148
7,1437992211088,49.4473504,8.896307
8,1437992231433,49.4473503,8.8963073
9,1437992251510,49.4473517,8.896315
10,1437992271470,49.4473454,8.8963113
11,1437992291831,49.4473518,8.8963174
12,1437992311699,49.4473508,8.8963148
13,1437992331972,49.4473513,8.8963126
14,1437992352362,49.4473508,8.8963148
15,1437992372196,49.4473513,8.896313
16,1437992392318,49.4473517,8.896315
17,1437992413896,49.4473455,8.896311
18,1437992433950,49.4473501,8.8963105
19,1437992454365,49.4473517,8.8963112
20,1437992474772,49.4473517,8.8963055
21,1437992494928,49.447349,8.8963118
22,1437992515343,49.4473517,8.896315
23,1437992535529,49.4473513,8.8963126
24,1437992555524,49.4473454,8.8963113
25,1437992575844,49.4473496,8.8963109
26,1437992595926,49.4473508,8.8963148
27,1437992616025,49.4473504,8.896316
28,1437992636183,49.4473497,8.8963095
29,1437992656932,49.4473501,8.8963101
30,1437992676920,49.4473497,8.8963095
31,1437992697046,49.4473517,8.89632
