id,attr_time,attr_x,attr_y,attr_z
1,1437992082025,-2.142,-39.785,27.058
2,1437992082026,-2.142,-39.785,27.058
3,1437992082042,-2.142,-39.785,27.058
4,1437992082043,-2.142,-39.785,27.058
5,1437992082044,-2.142,-39.785,27.058
6,1437992082045,-2.142,-39.785,27.058
7,1437992082053,-2.142,-39.785,27.058
8,1437992082074,-2.142,-39.785,27.058
9,1437992082093,-2.142,-39.785,27.058
10,1437992082116,-2.142,-39.785,27.058
11,1437992082133,-2.142,-39.785,27.058
12,1437992082153,-2.142,-39.785,27.058
13,1437992082176,-2.142,-39.785,27.058
14,1437992082193,-2.142,-39.785,27.058
15,1437992082213,-2.142,-39.785,27.058
16,1437992082233,-2.142,-39.785,27.058
17,1437992082254,-2.142,-39.785,27.058
18,1437992082275,-2.142,-39.785,27.058
19,1437992082297,-2.142,-39.785,27.058
20,1437992082315,-2.142,-39.785,27.058
21,1437992082335,-2.142,-39.785,27.058
22,1437992082357,-2.142,-39.785,27.058
23,1437992082376,-2.142,-39.785,27.058
24,1437992082395,-2.142,-39.785,27.058
25,1437992082414,-2.142,-39.785,27.058
26,1437992082437,-2.142,-39.785,27.058
27,1437992082454,-2.142,-39.785,27.058
28,1437992082474,-2.142,-39.785,27.058
29,1437992082494,-2.142,-39.785,27.058
30,1437992082516,-2.142,-39.785,27.058
31,1437992082540,-2.142,-39.785,27.058
32,1437992082555,-2.142,-39.785,27.058
33,1437992082577,-2.142,-39.785,27.058
34,1437992082594,-2.142,-39.785,27.058
35,1437992082614,-2.142,-39.785,27.058
36,1437992082634,-2.142,-39.785,27.058
37,1437992082656,-2.142,-39.785,27.058
38,1437992082675,-2.142,-39.785,27.058
39,1437992082741,-2.142,-39.785,27.058
40,1437992082742,-2.142,-39.785,27.058
41,1437992082743,-2.142,-39.785,27.058
42,1437992082754,-2.142,-39.785,27.058
43,1437992082781,-2.142,-39.785,27.058
44,1437992082796,-2.142,-39.785,27.058
45,1437992082814,-2.142,-39.785,27.058
46,1437992082838,-2.142,-39.785,27.058
47,1437992082854,-2.142,-39.785,27.058
48,1437992082878,-2.142,-39.785,27.058
49,1437992082898,-2.142,-39.785,27.058
50,1437992082915,-2.142,-39.785,27.058
51,1437992082938,-2.142,-39.785,27.058
52,1437992082958,-2.142,-39.785,27.058
53,1437992082977,-2.142,-39.785,27.058
54,1437992083004,-2.142,-39.785,27.058
55,1437992083016,-2.142,-39.785,27.058
56,1437992083037,-2.142,-39.785,27.058
57,1437992083058,-2.142,-39.785,27.058
58,1437992083077,-2.142,-39.785,27.058
59,1437992083098,-2.142,-39.785,27.058
60,1437992083114,-2.142,-39.785,27.058
61,1437992083137,-2.142,-39.785,27.058
62,1437992083159,-2.142,-39.785,27.058
63,1437992083179,-2.142,-39.785,27.058
64,1437992083200,-2.142,-39.785,27.058
65,1437992083229,-2.142,-39.785,27.058
66,1437992083237,-2.142,-39.785,27.058
67,1437992083254,-2.142,-39.785,27.058
68,1437992083274,-2.142,-39.785,27.058
69,1437992083295,-2.142,-39.785,27.058
70,1437992083316,-2.142,-39.785,27.058
71,1437992083341,-2.142,-39.785,27.058
72,1437992083356,-2.142,-39.785,27.058
73,1437992083376,-2.142,-39.785,27.058
74,1437992083405,-2.142,-39.785,27.058
75,1437992083486,-2.142,-39.785,27.058
76,1437992083487,-2.142,-39.785,27.058
77,1437992083488,-2.142,-39.785,27.058
78,1437992083489,-2.142,-39.785,27.058
79,1437992083499,-2.142,-39.785,27.058
80,1437992083516,-2.142,-39.785,27.058
81,1437992083535,-2.142,-39.785,27.058
82,1437992083556,-2.142,-39.785,27.058
83,1437992083578,-2.142,-39.785,27.058
84,1437992083596,-2.142,-39.785,27.058
85,1437992083616,-2.142,-39.785,27.058
86,1437992083636,-2.142,-39.785,27.058
87,1437992083658,-2.142,-39.785,27.058
88,1437992083675,-2.142,-39.785,27.058
89,1437992083698,-2.142,-39.785,27.058
90,1437992083719,-2.142,-39.785,27.058
91,1437992083738,-2.142,-39.785,27.058
92,1437992083758,-2.142,-39.785,27.058
93,1437992083779,-2.142,-39.785,27.058
94,1437992083798,-2.142,-39.785,27.058
95,1437992083818,-2.142,-39.785,27.058
96,1437992083839,-2.142,-39.785,27.058
97,1437992083857,-2.142,-39.785,27.058
98,1437992083878,-2.142,-39.785,27.058
99,1437992083899,-2.142,-39.785,27.058
100,1437992083916,-2.142,-39.785,27.058
101,1437992083938,-2.142,-39.785,27.058
102,1437992083958,-2.142,-39.785,27.058
103,1437992083976,-2.142,-39.785,27.058
104,1437992084000,-2.142,-39.785,27.058
105,1437992084016,-2.142,-39.785,27.058
106,1437992084038,-2.142,-39.785,27.058
107,1437992084056,-2.142,-39.785,27.058
108,1437992084075,-2.142,-39.785,27.058
109,1437992084100,-2.142,-39.785,27.058
110,1437992084115,-2.142,-39.785,27.058
111,1437992084189,-2.142,-39.785,27.058
112,1437992084190,-2.142,-39.785,27.058
113,1437992084191,-2.142,-39.785,27.058
114,1437992084200,-2.142,-39.785,27.365
115,1437992084217,-2.142,-39.785,27.365
116,1437992084269,-2.142,-39.785,27.365
117,1437992084270,-2.142,-39.785,27.365
118,1437992084280,-2.142,-39.785,27.365
119,1437992084299,-2.142,-39.785,27.365
120,1437992084322,-2.142,-39.785,27.365
121,1437992084336,-2.142,-39.785,27.365
122,1437992084357,-2.142,-39.785,27.365
123,1437992084381,-2.142,-39.785,27.365
124,1437992084399,-2.142,-39.785,27.365
125,1437992084419,-2.142,-39.785,27.365
126,1437992084440,-2.142,-39.785,27.365
127,1437992084459,-2.142,-39.785,27.365
128,1437992084478,-2.142,-39.785,27.365
129,1437992084499,-2.142,-39.785,27.365
130,1437992084519,-2.142,-39.785,27.365
131,1437992084540,-2.142,-39.785,27.365
132,1437992084556,-2.142,-39.785,27.365
133,1437992084579,-2.142,-39.785,27.365
134,1437992084599,-2.142,-39.785,27.365
135,1437992084619,-2.142,-39.785,27.365
136,1437992084639,-2.142,-39.785,27.365
137,1437992084660,-2.142,-39.785,27.365
138,1437992084678,-2.142,-39.785,27.365
139,1437992084699,-2.142,-39.785,27.365
140,1437992084718,-2.142,-39.785,27.365
141,1437992084739,-2.142,-39.785,27.365
142,1437992084761,-2.142,-39.785,27.365
143,1437992084779,-2.142,-39.785,27.365
144,1437992084797,-2.142,-39.785,27.365
145,1437992084818,-2.142,-39.785,27.365
146,1437992084888,-2.142,-39.785,27.365
147,1437992084889,-2.142,-39.785,27.365
148,1437992084890,-2.142,-39.785,27.365
149,1437992084898,-2.142,-39.785,27.365
150,1437992084925,-2.142,-39.785,27.365
151,1437992084939,-2.142,-39.785,27.365
152,1437992084959,-2.142,-39.785,27.365
153,1437992084976,-2.142,-39.785,27.365
154,1437992084999,-2.142,-39.785,27.365
155,1437992085016,-2.142,-39.785,27.365
156,1437992085037,-2.444,-39.785,27.365
157,1437992085059,-2.444,-39.785,27.365
158,1437992085078,-2.444,-39.785,27.365
159,1437992085099,-2.444,-39.785,27.365
160,1437992085116,-2.444,-39.785,27.365
161,1437992085139,-2.444,-39.785,27.365
162,1437992085159,-2.444,-39.785,27.365
163,1437992085180,-2.444,-39.785,27.365
164,1437992085200,-2.444,-39.785,27.365
165,1437992085219,-2.444,-39.785,27.365
166,1437992085240,-2.444,-39.785,27.365
167,1437992085259,-2.444,-39.785,27.365
168,1437992085280,-2.444,-39.785,27.365
169,1437992085298,-2.444,-39.785,27.365
170,1437992085320,-2.444,-39.785,27.365
171,1437992085340,-2.444,-39.785,27.365
172,1437992085358,-2.444,-39.785,27.365
173,1437992085376,-2.444,-39.785,27.365
174,1437992085399,-2.444,-39.785,27.365
175,1437992085419,-2.444,-39.785,27.365
176,1437992085441,-2.444,-39.785,27.365
177,1437992085460,-2.444,-39.785,27.365
178,1437992085479,-2.444,-39.785,27.365
