id,attr_time,attr_lat,attr_lng
1,1436966167000,49.45009192,8.89788789
2,1436966177000,49.45032522,8.89772592
3,1436966188000,49.45054789,8.89778356
4,1436966197000,49.45078323,8.89772184
5,1436966208000,49.45116069,8.89769785
6,1436966218000,49.45127266,8.89773727
7,1436966228000,49.45153885,8.8977302
8,1436966239000,49.45186589,8.89754164
9,1436966249000,49.45206155,8.89746186
10,1436966259000,49.45223519,8.89746024
11,1436966269000,49.45242172,8.89748465
12,1436966279000,49.45256408,8.89738487
13,1436966289000,49.45259757,8.89739613
14,1436966301000,49.45304599,8.89738746
15,1436966309000,49.45316078,8.89743183
16,1436966320000,49.45329174,8.89763715
17,1436966330000,49.45347204,8.8976776
18,1436966340000,49.45358395,8.89767091
19,1436966350000,49.45331711,8.89755791
20,1436966361000,49.4531343,8.89758274
21,1436966372000,49.45297632,8.89758618
22,1436966381000,49.45266164,8.89776569
23,1436966392000,49.45247483,8.89784958
24,1436966403000,49.45225887,8.8979015
25,1436966414000,49.45202375,8.89766894
26,1436966424000,49.45184584,8.89762399
27,1436966434000,49.45161977,8.89756039
28,1436966446000,49.45135693,8.89778544
29,1436966455000,49.45110289,8.89791776
30,1436966466000,49.45093236,8.89791158
31,1436966477000,49.45078267,8.89781668
32,1436966487000,49.45053879,8.89778753
33,1436966498000,49.45043717,8.89767369
34,1436966508000,49.45023573,8.89777017
35,1436966519000,49.45001316,8.89787916
36,1436966529000,49.45015263,8.89763784
37,1436966541000,49.45039436,8.89738823
38,1436966552000,49.45065302,8.89763719
39,1436966572000,49.45098342,8.89758629
40,1436966582000,49.45112613,8.89752139
41,1436966593000,49.45134886,8.89764147
42,1436966604000,49.45159427,8.89760008
43,1436966614000,49.45168329,8.8975024
44,1436966624000,49.45188898,8.8974638
45,1436966635000,49.4521675,8.89748518
46,1436966647000,49.45241903,8.89746442
47,1436966659000,49.45274808,8.89763575
48,1436966668000,49.45281943,8.8975529
49,1436966678000,49.45301162,8.89747722
50,1436966688385,49.45327718,8.8973939
51,1436966699000,49.45343799,8.89782861
52,1436966710000,49.45357066,8.89766883
53,1436966720000,49.45336105,8.89774388
54,1436966731000,49.45312347,8.89760827
55,1436966741000,49.45294591,8.89770978
56,1436966752000,49.45268048,8.89765063
57,1436966763000,49.45256434,8.89750679
58,1436966773000,49.45235005,8.89761543
