id,attr_time,attr_light
1,1436969335819,586.0
2,1436969335839,571.0
3,1436969335859,571.0
4,1436969335879,576.0
5,1436969335899,576.0
6,1436969335920,583.0
7,1436969335940,583.0
8,1436969335960,587.0
9,1436969335981,587.0
10,1436969336001,592.0
11,1436969336020,592.0
12,1436969336041,592.0
13,1436969336060,592.0
14,1436969336083,594.0
15,1436969336099,594.0
16,1436969336121,570.0
17,1436969336141,570.0
18,1436969336161,597.0
19,1436969336181,597.0
20,1436969336202,595.0
21,1436969336222,595.0
22,1436969336243,603.0
23,1436969336261,603.0
24,1436969336281,598.0
25,1436969336300,598.0
26,1436969336323,596.0
27,1436969336343,596.0
28,1436969336361,614.0
29,1436969336383,614.0
30,1436969336403,591.0
31,1436969336423,591.0
32,1436969336443,584.0
33,1436969336462,584.0
34,1436969336483,587.0
35,1436969336502,618.0
36,1436969336523,618.0
37,1436969336547,602.0
38,1436969336563,602.0
39,1436969336581,597.0
40,1436969336602,597.0
41,1436969336652,588.0
42,1436969336653,588.0
43,1436969336661,592.0
44,1436969336681,592.0
45,1436969336702,595.0
46,1436969336723,595.0
47,1436969336743,574.0
48,1436969336763,574.0
49,1436969336783,584.0
50,1436969336811,584.0
51,1436969336888,605.0
52,1436969336889,605.0
53,1436969336890,612.0
54,1436969336891,612.0
55,1436969336901,612.0
56,1436969336929,612.0
57,1436969336943,615.0
58,1436969336963,615.0
59,1436969336998,618.0
60,1436969337002,618.0
61,1436969337022,627.0
62,1436969337043,627.0
63,1436969337063,655.0
64,1436969337081,655.0
65,1436969337105,730.0
66,1436969337124,730.0
67,1436969337141,813.0
68,1436969337163,813.0
69,1436969337184,1009.0
70,1436969337205,1009.0
71,1436969337224,1135.0
72,1436969337245,1135.0
73,1436969337262,1271.0
74,1436969337285,1271.0
75,1436969337302,1310.0
76,1436969337322,1294.0
77,1436969337342,1294.0
78,1436969337362,1166.0
79,1436969337388,1166.0
80,1436969337403,1099.0
81,1436969337425,1099.0
82,1436969337442,1044.0
83,1436969337462,1044.0
84,1436969337482,820.0
85,1436969337503,820.0
86,1436969337522,695.0
87,1436969337591,695.0
88,1436969337592,817.0
89,1436969337593,817.0
90,1436969337602,1100.0
91,1436969337622,1100.0
92,1436969337655,1296.0
93,1436969337662,1296.0
94,1436969337682,1455.0
95,1436969337706,1455.0
96,1436969337735,1580.0
97,1436969337742,1580.0
98,1436969337762,1452.0
99,1436969337782,1452.0
100,1436969337802,1225.0
101,1436969337828,1225.0
102,1436969337863,1018.0
103,1436969337864,1018.0
104,1436969337896,1044.0
105,1436969337905,1044.0
106,1436969337931,1221.0
107,1436969337942,1221.0
108,1436969337972,1419.0
109,1436969337982,1419.0
110,1436969338002,1591.0
111,1436969338022,1591.0
112,1436969338042,1618.0
113,1436969338062,1618.0
114,1436969338083,1592.0
115,1436969338102,1592.0
116,1436969338125,1540.0
117,1436969338142,1892.0
118,1436969338167,1379.0
119,1436969338186,1257.0
120,1436969338205,1257.0
121,1436969338224,1307.0
122,1436969338246,1307.0
123,1436969338268,1472.0
124,1436969338281,1472.0
125,1436969338302,1663.0
126,1436969338321,1663.0
127,1436969338341,1892.0
128,1436969338361,1892.0
129,1436969338386,2028.0
130,1436969338401,2028.0
131,1436969338421,2007.0
132,1436969338441,2007.0
133,1436969338461,2025.0
134,1436969338481,2025.0
135,1436969338501,2070.0
136,1436969338521,2070.0
137,1436969338541,2056.0
138,1436969338561,2056.0
139,1436969338581,2073.0
140,1436969338601,2073.0
141,1436969338621,2041.0
142,1436969338642,2041.0
143,1436969338662,2074.0
144,1436969338686,2074.0
145,1436969338705,2055.0
146,1436969338724,2055.0
147,1436969338743,2092.0
148,1436969338766,2092.0
149,1436969338783,2075.0
150,1436969338804,2075.0
151,1436969338826,2121.0
152,1436969338844,2121.0
153,1436969338894,2104.0
154,1436969338895,2104.0
155,1436969338903,2105.0
156,1436969338925,2105.0
157,1436969338943,2049.0
158,1436969338963,2086.0
159,1436969338982,2077.0
160,1436969339005,2089.0
161,1436969339025,2089.0
162,1436969339044,2067.0
163,1436969339067,2067.0
164,1436969339085,2028.0
165,1436969339103,2028.0
166,1436969339127,2068.0
167,1436969339145,2068.0
168,1436969339167,2024.0
169,1436969339183,2024.0
170,1436969339206,1986.0
171,1436969339227,1986.0
172,1436969339247,2017.0
173,1436969339265,2017.0
174,1436969339286,2039.0
175,1436969339307,2039.0
176,1436969339323,2040.0
177,1436969339345,2040.0
178,1436969339366,2089.0
179,1436969339389,2089.0
180,1436969339408,2098.0
181,1436969339428,2098.0
182,1436969339447,2068.0
183,1436969339465,2068.0
184,1436969339485,2021.0
185,1436969339506,2021.0
186,1436969339525,2007.0
187,1436969339609,2007.0
188,1436969339610,1984.0
189,1436969339611,1984.0
190,1436969339612,1989.0
191,1436969339624,1989.0
192,1436969339656,2010.0
193,1436969339681,2010.0
194,1436969339689,1973.0
195,1436969339777,1973.0
196,1436969339778,1944.0
197,1436969339779,1944.0
198,1436969339780,1938.0
199,1436969339786,1956.0
200,1436969339807,1935.0
201,1436969339825,1947.0
202,1436969339844,1947.0
203,1436969339865,1943.0
204,1436969339884,1943.0
205,1436969339904,1972.0
206,1436969339924,1972.0
207,1436969339953,1958.0
208,1436969339965,1958.0
209,1436969339984,1958.0
210,1436969340004,1958.0
211,1436969340029,1958.0
212,1436969340044,1958.0
213,1436969340068,2020.0
214,1436969340085,2020.0
215,1436969340106,2015.0
216,1436969340126,2015.0
217,1436969340145,2035.0
218,1436969340167,2035.0
219,1436969340187,2044.0
220,1436969340208,2044.0
221,1436969340228,2024.0
222,1436969340248,2024.0
223,1436969340266,2034.0
224,1436969340286,2034.0
225,1436969340312,2020.0
226,1436969340323,2020.0
227,1436969340344,2007.0
228,1436969340364,2007.0
229,1436969340384,1990.0
230,1436969340404,1990.0
231,1436969340424,2005.0
232,1436969340448,2005.0
233,1436969340468,2015.0
234,1436969340489,2015.0
235,1436969340505,1975.0
236,1436969340523,1975.0
237,1436969340548,1951.0
238,1436969340568,1951.0
239,1436969340588,1917.0
240,1436969340608,1917.0
241,1436969340625,1878.0
242,1436969340650,1872.0
243,1436969340668,1872.0
244,1436969340695,1886.0
245,1436969340710,1886.0
246,1436969340725,1860.0
247,1436969340748,1860.0
248,1436969340766,1826.0
249,1436969340786,1826.0
250,1436969340805,1872.0
251,1436969340829,1872.0
252,1436969340851,1908.0
253,1436969340873,1908.0
254,1436969340885,1916.0
255,1436969340915,1916.0
256,1436969340988,1907.0
257,1436969340989,1907.0
258,1436969340990,1939.0
259,1436969340991,1939.0
260,1436969341006,1949.0
261,1436969341047,1949.0
262,1436969341053,1955.0
263,1436969341067,1955.0
264,1436969341126,1967.0
265,1436969341127,1967.0
266,1436969341128,2012.0
267,1436969341150,2012.0
268,1436969341166,2009.0
269,1436969341186,2009.0
270,1436969341208,1941.0
271,1436969341229,1941.0
272,1436969341246,1953.0
273,1436969341269,1953.0
274,1436969341289,1976.0
275,1436969341309,1976.0
276,1436969341329,1974.0
277,1436969341347,1974.0
278,1436969341368,1936.0
279,1436969341387,1936.0
280,1436969341409,1986.0
281,1436969341429,1986.0
282,1436969341447,2032.0
283,1436969341468,2028.0
284,1436969341488,2028.0
285,1436969341510,2050.0
286,1436969341530,2050.0
287,1436969341552,2072.0
288,1436969341568,2072.0
289,1436969341588,2032.0
290,1436969341605,2032.0
291,1436969341628,2055.0
292,1436969341648,2055.0
293,1436969341726,2043.0
294,1436969341736,2043.0
295,1436969341737,2096.0
296,1436969341738,2096.0
297,1436969341748,2093.0
298,1436969341767,2093.0
299,1436969341786,2120.0
300,1436969341806,2120.0
301,1436969341826,2122.0
302,1436969341847,2122.0
303,1436969341867,2120.0
304,1436969341887,2120.0
305,1436969341907,2142.0
306,1436969341929,2142.0
307,1436969341949,2122.0
308,1436969341969,2122.0
309,1436969341990,2123.0
310,1436969342007,2123.0
311,1436969342029,2124.0
312,1436969342047,2124.0
313,1436969342069,2128.0
314,1436969342087,2128.0
315,1436969342108,2150.0
316,1436969342127,2150.0
317,1436969342148,2189.0
318,1436969342170,2189.0
319,1436969342189,2172.0
320,1436969342208,2172.0
321,1436969342230,2147.0
322,1436969342249,2147.0
323,1436969342269,2185.0
324,1436969342290,2147.0
325,1436969342309,2130.0
326,1436969342330,2132.0
327,1436969342348,2132.0
328,1436969342368,2103.0
329,1436969342396,2103.0
330,1436969342468,2140.0
331,1436969342469,2140.0
332,1436969342470,2117.0
333,1436969342471,2117.0
334,1436969342488,2090.0
335,1436969342513,2090.0
336,1436969342529,2106.0
337,1436969342547,2106.0
338,1436969342567,2096.0
339,1436969342590,2096.0
340,1436969342611,2057.0
341,1436969342628,2057.0
342,1436969342650,2018.0
343,1436969342668,2018.0
344,1436969342691,2033.0
345,1436969342708,2033.0
346,1436969342730,2050.0
347,1436969342750,2050.0
348,1436969342770,2053.0
349,1436969342790,2053.0
350,1436969342808,2020.0
351,1436969342830,2020.0
352,1436969342851,2031.0
353,1436969342868,2031.0
354,1436969342890,2001.0
355,1436969342907,2001.0
356,1436969342927,1979.0
357,1436969342947,1979.0
358,1436969342992,1974.0
359,1436969342993,1974.0
360,1436969343074,1942.0
361,1436969343075,1942.0
362,1436969343076,1920.0
363,1436969343077,1920.0
364,1436969343102,1961.0
365,1436969343179,1940.0
366,1436969343180,1971.0
367,1436969343181,1958.0
368,1436969343182,1958.0
369,1436969343234,1957.0
370,1436969343235,1957.0
371,1436969343236,1968.0
372,1436969343456,1968.0
373,1436969343457,1941.0
374,1436969343458,1941.0
375,1436969343459,1965.0
376,1436969343460,1965.0
377,1436969343461,1956.0
378,1436969343462,1956.0
379,1436969343463,1962.0
380,1436969343464,1962.0
381,1436969343465,1970.0
382,1436969343466,1970.0
383,1436969343468,1984.0
384,1436969343488,1984.0
385,1436969343508,2000.0
386,1436969343530,2000.0
387,1436969343549,2014.0
388,1436969343569,2014.0
389,1436969343590,2011.0
390,1436969343609,2011.0
391,1436969343631,1988.0
392,1436969343649,1988.0
393,1436969343667,2031.0
394,1436969343689,2031.0
395,1436969343707,2017.0
396,1436969343730,2017.0
397,1436969343749,2046.0
398,1436969343769,2046.0
399,1436969343789,2072.0
400,1436969343809,2072.0
401,1436969343828,2087.0
