id,attr_time,attr_x,attr_y,attr_z
1,1436964110420,-45.468,-5.085,14.695
2,1436964110438,-45.468,-5.085,14.695
3,1436964110459,-45.468,-5.085,14.695
4,1436964110478,-45.468,-5.085,14.695
5,1436964110501,-45.468,-5.085,14.695
6,1436964110520,-45.468,-5.085,14.695
7,1436964110540,-45.468,-5.085,14.695
8,1436964110561,-45.468,-5.085,15.008
9,1436964110585,-45.468,-5.085,15.008
10,1436964110601,-45.468,-5.085,15.008
11,1436964110620,-45.468,-4.782,15.008
12,1436964110641,-45.468,-4.782,15.008
13,1436964110661,-45.468,-4.782,15.008
14,1436964110679,-45.468,-4.782,15.382
15,1436964110701,-45.468,-4.782,15.382
16,1436964110720,-45.468,-4.466,15.382
17,1436964110739,-45.468,-4.466,15.382
18,1436964110760,-45.468,-4.466,15.382
19,1436964110782,-45.468,-4.466,15.715
20,1436964110801,-45.468,-4.466,15.715
21,1436964110821,-45.468,-4.466,15.715
22,1436964110842,-45.167,-4.466,15.715
23,1436964110859,-45.167,-4.466,16.052
24,1436964110879,-45.167,-4.466,16.052
25,1436964110898,-45.167,-4.466,16.052
26,1436964110921,-45.167,-4.466,16.052
27,1436964111034,-45.167,-4.466,16.38
28,1436964111037,-45.167,-4.466,16.38
29,1436964111038,-45.167,-4.466,16.38
30,1436964111039,-45.167,-4.466,16.38
31,1436964111040,-45.167,-4.466,16.38
32,1436964111041,-45.167,-4.466,16.38
33,1436964111088,-45.167,-4.466,16.38
34,1436964111089,-45.167,-4.466,16.38
35,1436964111113,-45.167,-4.466,16.38
36,1436964111162,-45.167,-4.466,16.732
37,1436964111163,-44.863,-4.466,16.732
38,1436964111164,-44.863,-4.774,16.732
39,1436964111178,-44.863,-4.774,16.732
40,1436964111202,-44.863,-4.774,16.732
41,1436964111220,-44.863,-4.774,17.089
42,1436964111242,-44.863,-4.774,17.089
43,1436964111263,-44.863,-4.774,17.089
44,1436964111281,-44.863,-4.774,17.089
45,1436964111301,-44.863,-4.774,17.483
46,1436964111322,-44.534,-4.774,17.483
47,1436964111342,-44.534,-4.774,17.483
48,1436964111361,-44.534,-4.774,17.977
49,1436964111381,-44.534,-4.774,17.977
50,1436964111402,-44.534,-4.774,18.37
51,1436964111422,-44.184,-4.774,18.37
52,1436964111443,-44.184,-4.774,18.734
53,1436964111460,-44.184,-4.774,18.734
54,1436964111480,-44.184,-4.774,18.734
55,1436964111504,-44.184,-4.774,19.142
56,1436964111523,-43.869,-4.774,19.142
57,1436964111543,-43.869,-4.47,19.482
58,1436964111571,-43.869,-4.47,19.482
59,1436964111579,-43.869,-4.47,19.802
60,1436964111601,-43.869,-4.47,19.802
61,1436964111620,-43.869,-4.115,19.802
62,1436964111642,-43.869,-4.115,20.256
63,1436964111662,-43.559,-3.72,20.256
64,1436964111682,-43.559,-3.031,20.256
65,1436964111701,-43.559,-2.439,20.256
66,1436964111722,-43.559,-1.918,20.587
67,1436964111784,-43.559,-1.918,20.587
68,1436964111785,-43.559,-1.918,20.587
69,1436964111786,-43.559,-1.425,20.587
70,1436964111802,-43.559,-1.425,20.901
71,1436964111821,-43.559,-1.425,20.901
72,1436964111845,-43.559,-1.425,20.901
73,1436964111859,-43.559,-1.425,20.901
74,1436964111886,-43.559,-1.425,20.901
75,1436964111901,-43.559,-1.425,20.901
76,1436964111920,-43.559,-1.425,20.901
77,1436964111940,-43.559,-1.425,20.901
78,1436964111959,-43.559,-1.087,20.901
79,1436964111985,-43.559,-1.087,20.901
80,1436964112001,-43.559,-1.087,20.901
81,1436964112022,-43.559,-1.087,20.901
82,1436964112042,-43.559,-0.767,20.901
83,1436964112062,-43.559,-0.767,20.596
84,1436964112082,-43.559,-0.767,20.596
85,1436964112102,-43.559,-0.767,20.596
86,1436964112122,-43.559,-0.767,20.596
87,1436964112142,-43.559,-0.767,20.596
88,1436964112162,-43.559,-0.767,20.596
89,1436964112180,-43.559,-0.767,20.596
90,1436964112201,-43.559,-0.767,20.596
91,1436964112222,-43.559,-0.767,20.596
92,1436964112240,-43.559,-0.767,20.596
93,1436964112262,-43.559,-1.101,20.596
94,1436964112282,-43.559,-1.101,20.596
95,1436964112304,-43.887,-1.101,20.596
96,1436964112324,-43.887,-1.466,20.252
97,1436964112344,-43.887,-2.062,20.252
98,1436964112362,-43.887,-2.586,20.252
99,1436964112379,-43.887,-2.586,20.252
100,1436964112399,-43.887,-2.888,20.252
101,1436964112420,-43.887,-2.888,20.252
102,1436964112442,-43.887,-2.888,20.252
103,1436964112460,-43.887,-2.888,19.892
104,1436964112523,-43.887,-2.888,19.892
105,1436964112524,-43.887,-2.888,19.892
106,1436964112525,-43.887,-2.888,19.535
107,1436964112563,-43.887,-2.888,19.535
108,1436964112564,-44.221,-2.888,19.535
109,1436964112579,-44.221,-2.888,19.535
110,1436964112611,-44.221,-2.888,19.535
111,1436964112621,-44.221,-2.888,19.213
112,1436964112639,-44.221,-2.888,19.213
113,1436964112700,-44.221,-2.888,19.213
114,1436964112705,-44.221,-2.888,19.213
115,1436964112710,-44.221,-2.888,19.213
116,1436964112720,-44.221,-2.888,19.213
117,1436964112739,-44.221,-2.432,19.213
118,1436964112763,-44.221,-2.432,19.213
119,1436964112783,-44.221,-2.064,19.213
120,1436964112804,-44.221,-2.064,19.213
121,1436964112820,-44.221,-1.721,19.213
122,1436964112840,-44.221,-1.721,19.213
123,1436964112860,-44.221,-1.721,19.213
124,1436964112880,-44.221,-1.298,19.213
125,1436964112903,-44.221,-1.298,19.213
126,1436964112923,-44.221,-1.298,19.213
127,1436964112939,-44.221,-0.962,19.213
128,1436964112963,-44.221,-0.962,19.213
129,1436964112983,-44.221,-0.962,19.213
130,1436964113002,-44.221,-0.962,19.213
131,1436964113022,-44.221,-0.962,19.213
132,1436964113057,-44.221,-0.962,19.213
133,1436964113060,-44.221,-0.962,18.801
134,1436964113080,-44.528,-0.962,18.801
135,1436964113100,-44.528,-0.962,18.801
136,1436964113120,-44.528,-0.962,18.801
137,1436964113140,-44.528,-0.962,18.801
138,1436964113160,-44.528,-0.962,18.464
139,1436964113181,-44.528,-0.962,18.464
140,1436964113202,-44.528,-0.962,18.464
141,1436964113253,-44.528,-0.962,18.464
142,1436964113254,-44.528,-0.962,18.464
143,1436964113264,-44.528,-0.962,18.464
144,1436964113280,-44.528,-0.962,18.464
145,1436964113301,-44.528,-0.962,18.464
146,1436964113321,-44.528,-1.292,18.464
147,1436964113340,-44.528,-1.292,18.464
148,1436964113364,-44.528,-1.292,18.464
149,1436964113382,-44.85,-1.687,18.464
150,1436964113401,-44.85,-1.687,18.464
151,1436964113422,-44.85,-1.687,18.464
152,1436964113442,-44.85,-2.026,18.464
153,1436964113464,-44.85,-2.026,18.464
154,1436964113481,-44.85,-2.565,18.464
155,1436964113504,-44.85,-2.883,18.148
156,1436964113522,-44.85,-2.883,18.148
157,1436964113540,-44.85,-2.883,18.148
158,1436964113568,-44.85,-2.883,18.148
159,1436964113581,-44.85,-2.883,17.788
160,1436964113603,-44.85,-2.883,17.788
161,1436964113621,-44.85,-2.883,17.788
162,1436964113643,-44.85,-2.883,17.788
163,1436964113661,-44.85,-3.289,17.477
164,1436964113684,-44.85,-3.289,17.477
165,1436964113704,-44.85,-3.289,17.477
166,1436964113722,-44.85,-3.289,17.477
167,1436964113744,-44.85,-3.289,17.477
168,1436964113764,-44.85,-3.289,17.477
169,1436964113783,-44.85,-3.289,17.825
170,1436964113804,-44.85,-3.289,17.825
171,1436964113826,-44.85,-3.289,17.825
172,1436964113844,-44.85,-3.289,17.825
173,1436964113864,-44.85,-3.289,18.154
174,1436964113884,-44.85,-3.289,18.154
175,1436964113901,-44.85,-3.289,18.154
176,1436964113931,-44.85,-3.289,18.154
177,1436964114003,-44.85,-3.289,18.154
178,1436964114004,-44.85,-3.289,18.154
179,1436964114005,-44.85,-3.289,18.154
180,1436964114006,-44.85,-3.289,18.501
181,1436964114022,-44.85,-3.289,18.501
182,1436964114044,-44.85,-3.289,18.501
183,1436964114062,-44.85,-3.289,18.501
184,1436964114081,-44.85,-3.289,18.501
185,1436964114103,-44.85,-3.289,18.501
186,1436964114122,-44.85,-3.289,18.501
187,1436964114143,-44.85,-3.289,18.501
188,1436964114162,-44.85,-3.289,18.501
189,1436964114184,-44.85,-3.289,18.501
190,1436964114204,-44.85,-3.289,18.501
191,1436964114224,-44.85,-3.289,18.501
192,1436964114243,-44.85,-3.289,18.188
193,1436964114264,-45.156,-3.289,18.188
194,1436964114284,-45.156,-3.289,18.188
195,1436964114304,-45.156,-3.289,18.188
196,1436964114324,-45.156,-3.289,18.188
197,1436964114342,-45.156,-3.289,18.188
198,1436964114364,-45.156,-3.289,18.188
199,1436964114382,-45.156,-3.289,18.188
200,1436964114404,-45.156,-3.289,18.188
201,1436964114424,-45.156,-3.614,18.188
202,1436964114445,-45.156,-3.614,18.188
203,1436964114465,-45.156,-3.614,18.188
204,1436964114483,-45.156,-3.952,18.188
205,1436964114504,-45.156,-3.952,18.188
206,1436964114527,-45.156,-3.952,18.188
207,1436964114546,-45.156,-3.952,18.188
208,1436964114572,-45.156,-4.901,18.188
209,1436964114585,-45.156,-5.204,18.188
210,1436964114602,-45.156,-5.204,17.82
211,1436964114622,-45.156,-5.204,17.82
212,1436964114650,-45.156,-5.204,17.82
213,1436964114716,-45.156,-5.204,17.82
214,1436964114717,-45.156,-5.204,17.425
215,1436964114718,-45.468,-5.204,17.425
216,1436964114726,-45.468,-5.621,17.425
217,1436964114756,-45.468,-5.621,17.425
218,1436964114762,-45.468,-5.935,17.425
219,1436964114782,-45.468,-5.935,17.425
220,1436964114802,-45.468,-5.935,17.425
221,1436964114825,-45.468,-5.935,17.425
222,1436964114843,-45.468,-6.298,17.425
223,1436964114862,-45.468,-6.298,17.425
224,1436964114882,-45.468,-6.298,17.425
225,1436964114905,-45.468,-6.298,17.736
226,1436964114925,-45.468,-6.298,17.736
227,1436964114945,-45.468,-6.298,17.736
228,1436964114964,-45.468,-6.298,17.736
229,1436964114985,-45.468,-6.298,18.101
230,1436964115005,-45.468,-6.298,18.101
231,1436964115025,-45.468,-6.298,18.101
232,1436964115045,-45.468,-6.298,18.101
233,1436964115062,-45.146,-6.298,18.466
234,1436964115087,-45.146,-6.298,18.466
235,1436964115102,-45.146,-5.94,18.466
236,1436964115125,-45.146,-5.94,18.466
237,1436964115145,-45.146,-5.94,18.775
238,1436964115164,-45.146,-5.94,18.775
239,1436964115185,-45.146,-5.613,18.775
240,1436964115205,-45.146,-5.613,18.775
241,1436964115224,-45.146,-5.613,18.775
242,1436964115243,-45.146,-5.613,18.775
243,1436964115265,-45.146,-5.613,18.775
244,1436964115285,-45.146,-5.613,18.775
245,1436964115305,-45.146,-5.613,19.102
246,1436964115324,-45.146,-5.613,19.102
247,1436964115343,-45.146,-5.613,19.102
248,1436964115371,-45.146,-5.613,19.102
249,1436964115382,-45.146,-5.613,19.102
250,1436964115450,-45.146,-5.613,19.102
251,1436964115451,-45.146,-5.613,19.102
252,1436964115452,-45.146,-5.613,19.102
253,1436964115462,-45.146,-5.613,19.102
254,1436964115492,-45.146,-5.613,19.102
255,1436964115505,-45.146,-5.613,19.102
256,1436964115523,-45.146,-5.613,19.102
257,1436964115546,-45.146,-5.613,19.102
258,1436964115563,-45.146,-5.955,18.795
259,1436964115583,-45.146,-5.955,18.795
260,1436964115603,-45.146,-5.955,18.432
261,1436964115628,-45.146,-5.955,18.432
262,1436964115643,-45.146,-6.292,18.432
263,1436964115666,-45.146,-6.292,17.941
264,1436964115684,-45.146,-6.292,17.941
265,1436964115706,-45.146,-6.292,17.941
266,1436964115726,-45.465,-6.604,17.941
267,1436964115746,-45.465,-6.604,17.556
268,1436964115766,-45.465,-6.604,17.556
269,1436964115783,-45.465,-6.604,17.556
270,1436964115806,-45.465,-6.604,17.17
271,1436964115826,-45.465,-6.956,17.17
272,1436964115846,-45.465,-6.956,17.17
273,1436964115863,-45.465,-6.956,17.17
274,1436964115885,-45.465,-6.956,17.17
275,1436964115906,-45.465,-7.269,17.17
276,1436964115925,-45.465,-7.269,17.17
277,1436964115976,-45.465,-7.269,17.17
278,1436964115977,-45.465,-7.269,17.17
279,1436964115999,-45.465,-7.269,17.17
280,1436964116014,-45.465,-7.269,17.17
281,1436964116044,-45.465,-7.269,17.17
282,1436964116048,-45.465,-7.269,17.533
283,1436964116065,-45.465,-7.269,17.533
284,1436964116083,-45.465,-7.269,17.533
285,1436964116103,-45.465,-7.269,17.533
286,1436964116123,-45.465,-7.269,17.929
287,1436964116161,-45.465,-7.269,17.929
288,1436964116164,-45.465,-7.269,18.266
289,1436964116183,-45.14,-7.269,18.266
