id,attr_time,attr_x,attr_y,attr_z
1,1436988059020,18.138,-42.758,11.74
2,1436988059039,18.138,-42.758,11.74
3,1436988059059,18.138,-42.758,11.74
4,1436988059080,18.138,-42.758,11.74
5,1436988059098,18.138,-42.758,11.74
6,1436988059120,18.138,-42.758,11.74
7,1436988059140,18.138,-42.758,11.74
8,1436988059159,18.138,-42.758,11.74
9,1436988059183,18.138,-42.758,11.74
10,1436988059200,18.138,-42.758,11.74
11,1436988059226,18.138,-42.758,11.74
12,1436988059278,18.138,-42.758,11.74
13,1436988059279,18.138,-42.758,11.74
14,1436988059280,18.138,-42.758,11.74
15,1436988059299,18.138,-42.758,11.74
16,1436988059319,18.138,-42.758,11.74
17,1436988059339,18.138,-42.758,11.74
18,1436988059362,18.138,-42.758,11.74
19,1436988059380,18.138,-42.758,11.74
20,1436988059401,18.138,-42.758,11.74
21,1436988059420,18.138,-42.758,11.74
22,1436988059441,18.138,-42.758,11.74
23,1436988059462,18.138,-42.758,11.74
24,1436988059482,18.138,-42.758,11.74
25,1436988059500,18.138,-42.758,11.74
26,1436988059523,18.138,-42.758,11.74
27,1436988059542,17.814,-42.758,11.74
28,1436988059563,17.814,-42.758,11.74
29,1436988059582,17.814,-42.758,11.74
30,1436988059603,17.814,-42.758,11.74
31,1436988059625,17.814,-42.758,11.74
32,1436988059646,17.814,-42.758,11.74
33,1436988059666,17.814,-42.758,11.74
34,1436988059681,17.814,-42.758,11.74
35,1436988059707,17.814,-42.758,11.74
36,1436988059757,17.814,-42.758,11.74
37,1436988059777,17.814,-42.758,11.74
38,1436988059778,17.814,-42.758,11.74
39,1436988059781,17.814,-42.758,11.74
40,1436988059802,17.814,-42.758,11.74
41,1436988059820,17.814,-42.758,11.74
42,1436988059847,17.814,-42.758,11.74
43,1436988059860,17.814,-42.758,11.74
44,1436988059880,17.814,-42.758,11.74
45,1436988059903,18.115,-42.758,11.74
46,1436988059920,18.115,-42.758,11.74
47,1436988059942,18.115,-42.758,11.74
48,1436988059960,18.115,-42.758,11.74
49,1436988059982,18.115,-42.758,11.74
50,1436988060005,18.115,-42.758,11.74
51,1436988060020,18.115,-42.758,11.74
52,1436988060048,18.115,-42.758,11.74
53,1436988060060,18.115,-42.758,11.74
54,1436988060082,18.115,-42.758,11.74
55,1436988060103,18.115,-42.758,11.74
56,1436988060120,18.115,-42.758,11.74
57,1436988060140,18.115,-42.758,11.74
58,1436988060160,18.115,-42.758,11.74
59,1436988060180,18.115,-42.758,11.74
60,1436988060202,18.115,-42.758,11.74
61,1436988060222,18.115,-42.758,11.74
62,1436988060243,18.115,-42.758,11.74
63,1436988060261,18.115,-42.758,11.74
64,1436988060323,18.115,-42.758,11.74
65,1436988060324,18.115,-42.758,11.74
66,1436988060325,18.115,-42.758,11.74
67,1436988060343,18.115,-42.758,11.74
68,1436988060360,18.115,-42.758,11.74
69,1436988060386,18.115,-42.758,11.74
70,1436988060404,18.115,-42.758,11.74
71,1436988060423,18.115,-42.758,11.74
72,1436988060443,18.115,-42.758,11.74
73,1436988060462,18.115,-42.758,11.74
74,1436988060480,18.115,-42.758,11.74
75,1436988060502,18.115,-42.758,11.74
76,1436988060521,18.115,-42.758,11.74
77,1436988060543,18.115,-42.758,11.74
78,1436988060562,18.115,-42.758,11.74
79,1436988060583,18.115,-42.758,11.74
80,1436988060601,18.115,-42.758,11.74
81,1436988060620,18.115,-42.758,11.74
82,1436988060641,18.115,-42.758,11.74
83,1436988060666,18.115,-42.758,11.74
84,1436988060687,18.115,-42.758,11.74
85,1436988060707,18.115,-42.758,11.74
86,1436988060723,18.115,-42.758,11.74
87,1436988060742,18.115,-42.758,11.74
88,1436988060761,18.115,-42.758,11.74
89,1436988060782,18.115,-42.758,11.74
90,1436988060803,18.115,-42.758,11.74
91,1436988060824,18.428,-42.758,11.74
92,1436988060874,18.428,-42.758,11.74
93,1436988060875,18.428,-42.758,11.74
94,1436988060893,18.428,-42.758,11.74
95,1436988060902,18.428,-42.758,11.74
96,1436988060921,18.428,-42.758,11.74
97,1436988060942,18.428,-42.758,11.74
98,1436988060961,18.428,-42.758,11.74
99,1436988060981,18.428,-42.758,11.74
100,1436988061003,18.428,-42.758,11.74
101,1436988061034,18.428,-42.758,11.74
102,1436988061044,18.428,-42.758,11.74
103,1436988061076,18.428,-42.758,11.74
104,1436988061084,18.428,-42.758,11.74
105,1436988061103,18.428,-42.758,11.74
106,1436988061123,18.428,-42.758,11.74
107,1436988061143,18.428,-42.758,11.74
108,1436988061162,18.428,-42.758,11.74
109,1436988061182,18.428,-42.758,11.74
110,1436988061202,18.428,-42.758,11.74
111,1436988061222,18.428,-42.758,11.74
112,1436988061242,18.428,-42.758,11.74
113,1436988061261,18.742,-42.758,11.74
114,1436988061281,18.742,-42.758,11.74
115,1436988061302,18.742,-42.758,11.74
116,1436988061322,18.742,-42.758,11.74
117,1436988061343,18.742,-42.758,11.74
118,1436988061362,18.742,-42.758,11.74
119,1436988061384,18.742,-42.758,11.74
120,1436988061434,18.742,-42.758,11.351
121,1436988061435,18.742,-42.758,11.351
122,1436988061450,18.742,-42.758,11.351
123,1436988061461,18.742,-42.758,11.351
124,1436988061482,18.742,-42.758,11.351
125,1436988061504,19.075,-42.758,11.351
126,1436988061522,19.075,-42.758,11.351
127,1436988061544,19.075,-42.449,11.351
128,1436988061562,19.075,-42.449,11.032
129,1436988061583,19.075,-42.449,11.032
130,1436988061602,19.075,-42.449,11.032
131,1436988061624,19.075,-42.449,11.032
132,1436988061644,19.075,-42.449,11.032
133,1436988061664,19.075,-42.449,11.032
134,1436988061684,19.38,-42.449,11.032
135,1436988061704,19.38,-42.449,11.032
136,1436988061725,19.38,-42.449,11.032
137,1436988061744,19.38,-42.449,11.032
138,1436988061764,19.38,-42.449,11.032
139,1436988061785,19.757,-42.449,11.032
140,1436988061805,19.757,-42.449,11.032
141,1436988061824,19.757,-42.449,11.032
142,1436988061844,19.757,-42.144,11.032
143,1436988061864,20.08,-42.144,11.032
144,1436988061884,20.08,-42.144,11.032
145,1436988061904,20.08,-42.144,11.032
146,1436988061922,20.08,-42.144,11.032
147,1436988061989,20.449,-42.144,11.032
148,1436988062017,20.449,-42.144,11.032
149,1436988062018,20.449,-42.144,11.032
150,1436988062019,20.764,-41.841,11.032
151,1436988062048,20.764,-41.841,11.032
152,1436988062049,20.764,-41.841,11.032
153,1436988062064,20.764,-41.841,10.688
154,1436988062082,21.142,-41.841,10.688
155,1436988062103,21.142,-41.841,10.688
156,1436988062122,21.142,-41.841,10.688
157,1436988062145,21.142,-41.841,10.688
158,1436988062167,21.142,-41.841,10.237
159,1436988062183,21.142,-41.841,10.237
160,1436988062203,21.142,-41.841,10.237
161,1436988062224,21.142,-41.841,9.873
162,1436988062243,21.45,-41.841,9.873
163,1436988062262,21.45,-41.841,8.787
164,1436988062288,21.45,-41.841,8.16
165,1436988062307,21.45,-41.841,8.16
166,1436988062325,21.45,-41.841,7.218
167,1436988062347,21.45,-41.841,6.886
168,1436988062365,21.45,-41.841,6.886
169,1436988062385,21.45,-41.841,6.886
170,1436988062404,21.45,-41.841,6.886
171,1436988062423,21.45,-42.158,6.529
172,1436988062445,21.45,-42.158,5.686
173,1436988062467,21.45,-42.158,6.427
174,1436988062487,21.45,-42.158,5.986
175,1436988062505,21.45,-42.158,5.986
176,1436988062593,21.45,-42.158,5.986
177,1436988062594,21.45,-42.158,5.986
178,1436988062595,21.45,-42.158,5.986
179,1436988062596,21.45,-42.158,5.676
180,1436988062606,21.45,-42.158,5.676
181,1436988062624,21.45,-42.158,5.27
182,1436988062643,21.45,-42.158,5.27
183,1436988062664,21.45,-42.158,4.954
184,1436988062683,21.45,-42.158,4.954
185,1436988062703,21.45,-42.158,4.954
186,1436988062724,21.45,-42.158,4.609
187,1436988062743,21.45,-42.158,4.609
188,1436988062764,21.45,-42.158,4.609
189,1436988062788,21.45,-42.481,4.609
190,1436988062803,21.145,-42.481,4.609
191,1436988062824,21.145,-42.481,4.609
192,1436988062845,21.145,-42.481,4.609
193,1436988062864,21.145,-42.481,4.609
194,1436988062884,20.828,-42.481,4.609
195,1436988062908,20.828,-42.481,4.609
196,1436988062927,20.828,-42.481,4.609
197,1436988062948,20.828,-42.481,4.609
198,1436988062968,20.497,-42.481,4.919
199,1436988062987,20.497,-42.481,5.387
200,1436988063003,20.497,-42.481,6.646
201,1436988063026,20.497,-42.481,7.208
202,1436988063050,20.497,-42.481,7.208
203,1436988063164,20.497,-42.481,8.435
204,1436988063165,20.497,-42.481,8.856
205,1436988063166,20.497,-42.481,8.856
206,1436988063167,20.159,-42.481,8.856
207,1436988063168,20.159,-42.481,9.494
208,1436988063169,20.159,-42.481,9.912
209,1436988063260,20.159,-42.481,10.704
210,1436988063261,20.159,-42.481,10.316
211,1436988063262,20.159,-42.481,10.968
212,1436988063263,20.159,-42.481,11.396
213,1436988063265,20.159,-42.481,11.703
214,1436988063286,20.159,-42.481,12.028
215,1436988063307,20.159,-42.481,11.308
216,1436988063323,19.845,-42.481,11.93
217,1436988063343,19.845,-42.481,12.396
218,1436988063363,19.845,-42.481,12.396
219,1436988063387,19.845,-42.481,11.958
220,1436988063406,19.845,-42.481,11.958
221,1436988063425,19.464,-42.17,12.622
222,1436988063447,19.464,-42.17,12.622
223,1436988063464,19.464,-42.17,12.622
224,1436988063485,19.155,-42.17,13.15
225,1436988063506,19.155,-42.17,13.52
226,1436988063526,19.155,-42.17,13.52
227,1436988063548,19.155,-42.17,13.52
228,1436988063566,18.768,-42.17,14.259
229,1436988063586,18.768,-42.17,14.259
230,1436988063605,18.768,-42.17,14.259
231,1436988063625,18.365,-42.17,14.259
232,1436988063647,18.365,-42.17,14.855
233,1436988063672,18.365,-42.17,14.855
234,1436988063687,17.938,-42.17,15.158
235,1436988063707,17.938,-42.17,15.158
236,1436988063725,17.938,-42.17,15.158
237,1436988063773,17.565,-42.17,15.158
238,1436988063774,17.565,-42.17,15.158
239,1436988063800,17.565,-42.17,15.476
240,1436988063805,17.219,-42.17,15.476
241,1436988063824,17.219,-42.17,15.476
242,1436988063844,17.219,-42.17,15.476
243,1436988063864,17.219,-42.17,15.476
244,1436988063884,16.845,-42.17,15.476
245,1436988063906,16.845,-42.17,15.476
246,1436988063942,16.845,-42.17,15.476
247,1436988063945,16.845,-42.17,15.476
248,1436988063968,16.845,-42.17,15.476
249,1436988063988,16.845,-42.17,15.151
250,1436988064008,16.845,-42.17,14.524
251,1436988064024,16.845,-42.17,14.524
252,1436988064044,17.152,-42.17,14.524
253,1436988064064,17.901,-42.17,14.524
254,1436988064084,18.931,-42.17,14.146
255,1436988064103,19.638,-42.17,14.146
256,1436988064126,20.065,-42.17,14.146
257,1436988064145,20.446,-42.17,14.146
258,1436988064163,20.446,-42.17,13.71
259,1436988064185,20.446,-42.17,13.71
260,1436988064204,20.96,-42.17,13.71
261,1436988064225,20.96,-42.17,13.71
262,1436988064244,20.96,-41.806,13.71
263,1436988064329,20.512,-41.806,13.71
264,1436988064330,20.512,-41.806,13.71
265,1436988064331,20.512,-41.458,13.403
266,1436988064332,20.512,-41.458,13.403
267,1436988064347,20.512,-41.458,13.403
268,1436988064363,20.512,-41.114,13.807
269,1436988064386,20.838,-41.114,13.807
270,1436988064403,20.838,-41.114,14.334
271,1436988064425,20.838,-41.114,14.685
272,1436988064444,20.838,-40.771,14.685
273,1436988064464,20.838,-40.771,15.267
274,1436988064486,20.838,-40.771,15.715
275,1436988064506,20.838,-40.771,16.043
276,1436988064524,20.838,-40.771,16.043
277,1436988064545,20.495,-40.771,16.043
278,1436988064566,20.495,-40.771,16.493
279,1436988064586,20.495,-40.771,16.493
280,1436988064608,20.094,-40.771,16.493
281,1436988064628,20.094,-40.46,16.918
282,1436988064647,20.094,-40.46,16.918
283,1436988064667,19.746,-40.46,17.361
284,1436988064686,19.746,-40.46,17.361
285,1436988064706,19.746,-40.46,17.808
286,1436988064790,19.352,-40.46,18.399
287,1436988064792,19.352,-40.46,19.235
288,1436988064793,18.955,-40.46,19.235
289,1436988064794,18.638,-40.46,20.87
290,1436988064816,17.593,-40.46,20.545
291,1436988064825,17.05,-40.46,21.691
292,1436988064845,16.305,-40.46,21.691
293,1436988064865,15.303,-40.122,21.691
294,1436988064886,14.75,-40.122,21.691
295,1436988064906,14.201,-40.122,22.355
296,1436988064929,14.201,-40.122,22.355
297,1436988064948,13.557,-40.122,22.793
298,1436988064966,13.557,-40.122,23.182
299,1436988064987,12.87,-39.77,23.182
300,1436988065012,13.189,-39.77,23.182
301,1436988065026,12.739,-39.77,23.182
302,1436988065050,12.739,-39.77,23.855
303,1436988065068,12.739,-39.465,23.544
304,1436988065090,12.739,-39.465,23.544
305,1436988065109,12.739,-39.465,23.849
306,1436988065128,12.739,-39.112,23.849
307,1436988065147,12.739,-39.112,23.849
308,1436988065167,12.739,-39.112,23.849
309,1436988065186,12.739,-38.729,24.163
310,1436988065206,12.411,-38.729,24.163
311,1436988065227,12.411,-38.729,24.526
312,1436988065248,11.996,-38.392,24.526
313,1436988065268,11.996,-38.392,24.841
314,1436988065287,11.683,-38.392,24.841
315,1436988065386,11.683,-38.061,25.151
316,1436988065387,11.375,-38.061,25.151
317,1436988065388,11.375,-38.061,25.151
318,1436988065389,11.018,-37.76,25.52
319,1436988065390,11.018,-37.76,25.52
320,1436988065406,10.25,-37.76,25.52
321,1436988065426,9.216,-37.76,25.52
322,1436988065445,8.505,-37.76,25.52
323,1436988065465,7.986,-37.76,25.52
324,1436988065491,7.986,-37.76,25.52
325,1436988065507,7.986,-37.76,25.52
326,1436988065525,8.723,-37.76,25.52
327,1436988065546,9.107,-37.76,25.52
328,1436988065570,9.107,-38.165,23.178
329,1436988065590,9.446,-38.546,20.596
330,1436988065607,9.446,-39.27,19.105
331,1436988065627,9.82,-39.982,17.237
332,1436988065648,10.279,-40.666,15.824
333,1436988065668,10.678,-41.435,13.528
334,1436988065688,11.439,-41.957,11.52
335,1436988065707,12.368,-41.957,9.016
336,1436988065726,13.471,-42.404,7.623
337,1436988065746,14.52,-42.404,6.77
338,1436988065766,15.455,-42.404,5.653
