id,attr_time,attr_light
1,1436982010027,31.0
2,1436982010046,31.0
3,1436982010065,31.0
4,1436982010088,31.0
5,1436982010105,31.0
6,1436982010127,31.0
7,1436982010148,31.0
8,1436982010167,31.0
9,1436982010188,31.0
10,1436982010209,31.0
11,1436982010226,31.0
12,1436982010249,31.0
13,1436982010270,30.0
14,1436982010290,30.0
15,1436982010307,30.0
16,1436982010326,30.0
17,1436982010345,30.0
18,1436982010365,30.0
19,1436982010390,30.0
20,1436982010408,30.0
21,1436982010430,30.0
22,1436982010448,30.0
23,1436982010470,30.0
24,1436982010547,30.0
25,1436982010548,30.0
26,1436982010549,30.0
27,1436982010550,30.0
28,1436982010566,30.0
29,1436982010588,30.0
30,1436982010605,30.0
31,1436982010625,30.0
32,1436982010647,30.0
33,1436982010666,29.0
34,1436982010686,29.0
35,1436982010705,29.0
36,1436982010726,29.0
37,1436982010748,29.0
38,1436982010768,29.0
39,1436982010786,29.0
40,1436982010807,29.0
41,1436982010827,29.0
42,1436982010847,29.0
43,1436982010868,29.0
44,1436982010887,29.0
45,1436982010907,29.0
46,1436982010929,29.0
47,1436982010946,29.0
48,1436982010968,29.0
49,1436982010988,29.0
50,1436982011007,29.0
51,1436982011025,29.0
52,1436982011047,29.0
53,1436982011071,29.0
54,1436982011087,29.0
55,1436982011107,29.0
56,1436982011125,29.0
57,1436982011147,29.0
58,1436982011166,29.0
59,1436982011186,29.0
60,1436982011206,30.0
61,1436982011299,30.0
62,1436982011300,30.0
63,1436982011301,30.0
64,1436982011302,30.0
65,1436982011317,30.0
66,1436982011326,30.0
67,1436982011346,30.0
68,1436982011366,30.0
69,1436982011386,30.0
70,1436982011406,30.0
71,1436982011427,30.0
72,1436982011446,30.0
73,1436982011467,30.0
74,1436982011487,29.0
75,1436982011509,29.0
76,1436982011531,29.0
77,1436982011546,29.0
78,1436982011567,29.0
79,1436982011589,29.0
80,1436982011609,29.0
81,1436982011629,29.0
82,1436982011646,29.0
83,1436982011667,29.0
84,1436982011689,29.0
85,1436982011709,29.0
86,1436982011727,29.0
87,1436982011747,29.0
88,1436982011766,29.0
89,1436982011789,29.0
90,1436982011807,29.0
91,1436982011827,29.0
92,1436982011848,29.0
93,1436982011867,28.0
94,1436982011889,28.0
95,1436982011909,28.0
96,1436982011929,28.0
97,1436982011948,28.0
98,1436982011969,28.0
99,1436982011995,28.0
100,1436982012060,28.0
101,1436982012061,29.0
102,1436982012062,29.0
103,1436982012069,29.0
104,1436982012086,29.0
105,1436982012107,29.0
106,1436982012126,29.0
107,1436982012147,29.0
108,1436982012167,29.0
109,1436982012188,29.0
110,1436982012207,29.0
111,1436982012229,29.0
112,1436982012249,29.0
113,1436982012269,29.0
114,1436982012286,29.0
115,1436982012314,29.0
116,1436982012326,29.0
117,1436982012347,29.0
118,1436982012367,29.0
119,1436982012388,29.0
120,1436982012410,29.0
121,1436982012427,29.0
122,1436982012454,29.0
123,1436982012467,29.0
124,1436982012487,29.0
125,1436982012509,29.0
126,1436982012527,29.0
127,1436982012547,29.0
128,1436982012570,29.0
129,1436982012587,30.0
130,1436982012607,30.0
131,1436982012627,30.0
132,1436982012650,30.0
133,1436982012668,30.0
134,1436982012688,30.0
135,1436982012714,30.0
136,1436982012772,30.0
137,1436982012773,30.0
138,1436982012774,31.0
139,1436982012791,31.0
140,1436982012812,31.0
141,1436982012835,31.0
142,1436982012847,31.0
143,1436982012868,31.0
144,1436982012890,31.0
145,1436982012908,31.0
146,1436982012929,31.0
147,1436982012948,31.0
148,1436982012968,31.0
149,1436982012990,31.0
150,1436982013012,31.0
151,1436982013029,31.0
152,1436982013050,31.0
153,1436982013067,31.0
154,1436982013089,31.0
155,1436982013111,31.0
156,1436982013131,31.0
157,1436982013149,31.0
158,1436982013170,31.0
159,1436982013191,31.0
160,1436982013209,31.0
161,1436982013232,31.0
162,1436982013251,31.0
163,1436982014814,31.0
164,1436982014815,31.0
165,1436982014816,31.0
166,1436982014817,31.0
167,1436982014818,31.0
168,1436982014819,31.0
169,1436982014820,31.0
170,1436982014821,31.0
171,1436982014822,31.0
172,1436982014823,31.0
173,1436982014824,31.0
174,1436982014825,31.0
175,1436982014826,31.0
176,1436982014827,31.0
177,1436982014828,31.0
178,1436982014829,31.0
179,1436982014830,31.0
180,1436982014831,31.0
181,1436982014832,31.0
182,1436982014833,31.0
183,1436982014834,31.0
184,1436982014835,31.0
185,1436982014836,32.0
186,1436982014837,32.0
187,1436982014838,32.0
188,1436982014839,32.0
189,1436982014840,32.0
190,1436982014841,32.0
191,1436982014842,32.0
192,1436982014843,32.0
193,1436982014844,32.0
194,1436982014845,32.0
195,1436982014846,32.0
196,1436982014847,32.0
197,1436982014848,32.0
198,1436982014849,32.0
199,1436982014850,32.0
200,1436982014851,32.0
201,1436982014852,32.0
202,1436982014853,32.0
203,1436982014854,32.0
204,1436982014855,32.0
205,1436982014856,32.0
206,1436982014857,32.0
207,1436982014858,32.0
208,1436982014859,32.0
209,1436982014860,33.0
210,1436982014861,33.0
211,1436982014862,33.0
212,1436982014863,33.0
213,1436982014864,34.0
214,1436982014865,34.0
215,1436982014866,34.0
216,1436982014867,34.0
217,1436982014868,34.0
218,1436982014869,35.0
219,1436982014870,35.0
220,1436982014871,35.0
221,1436982014872,35.0
222,1436982014873,35.0
223,1436982014874,35.0
224,1436982014875,35.0
225,1436982014876,35.0
226,1436982014877,36.0
227,1436982014878,36.0
228,1436982014879,36.0
229,1436982014880,36.0
230,1436982014881,36.0
231,1436982014882,36.0
232,1436982014883,36.0
233,1436982014884,36.0
234,1436982014885,36.0
235,1436982014886,36.0
