id,attr_time,attr_x,attr_y,attr_z
1,1436982010031,-17.631,-42.34,-3.474
2,1436982010050,-17.631,-42.34,-3.474
3,1436982010070,-17.631,-42.34,-3.474
4,1436982010093,-17.631,-42.34,-3.474
5,1436982010112,-17.631,-42.34,-3.474
6,1436982010132,-17.631,-42.34,-3.474
7,1436982010151,-17.631,-42.34,-3.474
8,1436982010172,-17.631,-42.34,-3.474
9,1436982010193,-17.631,-42.34,-3.474
10,1436982010213,-17.631,-42.34,-3.474
11,1436982010233,-17.631,-42.34,-3.775
12,1436982010253,-17.631,-42.34,-3.775
13,1436982010273,-17.631,-42.34,-3.775
14,1436982010294,-17.631,-42.34,-3.775
15,1436982010313,-17.631,-42.34,-3.775
16,1436982010333,-17.631,-42.34,-3.775
17,1436982010353,-17.631,-42.34,-3.775
18,1436982010375,-17.631,-42.34,-3.775
19,1436982010390,-17.631,-42.34,-3.775
20,1436982010414,-17.631,-42.34,-3.775
21,1436982010432,-17.631,-42.34,-3.775
22,1436982010452,-17.631,-42.34,-3.775
23,1436982010471,-17.631,-42.34,-3.775
24,1436982010496,-17.631,-42.34,-3.775
25,1436982010517,-17.631,-42.34,-3.775
26,1436982010534,-17.631,-42.34,-3.775
27,1436982010553,-17.631,-42.34,-3.775
28,1436982010574,-17.631,-42.34,-3.775
29,1436982010599,-17.631,-42.34,-3.775
30,1436982010615,-17.631,-42.34,-3.775
31,1436982010632,-17.631,-42.34,-3.775
32,1436982010700,-17.631,-42.34,-3.775
33,1436982010701,-17.631,-42.34,-3.775
34,1436982010702,-17.631,-42.34,-3.775
35,1436982010711,-17.631,-42.34,-3.775
36,1436982010731,-17.631,-42.34,-3.775
37,1436982010751,-17.631,-42.34,-3.775
38,1436982010771,-17.631,-42.34,-3.775
39,1436982010791,-17.631,-42.34,-3.775
40,1436982010815,-17.631,-42.34,-3.775
41,1436982010833,-17.631,-42.34,-3.775
42,1436982010853,-17.631,-42.34,-3.775
43,1436982010872,-17.631,-42.34,-3.775
44,1436982010893,-17.631,-42.34,-3.775
45,1436982010939,-17.631,-42.34,-3.775
46,1436982010940,-17.631,-42.34,-3.775
47,1436982010954,-17.631,-42.34,-3.775
48,1436982010974,-17.631,-42.34,-3.775
49,1436982010994,-17.631,-42.033,-3.775
50,1436982011014,-17.631,-42.033,-3.775
51,1436982011034,-17.631,-42.033,-3.775
52,1436982011054,-17.631,-42.033,-3.775
53,1436982011074,-17.631,-42.033,-3.775
54,1436982011092,-17.631,-42.033,-3.775
55,1436982011114,-17.631,-42.033,-3.775
56,1436982011134,-17.631,-42.033,-3.775
57,1436982011152,-17.631,-42.033,-3.775
58,1436982011173,-17.631,-42.033,-3.775
59,1436982011194,-17.631,-42.033,-3.775
60,1436982011217,-17.631,-42.033,-3.775
61,1436982011236,-17.631,-42.033,-3.775
62,1436982011256,-17.631,-42.033,-3.775
63,1436982011274,-17.631,-42.033,-3.775
64,1436982011292,-17.631,-42.033,-3.775
65,1436982011312,-17.631,-42.033,-3.775
66,1436982011333,-17.631,-42.033,-3.775
67,1436982011353,-17.631,-42.033,-3.775
68,1436982011371,-17.631,-42.033,-3.775
69,1436982011439,-17.631,-42.033,-3.775
70,1436982011440,-17.935,-42.033,-3.775
71,1436982011441,-17.935,-42.033,-3.775
72,1436982011451,-17.935,-42.033,-3.775
73,1436982011476,-17.935,-42.033,-3.775
74,1436982011492,-17.935,-42.033,-3.775
75,1436982011512,-17.935,-42.033,-3.775
76,1436982011555,-17.935,-42.033,-3.775
77,1436982011556,-17.935,-42.033,-3.775
78,1436982011573,-17.935,-42.033,-3.775
79,1436982011594,-17.935,-42.033,-3.775
80,1436982011613,-17.935,-42.033,-3.775
81,1436982011632,-17.935,-42.033,-3.775
82,1436982011653,-17.935,-42.033,-3.775
83,1436982011674,-17.935,-42.033,-3.775
84,1436982011695,-17.935,-42.033,-3.775
85,1436982011715,-17.935,-42.033,-3.775
86,1436982011735,-17.935,-42.033,-3.775
87,1436982011755,-17.935,-42.033,-3.775
88,1436982011774,-17.935,-42.033,-3.775
89,1436982011794,-17.935,-42.033,-3.775
90,1436982011812,-17.935,-42.033,-3.775
91,1436982011834,-17.935,-42.033,-3.775
92,1436982011855,-17.935,-42.033,-3.775
93,1436982011872,-17.935,-42.033,-3.775
94,1436982011893,-17.935,-42.033,-3.775
95,1436982011913,-17.935,-42.033,-3.775
96,1436982011936,-17.935,-42.033,-3.775
97,1436982011956,-17.935,-42.033,-3.775
98,1436982011977,-17.935,-42.033,-3.775
99,1436982011994,-17.935,-42.033,-3.775
100,1436982012013,-17.935,-42.033,-3.775
101,1436982012032,-17.935,-42.033,-3.462
102,1436982012052,-17.935,-42.033,-3.462
103,1436982012074,-17.935,-42.033,-3.462
104,1436982012093,-17.935,-42.033,-3.462
105,1436982012159,-17.935,-42.033,-3.462
106,1436982012160,-17.935,-42.033,-3.462
107,1436982012161,-17.935,-42.033,-3.462
108,1436982012173,-17.935,-42.033,-3.462
109,1436982012196,-17.935,-42.033,-3.462
110,1436982012213,-17.935,-42.033,-3.462
111,1436982012232,-17.935,-42.033,-3.462
112,1436982012266,-17.935,-42.033,-3.462
113,1436982012274,-17.935,-42.033,-3.462
114,1436982012293,-17.935,-42.033,-3.462
115,1436982012313,-17.935,-42.033,-3.462
116,1436982012334,-17.935,-42.033,-3.462
117,1436982012355,-17.935,-42.033,-3.462
118,1436982012374,-17.935,-42.033,-3.462
119,1436982012394,-17.935,-42.033,-3.462
120,1436982012414,-17.935,-42.033,-3.462
121,1436982012432,-17.935,-42.033,-3.462
122,1436982012452,-17.935,-42.033,-3.462
123,1436982012473,-17.935,-42.033,-3.462
124,1436982012492,-17.935,-42.033,-3.462
125,1436982012514,-17.935,-42.033,-3.462
126,1436982012537,-17.935,-42.033,-3.462
127,1436982012553,-17.935,-42.033,-3.462
128,1436982012574,-17.935,-42.033,-3.462
129,1436982012599,-17.935,-42.033,-3.462
130,1436982012613,-17.935,-42.033,-3.462
131,1436982012633,-17.935,-42.033,-3.462
132,1436982012653,-17.935,-42.033,-3.462
133,1436982012679,-17.935,-42.033,-3.462
134,1436982012694,-17.935,-42.033,-3.462
135,1436982012716,-17.935,-42.033,-3.462
136,1436982012733,-17.935,-42.033,-3.462
137,1436982012763,-17.935,-42.033,-3.462
138,1436982012780,-17.935,-42.033,-3.462
139,1436982012793,-17.935,-42.033,-3.462
140,1436982012880,-17.935,-42.033,-3.462
141,1436982012881,-17.935,-42.033,-3.462
142,1436982012882,-17.935,-42.033,-3.462
143,1436982012883,-17.935,-42.033,-3.462
144,1436982013015,-17.935,-42.033,-3.462
145,1436982013016,-17.935,-42.033,-3.462
146,1436982013017,-17.935,-42.033,-3.462
147,1436982013018,-17.935,-42.033,-3.462
148,1436982013019,-17.935,-42.033,-3.462
149,1436982013020,-17.935,-42.033,-3.462
150,1436982013021,-17.935,-42.033,-3.462
151,1436982013136,-17.935,-42.033,-3.462
152,1436982013137,-17.935,-42.033,-3.462
153,1436982013138,-17.935,-42.033,-3.462
154,1436982013139,-17.935,-42.033,-3.462
155,1436982013140,-17.935,-42.033,-3.462
156,1436982013141,-17.935,-42.033,-3.462
157,1436982013156,-17.935,-42.033,-3.462
158,1436982013174,-17.935,-42.033,-3.462
159,1436982013193,-17.935,-42.033,-3.462
160,1436982013213,-17.935,-42.033,-3.462
161,1436982013233,-17.935,-42.033,-3.462
162,1436982013254,-17.935,-42.033,-3.462
163,1436982013274,-17.935,-42.033,-3.462
164,1436982013293,-17.935,-42.033,-3.462
165,1436982013313,-17.935,-42.033,-3.462
166,1436982013334,-17.935,-42.033,-3.16
167,1436982013354,-17.935,-42.033,-3.16
168,1436982013375,-17.935,-42.033,-3.16
169,1436982013394,-17.935,-42.033,-3.16
170,1436982013416,-17.935,-42.033,-3.16
171,1436982013434,-17.935,-42.033,-3.16
172,1436982013454,-17.935,-42.033,-3.16
173,1436982013474,-17.935,-42.033,-3.16
174,1436982013499,-17.935,-42.033,-3.16
175,1436982013514,-17.935,-42.35,-3.16
176,1436982013542,-17.935,-42.35,-3.16
177,1436982013554,-17.935,-42.35,-3.16
178,1436982013574,-17.935,-42.35,-3.16
179,1436982013602,-17.935,-42.35,-3.16
180,1436982013615,-17.935,-42.35,-3.16
181,1436982013651,-17.935,-42.35,-3.16
182,1436982013711,-17.935,-42.35,-3.16
183,1436982013714,-17.935,-42.35,-3.16
184,1436982013715,-17.935,-42.35,-3.16
185,1436982013716,-17.935,-42.35,-3.16
186,1436982013735,-17.935,-42.35,-3.16
187,1436982013754,-17.935,-42.35,-3.16
188,1436982013773,-17.935,-42.35,-3.16
189,1436982013794,-17.935,-42.35,-3.16
190,1436982013814,-17.935,-42.35,-3.16
191,1436982013837,-17.935,-42.35,-3.16
192,1436982013855,-17.935,-42.35,-3.16
193,1436982013875,-17.935,-42.35,-3.16
194,1436982013897,-17.935,-42.35,-3.16
195,1436982013917,-17.608,-42.35,-3.16
196,1436982013937,-17.608,-42.35,-3.16
197,1436982013957,-17.608,-42.35,-3.16
198,1436982013974,-17.608,-42.35,-3.16
199,1436982013997,-17.608,-42.35,-3.16
200,1436982014017,-17.608,-42.35,-3.16
201,1436982014037,-17.608,-42.35,-3.16
