id,attr_time,attr_x,attr_y,attr_z
1,1436980333510,9.202,1.3,14.973
2,1436980333530,9.202,1.3,14.973
3,1436980333550,8.808,1.3,14.973
4,1436980333570,8.808,1.67,14.973
5,1436980333590,8.808,1.67,14.973
6,1436980333610,8.808,1.67,14.973
7,1436980333630,8.808,1.67,14.973
8,1436980333650,8.48,1.67,14.973
9,1436980333670,8.48,1.67,14.973
10,1436980333690,8.48,2.018,14.973
11,1436980333710,8.48,2.018,14.973
12,1436980333730,8.142,2.018,14.973
13,1436980333750,8.142,2.018,14.973
14,1436980333772,8.142,2.018,14.973
15,1436980333790,8.142,2.018,14.651
16,1436980333810,8.142,2.018,14.651
17,1436980333830,8.142,2.018,14.651
18,1436980333867,8.142,2.018,14.651
19,1436980333924,8.142,2.018,14.651
20,1436980333925,8.142,2.018,14.651
21,1436980333926,8.142,2.018,14.651
22,1436980333930,8.142,2.018,14.651
23,1436980333950,8.142,1.701,14.651
24,1436980333970,8.447,1.701,14.651
25,1436980333990,8.447,1.701,14.651
26,1436980334010,8.447,1.388,14.651
27,1436980334035,8.447,1.388,14.651
28,1436980334050,8.447,1.388,14.651
29,1436980334070,8.447,1.388,14.97
30,1436980334090,8.447,1.029,14.97
31,1436980334111,8.447,1.029,14.97
32,1436980334130,8.447,1.029,14.97
33,1436980334150,8.447,0.582,14.97
34,1436980334170,8.447,0.582,14.97
35,1436980334190,8.447,0.251,14.97
36,1436980334210,8.447,0.251,14.97
37,1436980334230,8.779,0.251,14.97
38,1436980334250,8.779,-0.102,14.97
39,1436980334270,8.779,-0.102,14.97
40,1436980334290,8.779,-0.102,14.97
41,1436980334312,8.779,-0.102,14.97
42,1436980334330,8.779,-0.102,14.97
43,1436980334351,8.779,-0.102,14.97
44,1436980334370,8.779,-0.102,14.97
45,1436980334390,8.779,-0.405,14.97
46,1436980334448,8.779,-0.405,14.97
47,1436980334449,8.779,-0.405,14.97
48,1436980334466,8.779,-0.405,14.97
49,1436980334482,8.779,-0.405,14.97
50,1436980334491,8.779,-0.405,14.97
51,1436980334513,8.779,-0.405,15.307
52,1436980334530,8.779,-0.405,15.307
53,1436980334550,8.779,-0.405,15.307
54,1436980334570,8.779,-0.405,15.307
55,1436980334590,8.779,-0.405,15.307
56,1436980334610,8.779,-0.405,15.307
57,1436980334630,8.779,-0.75,15.307
58,1436980334650,8.779,-0.75,15.307
59,1436980334670,8.779,-0.75,15.307
60,1436980334691,8.779,-0.75,15.307
61,1436980334711,8.779,-0.75,15.307
62,1436980334731,8.779,-0.75,15.307
63,1436980334751,8.457,-0.75,15.307
64,1436980334771,8.457,-0.392,15.307
65,1436980334791,8.457,-0.392,15.307
66,1436980334811,8.457,-0.392,15.307
67,1436980334831,8.457,-0.392,15.307
68,1436980334851,8.457,-0.027,15.307
69,1436980334871,8.457,-0.027,15.307
70,1436980334891,8.457,-0.027,14.939
71,1436980334911,8.457,-0.027,14.939
72,1436980334931,8.457,0.297,14.939
73,1436980334951,8.457,0.297,14.939
74,1436980334971,8.457,0.297,14.939
75,1436980334991,8.457,0.297,14.939
76,1436980335011,8.457,0.627,14.939
77,1436980335031,8.457,0.627,14.939
78,1436980335051,8.457,0.627,14.939
79,1436980335071,8.457,0.627,14.939
80,1436980335091,8.796,0.627,14.939
81,1436980335111,8.796,0.627,14.939
82,1436980335131,8.796,0.627,14.939
83,1436980335151,8.796,0.627,14.939
84,1436980335171,8.796,0.627,14.939
85,1436980335191,8.796,0.627,14.939
86,1436980335211,8.796,0.627,14.939
87,1436980335231,8.796,0.267,14.939
88,1436980335251,8.796,0.267,14.939
89,1436980335271,8.796,0.267,14.939
90,1436980335291,8.796,0.267,14.939
91,1436980335311,8.796,-0.033,14.939
92,1436980335331,8.796,-0.033,14.939
93,1436980335351,8.796,-0.033,14.939
94,1436980335374,8.796,-0.033,14.939
95,1436980335394,8.796,-0.033,14.939
96,1436980335421,8.796,-0.347,14.939
97,1436980335513,8.796,-0.347,14.939
98,1436980335514,8.796,-0.347,14.939
99,1436980335515,8.468,-0.347,14.939
100,1436980335516,8.468,-0.706,14.939
101,1436980335517,8.468,-0.706,14.939
102,1436980335531,8.468,-0.706,14.939
103,1436980335551,8.468,-0.706,14.939
104,1436980335571,8.468,-1.083,14.939
105,1436980335591,8.468,-1.083,14.939
106,1436980335611,8.468,-1.083,14.939
107,1436980335631,8.468,-1.083,14.939
108,1436980335651,8.468,-1.083,14.939
109,1436980335671,8.468,-1.428,14.939
110,1436980335691,8.468,-1.428,14.939
111,1436980335711,8.468,-1.428,14.939
112,1436980335732,8.126,-1.428,14.939
113,1436980335752,8.126,-1.428,14.939
114,1436980335772,8.126,-1.428,14.939
115,1436980335792,8.126,-1.428,14.939
116,1436980335812,8.126,-1.428,14.939
117,1436980335832,8.126,-1.428,14.939
118,1436980335852,8.126,-1.428,14.939
119,1436980335872,8.126,-1.428,14.939
120,1436980335894,8.126,-1.428,14.939
121,1436980335912,8.126,-1.428,14.939
122,1436980335932,7.797,-1.428,14.939
123,1436980335952,7.797,-1.428,14.939
124,1436980335972,7.797,-1.428,14.939
125,1436980335992,7.797,-1.428,14.939
126,1436980336012,7.797,-1.428,14.939
127,1436980336032,7.797,-1.428,14.939
128,1436980336052,7.797,-1.428,14.939
129,1436980336072,7.797,-1.428,14.939
130,1436980336092,7.797,-1.428,14.939
131,1436980336112,7.797,-1.428,15.24
132,1436980336132,7.797,-1.428,15.24
133,1436980336153,7.797,-1.428,15.24
134,1436980336172,7.797,-1.428,15.24
135,1436980336192,8.143,-1.428,15.24
136,1436980336212,8.143,-1.428,15.557
137,1436980336232,8.143,-1.428,15.557
138,1436980336252,8.143,-1.428,15.557
139,1436980336274,8.143,-1.428,15.557
140,1436980336296,8.143,-1.428,15.933
141,1436980336314,8.143,-1.019,15.933
142,1436980336336,8.143,-1.019,15.933
143,1436980336353,8.143,-1.019,16.316
144,1436980336374,8.473,-1.019,16.316
145,1436980336471,8.473,-0.663,16.316
146,1436980336472,8.473,-0.663,16.688
147,1436980336473,8.473,-0.663,16.688
148,1436980336474,8.473,-0.663,16.688
149,1436980336487,8.473,-0.363,16.688
150,1436980336493,8.473,-0.363,17.033
151,1436980336518,8.473,-0.363,17.033
152,1436980336533,8.473,-0.363,17.033
153,1436980336554,8.473,-0.363,17.033
154,1436980336573,8.473,-0.363,17.388
155,1436980336592,8.473,-0.041,17.388
156,1436980336612,8.473,-0.041,17.388
157,1436980336633,8.473,-0.041,17.388
158,1436980336653,8.473,-0.041,17.388
159,1436980336674,8.473,-0.041,17.388
160,1436980336692,8.473,-0.041,17.388
161,1436980336713,8.473,-0.041,17.388
162,1436980336733,8.473,-0.041,17.388
163,1436980336753,8.473,-0.041,17.388
164,1436980336773,8.137,-0.041,17.388
165,1436980336793,8.137,-0.041,17.388
166,1436980336813,8.137,-0.041,17.388
167,1436980336833,8.137,-0.041,17.388
168,1436980336853,8.137,-0.041,17.388
169,1436980336873,8.137,-0.041,17.388
170,1436980336893,8.137,-0.343,17.388
171,1436980336913,8.137,-0.343,17.388
172,1436980336933,8.137,-0.343,17.388
