id,attr_time,attr_lat,attr_lng
1,1436985161000,49.45047507,8.89773442
2,1436985170000,49.45047539,8.89773536
3,1436985181000,49.4504746,8.89773755
4,1436985190000,49.45047379,8.89773683
5,1436985202000,49.45047103,8.89775996
6,1436985213000,49.44988391,8.89856466
7,1436985223000,49.44997589,8.89855481
8,1436985234000,49.44999544,8.89888752
9,1436985243000,49.45014223,8.89899378
10,1436985256000,49.45028003,8.89901593
11,1436985266000,49.45045959,8.89878327
12,1436985275000,49.45039079,8.89892363
13,1436985287000,49.45044262,8.89950377
14,1436985297000,49.45061561,8.89965816
15,1436985308000,49.4507238,8.89968587
16,1436985319000,49.45086447,8.89940597
17,1436985329000,49.45087699,8.89938246
18,1436985339000,49.45096555,8.89946586
19,1436985349000,49.45097285,8.89948367
20,1436985360000,49.45108558,8.90004489
21,1436985371000,49.45123933,8.9001853
22,1436985381000,49.45140536,8.90030758
23,1436985391000,49.4514013,8.90042144
24,1436985403000,49.45167608,8.90040798
25,1436985413000,49.45175155,8.9004097
26,1436985424000,49.45181795,8.90077138
27,1436985433000,49.45183235,8.90091283
28,1436985444000,49.4519702,8.90067162
29,1436985456000,49.45206838,8.90077754
30,1436985465000,49.45209435,8.90080165
31,1436985477000,49.4520636,8.90104424
32,1436985487000,49.45217856,8.90114125
33,1436985497000,49.45229894,8.90105434
34,1436985509000,49.45238714,8.90124619
35,1436985519000,49.45232239,8.90117008
36,1436985529000,49.45225414,8.90109838
37,1436985539000,49.45219316,8.90097588
38,1436985549000,49.45209779,8.90092999
39,1436985561000,49.45210195,8.90073038
40,1436985569000,49.45200265,8.9007708
41,1436985579000,49.45211188,8.90068505
42,1436985591000,49.45189578,8.90061831
43,1436985600000,49.45183961,8.90056033
44,1436985612000,49.45179039,8.9005853
45,1436985622000,49.45169448,8.90024369
46,1436985633000,49.45139406,8.90042849
47,1436985644000,49.45144203,8.9003145
48,1436985654000,49.45131668,8.90016612
49,1436985664000,49.45124877,8.899988
50,1436985675000,49.45121191,8.89987113
51,1436985686000,49.45114151,8.89976344
52,1436985696000,49.45104357,8.89972043
53,1436985707000,49.45102839,8.89966495
54,1436985718000,49.4509885,8.89965374
55,1436985727000,49.45101204,8.8995229
56,1436985739000,49.45101111,8.89950933
57,1436985750000,49.45098217,8.89949677
58,1436985761000,49.45098549,8.89942866
59,1436985771000,49.45063392,8.89897416
60,1436985782000,49.45042424,8.89904648
61,1436985792000,49.45041722,8.89902689
62,1436985803000,49.45011667,8.89882039
