id,attr_time,attr_lat,attr_lng
1,1436985158000,49.45039084,8.89760163
2,1436985169000,49.45038462,8.89760397
3,1436985179000,49.45024508,8.89782093
4,1436985190000,49.45014597,8.89794829
5,1436985200000,49.45016643,8.89818108
6,1436985212000,49.45003007,8.89839496
7,1436985222000,49.44991927,8.89859354
8,1436985233000,49.44995473,8.89861769
9,1436985243000,49.4500175,8.8987693
10,1436985254000,49.45021809,8.89877393
11,1436985264000,49.45034849,8.89893129
12,1436985275000,49.4504866,8.89894025
13,1436985285000,49.45058533,8.89907352
14,1436985296000,49.45066114,8.89928239
15,1436985307000,49.45081821,8.89942508
16,1436985317000,49.45094861,8.89947232
17,1436985328000,49.45094208,8.8996097
18,1436985339000,49.45107445,8.89980384
19,1436985349000,49.45111894,8.89982768
20,1436985360000,49.45117405,8.89993274
21,1436985371000,49.45132571,8.89977504
22,1436985380000,49.45141378,8.89997557
23,1436985391000,49.45147708,8.90009066
24,1436985401000,49.45155884,8.90025851
25,1436985411000,49.45162607,8.90039654
26,1436985423000,49.45178594,8.90050588
27,1436985433000,49.45182227,8.90057515
28,1436985444000,49.45191199,8.90064787
29,1436985454000,49.45194421,8.90073048
30,1436985465000,49.45202345,8.90074701
31,1436985475000,49.4521097,8.90085511
32,1436985486000,49.45219913,8.90085147
33,1436985496000,49.45225459,8.9011939
34,1436985508000,49.45240719,8.90121297
35,1436985518000,49.45249842,8.90104116
36,1436985529000,49.45228291,8.90098564
37,1436985539000,49.4521572,8.90097821
38,1436985550000,49.45214107,8.90081665
39,1436985560000,49.45203144,8.90088237
40,1436985570000,49.45202508,8.9008054
41,1436985581000,49.45197909,8.90077902
42,1436985592000,49.45183502,8.90061909
43,1436985603000,49.45171213,8.90064053
44,1436985612000,49.45168692,8.90048815
45,1436985623000,49.45153031,8.90038683
46,1436985633000,49.45149529,8.9003218
47,1436985644000,49.45136365,8.90002344
48,1436985654000,49.45133895,8.90004349
49,1436985665000,49.45123887,8.90002873
50,1436985675000,49.45115586,8.899955
51,1436985686000,49.45104951,8.89993626
52,1436985696000,49.45097118,8.89986042
53,1436985707000,49.45079719,8.89982712
54,1436985718000,49.45073932,8.89983929
55,1436985729000,49.45068992,8.89963776
56,1436985739000,49.45063696,8.89942486
57,1436985750000,49.45051654,8.89936524
58,1436985759000,49.45040584,8.89920411
59,1436985771000,49.45023621,8.89913593
60,1436985781000,49.45019646,8.89909384
61,1436985792000,49.45010188,8.89903441
62,1436985802000,49.45006883,8.89900433
