id,attr_time,attr_lat,attr_lng
1,1436985162000,49.45034881,8.8974938
2,1436985172000,49.45035126,8.8975006
3,1436985182000,49.45035328,8.89750849
4,1436985191000,49.45035103,8.89751861
5,1436985201000,49.4503131,8.89805224
6,1436985212000,49.45021975,8.89828347
7,1436985222000,49.45009943,8.8984764
8,1436985232000,49.4500477,8.89862075
9,1436985242000,49.45016869,8.89880163
10,1436985253000,49.45017436,8.89897322
11,1436985264000,49.450222,8.89898338
12,1436985273000,49.45032557,8.89893781
13,1436985285000,49.4504221,8.89884418
14,1436985296000,49.45060119,8.89886577
15,1436985305000,49.45075461,8.89896427
16,1436985315000,49.45086709,8.89911796
17,1436985324000,49.45092962,8.8992843
18,1436985335000,49.45100033,8.89943625
19,1436985355000,49.45111714,8.89956706
20,1436985366000,49.45125923,8.8996473
21,1436985386000,49.45141878,8.89977367
22,1436985397000,49.45165774,8.89987221
23,1436985407000,49.45185405,8.8998089
24,1436985418000,49.45196158,8.89972619
25,1436985428000,49.45186155,8.90018091
26,1436985448000,49.45196732,8.90034191
27,1436985458000,49.45203592,8.90043378
28,1436985468000,49.45227764,8.90049397
29,1436985479000,49.45225749,8.90064838
30,1436985489000,49.45232197,8.90077505
31,1436985508000,49.45240804,8.9011041
32,1436985519000,49.45237393,8.90121668
33,1436985529000,49.45220215,8.9011662
34,1436985539000,49.4521042,8.90110698
35,1436985550000,49.45201841,8.90090873
36,1436985561000,49.45199431,8.90081682
37,1436985569000,49.45196599,8.90079774
38,1436985581000,49.45192562,8.900633
39,1436985591000,49.45187001,8.9005518
40,1436985601000,49.45183799,8.90042858
41,1436985611000,49.4517297,8.90035285
42,1436985622000,49.4516513,8.9002413
43,1436985631000,49.45159946,8.90019615
44,1436985642000,49.45152657,8.90015067
45,1436985652000,49.4514378,8.90005358
46,1436985663000,49.45133405,8.89994632
47,1436985672000,49.45124372,8.89991927
48,1436985683000,49.4511462,8.89991954
49,1436985693000,49.45106285,8.89986378
50,1436985704000,49.45101018,8.89977345
51,1436985714000,49.45092603,8.89969014
52,1436985723000,49.45081966,8.89958058
53,1436985734000,49.45066399,8.89950794
54,1436985744000,49.45054539,8.8994361
55,1436985757000,49.4505296,8.89943031
56,1436985764000,49.45046325,8.89930969
57,1436985775000,49.45041935,8.89916481
58,1436985785000,49.45035511,8.89901545
59,1436985796000,49.45024623,8.89888411
60,1436985805000,49.44995566,8.89881467
