id,attr_time,attr_lat,attr_lng
1,1436985170000,49.45042716,8.89767759
2,1436985182000,49.45042798,8.89769094
3,1436985192000,49.45042901,8.89769802
4,1436985210000,49.45043281,8.8977199
5,1436985215000,49.45043353,8.89772389
6,1436985230000,49.45043493,8.8977327
7,1436985237000,49.45043681,8.89774
8,1436985247000,49.45043708,8.89774133
9,1436985270000,49.45043698,8.89774403
10,1436985303000,49.45044146,8.89775
11,1436985315000,49.45044288,8.89775167
12,1436985343000,49.45045987,8.89777226
13,1436985408000,49.45135003,8.89990532
14,1436985430000,49.45161371,8.8999917
15,1436985440000,49.45174731,8.89997411
16,1436985451000,49.45182737,8.90005027
17,1436985461000,49.45201832,8.90053457
18,1436985471000,49.4520365,8.90052769
19,1436985482000,49.45203549,8.90055083
20,1436985497000,49.45225179,8.90016344
21,1436985501000,49.45228776,8.90006194
22,1436985517000,49.45252787,8.90109756
23,1436985522000,49.45253562,8.9011355
24,1436985539000,49.45234193,8.90070105
25,1436985544000,49.45231964,8.90068469
26,1436985556000,49.45226628,8.90071135
27,1436985568000,49.45223293,8.90074242
28,1436985575000,49.45222851,8.90074697
29,1436985587000,49.45210852,8.90080952
30,1436985594000,49.45209836,8.90080987
31,1436985618000,49.45209247,8.9008026
32,1436985640000,49.45175908,8.90020891
33,1436985659000,49.45128922,8.89990833
34,1436985665000,49.45132538,8.89983668
35,1436985679000,49.45133902,8.89984323
36,1436985686000,49.45114819,8.89981242
37,1436985707000,49.45070472,8.8993794
38,1436985729000,49.45059157,8.89928682
39,1436985746000,49.45058294,8.89922111
40,1436985751000,49.45057533,8.89923354
41,1436985762000,49.45062529,8.89917217
42,1436985780000,49.45055201,8.89900016
43,1436985785000,49.45043432,8.89901675
