id,attr_time,attr_light
1,1436985153433,1.0
2,1436985153456,1.0
3,1436985153476,1.0
4,1436985153495,1.0
5,1436985153557,1.0
6,1436985153558,1.0
7,1436985153559,1.0
8,1436985153574,1.0
9,1436985153594,1.0
10,1436985153614,1.0
11,1436985153634,1.0
12,1436985153654,1.0
13,1436985153674,1.0
14,1436985153697,1.0
15,1436985153716,1.0
16,1436985153734,1.0
17,1436985153755,1.0
18,1436985153774,1.0
19,1436985153794,1.0
20,1436985153814,1.0
21,1436985153834,1.0
22,1436985153854,1.0
23,1436985153874,1.0
24,1436985153894,1.0
25,1436985153914,1.0
26,1436985153934,1.0
27,1436985153954,1.0
28,1436985153974,1.0
29,1436985154007,1.0
30,1436985154103,1.0
31,1436985154104,1.0
32,1436985154105,1.0
33,1436985154106,1.0
34,1436985154107,1.0
35,1436985154159,1.0
36,1436985154160,1.0
37,1436985154161,1.0
38,1436985154175,1.0
39,1436985154195,1.0
40,1436985154215,1.0
41,1436985154234,1.0
42,1436985154254,1.0
43,1436985154274,1.0
44,1436985154294,1.0
45,1436985154314,1.0
46,1436985154334,1.0
47,1436985154354,1.0
48,1436985154374,1.0
49,1436985154394,1.0
50,1436985154415,1.0
51,1436985154435,1.0
52,1436985154455,1.0
53,1436985154476,1.0
54,1436985154536,1.0
55,1436985154537,1.0
56,1436985154538,1.0
57,1436985154555,1.0
58,1436985154575,1.0
59,1436985154595,1.0
60,1436985154615,1.0
61,1436985154635,1.0
62,1436985154655,1.0
63,1436985154676,1.0
64,1436985154695,1.0
65,1436985154715,1.0
66,1436985154735,1.0
67,1436985154756,1.0
68,1436985154775,1.0
69,1436985154795,1.0
70,1436985154815,1.0
71,1436985154835,1.0
72,1436985154855,1.0
73,1436985154875,1.0
74,1436985154895,1.0
75,1436985154915,1.0
76,1436985154935,1.0
77,1436985154956,1.0
78,1436985154976,1.0
79,1436985155013,1.0
80,1436985155032,1.0
81,1436985155104,1.0
82,1436985155105,1.0
83,1436985155106,1.0
84,1436985155107,1.0
85,1436985155160,1.0
86,1436985155161,1.0
87,1436985155162,1.0
88,1436985155177,1.0
89,1436985155202,1.0
90,1436985155216,1.0
91,1436985155238,1.0
92,1436985155257,1.0
93,1436985155277,1.0
94,1436985155300,1.0
95,1436985155316,1.0
96,1436985155337,1.0
97,1436985155356,1.0
98,1436985155377,1.0
99,1436985155401,1.0
100,1436985155421,1.0
101,1436985155437,1.0
102,1436985155458,1.0
103,1436985155478,1.0
104,1436985155536,1.0
105,1436985155537,1.0
106,1436985155538,1.0
107,1436985155556,1.0
108,1436985155576,1.0
109,1436985155596,1.0
110,1436985155632,1.0
111,1436985155636,1.0
112,1436985155656,1.0
113,1436985155676,1.0
114,1436985155698,1.0
115,1436985155716,1.0
116,1436985155737,1.0
117,1436985155756,1.0
118,1436985155814,1.0
119,1436985155815,1.0
120,1436985155839,1.0
121,1436985155840,1.0
122,1436985155862,1.0
123,1436985155876,1.0
124,1436985155896,1.0
125,1436985155916,1.0
126,1436985155936,1.0
127,1436985155956,1.0
128,1436985155976,1.0
129,1436985155996,1.0
130,1436985156016,1.0
131,1436985156036,1.0
132,1436985156056,1.0
133,1436985156076,1.0
134,1436985156096,2.0
135,1436985156116,2.0
136,1436985156137,2.0
137,1436985156156,2.0
138,1436985156176,2.0
139,1436985156198,2.0
140,1436985156217,2.0
141,1436985156237,2.0
142,1436985156257,2.0
143,1436985156277,2.0
144,1436985156298,2.0
145,1436985156320,2.0
146,1436985156339,2.0
147,1436985156359,2.0
148,1436985156471,2.0
149,1436985156472,2.0
150,1436985156473,2.0
151,1436985156474,2.0
152,1436985156475,2.0
153,1436985156479,2.0
154,1436985156497,2.0
155,1436985156517,2.0
156,1436985156537,2.0
157,1436985156557,2.0
158,1436985156577,2.0
159,1436985156597,2.0
160,1436985156617,2.0
161,1436985156637,2.0
162,1436985156657,2.0
163,1436985156677,2.0
164,1436985156697,2.0
165,1436985156717,2.0
166,1436985156737,2.0
167,1436985156757,2.0
168,1436985156777,2.0
169,1436985156797,2.0
170,1436985156817,2.0
171,1436985156873,2.0
172,1436985156874,2.0
173,1436985156889,2.0
174,1436985156897,2.0
175,1436985156917,2.0
176,1436985156937,2.0
177,1436985156957,2.0
178,1436985156977,2.0
179,1436985156997,2.0
180,1436985157017,2.0
181,1436985157037,2.0
182,1436985157057,2.0
183,1436985157077,2.0
184,1436985157097,2.0
185,1436985157117,2.0
186,1436985157137,2.0
187,1436985157157,2.0
188,1436985157178,2.0
189,1436985157198,2.0
190,1436985157218,2.0
191,1436985157238,2.0
192,1436985157258,2.0
193,1436985157278,2.0
194,1436985157298,2.0
195,1436985157318,2.0
196,1436985157338,2.0
197,1436985157358,2.0
198,1436985157378,2.0
199,1436985157398,2.0
200,1436985157418,2.0
201,1436985157438,2.0
202,1436985157458,2.0
203,1436985157478,2.0
204,1436985157535,2.0
205,1436985157536,2.0
206,1436985157538,2.0
207,1436985157558,2.0
208,1436985157578,2.0
209,1436985157598,2.0
210,1436985157618,2.0
211,1436985157638,2.0
212,1436985157658,2.0
213,1436985157678,2.0
214,1436985157698,2.0
215,1436985157718,3.0
216,1436985157740,3.0
217,1436985157759,3.0
218,1436985157778,3.0
219,1436985157798,3.0
220,1436985157818,3.0
221,1436985157838,3.0
222,1436985157858,3.0
223,1436985157878,3.0
224,1436985157898,3.0
225,1436985157918,3.0
226,1436985157938,3.0
227,1436985157958,3.0
228,1436985157978,3.0
229,1436985157998,3.0
230,1436985158018,3.0
231,1436985158043,3.0
232,1436985158093,3.0
233,1436985158094,3.0
234,1436985158172,3.0
235,1436985158173,3.0
236,1436985158174,3.0
237,1436985158175,3.0
238,1436985158231,3.0
239,1436985158232,3.0
240,1436985158233,3.0
241,1436985158240,3.0
242,1436985158260,3.0
243,1436985158279,3.0
244,1436985158298,3.0
245,1436985158323,3.0
246,1436985158342,3.0
247,1436985158363,3.0
248,1436985158383,3.0
249,1436985158400,3.0
250,1436985158422,3.0
251,1436985158444,3.0
252,1436985158463,3.0
253,1436985158482,3.0
254,1436985158499,3.0
255,1436985158523,3.0
256,1436985158540,3.0
257,1436985158650,3.0
258,1436985158651,3.0
259,1436985158652,3.0
260,1436985158653,3.0
261,1436985158654,3.0
262,1436985158671,3.0
263,1436985158679,3.0
264,1436985158699,3.0
265,1436985158719,3.0
266,1436985158739,3.0
267,1436985158759,3.0
268,1436985158779,3.0
269,1436985158799,3.0
270,1436985158819,3.0
271,1436985158839,3.0
272,1436985158859,3.0
273,1436985158879,3.0
274,1436985158899,3.0
275,1436985158919,3.0
276,1436985158939,3.0
277,1436985158960,3.0
278,1436985158979,3.0
279,1436985159000,3.0
280,1436985159019,3.0
281,1436985159039,3.0
282,1436985159059,3.0
283,1436985159079,3.0
284,1436985159099,3.0
285,1436985159119,3.0
286,1436985159139,3.0
287,1436985159159,3.0
288,1436985159179,3.0
289,1436985159199,3.0
290,1436985159220,3.0
291,1436985159240,3.0
292,1436985159260,3.0
293,1436985159280,3.0
294,1436985159300,3.0
295,1436985159324,3.0
296,1436985159345,3.0
297,1436985159364,3.0
298,1436985159383,3.0
299,1436985159402,3.0
300,1436985159423,3.0
301,1436985159444,3.0
302,1436985159463,3.0
303,1436985159614,3.0
304,1436985159615,3.0
305,1436985159616,3.0
306,1436985159617,3.0
307,1436985159618,3.0
308,1436985159619,3.0
309,1436985159620,3.0
310,1436985159641,3.0
311,1436985159642,3.0
312,1436985159660,3.0
313,1436985159680,3.0
314,1436985159700,3.0
315,1436985159721,3.0
316,1436985159741,3.0
317,1436985159761,3.0
318,1436985159781,3.0
319,1436985159801,3.0
320,1436985159821,3.0
321,1436985159841,3.0
322,1436985159861,3.0
323,1436985159881,3.0
324,1436985159901,3.0
325,1436985159921,3.0
326,1436985159941,3.0
327,1436985159961,3.0
328,1436985159981,3.0
329,1436985160001,3.0
330,1436985160021,3.0
331,1436985160041,3.0
332,1436985160061,3.0
333,1436985160082,3.0
334,1436985160102,3.0
335,1436985160121,3.0
336,1436985160141,3.0
337,1436985160161,3.0
338,1436985160181,3.0
339,1436985160201,3.0
340,1436985160221,3.0
341,1436985160240,3.0
342,1436985160278,3.0
343,1436985160365,3.0
344,1436985160366,3.0
345,1436985160367,3.0
346,1436985160368,3.0
347,1436985160369,3.0
348,1436985160501,3.0
349,1436985160502,3.0
350,1436985160503,3.0
351,1436985160504,3.0
352,1436985160505,3.0
353,1436985160506,3.0
354,1436985160507,3.0
355,1436985160523,3.0
356,1436985160541,3.0
357,1436985160577,3.0
358,1436985160582,3.0
359,1436985160604,3.0
360,1436985160624,3.0
361,1436985160646,3.0
362,1436985160666,3.0
363,1436985160686,3.0
364,1436985160702,3.0
365,1436985160723,3.0
366,1436985160745,3.0
367,1436985160765,3.0
368,1436985160785,3.0
369,1436985160804,3.0
370,1436985160822,3.0
371,1436985160909,3.0
372,1436985160910,3.0
373,1436985160911,3.0
374,1436985160912,3.0
375,1436985160932,3.0
376,1436985160941,3.0
377,1436985160961,3.0
378,1436985160981,3.0
379,1436985161001,3.0
380,1436985161021,3.0
381,1436985161041,3.0
382,1436985161061,3.0
383,1436985161081,3.0
384,1436985161101,3.0
385,1436985161122,3.0
386,1436985161144,3.0
387,1436985161161,3.0
388,1436985161181,3.0
389,1436985161201,3.0
390,1436985161221,3.0
391,1436985161241,3.0
392,1436985161261,3.0
393,1436985161281,3.0
394,1436985161301,3.0
395,1436985161321,3.0
396,1436985161342,3.0
397,1436985161361,3.0
398,1436985161381,2.0
399,1436985161401,2.0
400,1436985161422,2.0
401,1436985161441,2.0
402,1436985161461,2.0
403,1436985161484,2.0
404,1436985161503,2.0
405,1436985161523,2.0
406,1436985161543,2.0
407,1436985161566,2.0
408,1436985161587,2.0
409,1436985161607,2.0
410,1436985161627,2.0
411,1436985161647,2.0
412,1436985161666,2.0
413,1436985161686,2.0
414,1436985161706,2.0
415,1436985161725,2.0
416,1436985161744,2.0
417,1436985161764,2.0
418,1436985161784,1.0
419,1436985161805,1.0
420,1436985161824,1.0
421,1436985161909,1.0
422,1436985161910,1.0
423,1436985161911,1.0
424,1436985161912,1.0
425,1436985161932,1.0
426,1436985161942,1.0
427,1436985161966,1.0
428,1436985161982,1.0
429,1436985162002,1.0
430,1436985162022,1.0
