id,attr_time,attr_x,attr_y,attr_z
1,1436985153434,13.621,1.47,18.852
2,1436985153456,13.621,1.47,18.852
3,1436985153476,13.621,1.47,18.852
4,1436985153495,13.621,1.47,18.852
5,1436985153557,13.256,1.47,18.852
6,1436985153558,13.256,1.47,18.852
7,1436985153559,13.256,1.47,18.852
8,1436985153574,12.879,1.47,18.852
9,1436985153594,12.879,1.47,18.852
10,1436985153614,12.879,1.47,18.852
11,1436985153634,12.879,1.47,18.852
12,1436985153654,12.879,1.168,18.852
13,1436985153674,12.879,1.168,18.852
14,1436985153697,12.879,1.168,18.852
15,1436985153716,12.879,1.168,18.852
16,1436985153734,12.879,1.168,18.852
17,1436985153755,12.879,1.168,18.852
18,1436985153774,12.879,1.168,18.852
19,1436985153794,12.879,1.168,19.152
20,1436985153814,12.879,1.168,19.152
21,1436985153834,12.879,1.168,19.152
22,1436985153855,12.571,1.168,19.152
23,1436985153874,12.571,1.168,19.152
24,1436985153894,12.571,1.168,19.152
25,1436985153915,12.571,1.168,19.152
26,1436985153935,12.571,1.168,19.152
27,1436985153955,12.571,1.168,19.152
28,1436985153975,12.571,1.168,19.152
29,1436985154007,12.571,1.168,19.152
30,1436985154104,12.571,1.168,19.152
31,1436985154105,12.571,1.168,19.152
32,1436985154106,12.571,1.168,19.152
33,1436985154107,12.571,1.168,19.152
34,1436985154108,12.571,1.168,19.152
35,1436985154159,12.571,1.168,19.152
36,1436985154160,12.571,1.168,19.473
37,1436985154161,12.571,1.168,19.473
38,1436985154175,12.571,1.168,19.473
39,1436985154195,12.571,1.168,19.473
40,1436985154215,12.571,1.168,19.473
41,1436985154234,12.571,1.168,19.473
42,1436985154254,12.571,1.168,19.473
43,1436985154274,12.571,1.168,19.473
44,1436985154295,12.571,1.168,19.473
45,1436985154314,12.571,1.168,19.473
46,1436985154335,12.571,1.168,19.473
47,1436985154355,12.571,1.168,19.473
48,1436985154375,12.571,0.86,19.473
49,1436985154395,12.571,0.86,19.473
50,1436985154415,12.884,0.86,19.473
51,1436985154435,12.884,0.86,19.473
52,1436985154455,12.884,0.86,19.473
53,1436985154476,12.884,0.86,19.473
54,1436985154538,12.884,0.86,19.473
55,1436985154539,12.884,0.86,19.473
56,1436985154540,12.884,0.86,19.473
57,1436985154555,12.884,0.86,19.473
58,1436985154575,12.884,0.86,19.473
59,1436985154595,12.884,0.86,19.473
60,1436985154615,12.884,0.86,19.473
61,1436985154635,12.884,0.86,19.473
62,1436985154655,12.884,0.86,19.473
63,1436985154677,12.884,0.86,19.473
64,1436985154695,12.884,0.86,19.473
65,1436985154715,12.884,1.162,19.473
66,1436985154735,12.565,1.162,19.816
67,1436985154756,12.565,1.162,19.816
68,1436985154775,12.565,1.162,19.816
69,1436985154795,12.565,1.162,19.816
70,1436985154815,12.565,1.162,19.816
71,1436985154835,12.2,1.162,19.816
72,1436985154855,12.2,1.162,19.816
73,1436985154875,12.2,1.162,19.816
74,1436985154895,12.2,1.489,19.816
75,1436985154915,12.2,1.489,19.816
76,1436985154935,12.2,1.489,19.816
77,1436985154956,12.2,1.489,19.816
78,1436985154976,12.2,1.489,19.816
79,1436985155032,12.2,1.489,19.816
80,1436985155033,12.2,1.489,19.816
81,1436985155072,12.2,1.489,19.816
82,1436985155073,12.518,1.489,19.816
83,1436985155104,12.518,1.489,19.816
84,1436985155105,12.518,1.489,19.816
85,1436985155160,12.518,1.489,19.816
86,1436985155161,12.518,1.489,19.816
87,1436985155162,12.518,1.489,19.816
88,1436985155177,12.518,1.489,19.816
89,1436985155202,12.82,1.489,19.816
90,1436985155216,12.82,1.489,19.816
91,1436985155238,12.82,1.489,19.816
92,1436985155257,12.82,1.489,19.816
93,1436985155277,12.82,1.489,19.816
94,1436985155300,12.82,1.489,19.816
95,1436985155317,12.82,1.489,19.816
96,1436985155337,13.156,1.489,19.816
97,1436985155356,13.156,1.489,19.816
98,1436985155377,13.156,1.489,19.816
99,1436985155401,13.156,1.489,19.816
100,1436985155421,13.156,1.489,19.816
101,1436985155437,13.156,1.489,19.816
102,1436985155458,13.156,1.489,19.816
103,1436985155478,13.156,1.489,19.816
104,1436985155552,13.156,1.489,19.816
105,1436985155553,13.468,1.489,19.816
106,1436985155554,13.468,1.489,19.816
107,1436985155556,13.468,1.489,19.816
108,1436985155576,13.468,1.489,19.816
109,1436985155596,13.468,1.489,20.146
110,1436985155633,13.468,1.489,20.146
111,1436985155636,13.468,1.489,20.146
112,1436985155656,13.468,1.893,20.146
113,1436985155676,13.468,1.893,20.146
114,1436985155698,13.468,1.893,20.146
115,1436985155717,13.468,1.893,20.146
116,1436985155737,13.468,2.284,20.146
117,1436985155756,13.468,2.284,20.146
118,1436985155839,13.468,2.284,20.52
119,1436985155840,13.468,2.627,20.52
120,1436985155841,13.468,2.627,20.52
121,1436985155842,13.468,2.627,20.52
122,1436985155862,13.468,2.999,20.52
123,1436985155876,13.468,2.999,20.52
124,1436985155896,13.468,2.999,20.52
125,1436985155916,13.468,3.392,20.52
126,1436985155936,13.468,3.392,20.829
127,1436985155956,13.468,3.694,20.829
