id,attr_time,attr_x,attr_y,attr_z
1,1436985153433,-47.082,-20.559,8.14
2,1436985153453,-47.082,-20.559,8.14
3,1436985153473,-47.082,-20.559,8.14
4,1436985153495,-47.082,-20.559,8.14
5,1436985153510,-47.082,-20.559,8.14
6,1436985153533,-47.082,-20.559,7.806
7,1436985153554,-47.082,-20.559,7.806
8,1436985153573,-47.082,-20.559,7.806
9,1436985153593,-47.082,-20.559,7.806
10,1436985153613,-47.082,-20.559,7.806
11,1436985153633,-47.082,-20.559,7.806
12,1436985153654,-47.082,-20.559,7.806
13,1436985153719,-47.082,-20.559,7.806
14,1436985153720,-47.082,-20.559,7.806
15,1436985153721,-47.082,-20.559,7.806
16,1436985153733,-47.082,-20.559,7.806
17,1436985153752,-47.082,-20.559,7.806
18,1436985153774,-47.082,-20.559,7.806
19,1436985153829,-47.082,-20.559,7.806
20,1436985153830,-47.082,-20.559,7.806
21,1436985153831,-47.082,-20.559,7.493
22,1436985153851,-47.082,-20.559,7.493
23,1436985153873,-47.082,-20.559,7.493
24,1436985153891,-47.082,-20.559,7.493
25,1436985153911,-47.082,-20.559,7.493
26,1436985153931,-47.082,-20.559,7.493
27,1436985153951,-47.082,-20.559,7.493
28,1436985153975,-47.082,-20.559,7.493
29,1436985153995,-47.082,-20.559,7.493
30,1436985154012,-47.082,-20.559,7.189
31,1436985154035,-47.082,-20.559,7.189
32,1436985154051,-47.082,-20.559,7.189
33,1436985154074,-47.082,-20.559,7.189
34,1436985154094,-47.082,-20.559,7.189
35,1436985154114,-47.082,-20.559,7.189
36,1436985154131,-47.082,-20.559,7.189
37,1436985154154,-47.082,-20.559,7.189
38,1436985154174,-47.082,-20.559,7.189
39,1436985154194,-47.082,-20.559,7.189
40,1436985154215,-47.082,-20.559,7.189
41,1436985154233,-47.082,-20.559,7.189
42,1436985154253,-47.082,-20.559,7.189
43,1436985154274,-47.082,-20.559,7.189
44,1436985154296,-47.082,-20.559,7.189
45,1436985154315,-47.082,-20.559,7.189
46,1436985154345,-47.082,-20.559,7.189
47,1436985154353,-47.082,-20.559,7.189
48,1436985154372,-47.082,-20.559,7.189
49,1436985154393,-47.082,-20.559,7.189
50,1436985154414,-47.082,-20.559,7.189
51,1436985154437,-47.082,-20.559,7.189
52,1436985154455,-47.082,-20.559,7.189
53,1436985154474,-47.082,-20.559,7.189
54,1436985154496,-47.082,-20.559,7.189
55,1436985154573,-47.082,-20.559,7.189
56,1436985154574,-47.082,-20.559,7.189
57,1436985154575,-47.082,-20.559,7.189
58,1436985154576,-47.082,-20.559,7.189
59,1436985154594,-47.082,-20.559,7.189
60,1436985154615,-47.082,-20.559,7.189
61,1436985154632,-47.082,-20.559,7.189
62,1436985154651,-47.082,-20.559,7.189
63,1436985154684,-47.082,-20.559,7.189
