id,attr_time,attr_light
1,1437145182026,66.0
2,1437145182051,66.0
3,1437145182066,66.0
4,1437145182085,66.0
5,1437145182108,66.0
6,1437145182125,66.0
7,1437145182145,66.0
8,1437145182170,66.0
9,1437145182187,66.0
10,1437145182210,66.0
11,1437145182231,66.0
12,1437145182248,66.0
13,1437145182264,66.0
14,1437145182285,66.0
15,1437145182305,66.0
16,1437145182327,66.0
17,1437145182345,66.0
18,1437145182396,66.0
19,1437145182397,66.0
20,1437145182413,66.0
21,1437145182440,66.0
22,1437145182445,66.0
23,1437145182465,66.0
24,1437145182494,66.0
25,1437145182507,66.0
26,1437145182526,66.0
27,1437145182546,66.0
28,1437145182567,66.0
29,1437145182589,66.0
30,1437145182605,66.0
31,1437145182628,66.0
32,1437145182648,66.0
33,1437145182668,66.0
34,1437145182688,66.0
35,1437145182708,66.0
36,1437145182729,66.0
37,1437145182748,66.0
38,1437145182769,66.0
39,1437145182787,66.0
40,1437145182808,66.0
41,1437145182828,66.0
42,1437145182846,66.0
43,1437145182899,66.0
44,1437145182900,66.0
45,1437145182916,66.0
46,1437145182959,66.0
47,1437145182960,66.0
48,1437145182965,66.0
49,1437145182985,66.0
50,1437145183008,67.0
51,1437145183026,67.0
52,1437145183046,67.0
53,1437145183067,67.0
54,1437145183087,67.0
55,1437145183107,67.0
56,1437145183126,67.0
57,1437145183145,67.0
58,1437145183165,67.0
59,1437145183188,67.0
60,1437145183206,67.0
61,1437145183232,67.0
62,1437145183249,67.0
63,1437145183267,67.0
64,1437145183287,67.0
65,1437145183306,67.0
66,1437145183327,67.0
67,1437145183347,67.0
68,1437145183429,67.0
69,1437145183430,67.0
70,1437145183431,67.0
71,1437145183432,67.0
72,1437145183537,67.0
73,1437145183567,67.0
74,1437145183568,67.0
75,1437145183569,67.0
76,1437145183570,67.0
77,1437145183571,67.0
78,1437145183572,67.0
79,1437145183594,67.0
80,1437145183611,67.0
81,1437145183626,67.0
82,1437145183646,67.0
83,1437145183667,67.0
84,1437145183687,67.0
85,1437145183706,67.0
86,1437145183726,67.0
87,1437145183746,66.0
88,1437145183767,66.0
89,1437145183787,66.0
90,1437145183806,66.0
91,1437145183826,66.0
92,1437145183846,66.0
93,1437145183867,66.0
94,1437145183887,66.0
95,1437145183907,66.0
96,1437145183930,66.0
97,1437145183946,66.0
98,1437145183971,66.0
99,1437145183987,66.0
100,1437145184007,66.0
101,1437145184025,66.0
102,1437145184048,66.0
103,1437145184066,66.0
104,1437145184086,66.0
105,1437145184107,66.0
106,1437145184127,66.0
107,1437145184147,66.0
108,1437145184168,66.0
109,1437145184188,66.0
110,1437145184207,66.0
111,1437145184226,66.0
112,1437145184246,66.0
113,1437145184268,66.0
114,1437145184290,66.0
115,1437145184308,66.0
116,1437145184326,66.0
117,1437145184348,66.0
118,1437145184367,66.0
119,1437145184396,66.0
120,1437145184407,66.0
121,1437145184426,66.0
122,1437145184446,66.0
123,1437145184468,66.0
124,1437145184486,66.0
125,1437145184520,66.0
126,1437145184526,66.0
127,1437145184546,66.0
128,1437145184566,66.0
129,1437145184586,66.0
130,1437145184606,66.0
131,1437145184626,66.0
132,1437145184646,66.0
133,1437145184666,66.0
134,1437145184686,66.0
135,1437145184707,66.0
136,1437145184728,66.0
137,1437145184777,66.0
138,1437145184778,66.0
139,1437145184791,66.0
140,1437145184815,66.0
141,1437145184826,66.0
142,1437145184849,66.0
143,1437145184869,66.0
144,1437145184888,66.0
145,1437145184908,66.0
146,1437145184928,66.0
147,1437145184955,66.0
148,1437145184967,66.0
149,1437145184988,66.0
150,1437145185011,66.0
151,1437145185031,66.0
152,1437145185051,66.0
153,1437145185069,66.0
154,1437145185090,66.0
155,1437145185110,66.0
156,1437145185127,66.0
157,1437145185150,66.0
158,1437145185171,66.0
159,1437145185188,66.0
160,1437145185215,66.0
161,1437145185263,66.0
162,1437145185264,66.0
163,1437145185281,65.0
164,1437145185291,65.0
165,1437145185310,65.0
166,1437145185328,65.0
167,1437145185348,66.0
168,1437145185374,66.0
169,1437145185390,65.0
170,1437145185457,65.0
171,1437145185458,65.0
172,1437145185459,65.0
173,1437145185469,65.0
174,1437145185489,65.0
175,1437145185510,66.0
176,1437145185531,66.0
177,1437145185551,65.0
