id,attr_time,attr_x,attr_y,attr_z
1,1437145182027,12.876,-33.955,-11.682
2,1437145182052,12.876,-33.955,-11.682
3,1437145182068,12.876,-33.647,-11.682
4,1437145182086,12.876,-33.647,-11.682
5,1437145182114,12.876,-33.647,-11.682
6,1437145182125,12.876,-33.647,-11.682
7,1437145182145,12.876,-33.647,-11.682
8,1437145182170,12.876,-33.647,-11.996
9,1437145182190,12.876,-33.647,-11.996
10,1437145182211,12.876,-33.647,-11.996
11,1437145182231,12.876,-33.647,-11.996
12,1437145182248,12.876,-33.647,-11.996
13,1437145182265,12.876,-33.647,-11.996
14,1437145182285,12.876,-33.647,-11.996
15,1437145182305,12.876,-33.647,-11.996
16,1437145182327,12.876,-33.647,-11.996
17,1437145182345,12.876,-33.647,-11.996
18,1437145182400,12.876,-33.647,-11.996
19,1437145182412,12.876,-33.647,-11.996
20,1437145182413,12.876,-33.647,-11.996
21,1437145182442,12.876,-33.647,-11.996
22,1437145182445,12.876,-33.647,-11.996
23,1437145182489,12.876,-33.647,-11.996
24,1437145182490,12.876,-33.647,-11.996
25,1437145182507,12.876,-33.647,-11.996
26,1437145182527,12.876,-33.647,-11.996
27,1437145182547,12.876,-33.647,-11.996
28,1437145182574,12.876,-33.647,-11.996
29,1437145182589,12.876,-33.647,-11.996
30,1437145182606,12.876,-33.647,-11.996
31,1437145182629,12.876,-33.647,-11.996
32,1437145182649,12.876,-33.647,-11.996
33,1437145182669,12.876,-33.647,-11.996
34,1437145182689,12.876,-33.647,-11.996
35,1437145182709,12.876,-33.647,-11.996
36,1437145182730,12.876,-33.647,-11.996
37,1437145182749,12.876,-33.647,-11.996
38,1437145182769,12.876,-33.647,-11.996
39,1437145182787,12.876,-33.647,-11.996
40,1437145182808,12.876,-33.647,-11.996
41,1437145182829,12.876,-33.647,-11.996
42,1437145182846,12.876,-33.647,-11.996
43,1437145182903,12.876,-33.647,-11.996
44,1437145182906,12.876,-33.647,-11.996
45,1437145182915,12.876,-33.647,-11.996
46,1437145182960,12.876,-33.647,-11.996
47,1437145182961,12.876,-33.647,-11.996
48,1437145182966,12.876,-33.647,-11.996
49,1437145183009,12.876,-33.647,-11.996
50,1437145183010,12.876,-33.647,-11.996
51,1437145183027,12.876,-33.647,-11.996
52,1437145183048,12.876,-33.647,-11.996
53,1437145183069,12.876,-33.647,-11.996
54,1437145183087,12.876,-33.647,-11.996
55,1437145183108,12.876,-33.647,-11.996
56,1437145183127,12.876,-33.647,-11.996
57,1437145183146,12.876,-33.647,-11.996
58,1437145183166,12.876,-33.647,-11.996
59,1437145183189,12.876,-33.647,-11.996
60,1437145183207,13.179,-33.647,-11.996
61,1437145183232,13.179,-33.647,-11.996
62,1437145183250,13.179,-33.647,-12.309
63,1437145183268,13.179,-33.647,-12.309
64,1437145183287,13.179,-33.647,-12.309
