id,attr_time,attr_x,attr_y,attr_z
1,1437152993053,42.053,-18.688,-10.972
2,1437152993054,42.053,-18.688,-10.972
3,1437152993055,42.053,-18.373,-10.972
4,1437152993071,42.053,-18.373,-10.972
5,1437152993092,42.053,-18.373,-10.972
6,1437152993112,42.053,-18.373,-10.972
7,1437152993132,42.053,-17.985,-10.972
8,1437152993150,42.37,-17.985,-10.972
9,1437152993171,42.37,-17.985,-10.972
10,1437152993190,42.37,-17.985,-10.972
11,1437152993210,42.37,-17.616,-10.972
12,1437152993230,42.37,-17.616,-10.972
13,1437152993262,42.37,-17.616,-10.632
14,1437152993270,42.37,-17.265,-10.632
15,1437152993290,42.37,-17.265,-10.632
16,1437152993310,42.37,-17.265,-10.319
17,1437152993330,42.684,-16.874,-10.319
18,1437152993350,42.684,-16.874,-10.319
19,1437152993370,42.684,-16.874,-9.938
20,1437152993392,42.684,-16.389,-9.938
21,1437152993411,42.684,-16.389,-9.938
22,1437152993430,42.684,-15.362,-9.579
23,1437152993450,42.684,-14.073,-9.579
24,1437152993470,42.684,-13.677,-9.579
25,1437152993490,42.684,-13.249,-9.205
26,1437152993510,42.684,-13.249,-9.205
27,1437152993530,43.029,-13.249,-9.205
28,1437152993552,43.029,-13.249,-9.205
29,1437152993572,43.029,-13.249,-8.85
30,1437152993592,43.029,-13.249,-8.85
31,1437152993611,43.029,-12.872,-8.85
32,1437152993636,43.385,-12.872,-8.85
33,1437152993652,43.385,-12.872,-8.85
34,1437152993673,43.385,-12.872,-8.476
35,1437152993716,43.385,-12.872,-8.476
36,1437152993717,43.775,-12.872,-8.476
37,1437152993731,43.775,-12.872,-8.476
38,1437152993751,43.775,-12.414,-8.476
39,1437152993771,43.775,-12.414,-8.476
40,1437152993791,44.096,-12.414,-8.476
41,1437152993811,44.096,-12.002,-8.476
42,1437152993831,44.096,-12.002,-8.476
43,1437152993851,44.096,-12.002,-8.476
44,1437152993871,44.096,-12.002,-8.476
45,1437152993891,44.096,-11.648,-8.476
46,1437152993913,44.096,-11.648,-8.476
47,1437152993932,44.096,-11.648,-8.854
48,1437152993951,44.096,-11.648,-8.854
49,1437152993972,44.096,-11.279,-8.854
50,1437152994003,44.096,-11.279,-9.191
51,1437152994022,44.096,-11.279,-9.191
52,1437152994032,44.096,-11.279,-9.535
53,1437152994052,44.096,-11.279,-9.535
54,1437152994072,44.096,-11.279,-9.872
55,1437152994092,44.096,-10.951,-9.872
56,1437152994112,44.096,-10.951,-9.872
57,1437152994132,44.096,-10.951,-10.339
58,1437152994154,44.096,-10.951,-10.339
59,1437152994173,44.096,-10.951,-10.725
60,1437152994193,44.096,-10.951,-10.725
61,1437152994212,44.096,-10.951,-11.058
62,1437152994234,44.096,-10.951,-11.058
63,1437152994253,44.096,-10.951,-11.058
64,1437152994273,44.096,-10.951,-11.485
65,1437152994295,44.416,-10.951,-11.485
66,1437152994312,44.416,-10.951,-11.796
67,1437152994335,44.416,-10.951,-11.796
68,1437152994356,44.416,-10.951,-12.103
69,1437152994376,44.416,-10.951,-12.103
70,1437152994396,44.416,-10.951,-12.464
71,1437152994412,44.416,-10.951,-12.464
72,1437152994433,44.416,-10.951,-12.786
73,1437152994458,44.416,-10.951,-12.786
74,1437152994473,44.416,-10.951,-13.241
75,1437152994492,44.416,-10.951,-13.241
76,1437152994514,44.416,-11.262,-13.641
77,1437152994532,44.416,-11.262,-13.641
78,1437152994558,44.416,-11.262,-14.334
79,1437152994574,44.416,-11.262,-14.334
80,1437152994593,44.064,-11.262,-15.034
81,1437152994613,44.064,-11.262,-15.034
82,1437152994633,44.064,-11.566,-15.034
83,1437152994682,44.064,-11.566,-15.034
84,1437152994683,43.696,-11.566,-15.034
85,1437152994694,43.696,-11.566,-15.034
86,1437152994713,43.696,-11.882,-15.452
87,1437152994734,43.696,-11.882,-15.452
88,1437152994753,43.696,-11.882,-15.452
89,1437152994773,43.696,-11.882,-15.774
90,1437152994793,43.386,-11.882,-15.774
91,1437152994813,43.386,-12.207,-15.774
92,1437152994834,43.386,-12.207,-15.774
93,1437152994856,43.386,-12.207,-15.774
94,1437152994874,43.386,-12.207,-15.774
95,1437152994893,43.386,-12.207,-16.087
96,1437152994914,43.386,-12.207,-16.087
97,1437152994934,43.386,-12.207,-16.087
98,1437152994956,43.386,-12.528,-16.087
99,1437152994973,43.386,-12.528,-16.087
100,1437152994994,43.386,-12.528,-16.087
101,1437152995015,43.386,-12.528,-16.087
102,1437152995033,43.386,-12.528,-16.087
103,1437152995055,43.386,-12.528,-16.087
104,1437152995075,43.386,-12.528,-16.087
105,1437152995095,43.386,-12.528,-16.087
106,1437152995117,43.386,-12.528,-16.087
107,1437152995133,43.386,-12.528,-16.087
108,1437152995153,43.386,-12.528,-16.087
