id,attr_time,attr_light
1,1437146239018,8.0
2,1437146239037,8.0
3,1437146239058,8.0
4,1437146239078,8.0
5,1437146239097,8.0
6,1437146239116,8.0
7,1437146239135,8.0
8,1437146239155,8.0
9,1437146239184,8.0
10,1437146239197,8.0
11,1437146239214,8.0
12,1437146239239,8.0
13,1437146239257,8.0
14,1437146239278,8.0
15,1437146239295,8.0
16,1437146239316,8.0
17,1437146239335,8.0
18,1437146239355,7.0
19,1437146239376,7.0
20,1437146239400,7.0
21,1437146239420,7.0
22,1437146239435,7.0
23,1437146239461,7.0
24,1437146239535,7.0
25,1437146239536,7.0
26,1437146239537,7.0
27,1437146239538,7.0
28,1437146239557,7.0
29,1437146239577,7.0
30,1437146239596,7.0
31,1437146239618,7.0
32,1437146239636,7.0
33,1437146239658,7.0
34,1437146239676,7.0
35,1437146239695,7.0
36,1437146239716,7.0
37,1437146239744,7.0
38,1437146239755,7.0
39,1437146239777,7.0
40,1437146239798,7.0
41,1437146239815,7.0
42,1437146239835,7.0
43,1437146239856,7.0
44,1437146239877,7.0
45,1437146239898,7.0
46,1437146239915,7.0
47,1437146239938,7.0
48,1437146239957,7.0
49,1437146239976,7.0
50,1437146239996,7.0
51,1437146240016,7.0
52,1437146240035,7.0
53,1437146240055,7.0
54,1437146240076,7.0
55,1437146240095,7.0
56,1437146240117,7.0
57,1437146240137,7.0
58,1437146240155,7.0
59,1437146240178,7.0
60,1437146240256,7.0
61,1437146240257,7.0
62,1437146240258,7.0
63,1437146240259,7.0
64,1437146240278,7.0
65,1437146240298,7.0
66,1437146240327,7.0
67,1437146240349,7.0
68,1437146240397,7.0
69,1437146240398,7.0
70,1437146240399,7.0
71,1437146240420,7.0
72,1437146240436,7.0
73,1437146240458,7.0
74,1437146240477,7.0
75,1437146240499,8.0
76,1437146240518,8.0
77,1437146240538,8.0
78,1437146240557,8.0
79,1437146240576,8.0
80,1437146240597,8.0
81,1437146240616,8.0
82,1437146240637,8.0
83,1437146240657,8.0
84,1437146240678,8.0
85,1437146240698,8.0
86,1437146240717,7.0
87,1437146240737,7.0
88,1437146240760,7.0
89,1437146240779,7.0
90,1437146240797,7.0
91,1437146240816,7.0
92,1437146240836,7.0
93,1437146240857,8.0
94,1437146240877,8.0
95,1437146240898,8.0
96,1437146240918,8.0
97,1437146240989,8.0
98,1437146240990,8.0
99,1437146240991,8.0
100,1437146240999,9.0
101,1437146241017,9.0
102,1437146241038,9.0
103,1437146241056,9.0
104,1437146241076,8.0
105,1437146241101,8.0
106,1437146241117,8.0
107,1437146241137,8.0
108,1437146241158,8.0
109,1437146241178,8.0
110,1437146241199,7.0
111,1437146241218,7.0
112,1437146241238,7.0
113,1437146241258,7.0
114,1437146241278,7.0
115,1437146241299,6.0
116,1437146241319,6.0
117,1437146241341,6.0
118,1437146241359,6.0
119,1437146241385,6.0
120,1437146241398,6.0
121,1437146241418,6.0
122,1437146241439,6.0
123,1437146241458,6.0
124,1437146241477,6.0
125,1437146241498,6.0
126,1437146241519,6.0
127,1437146241540,6.0
128,1437146241558,6.0
129,1437146241578,6.0
130,1437146241597,6.0
131,1437146241617,5.0
132,1437146241644,5.0
133,1437146241705,5.0
134,1437146241706,5.0
135,1437146241707,5.0
136,1437146241724,5.0
137,1437146241737,5.0
138,1437146241766,5.0
139,1437146241777,5.0
140,1437146241798,5.0
141,1437146241818,5.0
142,1437146241838,6.0
143,1437146241859,6.0
144,1437146241879,6.0
145,1437146241898,6.0
146,1437146241918,6.0
147,1437146241938,6.0
148,1437146241958,7.0
149,1437146241979,7.0
150,1437146241998,7.0
151,1437146242018,7.0
152,1437146242037,7.0
153,1437146242058,7.0
154,1437146242078,7.0
155,1437146242099,7.0
156,1437146242118,7.0
