id,attr_time,attr_x,attr_y,attr_z
1,1437139316404,6.434,-40.193,15.301
2,1437139316425,6.434,-40.193,15.301
3,1437139316443,6.434,-40.193,15.301
4,1437139316479,6.434,-40.193,15.301
5,1437139316491,6.434,-40.193,15.301
6,1437139316502,6.434,-40.193,15.301
7,1437139316523,6.434,-40.193,15.301
8,1437139316542,6.434,-40.193,15.301
9,1437139316562,6.434,-40.193,15.301
10,1437139316588,6.434,-40.193,15.301
11,1437139316606,6.434,-40.193,15.608
12,1437139316623,6.434,-40.193,15.608
13,1437139316644,6.434,-40.193,15.608
14,1437139316666,6.434,-40.193,15.608
15,1437139316690,6.434,-40.193,15.608
16,1437139316710,6.434,-40.193,15.608
17,1437139316723,6.434,-40.193,15.608
18,1437139316743,6.434,-40.193,15.608
19,1437139316763,6.434,-40.193,15.608
20,1437139316783,6.434,-40.193,15.608
21,1437139316805,6.434,-40.193,15.608
22,1437139316825,6.111,-40.193,15.608
23,1437139316845,6.111,-40.193,15.608
24,1437139316866,6.111,-40.193,15.608
25,1437139316886,6.111,-40.193,15.608
26,1437139316904,6.111,-40.193,15.608
27,1437139316926,6.111,-40.193,15.608
28,1437139316946,6.111,-40.193,15.608
29,1437139316964,6.111,-40.193,15.608
30,1437139316983,6.111,-40.193,15.608
31,1437139317003,6.111,-40.193,15.608
32,1437139317024,6.111,-40.193,15.608
33,1437139317045,6.111,-40.193,15.608
34,1437139317065,6.111,-40.193,15.608
35,1437139317086,6.111,-40.193,15.608
36,1437139317103,6.428,-40.193,15.608
37,1437139317123,6.428,-40.193,15.608
38,1437139317143,6.428,-40.193,15.608
39,1437139317166,6.428,-40.193,15.608
40,1437139317188,6.428,-40.193,15.608
41,1437139317209,6.428,-40.193,15.264
42,1437139317225,6.428,-40.193,15.264
43,1437139317244,6.428,-40.193,15.264
44,1437139317263,6.428,-40.193,15.264
45,1437139317283,6.428,-40.193,15.264
46,1437139317307,6.428,-40.193,15.264
47,1437139317325,6.428,-40.193,15.264
48,1437139317378,6.428,-40.193,15.264
49,1437139317391,6.428,-40.193,15.264
50,1437139317392,6.428,-40.193,15.264
51,1437139317403,6.428,-40.193,15.264
52,1437139317428,6.428,-40.193,15.264
53,1437139317445,6.428,-40.193,15.264
54,1437139317464,6.428,-40.193,15.264
55,1437139317487,6.428,-40.193,15.264
56,1437139317505,6.428,-40.193,15.264
57,1437139317525,6.428,-40.193,15.264
58,1437139317545,6.428,-40.193,15.264
59,1437139317567,6.428,-40.193,15.264
60,1437139317584,6.115,-40.193,15.264
61,1437139317607,6.115,-40.193,15.264
62,1437139317628,6.115,-40.193,15.264
63,1437139317646,6.115,-40.193,15.264
64,1437139317674,6.115,-40.193,15.264
65,1437139317686,6.115,-40.193,15.264
66,1437139317708,6.115,-40.193,15.264
67,1437139317728,6.115,-40.193,15.264
68,1437139317749,6.115,-40.193,15.264
69,1437139317767,6.115,-40.193,15.264
70,1437139317788,6.115,-40.193,15.264
71,1437139317806,6.115,-40.193,15.264
72,1437139317827,6.115,-40.193,15.264
73,1437139317846,6.115,-40.193,15.264
74,1437139317866,6.115,-40.193,15.264
75,1437139317887,6.115,-40.193,15.264
76,1437139317906,6.115,-40.193,15.264
77,1437139317927,6.115,-40.193,15.264
78,1437139317945,6.43,-40.193,15.264
79,1437139317967,6.43,-40.193,15.264
80,1437139317986,6.43,-40.193,15.264
81,1437139318006,6.43,-40.193,15.264
82,1437139318025,6.43,-40.193,15.264
83,1437139318086,6.43,-40.193,15.264
84,1437139318087,6.43,-40.193,15.264
85,1437139318088,6.43,-40.193,15.264
86,1437139318106,6.43,-40.193,15.264
87,1437139318124,6.43,-40.193,15.264
88,1437139318145,6.43,-40.193,15.264
89,1437139318164,6.43,-40.193,15.264
90,1437139318190,6.43,-40.193,15.264
91,1437139318205,6.112,-40.193,15.597
92,1437139318226,6.112,-40.193,15.597
93,1437139318251,6.112,-40.193,15.597
94,1437139318265,6.112,-40.193,15.597
95,1437139318291,6.112,-40.193,15.597
96,1437139318307,6.112,-40.193,15.597
97,1437139318328,6.112,-40.193,15.597
98,1437139318345,6.112,-40.193,15.597
99,1437139318368,6.112,-40.193,15.597
100,1437139318388,6.112,-40.193,15.597
101,1437139318408,6.112,-40.193,15.597
102,1437139318428,6.112,-40.193,15.597
103,1437139318447,6.112,-40.193,15.597
104,1437139318469,6.112,-40.193,15.597
105,1437139318485,6.112,-40.193,15.597
106,1437139318509,6.112,-40.193,15.597
107,1437139318528,6.112,-40.193,15.597
108,1437139318546,6.112,-40.193,15.597
109,1437139318568,6.112,-40.193,15.597
110,1437139318588,6.112,-40.193,15.597
111,1437139318605,6.112,-40.193,15.597
112,1437139318628,6.112,-40.193,15.597
113,1437139318645,6.112,-40.193,15.597
114,1437139318671,6.112,-40.193,15.597
115,1437139318690,6.112,-40.193,15.597
116,1437139318709,6.112,-40.193,15.597
117,1437139318726,6.112,-40.193,15.597
118,1437139318797,6.112,-40.193,15.597
119,1437139318798,6.112,-40.193,15.597
120,1437139318800,6.112,-40.193,15.597
121,1437139318816,6.112,-40.193,15.597
122,1437139318825,6.112,-40.193,15.597
123,1437139318851,6.112,-40.193,15.597
124,1437139318869,6.112,-40.193,15.597
125,1437139318885,6.112,-40.193,15.597
126,1437139318908,6.112,-40.193,15.597
127,1437139318925,6.112,-40.193,15.597
128,1437139318947,6.112,-40.193,15.597
129,1437139318965,6.112,-40.193,15.597
130,1437139318991,6.112,-40.193,15.597
131,1437139319006,6.112,-40.193,15.597
132,1437139319028,6.112,-40.193,15.597
133,1437139319047,6.112,-40.193,15.597
134,1437139319068,6.112,-40.193,15.597
135,1437139319088,6.112,-40.193,15.597
136,1437139319108,6.112,-40.193,15.597
137,1437139319128,6.112,-40.193,15.597
138,1437139319147,6.112,-40.193,15.597
139,1437139319168,6.112,-40.193,15.597
140,1437139319191,6.112,-40.193,15.597
141,1437139319207,6.112,-40.193,15.597
142,1437139319228,6.112,-40.193,15.597
143,1437139319249,6.112,-40.193,15.597
144,1437139319269,6.112,-40.193,15.597
145,1437139319289,6.112,-40.193,15.597
146,1437139319308,6.112,-40.193,15.597
147,1437139319329,6.112,-40.193,15.597
148,1437139319346,6.112,-40.193,15.597
149,1437139319368,6.112,-40.193,15.597
150,1437139319390,6.416,-40.193,15.597
151,1437139319410,6.416,-40.193,15.597
152,1437139319436,6.416,-40.193,15.597
153,1437139319449,6.416,-40.193,15.597
154,1437139319469,6.416,-40.193,15.597
155,1437139319535,6.416,-40.193,15.597
156,1437139319536,6.416,-40.193,15.597
157,1437139319537,6.416,-40.193,15.597
158,1437139319545,6.416,-40.193,15.597
159,1437139319572,6.416,-40.193,15.597
160,1437139319591,6.416,-40.193,15.597
161,1437139319605,6.416,-40.193,15.597
162,1437139319628,6.416,-40.193,15.597
163,1437139319653,6.416,-40.193,15.597
164,1437139319666,6.416,-40.193,15.597
165,1437139319686,6.416,-40.193,15.597
166,1437139319714,6.416,-40.193,15.597
167,1437139319726,6.416,-40.193,15.597
168,1437139319749,6.416,-40.193,15.597
169,1437139319769,6.416,-40.193,15.597
170,1437139319789,6.416,-40.193,15.597
171,1437139319809,6.416,-40.193,15.597
172,1437139319830,6.416,-40.193,15.597
173,1437139319849,6.416,-40.193,15.597
174,1437139319869,6.416,-40.193,15.597
175,1437139319889,6.416,-40.193,15.597
176,1437139319909,6.416,-40.193,15.597
177,1437139319931,6.416,-40.193,15.597
178,1437139319946,6.416,-40.193,15.597
179,1437139319969,6.416,-40.193,15.597
180,1437139319989,6.416,-40.193,15.597
181,1437139320007,6.416,-40.193,15.597
182,1437139320029,6.416,-40.193,15.597
183,1437139320049,6.416,-40.193,15.597
184,1437139320069,6.416,-40.193,15.597
185,1437139320089,6.416,-40.193,15.597
186,1437139320109,6.416,-40.193,15.597
187,1437139320130,6.416,-40.193,15.597
188,1437139320150,6.416,-40.193,15.597
189,1437139320170,6.416,-40.193,15.597
190,1437139320190,6.416,-40.193,15.597
191,1437139320208,6.416,-40.193,15.597
192,1437139320278,6.416,-40.193,15.597
193,1437139320279,6.416,-40.193,15.597
194,1437139320280,6.416,-40.193,15.597
195,1437139320288,6.416,-40.193,15.597
196,1437139320314,6.416,-40.193,15.597
197,1437139320329,6.416,-40.193,15.597
198,1437139320346,6.416,-40.193,15.597
199,1437139320369,6.416,-40.193,15.597
200,1437139320389,6.416,-40.193,15.597
201,1437139320408,6.416,-40.193,15.597
202,1437139320428,6.416,-40.193,15.597
203,1437139320449,6.416,-40.193,15.597
204,1437139320466,6.416,-40.193,15.597
205,1437139320490,6.416,-40.193,15.293
206,1437139320510,6.416,-40.193,15.293
207,1437139320530,6.416,-40.193,15.293
208,1437139320549,6.416,-40.193,15.293
209,1437139320570,6.416,-40.193,15.293
210,1437139320590,6.416,-40.193,15.293
211,1437139320610,6.416,-40.193,15.293
212,1437139320628,6.416,-40.193,15.293
213,1437139320647,6.416,-40.193,15.293
214,1437139320774,6.416,-40.193,15.293
215,1437139320775,6.416,-40.193,15.293
216,1437139320776,6.416,-40.193,15.293
217,1437139320777,6.416,-40.193,15.293
218,1437139320778,6.416,-40.193,15.293
219,1437139320779,6.416,-40.193,15.293
220,1437139320790,6.416,-40.193,15.293
221,1437139320813,6.416,-40.193,15.293
222,1437139320833,6.416,-40.193,15.293
223,1437139320850,6.416,-40.193,15.293
224,1437139320868,6.727,-40.193,15.293
225,1437139320888,6.727,-40.193,15.293
226,1437139320908,6.727,-40.193,15.293
227,1437139320930,6.727,-40.193,15.293
228,1437139320951,6.727,-40.193,15.293
229,1437139321021,6.727,-40.193,15.293
230,1437139321022,6.727,-40.193,15.293
231,1437139321023,6.727,-40.193,15.293
232,1437139321032,6.727,-40.193,15.293
233,1437139321049,6.727,-40.193,15.293
234,1437139321069,6.727,-40.193,15.293
235,1437139321087,6.727,-40.193,15.293
236,1437139321110,6.727,-40.193,15.293
237,1437139321137,6.727,-40.193,15.293
238,1437139321148,6.727,-40.193,15.293
239,1437139321167,6.727,-40.193,15.293
240,1437139321188,6.727,-40.193,15.293
241,1437139321209,6.727,-40.193,15.293
242,1437139321229,6.727,-40.193,15.293
243,1437139321251,6.727,-40.193,15.293
244,1437139321270,6.727,-40.193,15.293
245,1437139321290,6.727,-40.193,15.293
246,1437139321311,6.727,-40.193,15.293
247,1437139321330,6.727,-40.193,15.293
248,1437139321350,6.727,-40.193,15.293
249,1437139321371,6.727,-40.193,15.293
250,1437139321390,6.727,-40.193,15.293
251,1437139321410,6.727,-40.193,15.293
252,1437139321431,6.727,-40.193,15.293
253,1437139321451,6.727,-40.193,15.293
254,1437139321471,6.727,-40.193,15.293
255,1437139321491,6.727,-40.193,15.293
256,1437139321511,6.727,-40.193,15.293
257,1437139321531,6.727,-40.193,15.293
258,1437139321551,6.727,-40.193,15.293
259,1437139321571,6.727,-40.193,15.293
260,1437139321591,6.727,-40.193,15.293
261,1437139321611,6.727,-40.193,15.293
262,1437139321629,6.727,-40.193,15.293
263,1437139321650,6.727,-40.193,15.293
264,1437139321754,6.727,-40.193,15.293
265,1437139321755,6.727,-40.193,15.293
266,1437139321756,6.727,-40.193,15.293
267,1437139321757,6.727,-40.193,15.293
268,1437139321758,6.727,-40.193,15.293
269,1437139321774,6.727,-40.193,15.605
270,1437139321788,6.727,-40.193,15.605
271,1437139321810,6.401,-40.193,15.605
272,1437139321830,6.401,-40.193,15.605
273,1437139321850,6.401,-40.193,15.605
274,1437139321870,6.401,-40.193,15.605
275,1437139321888,6.401,-40.193,15.605
276,1437139321909,6.401,-40.193,15.605
277,1437139321931,6.401,-40.193,15.605
278,1437139321950,6.401,-40.193,15.605
279,1437139321971,6.401,-40.193,15.605
280,1437139322001,6.08,-40.193,15.907
