id,attr_time,attr_lat,attr_lng
1,1437236143097,49.4473465,8.8963091
2,1437236163134,49.4473448,8.8963081
3,1437236183894,49.4473448,8.8963081
4,1437236204343,49.447347,8.8963164
5,1437236224928,49.4473448,8.8963081
6,1437236245126,49.4473469,8.8963176
7,1437236265276,49.4473453,8.8963072
8,1437236285672,49.4473452,8.8963071
9,1437236305729,49.4473453,8.8963072
10,1437236326113,49.4473471,8.8963111
11,1437236346750,49.4473328,8.8963104
12,1437236366570,49.4473343,8.8963127
13,1437236376000,49.44743387,8.89648882
14,1437236392000,49.44743611,8.89648993
15,1437236398000,49.4474361,8.89648994
16,1437236407530,49.4473367,8.8963137
17,1437236421000,49.4473732,8.8965057
18,1437236427583,49.4473449,8.8963087
19,1437236448381,49.4473454,8.8963069
20,1437236468401,49.4473454,8.8963069
21,1437236488420,49.4473475,8.8963106
22,1437236508682,49.4473477,8.8963158
23,1437236529375,49.4473469,8.8963174
24,1437236552000,49.44737433,8.89648109
25,1437236569650,49.4473475,8.8963106
26,1437236590164,49.4473454,8.8963069
27,1437236609846,49.4473455,8.8963072
28,1437236630131,49.4473475,8.8963107
29,1437236651274,49.4473457,8.8963075
30,1437236671423,49.4473453,8.8963074
31,1437236691682,49.4473465,8.8963109
32,1437236700000,49.44738013,8.89648654
33,1437236711630,49.4473453,8.8963074
34,1437236733000,49.44737954,8.89648194
35,1437236752096,49.4473468,8.896319
36,1437236772750,49.4473484,8.8963047
