id,attr_time,attr_light
1,1437230989519,248.0
2,1437230989539,247.0
3,1437230989561,247.0
4,1437230989582,247.0
5,1437230989603,247.0
6,1437230989621,247.0
7,1437230989641,247.0
8,1437230989662,248.0
9,1437230989682,248.0
10,1437230989701,249.0
11,1437230989719,249.0
12,1437230989739,249.0
13,1437230989759,250.0
14,1437230989779,250.0
15,1437230989803,250.0
16,1437230989823,250.0
17,1437230989843,250.0
18,1437230989862,250.0
19,1437230989882,249.0
20,1437230989901,249.0
21,1437230989922,249.0
22,1437230990029,249.0
23,1437230990030,249.0
24,1437230990031,249.0
25,1437230990032,249.0
26,1437230990033,250.0
27,1437230990050,250.0
28,1437230990061,250.0
29,1437230990087,250.0
30,1437230990099,249.0
31,1437230990119,249.0
32,1437230990142,249.0
33,1437230990159,249.0
34,1437230990179,248.0
35,1437230990200,246.0
36,1437230990219,246.0
37,1437230990242,244.0
38,1437230990262,244.0
39,1437230990282,246.0
40,1437230990299,246.0
41,1437230990321,248.0
42,1437230990340,248.0
43,1437230990361,249.0
44,1437230990384,249.0
45,1437230990403,250.0
46,1437230990423,250.0
47,1437230990441,250.0
48,1437230990460,250.0
49,1437230990480,250.0
50,1437230990500,249.0
51,1437230990520,249.0
52,1437230990544,248.0
53,1437230990565,248.0
54,1437230990586,246.0
55,1437230990670,245.0
56,1437230990671,245.0
57,1437230990672,247.0
58,1437230990673,247.0
59,1437230990680,248.0
60,1437230990764,248.0
61,1437230990765,249.0
62,1437230990766,249.0
63,1437230990767,249.0
64,1437230990801,249.0
65,1437230990806,249.0
66,1437230990827,248.0
67,1437230990840,248.0
68,1437230990884,246.0
69,1437230990885,246.0
70,1437230990926,246.0
71,1437230990927,246.0
72,1437230990940,247.0
73,1437230990960,247.0
74,1437230990980,248.0
75,1437230991000,248.0
76,1437230991021,247.0
77,1437230991040,246.0
78,1437230991060,246.0
79,1437230991083,246.0
80,1437230991101,246.0
81,1437230991119,246.0
82,1437230991144,246.0
83,1437230991164,247.0
84,1437230991180,247.0
85,1437230991203,247.0
86,1437230991219,247.0
87,1437230991239,248.0
88,1437230991260,249.0
89,1437230991282,249.0
90,1437230991299,249.0
91,1437230991323,249.0
92,1437230991341,248.0
93,1437230991359,248.0
94,1437230991380,248.0
95,1437230991399,248.0
96,1437230991420,249.0
97,1437230991445,249.0
98,1437230991459,249.0
99,1437230991480,248.0
100,1437230991499,248.0
101,1437230991519,248.0
102,1437230991544,248.0
103,1437230991564,249.0
104,1437230991580,249.0
105,1437230991602,248.0
106,1437230991621,248.0
107,1437230991643,245.0
108,1437230991660,245.0
109,1437230991684,244.0
110,1437230991703,241.0
111,1437230991724,241.0
112,1437230991743,238.0
113,1437230991763,238.0
114,1437230991780,236.0
115,1437230991803,236.0
116,1437230991824,234.0
117,1437230991844,234.0
118,1437230991865,230.0
119,1437230991884,230.0
120,1437230991902,226.0
121,1437230991922,224.0
122,1437230991943,224.0
123,1437230991964,222.0
124,1437230991984,222.0
125,1437230992004,224.0
126,1437230992024,224.0
127,1437230992042,225.0
128,1437230992068,225.0
129,1437230992131,228.0
130,1437230992132,228.0
131,1437230992133,228.0
132,1437230992141,230.0
133,1437230992161,230.0
134,1437230992183,239.0
135,1437230992206,239.0
136,1437230992222,251.0
137,1437230992244,251.0
138,1437230992266,260.0
139,1437230992292,260.0
140,1437230992308,262.0
141,1437230992327,250.0
142,1437230992344,250.0
143,1437230992362,237.0
144,1437230992386,237.0
145,1437230992405,230.0
146,1437230993544,230.0
147,1437230993545,223.0
148,1437230993546,223.0
149,1437230993547,206.0
150,1437230993548,206.0
151,1437230993549,188.0
152,1437230993550,168.0
153,1437230993551,168.0
154,1437230993552,158.0
155,1437230993553,158.0
156,1437230993554,158.0
157,1437230993555,158.0
158,1437230993556,167.0
159,1437230993557,167.0
160,1437230993558,178.0
161,1437230993559,178.0
162,1437230993560,164.0
163,1437230993561,146.0
164,1437230993562,146.0
165,1437230993563,153.0
166,1437230993564,153.0
167,1437230993565,148.0
168,1437230993566,148.0
169,1437230993567,121.0
170,1437230993568,121.0
171,1437230993569,123.0
172,1437230993570,123.0
173,1437230993571,131.0
174,1437230993572,171.0
175,1437230993573,171.0
176,1437230993574,231.0
177,1437230993575,231.0
178,1437230993576,301.0
179,1437230993577,301.0
180,1437230993578,269.0
181,1437230993579,269.0
182,1437230993580,280.0
183,1437230993581,280.0
184,1437230993582,536.0
185,1437230993583,727.0
186,1437230993584,727.0
187,1437230993585,833.0
188,1437230993586,833.0
189,1437230993587,783.0
190,1437230993588,783.0
191,1437230993589,442.0
192,1437230993590,442.0
193,1437230993591,431.0
194,1437230993592,431.0
195,1437230993593,592.0
196,1437230993594,588.0
197,1437230993595,588.0
198,1437230993596,261.0
199,1437230993597,261.0
200,1437230993598,189.0
201,1437230993599,189.0
202,1437230993600,226.0
203,1437230993601,226.0
204,1437230993602,225.0
205,1437230993603,164.0
206,1437230993621,164.0
207,1437230993641,201.0
208,1437230993661,201.0
209,1437230993681,308.0
210,1437230993701,308.0
211,1437230993721,400.0
212,1437230993741,400.0
213,1437230993762,782.0
214,1437230993784,782.0
