id,attr_time,attr_lat,attr_lng
1,1437229796000,49.45018679,8.89788115
2,1437229805000,49.4501865,8.89787949
3,1437229818000,49.45018615,8.89787599
4,1437229829000,49.45018713,8.8978755
5,1437229839000,49.45019184,8.89787095
6,1437229851000,49.45019262,8.89786399
7,1437229859000,49.4501948,8.897854
8,1437229870000,49.45020145,8.89784539
9,1437229881000,49.4502042,8.89784434
10,1437229890000,49.45020453,8.89784137
11,1437229901000,49.4502054,8.89783523
12,1437229912000,49.45020844,8.89783315
13,1437229921000,49.45021019,8.89783333
14,1437229932000,49.45021391,8.89784837
15,1437229941000,49.4502166,8.89785023
16,1437229954000,49.45021598,8.89785589
17,1437229961000,49.45021381,8.8978639
18,1437229973000,49.45021382,8.89788325
19,1437229982000,49.45021277,8.8978933
20,1437229993000,49.45021306,8.8978863
21,1437230004000,49.45021127,8.89788499
22,1437230013000,49.4502107,8.89788573
23,1437230024000,49.45021011,8.89788387
24,1437230035000,49.45020948,8.89788444
25,1437230044000,49.45020959,8.89788387
26,1437230054000,49.45021249,8.89788796
27,1437230065000,49.45021469,8.89789267
28,1437230076000,49.45021519,8.89789262
29,1437230095000,49.45020705,8.89787462
30,1437230105000,49.45020507,8.8978728
31,1437230115000,49.45020415,8.89787335
32,1437230126000,49.45020311,8.89787391
33,1437230136000,49.45020164,8.89787491
34,1437230147000,49.45020063,8.89787706
35,1437230157000,49.45019991,8.89787858
36,1437230167000,49.45019931,8.89787892
37,1437230177000,49.45019714,8.89788099
38,1437230189000,49.45019616,8.89788272
39,1437230199000,49.45019503,8.89788393
40,1437230210000,49.45019284,8.89788376
41,1437230220000,49.45019121,8.89788163
42,1437230229000,49.45019188,8.89788218
43,1437230238000,49.45019353,8.89788469
44,1437230250000,49.45019193,8.89788059
45,1437230259000,49.45019077,8.89787707
46,1437230270000,49.45018929,8.89787321
47,1437230280000,49.45018422,8.89786263
48,1437230291000,49.45018193,8.89785818
49,1437230301000,49.45018129,8.89785705
50,1437230310000,49.45017885,8.89785101
51,1437230321000,49.45017841,8.89785168
52,1437230330000,49.45017786,8.89785192
53,1437230340000,49.45017847,8.8978532
54,1437230351000,49.45017769,8.89785196
55,1437230361000,49.4501774,8.89785139
56,1437230374000,49.45017734,8.89784936
57,1437230382000,49.45017721,8.89784852
58,1437230391000,49.45017641,8.89784709
59,1437230404000,49.45017577,8.89784647
60,1437230414000,49.45017644,8.89784774
61,1437230424000,49.45017622,8.89784854
62,1437230434000,49.4501757,8.89784807
