id,attr_time,attr_lat,attr_lng
1,1437230220000,49.4506212,8.89812857
2,1437230227000,49.45061553,8.89809423
3,1437230237000,49.45061741,8.89808843
4,1437230248000,49.45060781,8.89809598
5,1437230259000,49.45061019,8.89809785
6,1437230268000,49.45060886,8.89812054
7,1437230282000,49.45062532,8.89816275
8,1437230288000,49.45062413,8.89816462
9,1437230301000,49.45062322,8.89815326
10,1437230310000,49.45061688,8.89815043
11,1437230321000,49.45061581,8.89819445
12,1437230331000,49.45059779,8.89820605
13,1437230342000,49.45058063,8.89819994
14,1437230352000,49.45053944,8.89817293
15,1437230372000,49.45053954,8.89817517
16,1437230385000,49.45053821,8.89816918
17,1437230404000,49.45053534,8.89816991
18,1437230408000,49.45053534,8.89816991
19,1437230422000,49.45052052,8.89816886
20,1437230429000,49.45050597,8.89816412
