id,attr_time,attr_x,attr_y,attr_z
1,1437229794042,42.3599,8.9386,-24.8611
2,1437229794058,42.3599,8.9386,-24.8611
3,1437229794081,43.0618,11.7508,-24.8611
4,1437229794098,40.9592,10.6964,-26.207
5,1437229794122,40.9592,10.6964,-26.207
6,1437229794139,43.0618,9.64203,-25.5341
7,1437229794161,41.835,10.8719,-25.3662
8,1437229794176,41.835,10.8719,-25.3662
9,1437229794203,42.5354,10.8719,-25.0305
10,1437229794216,41.6595,11.0474,-25.8713
11,1437229794240,41.6595,11.0474,-25.8713
12,1437229794255,41.835,10.8719,-24.0204
13,1437229794280,41.835,11.5753,-24.0204
14,1437229794294,41.835,11.5753,-24.0204
15,1437229794319,43.2358,10.5209,-25.3662
16,1437229794334,42.3599,9.28955,-25.1984
17,1437229794359,42.3599,9.28955,-25.1984
18,1437229794374,41.4841,9.46503,-24.6933
19,1437229794400,43.4113,9.64203,-25.1984
20,1437229794413,43.4113,9.64203,-25.1984
21,1437229794438,42.7109,9.28955,-25.1984
22,1437229794452,43.7622,9.64203,-24.1898
23,1437229794476,43.7622,9.64203,-24.1898
24,1437229794493,42.3599,9.99298,-25.5341
25,1437229794516,42.0105,9.28955,-24.8611
26,1437229794532,42.0105,9.28955,-24.8611
27,1437229794556,41.4841,10.1685,-25.0305
28,1437229794575,42.3599,9.64203,-25.8713
29,1437229794596,42.3599,9.64203,-25.8713
30,1437229794610,41.3086,9.99298,-25.8713
31,1437229794635,43.4113,9.99298,-24.5255
32,1437229794649,43.4113,9.99298,-24.5255
33,1437229794674,42.7109,9.28955,-26.207
34,1437229794690,43.2358,8.41065,-26.712
35,1437229794712,43.2358,8.41065,-26.712
36,1437229794729,42.186,9.11407,-26.0391
37,1437229794753,41.835,9.11407,-26.712
38,1437229794772,41.835,9.11407,-26.712
39,1437229794793,41.835,9.46503,-25.3662
40,1437229794809,41.3086,9.99298,-27.2156
41,1437229794833,41.3086,9.99298,-27.2156
42,1437229794848,42.186,8.76312,-26.3748
43,1437229794871,42.8864,8.76312,-23.6847
44,1437229794888,42.8864,8.76312,-23.6847
45,1437229794912,42.0105,9.64203,-25.1984
46,1437229794926,42.0105,8.9386,-24.8611
47,1437229794951,42.0105,8.9386,-24.8611
48,1437229794968,42.5354,8.76312,-26.0391
49,1437229794991,41.4841,9.11407,-24.6933
50,1437229795006,41.4841,9.11407,-24.6933
51,1437229795029,42.0105,9.99298,-24.1898
52,1437229795046,41.3086,9.28955,-23.5168
53,1437229795069,41.3086,9.28955,-23.5168
54,1437229795085,43.5867,10.1685,-25.3662
55,1437229795110,42.3599,9.99298,-25.8713
56,1437229795125,42.3599,9.99298,-25.8713
57,1437229795148,41.4841,9.11407,-24.3576
58,1437229795167,42.5354,9.46503,-26.3748
59,1437229795189,42.5354,9.46503,-26.3748
60,1437229795204,41.835,9.46503,-26.712
61,1437229795229,42.7109,8.23517,-25.5341
62,1437229795242,42.7109,8.23517,-25.5341
63,1437229795268,41.1346,9.81751,-25.0305
64,1437229795282,41.6595,9.28955,-26.207
65,1437229795306,41.6595,9.28955,-26.207
66,1437229795322,39.5569,11.7508,-26.207
67,1437229795347,41.6595,9.28955,-25.5341
68,1437229795361,41.6595,9.28955,-25.5341
69,1437229795386,42.186,9.81751,-24.6933
70,1437229795401,41.835,9.81751,-25.3662
71,1437229795426,41.835,9.81751,-25.3662
72,1437229795441,41.6595,8.58612,-24.8611
73,1437229795465,41.4841,9.81751,-25.0305
74,1437229795480,41.4841,9.81751,-25.0305
75,1437229795503,41.6595,8.9386,-24.5255
76,1437229795521,41.1346,8.05969,-25.0305
77,1437229795544,41.1346,8.05969,-25.0305
78,1437229795557,42.5354,9.11407,-25.0305
79,1437229795583,43.0618,8.9386,-25.5341
80,1437229795598,43.0618,8.9386,-25.5341
81,1437229795623,40.9592,8.9386,-27.2156
82,1437229795639,41.3086,6.82831,-25.1984
83,1437229795663,41.3086,6.82831,-25.1984
84,1437229795678,44.1132,10.6964,-25.8713
85,1437229795700,40.9592,10.6964,-26.207
86,1437229795718,40.9592,10.6964,-26.207
87,1437229795738,41.4841,9.46503,-26.3748
88,1437229795756,43.0618,10.3439,-25.8713
89,1437229795780,43.0618,10.3439,-25.8713
90,1437229795795,40.9592,9.99298,-25.8713
91,1437229795819,41.6595,9.64203,-25.1984
92,1437229795834,41.6595,9.64203,-25.1984
93,1437229795858,41.4841,9.81751,-25.3662
94,1437229795874,42.7109,7.53174,-25.5341
95,1437229795898,42.7109,7.53174,-25.5341
96,1437229795913,42.3599,9.99298,-26.207
97,1437229795936,40.9592,11.0474,-27.2156
98,1437229795955,40.9592,11.0474,-27.2156
99,1437229795979,41.4841,9.81751,-26.0391
100,1437229795994,40.2588,9.99298,-25.1984
101,1437229796019,40.2588,9.99298,-25.1984
102,1437229796034,41.835,8.41065,-26.712
103,1437229796058,41.835,9.46503,-27.0477
104,1437229796074,41.835,9.46503,-27.0477
105,1437229796098,41.3086,8.23517,-25.5341
106,1437229796114,41.3086,9.28955,-27.2156
107,1437229796137,41.3086,9.28955,-27.2156
108,1437229796153,41.6595,8.23517,-26.8799
109,1437229796177,42.3599,7.88422,-26.5427
110,1437229796195,42.3599,7.88422,-26.5427
111,1437229796217,41.6595,10.3439,-27.2156
112,1437229796231,41.835,8.76312,-27.0477
113,1437229796257,41.835,8.76312,-27.0477
114,1437229796271,41.835,8.05969,-28.0563
115,1437229796296,40.4327,10.8719,-27.3849
116,1437229796310,40.4327,10.8719,-27.3849
117,1437229796334,40.9592,7.88422,-26.8799
118,1437229796350,40.6082,7.88422,-28.8971
119,1437229796374,40.6082,7.88422,-28.8971
120,1437229796389,41.6595,8.9386,-27.8885
121,1437229796414,41.1346,8.41065,-26.0391
122,1437229796429,41.1346,8.41065,-26.0391
123,1437229796454,41.1346,7.70721,-26.712
124,1437229796469,40.7837,9.11407,-27.7206
125,1437229796493,40.7837,9.11407,-27.7206
126,1437229796508,41.6595,7.88422,-26.5427
127,1437229796532,43.4113,7.88422,-25.8713
128,1437229796548,43.4113,7.88422,-25.8713
129,1437229796572,41.6595,7.88422,-25.8713
130,1437229796586,40.2588,7.18079,-25.8713
131,1437229796611,40.2588,7.18079,-25.8713
132,1437229796629,42.5354,8.05969,-26.712
133,1437229796649,43.0618,8.23517,-26.5427
134,1437229796666,43.0618,8.23517,-26.5427
135,1437229796689,41.6595,8.9386,-27.5528
136,1437229796706,41.3086,8.23517,-26.8799
137,1437229796729,41.3086,8.23517,-26.8799
138,1437229796745,42.186,7.70721,-27.0477
139,1437229796768,40.4327,9.11407,-27.3849
140,1437229796785,40.4327,9.11407,-27.3849
141,1437229796809,41.3086,6.82831,-27.5528
142,1437229796827,41.3086,7.53174,-26.8799
143,1437229796848,41.3086,7.53174,-26.8799
144,1437229796863,41.4841,7.70721,-27.3849
145,1437229796888,43.2358,7.35626,-26.3748
146,1437229796903,43.2358,7.35626,-26.3748
147,1437229796926,43.5867,7.35626,-26.3748
148,1437229796943,41.835,5.59845,-26.0391
149,1437229796965,41.835,5.59845,-26.0391
150,1437229796982,42.8864,7.00531,-26.3748
151,1437229797005,41.3086,7.18079,-25.5341
152,1437229797024,41.3086,7.18079,-25.5341
153,1437229797046,42.8864,7.70721,-27.0477
154,1437229797062,41.1346,6.30188,-24.6933
155,1437229797084,41.1346,6.30188,-24.6933
156,1437229797101,43.0618,6.1264,-25.8713
157,1437229797125,41.1346,8.76312,-23.6847
158,1437229797141,41.1346,8.76312,-23.6847
159,1437229797165,42.3599,8.58612,-24.8611
160,1437229797179,41.6595,6.47736,-25.5341
