id,attr_time,attr_x,attr_y,attr_z
1,1436168796313,-46.784,0.257,-3.196
2,1436168796333,-46.784,0.257,-3.196
3,1436168796351,-46.784,0.257,-3.196
4,1436168796371,-46.784,0.257,-3.196
5,1436168796390,-46.784,0.257,-3.196
6,1436168796410,-46.784,0.257,-3.196
7,1436168796432,-46.784,0.257,-3.196
8,1436168796450,-46.784,0.257,-3.196
9,1436168796470,-46.784,-0.125,-3.892
10,1436168796493,-46.784,-0.125,-3.892
11,1436168796510,-46.784,-0.43,-3.892
12,1436168796533,-46.784,-0.807,-3.892
13,1436168796553,-46.784,-1.11,-3.892
14,1436168796570,-46.784,-1.11,-3.892
15,1436168796593,-46.784,-1.11,-3.892
16,1436168796611,-46.784,-1.11,-4.374
17,1436168796632,-46.784,-1.11,-4.794
18,1436168796655,-46.784,-1.11,-5.386
19,1436168796714,-46.784,-1.11,-5.841
20,1436168796715,-46.466,-1.11,-6.185
21,1436168796716,-46.466,-1.419,-6.185
22,1436168796737,-46.466,-1.419,-6.185
23,1436168796750,-46.466,-1.419,-6.185
24,1436168796773,-46.466,-1.419,-6.774
25,1436168796790,-46.466,-1.419,-7.125
26,1436168796810,-46.466,-1.11,-7.125
27,1436168796832,-46.466,-1.11,-7.125
28,1436168796851,-46.466,-1.11,-7.125
29,1436168796870,-46.466,-1.11,-6.484
30,1436168796892,-46.466,-0.775,-6.484
31,1436168796912,-46.466,-0.775,-6.484
32,1436168796930,-46.466,-0.775,-6.822
33,1436168796953,-46.466,-0.775,-6.822
34,1436168796971,-46.466,-0.775,-6.822
35,1436168796992,-46.466,-0.775,-7.234
36,1436168797014,-46.466,-0.775,-7.234
37,1436168797031,-46.466,-0.775,-7.234
38,1436168797054,-46.466,-0.775,-7.234
39,1436168797072,-46.466,-0.775,-7.234
40,1436168797092,-46.466,-0.775,-7.234
41,1436168797117,-46.466,-1.739,-7.606
42,1436168797132,-46.13,-2.423,-7.606
43,1436168797154,-46.13,-3.041,-8.358
44,1436168797173,-46.13,-3.623,-9.326
45,1436168797194,-46.13,-3.623,-11.662
46,1436168797215,-46.13,-3.623,-9.931
47,1436168797232,-46.13,-3.193,-9.931
48,1436168797253,-45.811,-3.193,-9.931
49,1436168797271,-45.811,-3.533,-9.931
50,1436168797292,-45.811,-3.187,-8.866
51,1436168797310,-45.811,-3.187,-8.271
52,1436168797331,-45.811,-3.187,-8.767
53,1436168797352,-45.811,-3.187,-9.51
54,1436168797456,-45.811,-3.187,-10.353
55,1436168797457,-45.811,-2.407,-10.353
56,1436168797458,-45.811,-1.914,-10.353
57,1436168797459,-45.498,-0.91,-10.046
58,1436168797460,-45.498,0.189,-10.046
59,1436168797514,-45.498,0.659,-10.046
60,1436168797515,-45.498,0.999,-10.438
61,1436168797516,-45.498,0.999,-10.438
62,1436168797542,-45.498,0.999,-10.438
63,1436168797551,-45.498,1.336,-10.438
64,1436168797573,-45.498,0.834,-10.438
65,1436168797591,-45.498,0.834,-10.096
66,1436168797611,-45.498,0.834,-10.096
67,1436168797632,-45.498,0.834,-10.096
68,1436168797651,-45.498,0.041,-9.759
69,1436168797670,-45.498,0.041,-9.759
70,1436168797691,-45.498,0.041,-9.759
71,1436168797711,-45.498,0.041,-9.759
72,1436168797731,-45.498,0.582,-9.759
73,1436168797751,-45.498,0.582,-9.759
