id,attr_time,attr_lat,attr_lng
1,1438258293891,49.4874896,8.4582318
2,1438258314054,49.4874191,8.4582832
3,1438258354874,49.4874181,8.4582669
4,1438258376471,49.4874304,8.4582661
5,1438258396996,49.4874306,8.4582629
6,1438258417108,49.4874132,8.4582699
7,1438258437165,49.4874304,8.4582978
8,1438258457390,49.4874086,8.4582717
9,1438258477405,49.4874306,8.4582904
10,1438258497492,49.4874122,8.4582751
11,1438258518083,49.4874253,8.458279
12,1438258538111,49.4874106,8.4582901
13,1438258558172,49.4874277,8.4582467
14,1438258578812,49.4874133,8.4582531
15,1438258598858,49.4874199,8.4582554
16,1438258618829,49.487413,8.4582526
17,1438258639592,49.4874339,8.4582815
18,1438258659698,49.4874158,8.4582762
19,1438258679638,49.4874364,8.4582781
20,1438258700239,49.487409,8.4582841
21,1438258740361,49.4874206,8.4582668
22,1438258760666,49.4874211,8.458265
23,1438258801178,49.4874317,8.4582601
24,1438258821517,49.4878208,8.4581392
25,1438258841715,49.4874608,8.4582378
26,1438258861757,49.4874193,8.4582854
27,1438258882359,49.4874165,8.4582569
28,1438258902300,49.4874345,8.4582365
