id,attr_time,attr_lat,attr_lng
1,1436167057000,49.4500526,8.89791131
2,1436167068000,49.45005852,8.89793541
3,1436167077000,49.45003936,8.89799844
4,1436167087000,49.44988043,8.89854337
5,1436167098000,49.44992733,8.89885381
6,1436167109000,49.45001831,8.89894469
7,1436167119000,49.45012615,8.89892817
8,1436167128000,49.45020773,8.89897938
9,1436167139000,49.45025943,8.8990227
10,1436167149000,49.45055339,8.89913304
11,1436167160000,49.45057394,8.8992391
12,1436167170000,49.45077512,8.89973942
13,1436167179000,49.45087769,8.89978805
14,1436167190000,49.45096378,8.89976909
15,1436167200142,49.45116462,8.89967448
16,1436167210000,49.45131043,8.89961774
17,1436167221000,49.45149124,8.90018697
18,1436167231000,49.45147338,8.90023702
19,1436167241000,49.45145344,8.9003598
20,1436167251000,49.45151021,8.90039682
21,1436167262000,49.45167451,8.90034603
22,1436167272000,49.45176727,8.90047858
23,1436167281000,49.4518589,8.90063913
24,1436167292000,49.4519551,8.90086848
25,1436167302000,49.45206505,8.9009955
26,1436167314000,49.45216044,8.90149729
27,1436167323000,49.45229585,8.90157959
28,1436167333000,49.45236774,8.90158734
29,1436167343000,49.4524881,8.90165051
30,1436167354000,49.4527134,8.90146942
31,1436167364000,49.45279214,8.90153462
32,1436167374000,49.45280626,8.90165362
33,1436167386000,49.45266795,8.90174758
34,1436167395000,49.45257299,8.90173407
35,1436167405000,49.45253516,8.90156589
36,1436167416000,49.45247056,8.90137832
37,1436167425000,49.45239763,8.90128307
38,1436167436000,49.45218515,8.90110814
39,1436167447000,49.4522084,8.90088723
40,1436167456000,49.45214099,8.90073697
41,1436167467000,49.45202879,8.90076149
42,1436167476000,49.45199462,8.90078125
43,1436167487000,49.45197372,8.9007807
44,1436167497000,49.45195787,8.90076925
45,1436167508000,49.45193678,8.90076546
46,1436167519000,49.45191902,8.90073889
47,1436167529000,49.45146501,8.90010631
48,1436167539000,49.45137467,8.90004138
49,1436167548000,49.45128973,8.9000196
50,1436167559000,49.45099337,8.89954143
51,1436167570000,49.45081632,8.89974759
52,1436167580000,49.45075046,8.89973852
53,1436167590000,49.45076224,8.89974729
54,1436167599000,49.45075204,8.89969912
55,1436167610000,49.45072981,8.89967937
56,1436167620000,49.45072548,8.89956595
57,1436167630000,49.45072251,8.89952685
58,1436167641000,49.45034889,8.89911319
59,1436167654000,49.45031833,8.89889604
60,1436167661000,49.45022703,8.89880761
