id,attr_time,attr_light
1,1436167051128,777.0
2,1436167051149,776.0
3,1436167051169,776.0
4,1436167051212,776.0
5,1436167051213,776.0
6,1436167051228,775.0
7,1436167051248,775.0
8,1436167051268,774.0
9,1436167051286,774.0
10,1436167051307,773.0
11,1436167051328,773.0
12,1436167051346,773.0
13,1436167051368,773.0
14,1436167051391,772.0
15,1436167051408,773.0
16,1436167051428,773.0
17,1436167051451,772.0
18,1436167051485,772.0
19,1436167051486,771.0
20,1436167051576,771.0
21,1436167051577,770.0
22,1436167051578,770.0
23,1436167051579,770.0
24,1436167051584,770.0
25,1436167051605,769.0
26,1436167051627,769.0
27,1436167051646,768.0
28,1436167051664,768.0
29,1436167051690,769.0
30,1436167051709,769.0
31,1436167051729,769.0
32,1436167051752,769.0
33,1436167051770,770.0
34,1436167051790,771.0
35,1436167051812,771.0
36,1436167051830,771.0
37,1436167051874,771.0
38,1436167051875,771.0
39,1436167051893,771.0
40,1436167051912,771.0
41,1436167051929,771.0
42,1436167051946,772.0
43,1436167051967,772.0
44,1436167051989,773.0
45,1436167052006,773.0
46,1436167052029,774.0
47,1436167052052,774.0
48,1436167052068,773.0
49,1436167052088,773.0
50,1436167052112,773.0
51,1436167052128,773.0
52,1436167052149,773.0
53,1436167052172,772.0
54,1436167052188,772.0
55,1436167052209,773.0
56,1436167052235,773.0
57,1436167052248,772.0
58,1436167052269,772.0
59,1436167052293,772.0
60,1436167052309,772.0
61,1436167052329,773.0
62,1436167052352,773.0
63,1436167052369,774.0
64,1436167052397,774.0
65,1436167052411,773.0
66,1436167052428,773.0
67,1436167052448,774.0
68,1436167052469,774.0
69,1436167052499,774.0
70,1436167052557,774.0
71,1436167052558,774.0
72,1436167052559,774.0
73,1436167052585,774.0
74,1436167052587,774.0
75,1436167052606,774.0
76,1436167052627,775.0
77,1436167052653,775.0
78,1436167052668,775.0
79,1436167052690,775.0
80,1436167052713,774.0
81,1436167052728,774.0
82,1436167052748,774.0
83,1436167052773,774.0
84,1436167052788,773.0
85,1436167052810,773.0
86,1436167052833,775.0
87,1436167052848,775.0
88,1436167052872,776.0
89,1436167052892,776.0
90,1436167052908,778.0
91,1436167052930,781.0
92,1436167052950,781.0
93,1436167052968,783.0
94,1436167052988,783.0
95,1436167053010,783.0
96,1436167053026,783.0
97,1436167053045,784.0
98,1436167053070,784.0
99,1436167053089,786.0
100,1436167053109,786.0
101,1436167053131,787.0
102,1436167053148,787.0
103,1436167053211,787.0
104,1436167053213,787.0
105,1436167053214,788.0
106,1436167053226,788.0
107,1436167053250,787.0
108,1436167053266,787.0
109,1436167053288,787.0
110,1436167053312,787.0
111,1436167053326,787.0
112,1436167053347,786.0
113,1436167053373,786.0
114,1436167053390,785.0
115,1436167053409,785.0
116,1436167053432,785.0
117,1436167053450,785.0
118,1436167053469,786.0
119,1436167053493,786.0
120,1436167053511,786.0
121,1436167053528,786.0
122,1436167053553,785.0
123,1436167053569,785.0
124,1436167053592,784.0
125,1436167053610,784.0
126,1436167053628,784.0
127,1436167053648,784.0
128,1436167053670,781.0
129,1436167053690,781.0
130,1436167053712,780.0
131,1436167053733,775.0
132,1436167053751,775.0
133,1436167053771,770.0
134,1436167053794,770.0
135,1436167053808,762.0
136,1436167053837,762.0
137,1436167053905,751.0
138,1436167053906,751.0
139,1436167053907,736.0
140,1436167053909,736.0
141,1436167053926,717.0
142,1436167053947,717.0
143,1436167053968,695.0
144,1436167053986,695.0
145,1436167054006,666.0
146,1436167054029,666.0
147,1436167054046,633.0
148,1436167054067,633.0
149,1436167054090,600.0
150,1436167054109,574.0
151,1436167054132,574.0
152,1436167054153,555.0
153,1436167054171,555.0
154,1436167054191,535.0
155,1436167054213,535.0
156,1436167054232,513.0
157,1436167054249,513.0
158,1436167054272,492.0
159,1436167054288,492.0
160,1436167054311,467.0
161,1436167054336,467.0
162,1436167054355,440.0
163,1436167054371,440.0
164,1436167054392,413.0
165,1436167054409,413.0
166,1436167054429,391.0
167,1436167054453,391.0
168,1436167054475,372.0
169,1436167054521,355.0
170,1436167054522,355.0
171,1436167054532,343.0
172,1436167054547,343.0
173,1436167054569,339.0
174,1436167054587,339.0
175,1436167054607,344.0
176,1436167054633,344.0
177,1436167054652,350.0
178,1436167054673,350.0
179,1436167054692,358.0
180,1436167054710,358.0
181,1436167054729,366.0
182,1436167054754,366.0
183,1436167054773,367.0
184,1436167054791,367.0
185,1436167054814,366.0
186,1436167054829,366.0
187,1436167054852,370.0
188,1436167054875,379.0
189,1436167054893,379.0
190,1436167054913,385.0
191,1436167054933,385.0
192,1436167054952,378.0
193,1436167054972,378.0
194,1436167054998,357.0
195,1436167055014,357.0
196,1436167055033,333.0
197,1436167055053,333.0
198,1436167055069,313.0
199,1436167055129,313.0
200,1436167055130,302.0
201,1436167055131,302.0
202,1436167055148,291.0
203,1436167055169,291.0
204,1436167055187,278.0
205,1436167055211,278.0
206,1436167055230,266.0
207,1436167055249,271.0
208,1436167055269,271.0
209,1436167055295,266.0
210,1436167055312,266.0
211,1436167055335,241.0
212,1436167055360,241.0
213,1436167055370,216.0
214,1436167055392,216.0
215,1436167055412,200.0
216,1436167055432,200.0
217,1436167055453,193.0
218,1436167055475,193.0
219,1436167055509,192.0
220,1436167055510,192.0
221,1436167055533,194.0
222,1436167055549,194.0
223,1436167055569,198.0
224,1436167055590,198.0
225,1436167055611,206.0
226,1436167055632,217.0
227,1436167055654,217.0
228,1436167055670,231.0
229,1436167055691,231.0
230,1436167055713,247.0
231,1436167055732,247.0
232,1436167055807,268.0
233,1436167055808,268.0
234,1436167055809,298.0
235,1436167055810,298.0
236,1436167055833,331.0
237,1436167055853,331.0
238,1436167055869,368.0
239,1436167055891,368.0
240,1436167055913,412.0
241,1436167055929,412.0
242,1436167055952,448.0
243,1436167055973,448.0
244,1436167055992,479.0
245,1436167056019,511.0
246,1436167056031,511.0
247,1436167056051,541.0
248,1436167056071,541.0
249,1436167056090,563.0
250,1436167056110,563.0
251,1436167056133,577.0
252,1436167056155,577.0
253,1436167056172,561.0
254,1436167056193,561.0
255,1436167056213,526.0
256,1436167056234,526.0
257,1436167056254,478.0
258,1436167056273,478.0
259,1436167056293,427.0
260,1436167056313,427.0
261,1436167056333,395.0
262,1436167056354,395.0
263,1436167056375,387.0
264,1436167056394,353.0
265,1436167056412,353.0
266,1436167056433,301.0
267,1436167056510,301.0
268,1436167056511,265.0
269,1436167056512,265.0
270,1436167056513,242.0
271,1436167056529,242.0
272,1436167056550,226.0
273,1436167056569,226.0
274,1436167056589,213.0
275,1436167056614,213.0
276,1436167056633,197.0
277,1436167056654,197.0
278,1436167056675,183.0
279,1436167056691,183.0
280,1436167056716,176.0
281,1436167056736,176.0
282,1436167056753,177.0
283,1436167056773,178.0
284,1436167056796,178.0
285,1436167056812,177.0
286,1436167056833,177.0
287,1436167056851,189.0
288,1436167056873,189.0
289,1436167056892,214.0
290,1436167056916,214.0
291,1436167056936,251.0
292,1436167056957,251.0
293,1436167056975,303.0
294,1436167056993,303.0
295,1436167057018,369.0
296,1436167057037,369.0
297,1436167057056,449.0
298,1436167057076,449.0
299,1436167057102,524.0
300,1436167057110,524.0
301,1436167057130,588.0
302,1436167057152,588.0
303,1436167057170,639.0
304,1436167057192,674.0
305,1436167057211,674.0
306,1436167057233,700.0
307,1436167057252,700.0
308,1436167057274,653.0
309,1436167057294,653.0
310,1436167057311,565.0
311,1436167057336,565.0
312,1436167057354,464.0
313,1436167057374,464.0
314,1436167057394,384.0
315,1436167057414,384.0
316,1436167057436,367.0
317,1436167057454,367.0
318,1436167057474,353.0
319,1436167057495,353.0
320,1436167057517,294.0
321,1436167057532,294.0
322,1436167057555,244.0
323,1436167057575,220.0
324,1436167057594,220.0
325,1436167057614,205.0
326,1436167057634,205.0
327,1436167057654,190.0
328,1436167057674,190.0
329,1436167057777,179.0
330,1436167057778,179.0
331,1436167057779,174.0
332,1436167057780,174.0
333,1436167057781,176.0
334,1436167057791,176.0
335,1436167057811,181.0
336,1436167057830,181.0
337,1436167057869,191.0
338,1436167057873,191.0
339,1436167057891,205.0
340,1436167057910,205.0
341,1436167057930,226.0
342,1436167057950,273.0
343,1436167057970,273.0
344,1436167057991,358.0
