id,attr_time,attr_lat,attr_lng
1,1436181050000,49.4502288,8.89765523
2,1436181061000,49.45024057,8.89764605
3,1436181070000,49.45025258,8.89763682
4,1436181082000,49.45025896,8.89763186
5,1436181093000,49.4502595,8.89762773
6,1436181102000,49.45025775,8.89762718
7,1436181112000,49.45025423,8.89762782
8,1436181124000,49.45025126,8.8976291
9,1436181134000,49.45025167,8.8976278
10,1436181145000,49.45025061,8.8976268
11,1436181156000,49.4502493,8.89762947
12,1436181166000,49.45024799,8.89763258
13,1436181178000,49.45024589,8.89763951
14,1436181188000,49.45024406,8.89764819
15,1436181198000,49.45024462,8.89764832
16,1436181208000,49.45025066,8.89764337
17,1436181218000,49.45024543,8.89764225
18,1436181229000,49.4502407,8.89763938
19,1436181240000,49.45024083,8.89763798
20,1436181251000,49.45023487,8.89764143
21,1436181261000,49.45023134,8.89764536
22,1436181272000,49.45023191,8.89764604
23,1436181282000,49.45023597,8.89764673
24,1436181293000,49.45023571,8.89764923
25,1436181303000,49.45023539,8.89764726
26,1436181314000,49.45023426,8.89764588
27,1436181324000,49.4502328,8.89764677
28,1436181335000,49.45023437,8.89764796
29,1436181346000,49.45023691,8.89764905
30,1436181355000,49.45023871,8.89765025
31,1436181367000,49.45023859,8.8976519
32,1436181378000,49.4502371,8.89765134
33,1436181388000,49.45023729,8.8976516
34,1436181400000,49.45023831,8.8976501
35,1436181409000,49.45024053,8.8976481
36,1436181419000,49.45024217,8.89764784
37,1436181431000,49.45024336,8.89764578
38,1436181441000,49.45024479,8.89764442
39,1436181453000,49.45024913,8.89764556
40,1436181463000,49.45024973,8.89764524
41,1436181472000,49.45025022,8.89764154
42,1436181483000,49.45025489,8.89764524
43,1436181495000,49.45025672,8.89764702
44,1436181505000,49.45025753,8.89764692
45,1436181514000,49.45025851,8.8976475
46,1436181525000,49.45025947,8.89764832
47,1436181535000,49.45025943,8.89764829
48,1436181547000,49.45025871,8.89764813
49,1436181557000,49.45025674,8.89764878
50,1436181568000,49.45025409,8.89765019
51,1436181579000,49.45025359,8.89765023
52,1436181590000,49.45025444,8.89765097
53,1436181601000,49.45025522,8.89765161
54,1436181611000,49.4502545,8.89765034
55,1436181622000,49.45025646,8.89765006
56,1436181632000,49.45026017,8.8976505
57,1436181642000,49.45026118,8.89765122
58,1436181653000,49.45025906,8.89765111
