id,attr_time,attr_light
1,1436181038073,372.0
2,1436181038074,372.0
3,1436181038075,372.0
4,1436181038076,373.0
5,1436181038094,373.0
6,1436181038115,373.0
7,1436181038132,373.0
8,1436181038152,374.0
9,1436181038185,374.0
10,1436181038193,374.0
11,1436181038214,374.0
12,1436181038233,374.0
13,1436181038252,374.0
14,1436181038274,374.0
15,1436181038296,375.0
16,1436181038312,375.0
17,1436181038332,374.0
18,1436181038355,374.0
19,1436181038373,375.0
20,1436181038393,375.0
21,1436181038416,376.0
22,1436181038433,375.0
23,1436181038455,375.0
24,1436181038473,376.0
25,1436181038494,376.0
26,1436181038515,376.0
27,1436181038534,376.0
28,1436181038553,376.0
29,1436181038574,376.0
30,1436181038596,377.0
31,1436181038613,377.0
32,1436181038636,377.0
33,1436181038655,377.0
34,1436181038675,377.0
35,1436181038693,377.0
36,1436181038716,377.0
37,1436181038736,378.0
38,1436181038808,378.0
39,1436181038809,377.0
40,1436181038810,377.0
41,1436181038814,377.0
42,1436181038834,377.0
43,1436181038854,378.0
44,1436181038873,378.0
45,1436181038893,378.0
46,1436181038914,377.0
47,1436181038934,377.0
48,1436181038954,377.0
49,1436181038974,377.0
50,1436181038993,378.0
51,1436181039015,378.0
52,1436181039037,378.0
53,1436181039055,378.0
54,1436181039076,377.0
55,1436181039097,377.0
56,1436181039115,378.0
57,1436181039137,378.0
58,1436181039167,378.0
59,1436181039175,378.0
60,1436181039195,378.0
61,1436181039214,378.0
62,1436181039236,378.0
63,1436181039256,378.0
64,1436181039275,378.0
65,1436181039294,378.0
66,1436181039317,378.0
67,1436181039335,378.0
68,1436181039357,378.0
69,1436181039377,378.0
70,1436181039396,378.0
71,1436181039417,378.0
72,1436181039435,379.0
73,1436181039455,379.0
74,1436181039480,378.0
75,1436181039554,378.0
76,1436181039555,378.0
77,1436181039556,378.0
78,1436181039557,379.0
79,1436181039575,378.0
80,1436181039596,378.0
81,1436181039614,378.0
82,1436181039634,378.0
83,1436181039655,378.0
84,1436181039675,378.0
85,1436181039695,378.0
86,1436181039715,378.0
87,1436181039741,379.0
88,1436181039757,379.0
89,1436181039777,379.0
90,1436181039797,378.0
91,1436181039816,378.0
92,1436181039838,379.0
93,1436181039856,379.0
94,1436181039877,379.0
95,1436181039898,379.0
96,1436181039916,379.0
97,1436181039936,379.0
98,1436181039955,379.0
99,1436181039977,379.0
100,1436181039998,378.0
101,1436181040016,379.0
102,1436181040035,379.0
103,1436181040058,379.0
104,1436181040077,379.0
105,1436181040097,378.0
106,1436181040118,378.0
107,1436181040137,378.0
108,1436181040158,378.0
109,1436181040177,379.0
110,1436181040196,379.0
111,1436181040269,379.0
112,1436181040270,379.0
113,1436181040271,379.0
114,1436181040289,380.0
115,1436181040295,380.0
116,1436181040315,379.0
117,1436181040337,379.0
118,1436181040354,379.0
119,1436181040380,379.0
120,1436181040396,380.0
121,1436181040416,380.0
122,1436181040435,380.0
123,1436181040456,381.0
124,1436181040481,381.0
125,1436181040499,382.0
126,1436181040518,382.0
127,1436181040538,382.0
128,1436181040558,382.0
129,1436181040578,382.0
130,1436181040598,382.0
131,1436181040619,382.0
132,1436181040638,382.0
133,1436181040658,381.0
134,1436181040677,381.0
135,1436181040696,381.0
136,1436181040718,381.0
137,1436181040738,381.0
138,1436181040757,381.0
139,1436181040775,381.0
140,1436181040798,380.0
141,1436181040818,380.0
142,1436181040838,379.0
143,1436181040858,379.0
144,1436181040878,378.0
145,1436181040897,377.0
146,1436181040917,377.0
147,1436181040938,376.0
148,1436181040959,376.0
149,1436181041026,375.0
150,1436181041027,375.0
151,1436181041028,373.0
152,1436181041035,373.0
153,1436181041057,372.0
154,1436181041078,372.0
155,1436181041095,369.0
156,1436181041125,367.0
157,1436181041135,367.0
158,1436181041158,366.0
159,1436181041176,366.0
160,1436181041196,364.0
161,1436181041218,364.0
162,1436181041238,361.0
163,1436181041258,361.0
164,1436181041279,360.0
165,1436181041296,360.0
166,1436181041321,357.0
167,1436181041339,354.0
168,1436181041359,354.0
169,1436181041379,350.0
170,1436181041399,350.0
171,1436181041420,346.0
172,1436181041436,346.0
173,1436181041459,343.0
