id,attr_time,attr_x,attr_y,attr_z
1,1436285439613,-19.0689,36.5295,-1.18103
2,1436285439635,-19.0689,36.5295,-1.18103
3,1436285439650,-19.5953,36.0016,0.668335
4,1436285439676,-19.5953,36.705,1.00555
5,1436285439689,-19.5953,36.705,1.00555
6,1436285439717,-20.4712,36.1771,-0.508118
7,1436285439729,-18.7195,37.5839,0.837708
8,1436285439754,-18.7195,37.5839,0.837708
9,1436285439769,-18.895,36.0016,-0.340271
10,1436285439794,-19.2444,36.3525,0.332642
11,1436285439806,-19.2444,36.3525,0.332642
12,1436285439833,-20.8221,35.4736,0.837708
13,1436285439849,-19.7708,35.8261,-0.508118
14,1436285439873,-19.7708,35.8261,-0.508118
15,1436285439887,-19.4199,37.5839,1.1734
16,1436285439914,-19.9463,36.3525,-0.675964
17,1436285439927,-19.9463,36.3525,-0.675964
18,1436285439950,-17.8436,37.4084,-0.675964
19,1436285439966,-20.2957,36.705,1.00555
20,1436285439991,-20.2957,36.705,1.00555
21,1436285440006,-19.0689,36.1771,-1.18103
22,1436285440030,-19.2444,35.6506,-1.6861
23,1436285440048,-19.2444,35.6506,-1.6861
24,1436285440070,-19.7708,36.1771,0.500488
25,1436285440085,-17.4927,38.1103,-1.01318
26,1436285440112,-17.4927,38.1103,-1.01318
27,1436285440123,-18.7195,35.8261,0.837708
28,1436285440149,-20.1202,34.4192,-1.18103
29,1436285440162,-20.1202,34.4192,-1.18103
30,1436285440186,-20.2957,36.705,-0.340271
31,1436285440203,-19.2444,36.0016,0.332642
32,1436285440227,-19.2444,36.0016,0.332642
33,1436285440245,-21.347,37.056,-0.00305176
34,1436285440265,-19.4199,35.4736,0.164795
35,1436285440282,-19.4199,35.4736,0.164795
36,1436285440309,-18.3685,35.1227,-0.508118
37,1436285440321,-19.4199,37.5839,0.164795
38,1436285440349,-19.4199,37.5839,0.164795
39,1436285440361,-19.5953,37.4084,0.332642
40,1436285440386,-18.544,36.0016,-0.675964
41,1436285440401,-18.544,36.0016,-0.675964
42,1436285440425,-19.9463,36.3525,1.00555
43,1436285440442,-19.2444,37.7594,-1.01318
44,1436285440461,-19.2444,37.7594,-1.01318
45,1436285440478,-20.6467,35.6506,-0.675964
