id,attr_time,attr_lat,attr_lng
1,1436291538000,49.48087088,8.47357591
2,1436291549000,49.48087561,8.47353085
3,1436291560000,49.48095895,8.47325587
4,1436291570000,49.48106086,8.47293279
5,1436291580000,49.48107823,8.47294576
6,1436291590000,49.48132231,8.47311298
7,1436291602000,49.48136991,8.47315636
8,1436291611000,49.48169811,8.47346896
9,1436291621000,49.48177919,8.47346797
10,1436291635000,49.4817325,8.47363891
11,1436291640000,49.4817402,8.47375075
12,1436291652000,49.48161974,8.47396098
13,1436291664000,49.48160229,8.47410282
14,1436291672000,49.48173277,8.47434446
15,1436291684000,49.48175338,8.47468232
16,1436291695000,49.48177117,8.47467502
17,1436291704000,49.48168685,8.4747183
18,1436291713000,49.48166239,8.47473415
19,1436291723000,49.48164088,8.47476393
20,1436291736000,49.48135852,8.47495789
21,1436291745000,49.48129298,8.47505264
22,1436291756000,49.4812413,8.47511656
23,1436291763000,49.4812609,8.4751345
24,1436291776000,49.48111644,8.47582079
25,1436291787000,49.48105927,8.47603103
26,1436291795000,49.48140229,8.47656368
27,1436291805000,49.48161066,8.47700648
28,1436291817000,49.48150151,8.47744054
29,1436291825000,49.48133522,8.47729274
30,1436291838000,49.48112816,8.47738743
31,1436291847000,49.48107709,8.47746579
32,1436291857000,49.48108152,8.47750232
33,1436291868000,49.48109022,8.47759148
34,1436291878000,49.48109799,8.47762026
35,1436291888000,49.48108497,8.47765647
36,1436291900000,49.48107468,8.47766469
37,1436291912000,49.48107517,8.47766541
38,1436291922000,49.48107607,8.47767412
39,1436291931000,49.48107624,8.4776757
40,1436291941000,49.48107603,8.47767753
41,1436291951000,49.48107442,8.47768512
42,1436291961000,49.48098344,8.47830833
43,1436291971000,49.48150305,8.4790453
44,1436291983000,49.48143408,8.47952112
45,1436291989000,49.48132733,8.47941756
46,1436292003000,49.48125092,8.47972869
47,1436292012000,49.48127003,8.47980446
48,1436292023000,49.48075556,8.47979975
49,1436292031000,49.4808324,8.48006163
50,1436292043000,49.48092228,8.48020881
51,1436292053000,49.48074282,8.48058643
52,1436292064000,49.48061413,8.48068992
53,1436292070000,49.48078164,8.48088398
54,1436292083000,49.48050949,8.48094784
55,1436292094000,49.48037343,8.48112618
56,1436292102000,49.48041866,8.48120711
57,1436292115000,49.48046443,8.48159546
58,1436292128000,49.48036923,8.48185524
59,1436292133000,49.48052455,8.4820986
60,1436292144000,49.48038722,8.48190387
61,1436292154000,49.48033314,8.48198128
