id,attr_time,attr_light
1,1436291534810,5.0
2,1436291534866,5.0
3,1436291534867,5.0
4,1436291534879,5.0
5,1436291534889,5.0
6,1436291534916,5.0
7,1436291534930,5.0
8,1436291534951,5.0
9,1436291534971,5.0
10,1436291534991,5.0
11,1436291535011,5.0
12,1436291535030,5.0
13,1436291535052,5.0
14,1436291535069,5.0
15,1436291535092,5.0
16,1436291535112,5.0
17,1436291535132,5.0
18,1436291535152,5.0
19,1436291535172,5.0
20,1436291535192,5.0
21,1436291535212,5.0
22,1436291535232,5.0
23,1436291535251,5.0
24,1436291535272,5.0
25,1436291535291,5.0
26,1436291535314,5.0
27,1436291535331,5.0
28,1436291535349,5.0
29,1436291535370,5.0
30,1436291535392,5.0
31,1436291535410,5.0
32,1436291535429,5.0
33,1436291535449,5.0
34,1436291535470,5.0
35,1436291535491,5.0
36,1436291535512,5.0
37,1436291535556,5.0
38,1436291535557,5.0
39,1436291535572,5.0
40,1436291535600,5.0
41,1436291535609,5.0
42,1436291535630,5.0
43,1436291535650,5.0
44,1436291535676,5.0
45,1436291535691,5.0
46,1436291535709,5.0
47,1436291535730,5.0
48,1436291535748,5.0
49,1436291535768,5.0
50,1436291535788,5.0
51,1436291535808,5.0
52,1436291535828,5.0
53,1436291535848,5.0
54,1436291535868,5.0
55,1436291535888,5.0
56,1436291535908,5.0
57,1436291535928,5.0
58,1436291535948,5.0
59,1436291535968,5.0
60,1436291535988,5.0
61,1436291536008,5.0
62,1436291536028,5.0
63,1436291536048,5.0
64,1436291536068,5.0
65,1436291536088,5.0
66,1436291536108,5.0
67,1436291536128,5.0
68,1436291536150,5.0
69,1436291536171,5.0
70,1436291536188,5.0
71,1436291536210,5.0
72,1436291536236,5.0
73,1436291536249,5.0
74,1436291536270,5.0
75,1436291536291,5.0
76,1436291536311,5.0
77,1436291536333,5.0
78,1436291536350,5.0
79,1436291536370,5.0
80,1436291536390,5.0
81,1436291536415,5.0
82,1436291536434,5.0
83,1436291536450,5.0
84,1436291536473,5.0
85,1436291536493,5.0
86,1436291536514,5.0
87,1436291536533,5.0
88,1436291536554,5.0
89,1436291536574,5.0
90,1436291536593,5.0
91,1436291536609,5.0
92,1436291536634,5.0
93,1436291536652,5.0
94,1436291536672,5.0
95,1436291536693,5.0
96,1436291536714,5.0
97,1436291536734,5.0
98,1436291536754,5.0
99,1436291536771,5.0
100,1436291536793,5.0
101,1436291536814,5.0
102,1436291536835,5.0
103,1436291536854,5.0
104,1436291536874,5.0
105,1436291536945,5.0
106,1436291536946,5.0
107,1436291536947,5.0
108,1436291536955,5.0
109,1436291536972,5.0
110,1436291536994,5.0
111,1436291537011,5.0
112,1436291537031,5.0
113,1436291537054,5.0
114,1436291537075,5.0
115,1436291537096,5.0
116,1436291537116,5.0
117,1436291537132,5.0
118,1436291537153,5.0
119,1436291537171,5.0
120,1436291537194,5.0
121,1436291537214,5.0
122,1436291537234,5.0
123,1436291537254,5.0
124,1436291537274,5.0
125,1436291537294,5.0
126,1436291537314,5.0
127,1436291537332,5.0
128,1436291537354,5.0
129,1436291537374,5.0
130,1436291537394,5.0
131,1436291537419,5.0
132,1436291537435,5.0
133,1436291537453,5.0
134,1436291537474,5.0
135,1436291537494,5.0
136,1436291537514,5.0
137,1436291537535,5.0
138,1436291537555,5.0
139,1436291537573,5.0
140,1436291537599,5.0
141,1436291537655,5.0
142,1436291537656,5.0
143,1436291537657,5.0
144,1436291537676,5.0
145,1436291537693,5.0
146,1436291537717,5.0
147,1436291537733,5.0
148,1436291537753,5.0
149,1436291537774,5.0
150,1436291537793,5.0
151,1436291537813,5.0
152,1436291537833,5.0
153,1436291537853,5.0
154,1436291537873,5.0
155,1436291537895,5.0
156,1436291537915,5.0
157,1436291537935,5.0
158,1436291537955,5.0
159,1436291537975,5.0
160,1436291537995,5.0
161,1436291538015,5.0
162,1436291538035,5.0
163,1436291538056,5.0
164,1436291538073,5.0
165,1436291538092,5.0
166,1436291538115,5.0
167,1436291538136,5.0
168,1436291538152,5.0
169,1436291538172,5.0
170,1436291538194,5.0
171,1436291538212,5.0
172,1436291538232,5.0
173,1436291538256,5.0
174,1436291538276,5.0
175,1436291538296,5.0
176,1436291538315,5.0
177,1436291538340,5.0
178,1436291538403,5.0
179,1436291538404,5.0
180,1436291538405,5.0
181,1436291538420,5.0
182,1436291538433,5.0
183,1436291538455,5.0
184,1436291538472,5.0
185,1436291538492,5.0
186,1436291538515,5.0
187,1436291538534,5.0
188,1436291538554,5.0
189,1436291538573,5.0
190,1436291538594,5.0
191,1436291538615,5.0
192,1436291538635,5.0
193,1436291538655,5.0
194,1436291538675,5.0
195,1436291538695,5.0
196,1436291538740,5.0
197,1436291538741,5.0
198,1436291538754,5.0
199,1436291538775,5.0
200,1436291538797,5.0
201,1436291538812,5.0
202,1436291538836,5.0
203,1436291538853,5.0
204,1436291538874,5.0
205,1436291538893,5.0
206,1436291538918,5.0
207,1436291538934,5.0
208,1436291538955,5.0
209,1436291538976,5.0
210,1436291538994,5.0
211,1436291539014,5.0
212,1436291539035,5.0
213,1436291539055,5.0
214,1436291539184,5.0
215,1436291539185,5.0
216,1436291539186,5.0
217,1436291539187,5.0
218,1436291539188,5.0
219,1436291539189,5.0
220,1436291539202,5.0
221,1436291539213,5.0
222,1436291539233,5.0
223,1436291539253,5.0
224,1436291539273,5.0
225,1436291539294,5.0
226,1436291539315,5.0
227,1436291539334,5.0
228,1436291539354,5.0
229,1436291539376,5.0
230,1436291539396,5.0
231,1436291539415,5.0
232,1436291539436,5.0
233,1436291539456,5.0
234,1436291539476,5.0
235,1436291539496,5.0
236,1436291539515,5.0
237,1436291539536,5.0
238,1436291539556,5.0
239,1436291539579,5.0
240,1436291539596,5.0
241,1436291539616,5.0
242,1436291539636,5.0
243,1436291539656,5.0
244,1436291539675,5.0
245,1436291539695,5.0
246,1436291539715,5.0
247,1436291539735,5.0
248,1436291539756,5.0
249,1436291539776,5.0
250,1436291539794,5.0
251,1436291539814,5.0
252,1436291539843,5.0
253,1436291539915,5.0
254,1436291539916,5.0
255,1436291539917,5.0
256,1436291539918,5.0
257,1436291539935,5.0
258,1436291539956,4.0
259,1436291539973,4.0
260,1436291539994,4.0
261,1436291540027,4.0
262,1436291540036,4.0
263,1436291540055,4.0
264,1436291540080,4.0
265,1436291540096,4.0
266,1436291540115,4.0
267,1436291540136,4.0
268,1436291540155,4.0
269,1436291540175,5.0
270,1436291540195,5.0
271,1436291540217,5.0
272,1436291540237,4.0
273,1436291540257,4.0
274,1436291540277,4.0
275,1436291540296,4.0
276,1436291540317,4.0
