id,attr_time,attr_light
1,1436291534812,7.0
2,1436291534832,7.0
3,1436291534852,7.0
4,1436291534872,7.0
5,1436291534892,7.0
6,1436291534910,7.0
7,1436291534929,7.0
8,1436291534949,7.0
9,1436291535036,7.0
10,1436291535037,7.0
11,1436291535038,7.0
12,1436291535039,7.0
13,1436291535048,7.0
14,1436291535069,7.0
15,1436291535089,7.0
16,1436291535109,7.0
17,1436291535133,7.0
18,1436291535150,7.0
19,1436291535170,7.0
20,1436291535191,7.0
21,1436291535210,7.0
22,1436291535230,7.0
23,1436291535252,7.0
24,1436291535272,7.0
25,1436291535292,7.0
26,1436291535312,7.0
27,1436291535330,7.0
28,1436291535351,7.0
29,1436291535372,7.0
30,1436291535392,7.0
31,1436291535412,7.0
32,1436291535430,7.0
33,1436291535452,7.0
34,1436291535475,7.0
35,1436291535494,7.0
36,1436291535514,7.0
37,1436291535532,7.0
38,1436291535550,7.0
39,1436291535569,7.0
40,1436291535590,7.0
41,1436291535615,7.0
42,1436291535636,7.0
43,1436291535655,7.0
44,1436291535671,7.0
45,1436291535696,7.0
46,1436291535759,7.0
47,1436291535760,7.0
48,1436291535761,7.0
49,1436291535770,7.0
50,1436291535789,7.0
51,1436291535810,7.0
52,1436291535830,7.0
53,1436291535849,7.0
54,1436291535871,7.0
55,1436291535889,7.0
56,1436291535910,7.0
57,1436291535931,7.0
58,1436291535951,7.0
59,1436291535971,7.0
60,1436291535993,7.0
61,1436291536041,7.0
62,1436291536042,7.0
63,1436291536051,7.0
64,1436291536073,7.0
65,1436291536093,7.0
66,1436291536113,7.0
67,1436291536133,7.0
68,1436291536151,7.0
69,1436291536172,7.0
70,1436291536193,7.0
71,1436291536213,7.0
72,1436291536232,7.0
73,1436291536251,7.0
74,1436291536273,7.0
75,1436291536291,7.0
76,1436291536311,7.0
77,1436291536331,7.0
78,1436291536350,7.0
79,1436291536372,6.0
80,1436291536392,6.0
81,1436291536412,6.0
82,1436291536438,6.0
83,1436291536521,6.0
84,1436291536522,6.0
85,1436291536523,6.0
86,1436291536524,6.0
87,1436291536530,6.0
88,1436291536550,6.0
89,1436291536586,6.0
90,1436291536590,6.0
91,1436291536610,6.0
92,1436291536637,6.0
93,1436291536650,6.0
94,1436291536671,6.0
95,1436291536690,6.0
96,1436291536711,6.0
97,1436291536730,6.0
98,1436291536752,6.0
99,1436291536772,6.0
100,1436291536794,6.0
101,1436291536814,6.0
102,1436291536834,6.0
103,1436291536854,6.0
104,1436291536871,6.0
105,1436291536892,6.0
106,1436291536913,6.0
107,1436291536933,6.0
108,1436291536954,6.0
109,1436291536971,6.0
110,1436291536991,6.0
111,1436291537011,6.0
112,1436291537037,6.0
113,1436291537052,6.0
114,1436291537076,6.0
115,1436291537091,6.0
116,1436291537111,6.0
117,1436291537131,6.0
118,1436291537152,6.0
119,1436291537174,6.0
120,1436291537263,6.0
121,1436291537264,6.0
122,1436291537265,6.0
123,1436291537266,6.0
124,1436291537276,6.0
125,1436291537293,6.0
126,1436291537313,6.0
127,1436291537331,6.0
128,1436291537351,7.0
129,1436291537373,7.0
130,1436291537419,7.0
131,1436291537420,7.0
132,1436291537459,7.0
133,1436291537460,7.0
134,1436291537475,7.0
135,1436291537492,7.0
136,1436291537512,7.0
137,1436291537540,7.0
138,1436291537553,7.0
139,1436291537574,7.0
140,1436291537594,7.0
141,1436291537615,7.0
142,1436291537632,7.0
143,1436291537654,7.0
144,1436291537674,7.0
145,1436291537694,7.0
146,1436291537719,7.0
147,1436291537732,7.0
148,1436291537752,7.0
149,1436291537773,7.0
150,1436291537797,7.0
151,1436291537812,7.0
152,1436291537831,7.0
153,1436291537851,7.0
