id,attr_time,attr_x,attr_y,attr_z
1,1436291534822,44.8257,-10.083,1.50757
2,1436291534844,43.9499,-11.3129,1.33972
3,1436291534861,43.9499,-11.3129,1.33972
4,1436291534881,43.4235,-10.434,1.50757
5,1436291534902,44.2993,-10.9619,2.01111
6,1436291534921,44.2993,-10.9619,2.01111
7,1436291534941,45.3506,-10.611,2.34833
8,1436291534960,44.1238,-10.434,2.51617
9,1436291534980,44.1238,-10.434,2.51617
10,1436291535000,44.2993,-9.55505,1.33972
11,1436291535020,45.3506,-10.9619,2.34833
12,1436291535040,45.3506,-10.9619,2.34833
13,1436291535059,42.8986,-10.611,2.01111
14,1436291535079,45.5261,-10.434,2.18048
15,1436291535099,45.5261,-10.434,2.18048
16,1436291535118,42.5476,-10.2585,2.01111
17,1436291535139,45.8771,-10.7864,0.834656
18,1436291535158,45.8771,-10.7864,0.834656
19,1436291535177,44.1238,-9.02863,1.17035
20,1436291535198,44.6503,-11.3129,1.33972
21,1436291535218,44.6503,-11.3129,1.33972
22,1436291535240,43.5989,-9.90753,2.01111
23,1436291535257,43.9499,-12.3688,1.0025
24,1436291535277,43.9499,-12.3688,1.0025
25,1436291535297,44.6503,-12.0163,2.01111
26,1436291535316,44.1238,-10.7864,3.18909
27,1436291535339,44.1238,-10.7864,3.18909
28,1436291535356,44.6503,-9.90753,1.33972
29,1436291535376,45.7016,-10.611,1.0025
30,1436291535396,45.7016,-10.611,1.0025
31,1436291535415,44.4748,-9.37958,1.17035
32,1436291535438,45.3506,-11.3129,1.67542
33,1436291535455,45.3506,-11.3129,1.67542
34,1436291535475,43.5989,-11.6653,1.33972
35,1436291535495,43.0725,-10.7864,1.50757
36,1436291535513,43.0725,-10.7864,1.50757
37,1436291535535,44.2993,-10.2585,1.0025
38,1436291535554,44.4748,-10.7864,2.18048
39,1436291535573,44.4748,-10.7864,2.18048
40,1436291535594,44.6503,-9.90753,1.33972
41,1436291535613,44.8257,-10.7864,2.18048
42,1436291535635,44.8257,-10.7864,2.18048
43,1436291535653,44.2993,-10.611,1.33972
44,1436291535672,44.2993,-13.0707,1.0025
45,1436291535693,44.2993,-13.0707,1.0025
46,1436291535710,45.3506,-10.611,1.67542
47,1436291535727,42.3721,-12.5443,1.84326
48,1436291535752,42.3721,-12.5443,1.84326
49,1436291535774,43.5989,-10.2585,1.67542
50,1436291535790,45.1752,-12.1918,2.85187
51,1436291535811,45.1752,-12.1918,2.85187
52,1436291535831,45.1752,-11.8408,2.18048
53,1436291535850,43.4235,-11.8408,1.84326
54,1436291535872,43.4235,-11.8408,1.84326
55,1436291535890,44.6503,-9.55505,1.0025
56,1436291535912,45.1752,-11.8408,2.85187
57,1436291535930,45.1752,-11.8408,2.85187
58,1436291535949,45.3506,-9.55505,2.01111
59,1436291535970,43.5989,-10.9619,1.0025
60,1436291535988,43.5989,-10.9619,1.0025
61,1436291536010,45.1752,-11.4899,2.18048
62,1436291536028,43.9499,-11.6653,1.33972
63,1436291536048,43.9499,-11.6653,1.33972
64,1436291536068,44.9997,-10.611,1.67542
65,1436291536088,44.4748,-11.8408,1.84326
66,1436291536110,44.4748,-11.8408,1.84326
67,1436291536127,44.6503,-11.6653,3.02124
68,1436291536147,45.3506,-12.0163,2.01111
69,1436291536167,45.3506,-12.0163,2.01111
70,1436291536186,45.7016,-10.2585,2.68402
71,1436291536209,44.2993,-10.9619,1.67542
72,1436291536226,44.2993,-10.9619,1.67542
73,1436291536246,44.6503,-10.9619,2.34833
74,1436291536266,45.8771,-11.1374,3.52478
75,1436291536285,45.8771,-11.1374,3.52478
76,1436291536308,44.4748,-10.434,2.18048
77,1436291536322,44.6503,-11.6653,2.01111
78,1436291536345,44.6503,-11.6653,2.01111
79,1436291536365,42.7231,-9.73206,1.84326
80,1436291536384,45.3506,-11.3129,2.01111
81,1436291536407,45.3506,-11.3129,2.01111
82,1436291536424,44.4748,-9.02863,2.18048
83,1436291536444,44.1238,-11.4899,2.18048
84,1436291536464,44.1238,-11.4899,2.18048
