id,attr_time,attr_x,attr_y,attr_z
1,1436291534811,-17.504,-31.134,-10.159
2,1436291534831,-17.504,-31.134,-10.159
3,1436291534851,-17.504,-31.134,-10.159
4,1436291534871,-17.198,-31.134,-10.159
5,1436291534891,-17.198,-31.134,-10.159
6,1436291534909,-17.198,-31.134,-10.159
7,1436291534928,-17.198,-31.134,-10.159
8,1436291534948,-17.198,-31.134,-10.159
9,1436291534969,-17.198,-31.134,-10.159
10,1436291535037,-17.198,-31.134,-10.159
11,1436291535038,-17.198,-31.134,-10.159
12,1436291535039,-17.198,-31.134,-10.159
13,1436291535048,-17.198,-31.134,-10.159
14,1436291535068,-17.198,-31.134,-10.159
15,1436291535088,-17.198,-31.134,-10.159
16,1436291535108,-17.198,-31.134,-10.159
17,1436291535132,-17.198,-31.134,-10.159
18,1436291535149,-17.198,-31.134,-10.159
19,1436291535169,-17.198,-31.134,-10.159
20,1436291535189,-17.198,-31.134,-10.159
21,1436291535209,-17.198,-30.81,-10.159
22,1436291535229,-17.198,-30.81,-10.159
23,1436291535251,-17.198,-30.81,-10.159
24,1436291535271,-17.198,-30.81,-10.159
25,1436291535291,-17.198,-30.81,-10.159
26,1436291535311,-17.198,-30.81,-10.159
27,1436291535329,-17.198,-30.81,-10.159
28,1436291535350,-17.198,-30.81,-10.159
29,1436291535371,-17.198,-30.81,-10.159
30,1436291535391,-17.198,-30.81,-10.159
31,1436291535411,-17.198,-30.81,-10.159
32,1436291535429,-17.198,-30.81,-10.159
33,1436291535451,-17.198,-30.81,-10.159
34,1436291535471,-17.198,-30.81,-10.159
35,1436291535491,-17.198,-30.81,-10.159
36,1436291535511,-17.198,-30.81,-10.159
37,1436291535531,-17.198,-30.81,-10.159
38,1436291535549,-17.198,-30.81,-10.159
39,1436291535569,-17.198,-30.81,-10.159
40,1436291535590,-17.198,-30.81,-10.159
41,1436291535611,-17.198,-31.121,-10.159
42,1436291535635,-17.198,-31.121,-10.159
43,1436291535651,-17.198,-31.121,-10.159
44,1436291535670,-17.198,-31.121,-10.159
45,1436291535695,-17.198,-31.121,-10.159
46,1436291535755,-17.198,-31.121,-10.159
47,1436291535756,-17.198,-31.121,-10.159
48,1436291535757,-17.198,-31.121,-10.159
49,1436291535768,-17.198,-31.121,-10.159
50,1436291535788,-17.198,-31.121,-10.159
51,1436291535809,-17.198,-31.121,-10.159
52,1436291535829,-17.198,-31.121,-10.159
53,1436291535848,-17.198,-31.121,-10.159
54,1436291535870,-17.198,-31.121,-10.159
55,1436291535888,-17.198,-31.121,-10.159
56,1436291535909,-17.198,-31.121,-10.159
57,1436291535930,-17.198,-31.121,-10.159
58,1436291535950,-17.198,-31.121,-10.159
59,1436291535970,-17.198,-31.121,-10.159
60,1436291535992,-17.198,-31.121,-10.159
61,1436291536040,-17.198,-31.121,-10.159
