id,attr_time,attr_x,attr_y,attr_z
1,1436291534839,-3.637,-29.922,-26.432
2,1436291534840,-3.941,-29.922,-26.432
3,1436291534841,-3.941,-29.922,-26.432
4,1436291534842,-3.941,-29.922,-26.432
5,1436291534859,-3.941,-29.922,-26.432
6,1436291534882,-3.941,-29.922,-26.432
7,1436291534897,-3.941,-29.922,-26.432
8,1436291534917,-3.941,-29.922,-26.432
9,1436291534942,-3.941,-29.922,-26.432
10,1436291534958,-3.941,-29.922,-26.432
11,1436291534979,-3.941,-29.922,-26.432
12,1436291535013,-3.941,-29.922,-26.432
13,1436291535019,-3.941,-29.922,-26.432
14,1436291535043,-3.941,-29.922,-26.432
15,1436291535060,-3.941,-29.922,-26.432
16,1436291535077,-3.941,-29.922,-26.432
17,1436291535099,-3.941,-29.922,-26.432
18,1436291535119,-3.941,-29.922,-26.432
19,1436291535141,-3.941,-29.922,-26.098
20,1436291535159,-3.941,-29.922,-26.098
21,1436291535180,-3.941,-29.922,-26.098
22,1436291535198,-3.941,-29.922,-26.098
23,1436291535218,-3.941,-29.922,-26.098
24,1436291535239,-3.941,-29.922,-26.098
25,1436291535261,-3.941,-29.922,-26.098
26,1436291535283,-3.941,-29.922,-26.098
27,1436291536845,-3.941,-29.922,-26.098
28,1436291536846,-3.941,-29.922,-26.098
29,1436291536847,-3.941,-29.922,-26.098
30,1436291536848,-3.941,-29.922,-26.098
31,1436291536849,-3.941,-29.922,-26.098
32,1436291536850,-3.941,-29.922,-26.098
33,1436291536851,-3.941,-29.922,-26.098
34,1436291536852,-3.941,-29.922,-26.098
35,1436291536853,-3.941,-29.922,-26.098
36,1436291536854,-3.941,-29.922,-26.098
37,1436291536855,-3.941,-29.922,-26.098
38,1436291536856,-3.941,-29.922,-26.098
39,1436291536857,-3.941,-29.922,-26.098
40,1436291536858,-3.941,-29.922,-26.098
41,1436291536859,-3.941,-29.922,-26.098
42,1436291536860,-3.941,-29.922,-26.098
43,1436291536861,-3.941,-29.922,-26.098
44,1436291536862,-3.941,-29.922,-26.098
45,1436291536863,-3.941,-29.922,-26.098
46,1436291536864,-3.941,-29.922,-26.098
47,1436291536865,-3.941,-29.922,-26.098
48,1436291536866,-3.941,-29.922,-26.098
49,1436291536867,-3.941,-29.922,-26.098
