id,attr_time,attr_lat,attr_lng
1,1436374248000,49.45017286,8.89767121
2,1436374259000,49.45017359,8.89767473
3,1436374269000,49.45017466,8.89767774
4,1436374280000,49.45018553,8.89768241
5,1436374290000,49.4505767,8.89774341
6,1436374300000,49.45100525,8.89742035
7,1436374310000,49.451047,8.89738376
8,1436374330000,49.45168853,8.89746742
9,1436374349000,49.45224424,8.89755205
10,1436374362000,49.45236004,8.89742291
11,1436374372000,49.4524612,8.89753426
12,1436374383000,49.45289278,8.89752718
13,1436374393000,49.45315401,8.89746949
14,1436374403000,49.45329847,8.89738851
15,1436374414000,49.45334371,8.89739588
16,1436374426000,49.45364973,8.8978008
17,1436374438000,49.45361644,8.89779248
18,1436374451000,49.45356,8.89781737
19,1436374463000,49.45354811,8.89783016
20,1436374473000,49.45353554,8.89779919
21,1436374484000,49.45352493,8.89775552
22,1436374494000,49.45352114,8.89774082
23,1436374505000,49.453123,8.89775372
24,1436374515000,49.45286169,8.89766063
25,1436374526000,49.45241226,8.89755235
26,1436374536000,49.45221062,8.89743324
27,1436374545000,49.45201004,8.8972493
28,1436374557000,49.45152347,8.89735461
29,1436374566000,49.45133398,8.89735456
30,1436374577000,49.45102973,8.89740743
31,1436374596000,49.45088194,8.89767662
32,1436374607000,49.45045917,8.89763869
33,1436374617000,49.45040807,8.89771872
34,1436374628000,49.45036388,8.89774033
35,1436374637000,49.4503371,8.89778144
36,1436374647000,49.45031674,8.89778091
37,1436374658000,49.45029617,8.89777616
38,1436374668000,49.45027302,8.89778855
39,1436374679000,49.45025209,8.89780651
40,1436374688000,49.45023857,8.8978141
41,1436374700000,49.45021993,8.89780205
42,1436374709000,49.45021388,8.89779526
43,1436374720000,49.45020827,8.89779274
44,1436374729000,49.45020513,8.89778944
45,1436374740000,49.45019904,8.89778307
46,1436374760000,49.45018872,8.89778633
47,1436374770000,49.45018495,8.89778511
48,1436374781000,49.45017658,8.89777749
49,1436374791000,49.45017391,8.8977791
50,1436374801000,49.45017172,8.89777921
51,1436374812000,49.45016689,8.89777428
52,1436374822000,49.4501748,8.89777479
53,1436374832000,49.45060609,8.89765232
54,1436374842000,49.45081928,8.89772702
55,1436374853000,49.45098363,8.89773066
56,1436374863000,49.45139833,8.89761837
57,1436374874000,49.4516913,8.89764995
58,1436374884000,49.45206146,8.89734456
59,1436374893000,49.452213,8.89743285
60,1436374904856,49.45258751,8.89727809
61,1436374915000,49.45283319,8.89747961
62,1436374926000,49.45301712,8.89762931
63,1436374936000,49.45310971,8.89748309
64,1436374948000,49.45333421,8.89727159
65,1436374959000,49.4534894,8.89763866
66,1436374970000,49.45346533,8.89757593
67,1436374982000,49.45344328,8.89757332
68,1436374991000,49.45342225,8.89758323
69,1436375003000,49.45340644,8.89757678
70,1436375013000,49.4534073,8.89756318
71,1436375025000,49.45341068,8.89756508
72,1436375034000,49.45341321,8.89756128
73,1436375045000,49.4534148,8.89755786
74,1436375057000,49.45342084,8.89756385
75,1436375068000,49.45342755,8.89758182
76,1436375078000,49.45343366,8.89759313
77,1436375090000,49.4534394,8.89760006
78,1436375101000,49.4534444,8.89759895
79,1436375112000,49.45344567,8.89760918
80,1436375124000,49.45345132,8.89762532
81,1436375134000,49.45345501,8.89763979
82,1436375146000,49.45348577,8.89761413
83,1436375157000,49.45354849,8.89772636
84,1436375168000,49.45363073,8.89771639
85,1436375178000,49.45366841,8.89772278
86,1436375188000,49.45366071,8.89773266
87,1436375199000,49.45364562,8.89774709
88,1436375209000,49.4536485,8.8977794
89,1436375220000,49.45365849,8.89781133
90,1436375231000,49.45366261,8.89781868
91,1436375241000,49.45365085,8.89781497
92,1436375254000,49.45363006,8.89781127
93,1436375266000,49.45361044,8.89780694
94,1436375276000,49.45296526,8.89778471
95,1436375286000,49.45249713,8.89775879
96,1436375297000,49.45195211,8.89760786
97,1436375308000,49.45162041,8.89742856
98,1436375320000,49.4514345,8.89769504
99,1436375339000,49.45109976,8.8973206
