id,attr_time,attr_x,attr_y,attr_z
1,1436375913607,-18.319,0.271,-27.183
2,1436375913627,-18.319,0.271,-27.183
3,1436375913646,-18.319,0.271,-27.183
4,1436375913668,-18.319,0.271,-27.502
5,1436375913688,-18.319,0.271,-27.502
6,1436375913706,-18.319,0.271,-27.502
7,1436375913728,-18.319,0.271,-27.502
8,1436375913748,-18.319,0.271,-27.502
9,1436375913765,-18.319,0.271,-27.502
10,1436375913787,-18.319,0.271,-27.502
11,1436375913805,-18.319,0.271,-27.502
12,1436375913830,-18.319,0.271,-27.502
13,1436375913850,-18.319,0.271,-27.502
14,1436375913870,-18.319,0.271,-27.502
15,1436375913887,-18.319,0.271,-27.502
16,1436375913905,-18.319,0.271,-27.502
17,1436375913926,-18.319,0.271,-27.502
18,1436375913946,-18.319,0.271,-27.502
19,1436375913967,-18.319,0.271,-27.502
20,1436375913985,-18.319,0.271,-27.502
21,1436375914042,-18.319,0.271,-27.502
22,1436375914048,-18.319,0.271,-27.502
23,1436375914049,-18.319,0.271,-27.502
24,1436375914068,-18.319,0.271,-27.502
25,1436375914089,-18.319,0.271,-27.502
26,1436375914110,-18.319,0.271,-27.502
27,1436375914125,-18.319,0.271,-27.502
28,1436375914145,-18.319,0.271,-27.502
29,1436375914167,-18.319,0.271,-27.502
30,1436375914187,-18.319,0.271,-27.502
31,1436375914206,-18.319,0.271,-27.502
32,1436375914226,-18.319,0.271,-27.502
33,1436375914250,-18.319,0.271,-27.502
34,1436375914268,-18.319,0.271,-27.502
35,1436375914288,-18.319,0.271,-27.502
36,1436375914308,-18.319,0.271,-27.502
37,1436375914329,-18.319,0.271,-27.502
38,1436375914348,-18.319,0.271,-27.502
39,1436375914368,-18.319,0.271,-27.502
40,1436375914388,-18.319,0.585,-27.502
41,1436375914408,-18.319,0.585,-27.502
42,1436375914429,-18.319,0.585,-27.502
43,1436375914446,-18.319,0.585,-27.502
44,1436375914469,-18.319,0.585,-27.502
45,1436375914489,-18.319,0.585,-27.502
46,1436375914509,-18.319,0.585,-27.183
47,1436375914529,-18.319,0.585,-27.183
48,1436375914549,-18.319,0.585,-27.183
49,1436375914569,-18.319,0.585,-27.183
50,1436375914588,-18.319,0.585,-27.183
51,1436375914609,-18.319,0.585,-27.183
52,1436375914629,-18.319,0.585,-27.183
53,1436375914647,-18.319,0.585,-27.183
54,1436375914667,-18.319,0.585,-27.183
55,1436375914688,-18.319,0.585,-27.183
56,1436375914706,-18.319,0.585,-27.183
57,1436375914772,-18.319,0.585,-27.183
58,1436375914773,-18.319,0.585,-27.183
59,1436375914786,-18.319,0.585,-27.183
60,1436375914787,-18.319,0.585,-27.183
61,1436375914808,-18.319,0.585,-27.183
62,1436375914830,-18.319,0.585,-27.183
63,1436375914848,-18.319,0.585,-27.183
64,1436375914868,-18.319,0.585,-27.183
65,1436375914888,-18.319,0.585,-27.183
66,1436375914906,-18.319,0.585,-27.183
67,1436375914927,-18.319,0.585,-27.183
68,1436375914945,-18.319,0.585,-27.183
69,1436375914970,-18.319,0.585,-27.183
70,1436375914989,-18.319,0.585,-27.183
71,1436375915009,-18.319,0.585,-27.183
72,1436375915029,-18.319,0.585,-27.183
73,1436375915049,-18.319,0.585,-27.183
74,1436375915069,-18.319,0.585,-27.183
75,1436375915089,-18.319,0.585,-26.853
76,1436375915109,-18.319,0.585,-26.853
77,1436375915130,-18.319,0.585,-26.853
78,1436375915149,-18.319,0.585,-26.853
79,1436375915169,-18.319,0.585,-26.853
80,1436375915187,-18.319,0.585,-26.853
81,1436375915209,-18.319,0.585,-26.853
82,1436375915229,-18.319,0.585,-26.853
83,1436375915249,-18.319,0.585,-26.853
84,1436375915269,-18.319,0.585,-26.853
85,1436375915289,-18.319,0.585,-26.853
86,1436375915309,-18.319,0.585,-26.853
87,1436375915330,-18.319,0.585,-26.853
88,1436375915348,-18.319,0.585,-26.853
89,1436375915369,-18.319,0.585,-26.853
90,1436375915390,-18.319,0.585,-26.853
91,1436375915410,-18.319,0.585,-26.853
92,1436375915429,-18.319,0.585,-26.853
93,1436375915448,-18.319,0.585,-26.853
94,1436375915510,-18.319,0.585,-26.853
95,1436375915520,-18.319,0.585,-26.853
96,1436375915521,-18.319,0.585,-26.853
97,1436375915529,-18.319,0.585,-26.853
98,1436375915550,-18.319,0.585,-26.853
99,1436375915572,-18.319,0.585,-26.853
100,1436375915588,-18.319,0.585,-26.853
101,1436375915608,-18.319,0.585,-26.853
102,1436375915628,-18.319,0.585,-26.853
103,1436375915647,-18.319,0.585,-26.853
104,1436375915669,-18.319,0.585,-26.853
105,1436375915690,-18.319,0.585,-26.853
106,1436375915710,-18.319,0.585,-26.853
107,1436375915730,-18.319,0.585,-26.853
108,1436375915749,-18.319,0.585,-26.853
109,1436375915771,-18.319,0.585,-26.853
