id,attr_time,attr_light
1,1436372950626,91.0
2,1436372950642,88.0
3,1436372950663,88.0
4,1436372950685,85.0
5,1436372950706,85.0
6,1436372950793,83.0
7,1436372950794,83.0
8,1436372950795,81.0
9,1436372950796,81.0
10,1436372950815,79.0
11,1436372950823,79.0
12,1436372950844,77.0
13,1436372950865,76.0
14,1436372950896,76.0
15,1436372950903,75.0
16,1436372950923,75.0
17,1436372950943,74.0
18,1436372950965,74.0
19,1436372950986,73.0
20,1436372951004,73.0
21,1436372951026,72.0
22,1436372951046,72.0
23,1436372951067,69.0
24,1436372951087,64.0
25,1436372951106,64.0
26,1436372951126,58.0
27,1436372951146,58.0
28,1436372951167,59.0
29,1436372951184,59.0
30,1436372951206,59.0
31,1436372951226,59.0
32,1436372951247,53.0
33,1436372951265,53.0
34,1436372951285,51.0
35,1436372951306,53.0
36,1436372951326,53.0
37,1436372951347,54.0
38,1436372951367,54.0
39,1436372951385,53.0
40,1436372951406,53.0
41,1436372951428,53.0
42,1436372951445,53.0
43,1436372951468,53.0
44,1436372951538,54.0
45,1436372951539,54.0
46,1436372951540,55.0
47,1436372951548,55.0
48,1436372951564,57.0
49,1436372951584,57.0
50,1436372951604,59.0
51,1436372951665,59.0
52,1436372951666,63.0
53,1436372951667,63.0
54,1436372951687,68.0
55,1436372951705,75.0
56,1436372951726,75.0
57,1436372951745,84.0
58,1436372951764,84.0
59,1436372951787,94.0
60,1436372951804,94.0
61,1436372951824,99.0
62,1436372951844,99.0
63,1436372951892,100.0
64,1436372951893,100.0
65,1436372951904,102.0
66,1436372951924,103.0
67,1436372951945,103.0
68,1436372951969,104.0
69,1436372951987,104.0
70,1436372952007,105.0
71,1436372952028,105.0
72,1436372952046,106.0
73,1436372952066,106.0
74,1436372952085,107.0
75,1436372952106,107.0
76,1436372952129,108.0
77,1436372952149,108.0
78,1436372952166,108.0
79,1436372952252,108.0
80,1436372952253,108.0
81,1436372952254,109.0
82,1436372952255,109.0
83,1436372952268,109.0
84,1436372952292,109.0
85,1436372952308,109.0
86,1436372952337,109.0
87,1436372952345,110.0
88,1436372952365,110.0
89,1436372952385,110.0
90,1436372952405,110.0
91,1436372952427,110.0
92,1436372952446,110.0
93,1436372952467,110.0
94,1436372952488,110.0
95,1436372952508,110.0
96,1436372952528,110.0
97,1436372952548,110.0
98,1436372952568,110.0
99,1436372952587,111.0
100,1436372952608,111.0
101,1436372952625,111.0
102,1436372952646,111.0
103,1436372952665,111.0
104,1436372952686,111.0
105,1436372952705,111.0
106,1436372952724,111.0
107,1436372952750,111.0
108,1436372952767,111.0
109,1436372952791,111.0
110,1436372952806,112.0
111,1436372952825,112.0
112,1436372952845,112.0
113,1436372952866,112.0
114,1436372952987,112.0
115,1436372952988,112.0
116,1436372952989,112.0
117,1436372952990,112.0
118,1436372952991,111.0
119,1436372952992,110.0
120,1436372953006,110.0
121,1436372953029,110.0
122,1436372953045,110.0
123,1436372953065,109.0
124,1436372953085,109.0
125,1436372953106,108.0
126,1436372953127,108.0
127,1436372953145,107.0
128,1436372953165,107.0
129,1436372953187,106.0
130,1436372953208,106.0
131,1436372953226,106.0
132,1436372953248,106.0
133,1436372953268,106.0
134,1436372953287,107.0
135,1436372953308,107.0
136,1436372953329,107.0
137,1436372953348,107.0
138,1436372953366,108.0
139,1436372953388,108.0
140,1436372953406,108.0
141,1436372953426,108.0
142,1436372953446,108.0
143,1436372953472,108.0
144,1436372953487,108.0
145,1436372953512,109.0
146,1436372953529,109.0
147,1436372953546,109.0
148,1436372953566,109.0
149,1436372953586,108.0
150,1436372953607,108.0
151,1436372953626,106.0
152,1436372953678,102.0
153,1436372953679,102.0
154,1436372953688,100.0
155,1436372953706,100.0
156,1436372953726,99.0
157,1436372953746,99.0
158,1436372953766,98.0
159,1436372953786,98.0
160,1436372953819,98.0
161,1436372953828,98.0
162,1436372953848,98.0
163,1436372953867,97.0
164,1436372953887,97.0
165,1436372953909,96.0
166,1436372953929,96.0
167,1436372953949,95.0
168,1436372953969,95.0
169,1436372953989,94.0
170,1436372954009,94.0
171,1436372954029,93.0
172,1436372954049,93.0
173,1436372954069,93.0
174,1436372954088,92.0
175,1436372954107,92.0
176,1436372954129,92.0
177,1436372954149,92.0
178,1436372954169,91.0
179,1436372954186,91.0
180,1436372954208,90.0
181,1436372954229,90.0
182,1436372954249,88.0
183,1436372954267,87.0
184,1436372954290,87.0
185,1436372954307,86.0
186,1436372954327,86.0
187,1436372954349,85.0
188,1436372954412,85.0
189,1436372954413,84.0
190,1436372954414,84.0
191,1436372954426,83.0
192,1436372954446,83.0
193,1436372954466,83.0
194,1436372954486,83.0
195,1436372954506,83.0
196,1436372954533,83.0
197,1436372954547,83.0
198,1436372954568,84.0
199,1436372954588,84.0
200,1436372954608,88.0
201,1436372954627,88.0
202,1436372954650,94.0
203,1436372954670,94.0
204,1436372954687,100.0
205,1436372954707,106.0
206,1436372954727,106.0
207,1436372954747,111.0
208,1436372954767,111.0
209,1436372954788,112.0
210,1436372954809,112.0
211,1436372954828,112.0
212,1436372954862,112.0
213,1436372954867,111.0
214,1436372954887,110.0
215,1436372954915,110.0
216,1436372954927,109.0
217,1436372954949,109.0
218,1436372954974,108.0
219,1436372954990,108.0
220,1436372955007,107.0
221,1436372955027,107.0
222,1436372955047,106.0
223,1436372955068,106.0
224,1436372955087,105.0
225,1436372955107,105.0
226,1436372955127,105.0
227,1436372955163,104.0
228,1436372955167,104.0
229,1436372955186,104.0
230,1436372955206,104.0
231,1436372955226,104.0
232,1436372955246,104.0
233,1436372955266,104.0
234,1436372955287,104.0
235,1436372955307,103.0
236,1436372955332,103.0
237,1436372955346,103.0
238,1436372955366,102.0
239,1436372955386,102.0
240,1436372955406,102.0
241,1436372955426,102.0
242,1436372955446,102.0
243,1436372955466,102.0
244,1436372955486,102.0
245,1436372955506,102.0
246,1436372955526,102.0
247,1436372955546,102.0
248,1436372955566,102.0
249,1436372955588,102.0
250,1436372955609,102.0
251,1436372955628,102.0
252,1436372955648,102.0
253,1436372955669,102.0
254,1436372955690,102.0
255,1436372955711,102.0
256,1436372955728,102.0
257,1436372955755,102.0
258,1436372955799,102.0
259,1436372955800,102.0
260,1436372955807,102.0
261,1436372955828,102.0
262,1436372955848,102.0
263,1436372955867,102.0
264,1436372955890,102.0
265,1436372955910,102.0
266,1436372955929,102.0
267,1436372955948,102.0
268,1436372955972,102.0
269,1436372955990,102.0
270,1436372956007,102.0
271,1436372956032,102.0
272,1436372956050,102.0
273,1436372956072,102.0
274,1436372956092,102.0
275,1436372956110,102.0
276,1436372956132,102.0
277,1436372956152,102.0
278,1436372956169,102.0
279,1436372956192,102.0
280,1436372956212,102.0
281,1436372956230,102.0
282,1436372956251,102.0
283,1436372956269,102.0
284,1436372956292,102.0
285,1436372956312,102.0
286,1436372956332,102.0
287,1436372956352,102.0
288,1436372956369,102.0
289,1436372956388,102.0
290,1436372956408,102.0
291,1436372956431,102.0
292,1436372956451,102.0
293,1436372956521,102.0
294,1436372956522,102.0
295,1436372956523,102.0
296,1436372956530,102.0
297,1436372956550,102.0
298,1436372956569,102.0
299,1436372956588,102.0
300,1436372956615,102.0
301,1436372956628,102.0
302,1436372956653,102.0
303,1436372956672,102.0
304,1436372956690,102.0
305,1436372956709,102.0
306,1436372956732,102.0
307,1436372956753,102.0
308,1436372956772,102.0
309,1436372956792,102.0
310,1436372956813,102.0
311,1436372956832,102.0
312,1436372956852,102.0
313,1436372956873,102.0
314,1436372956893,102.0
315,1436372956910,102.0
316,1436372956933,102.0
317,1436372956952,102.0
318,1436372956972,102.0
319,1436372956992,102.0
320,1436372957012,102.0
321,1436372957032,102.0
322,1436372957052,102.0
323,1436372957072,102.0
324,1436372957093,102.0
325,1436372957143,102.0
326,1436372957144,101.0
327,1436372957150,101.0
328,1436372957171,101.0
329,1436372957243,101.0
330,1436372957244,101.0
331,1436372957245,101.0
332,1436372957251,101.0
333,1436372957273,101.0
334,1436372957290,101.0
335,1436372957309,101.0
336,1436372957336,101.0
337,1436372957349,102.0
338,1436372957373,102.0
339,1436372957397,102.0
340,1436372957410,102.0
341,1436372957435,102.0
342,1436372957453,103.0
343,1436372957473,103.0
344,1436372957493,103.0
345,1436372957513,103.0
346,1436372957533,103.0
347,1436372957553,103.0
348,1436372957573,103.0
349,1436372957593,103.0
350,1436372957614,103.0
351,1436372957631,103.0
352,1436372957653,104.0
353,1436372957670,104.0
354,1436372957690,104.0
355,1436372957710,104.0
356,1436372957735,104.0
357,1436372957755,104.0
358,1436372957776,104.0
359,1436372957793,104.0
360,1436372957810,104.0
361,1436372957830,104.0
362,1436372957850,104.0
363,1436372957873,104.0
364,1436372957890,104.0
365,1436372957962,104.0
366,1436372957963,104.0
367,1436372957964,104.0
368,1436372957972,104.0
369,1436372957991,104.0
370,1436372958010,104.0
371,1436372958030,104.0
372,1436372958056,104.0
373,1436372958070,104.0
374,1436372958093,104.0
375,1436372958116,104.0
376,1436372958132,104.0
377,1436372958153,104.0
378,1436372958172,104.0
379,1436372958193,104.0
380,1436372958213,104.0
381,1436372958233,104.0
382,1436372958253,104.0
383,1436372958273,104.0
384,1436372958293,104.0
385,1436372958313,104.0
386,1436372958335,104.0
387,1436372958350,104.0
388,1436372958373,104.0
389,1436372958394,104.0
390,1436372958413,104.0
391,1436372958433,104.0
392,1436372958454,104.0
393,1436372958474,104.0
394,1436372958494,104.0
395,1436372958513,104.0
396,1436372958534,104.0
397,1436372958555,105.0
398,1436372958574,105.0
399,1436372958593,105.0
400,1436372958615,105.0
401,1436372958705,104.0
402,1436372958706,104.0
403,1436372958707,104.0
404,1436372958708,104.0
405,1436372958733,105.0
406,1436372958734,105.0
407,1436372958763,105.0
408,1436372958770,104.0
409,1436372958791,104.0
410,1436372958810,104.0
411,1436372958830,104.0
412,1436372958852,104.0
413,1436372958872,104.0
414,1436372958891,105.0
415,1436372958911,105.0
416,1436372958939,105.0
417,1436372958952,105.0
418,1436372958971,105.0
419,1436372958991,105.0
420,1436372959011,105.0
421,1436372959031,106.0
422,1436372959052,106.0
423,1436372959072,106.0
424,1436372959092,106.0
425,1436372959111,106.0
426,1436372959131,106.0
427,1436372959152,106.0
428,1436372959172,106.0
429,1436372959191,106.0
430,1436372959211,106.0
431,1436372959231,106.0
432,1436372959253,106.0
433,1436372959273,106.0
434,1436372959292,106.0
435,1436372959312,106.0
436,1436372959333,105.0
437,1436372959351,105.0
438,1436372959373,105.0
439,1436372959398,105.0
440,1436372959410,105.0
441,1436372959430,105.0
442,1436372959450,105.0
443,1436372959472,105.0
444,1436372959491,105.0
445,1436372959512,105.0
446,1436372959531,105.0
447,1436372959554,105.0
448,1436372959573,105.0
449,1436372959592,105.0
450,1436372959610,104.0
451,1436372959635,104.0
452,1436372959651,104.0
453,1436372959675,104.0
454,1436372959695,104.0
455,1436372959715,104.0
456,1436372959734,104.0
457,1436372959753,104.0
458,1436372959770,104.0
459,1436372959794,104.0
460,1436372959814,104.0
461,1436372959836,104.0
462,1436372959852,104.0
463,1436372959872,104.0
464,1436372959899,104.0
465,1436372959918,104.0
466,1436372959935,104.0
467,1436372959952,104.0
468,1436372959978,104.0
469,1436372959993,104.0
470,1436372960015,104.0
471,1436372960072,104.0
472,1436372960073,104.0
473,1436372960074,104.0
474,1436372960093,103.0
475,1436372960115,103.0
476,1436372960132,103.0
477,1436372960184,103.0
478,1436372960185,102.0
479,1436372960203,102.0
480,1436372960212,102.0
481,1436372960232,101.0
482,1436372960258,101.0
483,1436372960277,102.0
484,1436372960293,102.0
485,1436372960315,103.0
486,1436372960333,103.0
487,1436372960351,107.0
488,1436372960371,107.0
489,1436372960391,111.0
490,1436372960411,111.0
491,1436372960431,115.0
492,1436372960453,114.0
493,1436372960471,114.0
494,1436372960492,106.0
495,1436372960511,106.0
