id,attr_time,attr_x,attr_y,attr_z
1,1436372950617,-2.322,-47.975,7.159
2,1436372950637,-2.0,-47.975,7.159
3,1436372950657,-2.0,-47.975,7.159
4,1436372950677,-2.0,-47.975,7.159
5,1436372950697,-2.0,-47.975,7.159
6,1436372950717,-2.0,-47.975,7.159
7,1436372950737,-2.0,-47.975,7.159
8,1436372950799,-2.0,-47.975,7.159
9,1436372950800,-2.0,-47.975,6.858
10,1436372950801,-2.0,-47.975,6.858
11,1436372950817,-2.0,-47.975,6.858
12,1436372950838,-2.0,-47.975,6.858
13,1436372950857,-2.0,-47.975,6.858
14,1436372950877,-2.0,-47.975,6.858
15,1436372950897,-2.0,-47.975,6.858
16,1436372950917,-2.0,-47.975,6.858
17,1436372950937,-2.0,-47.975,6.858
18,1436372950957,-2.0,-47.975,6.858
19,1436372950978,-2.0,-47.975,6.858
20,1436372950999,-2.0,-47.975,6.858
21,1436372951023,-2.0,-47.975,6.858
22,1436372951039,-2.0,-47.975,6.858
23,1436372951059,-2.0,-47.975,6.858
24,1436372951080,-2.0,-47.975,6.858
25,1436372951099,-2.0,-47.975,6.858
26,1436372951118,-2.0,-47.975,6.858
27,1436372951139,-2.0,-47.975,6.858
28,1436372951162,-2.0,-47.975,6.858
29,1436372951181,-2.0,-47.975,6.858
30,1436372951199,-2.0,-47.975,6.858
31,1436372951220,-2.0,-47.975,6.858
32,1436372951242,-2.0,-47.975,6.858
33,1436372951266,-2.0,-47.975,6.858
34,1436372951277,-2.0,-47.975,6.858
35,1436372951299,-2.0,-47.975,6.858
36,1436372951317,-2.0,-47.975,6.858
37,1436372951338,-2.0,-47.975,6.858
38,1436372951360,-2.0,-47.975,6.858
39,1436372951379,-2.0,-47.975,6.858
40,1436372951399,-2.0,-47.975,6.858
41,1436372951421,-2.0,-47.975,6.858
42,1436372951441,-2.0,-47.975,6.858
43,1436372951460,-2.301,-47.975,6.858
44,1436372951478,-2.301,-47.975,6.858
45,1436372951500,-2.301,-47.975,6.858
46,1436372951521,-2.301,-47.975,6.858
47,1436372951542,-2.301,-47.975,6.858
48,1436372951562,-2.301,-47.975,6.858
49,1436372951581,-2.301,-47.975,6.858
50,1436372951600,-2.301,-47.975,6.858
51,1436372951619,-2.301,-47.975,6.858
52,1436372951640,-2.301,-47.975,6.858
53,1436372951660,-2.606,-47.975,6.858
54,1436372951701,-2.606,-47.975,6.858
55,1436372951702,-2.606,-47.975,6.858
56,1436372951719,-2.606,-47.975,6.858
57,1436372951739,-2.606,-47.975,6.858
58,1436372951761,-2.606,-47.975,6.858
59,1436372951780,-2.606,-47.975,6.858
60,1436372951799,-2.606,-47.975,6.858
61,1436372951819,-2.606,-47.975,6.858
62,1436372951840,-2.606,-47.975,6.858
63,1436372951859,-2.606,-47.975,6.858
64,1436372951880,-2.606,-47.975,6.858
65,1436372951901,-2.606,-47.975,6.858
66,1436372951920,-2.606,-47.975,6.858
67,1436372951942,-2.606,-47.975,6.858
68,1436372951962,-2.908,-47.975,6.858
69,1436372951984,-2.908,-47.975,6.858
70,1436372952001,-2.908,-47.975,6.858
71,1436372952021,-2.908,-47.975,6.858
72,1436372952040,-2.908,-47.975,6.858
73,1436372952062,-2.908,-47.975,6.858
74,1436372952183,-2.908,-47.975,6.858
75,1436372952184,-2.908,-47.975,6.858
76,1436372952185,-2.908,-47.975,6.858
77,1436372952186,-2.908,-47.975,6.858
78,1436372952187,-2.908,-47.975,6.858
79,1436372952188,-3.244,-47.975,6.858
80,1436372952228,-3.244,-47.975,6.858
81,1436372952229,-3.244,-47.975,6.858
82,1436372952457,-3.244,-47.975,6.858
83,1436372952458,-3.244,-47.975,6.858
84,1436372952459,-3.244,-47.975,6.858
85,1436372952460,-3.244,-47.975,6.858
86,1436372952461,-3.244,-47.975,6.858
87,1436372952462,-3.244,-47.975,6.858
88,1436372952463,-3.244,-47.975,6.858
89,1436372952464,-3.244,-47.975,6.858
90,1436372952465,-3.244,-47.975,6.858
91,1436372952466,-3.244,-47.975,6.858
92,1436372952467,-3.244,-47.975,6.858
93,1436372952468,-3.244,-47.975,7.171
94,1436372952506,-3.244,-47.975,7.171
95,1436372952507,-3.244,-47.975,7.171
96,1436372952523,-3.244,-47.975,7.171
97,1436372952543,-3.244,-47.975,7.501
98,1436372952561,-3.244,-47.975,7.501
99,1436372952627,-3.244,-47.975,7.501
100,1436372952628,-3.244,-47.975,7.501
101,1436372952629,-3.244,-47.975,7.501
102,1436372952651,-3.244,-47.975,7.501
103,1436372952669,-3.244,-47.975,7.82
104,1436372952685,-3.244,-47.975,7.82
105,1436372952701,-3.244,-47.975,7.82
106,1436372952722,-3.244,-47.975,7.82
107,1436372952743,-3.244,-47.975,7.82
108,1436372952762,-3.244,-47.975,7.82
109,1436372952782,-3.244,-47.975,7.82
110,1436372952804,-3.244,-47.975,8.16
111,1436372952824,-3.244,-47.975,8.16
112,1436372952841,-3.244,-47.975,8.16
113,1436372952861,-3.244,-47.975,8.16
114,1436372952880,-3.244,-47.975,8.16
115,1436372952900,-3.244,-47.975,8.16
116,1436372952921,-3.244,-47.975,8.16
117,1436372952940,-3.244,-47.975,8.16
118,1436372952961,-3.244,-47.975,8.16
119,1436372952981,-3.244,-47.975,8.16
120,1436372953001,-3.244,-47.975,8.16
121,1436372953022,-3.244,-47.975,8.16
122,1436372953041,-3.244,-47.975,8.16
123,1436372953060,-3.244,-47.975,8.16
124,1436372953082,-3.244,-47.975,8.47
125,1436372953113,-3.244,-47.975,8.47
126,1436372953125,-3.244,-47.975,8.47
127,1436372953145,-3.244,-47.975,8.47
128,1436372953159,-3.562,-47.669,8.47
129,1436372953181,-3.562,-47.669,8.47
130,1436372953200,-3.562,-47.669,8.47
131,1436372953221,-3.562,-47.669,8.47
132,1436372953240,-3.562,-47.669,8.47
133,1436372953259,-3.562,-47.669,8.47
134,1436372953284,-3.562,-47.669,8.47
135,1436372953302,-3.562,-47.669,8.47
136,1436372953321,-3.863,-47.669,8.47
137,1436372953341,-3.863,-47.669,8.47
138,1436372953360,-3.863,-47.669,8.47
139,1436372953381,-3.863,-47.669,8.47
140,1436372953402,-3.863,-47.669,8.07
141,1436372953420,-3.863,-47.669,8.07
142,1436372953448,-3.863,-47.669,8.07
143,1436372953468,-3.863,-47.669,7.763
144,1436372953489,-3.863,-47.669,7.763
145,1436372953502,-3.863,-47.669,7.763
146,1436372953527,-3.863,-47.669,7.763
147,1436372953574,-3.863,-47.669,7.386
148,1436372953575,-3.863,-47.669,7.386
149,1436372953593,-4.179,-47.669,7.386
150,1436372953604,-4.179,-47.669,7.386
151,1436372953625,-4.179,-47.669,7.386
152,1436372953641,-4.179,-47.669,7.386
153,1436372953661,-4.179,-47.669,7.061
154,1436372953683,-4.179,-47.669,7.061
155,1436372953725,-4.179,-47.669,7.061
156,1436372953726,-4.528,-47.669,7.061
157,1436372953743,-4.528,-47.669,7.061
158,1436372953763,-4.528,-47.669,7.061
159,1436372953785,-4.528,-47.669,7.061
160,1436372953803,-4.528,-47.669,7.061
161,1436372953822,-4.528,-47.669,7.061
162,1436372953845,-4.844,-47.669,7.061
163,1436372953866,-4.844,-47.669,7.061
164,1436372953883,-4.844,-47.669,7.061
165,1436372953902,-4.844,-47.669,7.061
166,1436372953922,-4.844,-47.669,7.061
167,1436372953941,-4.844,-47.669,7.061
168,1436372953962,-4.844,-47.669,6.756
169,1436372953983,-4.844,-47.669,6.756
170,1436372954003,-4.844,-47.669,6.756
171,1436372954068,-4.844,-47.669,6.756
172,1436372954069,-4.844,-47.669,6.756
173,1436372954070,-4.844,-47.669,6.414
174,1436372954090,-4.844,-47.978,6.414
175,1436372954125,-4.844,-47.978,6.414
176,1436372954126,-4.844,-47.978,6.414
177,1436372954141,-4.844,-47.978,6.414
178,1436372954161,-4.844,-47.978,6.414
179,1436372954183,-4.844,-47.978,6.109
180,1436372954203,-4.844,-47.978,6.109
181,1436372954227,-4.844,-47.978,6.109
182,1436372954244,-4.844,-47.978,6.109
183,1436372954263,-4.844,-47.978,6.109
184,1436372954285,-4.844,-47.978,6.109
185,1436372954302,-4.539,-47.978,6.109
186,1436372954324,-4.539,-47.978,6.109
187,1436372954344,-4.539,-47.978,6.109
188,1436372954415,-4.539,-47.978,6.109
189,1436372954416,-4.539,-47.978,5.799
190,1436372954417,-4.203,-47.978,5.799
191,1436372954422,-4.203,-47.978,5.799
192,1436372954443,-4.203,-47.978,5.799
193,1436372954462,-4.203,-47.978,5.799
194,1436372954486,-4.203,-47.978,5.799
195,1436372954504,-4.203,-47.978,5.799
196,1436372954523,-3.889,-47.978,5.799
197,1436372954557,-3.889,-47.978,5.799
198,1436372954569,-3.889,-47.978,5.799
199,1436372954583,-3.889,-47.978,5.799
200,1436372954605,-3.889,-47.978,5.799
201,1436372954622,-3.889,-47.978,5.799
202,1436372954643,-3.889,-47.978,5.799
203,1436372954663,-3.889,-47.978,5.799
204,1436372954685,-3.889,-47.978,5.799
205,1436372954702,-3.889,-47.978,5.799
206,1436372954723,-3.889,-47.978,5.799
207,1436372954742,-3.889,-47.978,5.799
208,1436372954763,-3.585,-47.978,5.799
209,1436372954782,-3.585,-47.978,5.799
210,1436372954802,-3.585,-47.978,5.799
211,1436372954822,-3.585,-47.978,5.799
212,1436372954842,-3.585,-47.978,5.799
213,1436372954861,-3.585,-47.978,5.799
214,1436372954882,-3.585,-47.978,5.799
215,1436372954902,-3.585,-47.978,5.799
216,1436372954924,-3.585,-47.978,5.799
217,1436372954942,-3.585,-47.978,5.799
218,1436372954962,-3.585,-47.978,5.799
219,1436372954981,-3.585,-47.978,5.799
220,1436372955002,-3.585,-47.978,5.799
221,1436372955021,-3.585,-47.978,5.799
222,1436372955041,-3.585,-47.978,5.799
223,1436372955061,-3.585,-47.978,5.799
224,1436372955082,-3.585,-47.978,5.799
225,1436372955101,-3.585,-47.978,5.799
226,1436372955121,-3.585,-47.978,5.799
227,1436372955143,-3.585,-47.978,5.799
228,1436372955164,-3.585,-47.978,5.799
229,1436372955185,-3.585,-47.978,5.799
230,1436372955204,-3.585,-47.978,5.799
231,1436372955223,-3.585,-47.978,5.799
232,1436372955241,-3.585,-47.978,5.799
233,1436372955262,-3.585,-47.978,5.799
234,1436372955284,-3.585,-47.978,5.799
235,1436372955304,-3.585,-47.978,5.799
236,1436372955325,-3.585,-47.978,5.799
237,1436372955345,-3.585,-47.978,5.799
238,1436372955362,-3.585,-47.978,5.799
239,1436372955408,-3.585,-47.978,5.799
240,1436372955409,-3.585,-47.978,5.799
241,1436372955422,-3.585,-47.978,5.799
242,1436372955442,-3.585,-47.978,5.799
243,1436372955462,-3.585,-47.978,5.799
244,1436372955483,-3.585,-47.978,5.799
245,1436372955502,-3.585,-47.978,5.799
246,1436372955524,-3.585,-47.978,5.799
247,1436372955542,-3.585,-47.978,5.799
248,1436372955563,-3.585,-47.978,5.799
249,1436372955584,-3.585,-47.978,6.103
250,1436372955602,-3.585,-47.978,6.103
251,1436372955623,-3.585,-47.978,6.103
252,1436372955644,-3.585,-47.978,6.103
253,1436372955663,-3.585,-47.978,6.103
254,1436372955684,-3.585,-47.978,6.103
255,1436372955704,-3.585,-47.978,6.103
256,1436372955723,-3.585,-47.978,6.103
257,1436372955742,-3.585,-47.978,6.103
258,1436372955764,-3.585,-47.978,6.103
259,1436372955783,-3.585,-47.978,6.103
260,1436372955805,-3.585,-47.978,6.103
261,1436372955916,-3.585,-47.978,6.103
262,1436372955957,-3.585,-47.978,6.103
263,1436372955958,-3.585,-47.978,6.103
264,1436372955959,-3.585,-47.978,6.103
265,1436372955960,-3.585,-47.978,6.103
266,1436372955961,-3.585,-47.978,6.103
267,1436372955962,-3.585,-47.978,6.103
268,1436372955993,-3.585,-47.978,6.103
269,1436372955994,-3.585,-47.978,6.103
270,1436372956007,-3.585,-47.978,6.103
