id,attr_time,attr_x,attr_y,attr_z
1,1436372950619,47.5403,-9.32617,4.27399
2,1436372950639,47.5403,-9.32617,4.27399
3,1436372950762,45.4376,-8.27179,4.9469
4,1436372950763,47.1893,-7.56836,2.92969
5,1436372950764,47.1893,-7.56836,2.92969
6,1436372950765,46.3135,-6.68945,4.44336
7,1436372950766,46.3135,-7.74384,4.77905
8,1436372950767,46.3135,-7.74384,4.77905
9,1436372950778,45.4376,-7.92084,3.93829
10,1436372950797,44.7372,-7.92084,4.61121
11,1436372950817,44.7372,-7.92084,4.61121
12,1436372950837,45.9625,-9.50165,3.09753
13,1436372950858,46.489,-8.97522,4.27399
14,1436372950877,46.489,-8.97522,4.27399
15,1436372950899,46.8384,-8.62274,3.26538
16,1436372950916,45.9625,-9.50165,5.78766
17,1436372950936,45.9625,-9.50165,5.78766
18,1436372950957,45.7886,-10.3806,2.92969
19,1436372950976,46.3135,-8.44727,3.77045
20,1436372950995,46.3135,-8.44727,3.77045
21,1436372951016,46.8384,-9.67865,5.28412
22,1436372951035,46.138,-9.67865,6.29272
23,1436372951056,46.138,-9.67865,6.29272
24,1436372951075,47.5403,-8.27179,4.61121
25,1436372951098,46.489,-9.67865,3.26538
26,1436372951115,46.489,-9.67865,3.26538
27,1436372951133,47.0139,-10.5576,3.43323
28,1436372951155,46.6644,-8.79974,3.77045
29,1436372951174,46.6644,-8.79974,3.77045
30,1436372951195,45.2621,-10.2051,4.10614
31,1436372951214,46.489,-7.92084,3.6026
32,1436372951234,46.489,-7.92084,3.6026
33,1436372951254,45.0867,-8.62274,4.61121
34,1436372951274,46.8384,-8.62274,4.27399
35,1436372951293,46.8384,-8.62274,4.27399
36,1436372951313,45.6131,-9.1507,4.10614
37,1436372951333,47.1893,-9.32617,6.29272
38,1436372951353,47.1893,-9.32617,6.29272
39,1436372951373,47.7158,-8.79974,2.76184
40,1436372951396,46.138,-10.3806,4.9469
41,1436372951413,46.138,-10.3806,4.9469
42,1436372951433,44.7372,-9.32617,2.92969
43,1436372951452,47.7158,-9.1507,2.42462
44,1436372951472,47.7158,-9.1507,2.42462
45,1436372951494,47.0139,-9.50165,2.42462
46,1436372951512,46.6644,-9.1507,3.77045
47,1436372951532,46.6644,-9.1507,3.77045
48,1436372951553,46.489,-9.67865,2.92969
49,1436372951572,45.4376,-10.733,3.6026
50,1436372951591,45.4376,-10.733,3.6026
51,1436372951612,47.3648,-10.5576,4.10614
52,1436372951631,46.3135,-9.85413,5.11475
53,1436372951652,46.3135,-9.85413,5.11475
54,1436372951671,45.9625,-9.85413,2.08893
55,1436372951694,46.138,-10.3806,3.93829
56,1436372951711,46.138,-10.3806,3.93829
57,1436372951731,47.0139,-9.50165,3.77045
58,1436372951750,45.6131,-10.2051,3.77045
59,1436372951770,45.6131,-10.2051,3.77045
60,1436372951790,45.4376,-10.733,4.27399
61,1436372951809,46.489,-10.3806,4.61121
62,1436372951830,46.489,-10.3806,4.61121
63,1436372951850,46.489,-8.62274,3.93829
64,1436372951870,46.489,-9.67865,3.6026
65,1436372951893,46.489,-9.67865,3.6026
66,1436372951908,46.489,-11.4365,3.93829
67,1436372951932,46.3135,-9.50165,1.0788
68,1436372951948,46.3135,-9.50165,1.0788
69,1436372951969,47.0139,-11.2595,3.09753
70,1436372951989,47.0139,-9.85413,4.10614
