id,attr_time,attr_x,attr_y,attr_z
1,1436471341207,31.443,-35.888,-8.236
2,1436471341227,31.443,-35.888,-8.236
3,1436471341247,31.443,-35.888,-8.236
4,1436471341266,31.443,-35.888,-8.236
5,1436471341287,31.443,-35.888,-8.236
6,1436471341307,31.443,-35.888,-8.236
7,1436471341327,31.443,-35.888,-8.236
8,1436471341346,31.443,-35.888,-8.236
9,1436471341367,31.443,-35.888,-8.236
10,1436471341390,31.443,-35.888,-8.236
11,1436471341407,31.443,-35.888,-8.236
12,1436471341426,31.443,-35.888,-8.236
13,1436471341447,31.443,-35.888,-8.236
14,1436471341516,31.443,-35.888,-8.236
15,1436471341517,31.443,-35.888,-8.236
16,1436471341518,31.443,-35.888,-8.236
17,1436471341526,31.443,-35.888,-8.236
18,1436471341554,31.443,-35.888,-8.236
19,1436471341567,31.443,-35.888,-8.236
20,1436471341584,31.443,-35.888,-8.236
21,1436471341604,31.443,-35.888,-8.236
22,1436471341626,31.443,-35.888,-8.236
23,1436471341647,31.443,-35.888,-8.236
24,1436471341665,31.443,-35.888,-8.236
25,1436471341687,31.443,-35.888,-8.236
26,1436471341704,31.747,-35.888,-8.236
27,1436471341727,31.747,-35.888,-8.236
28,1436471341747,31.747,-35.888,-8.236
29,1436471341767,31.747,-35.888,-8.236
30,1436471341787,31.747,-35.888,-8.236
31,1436471341807,31.747,-35.888,-8.236
32,1436471341827,31.747,-35.888,-8.236
33,1436471341874,31.747,-35.888,-8.236
34,1436471341875,31.747,-35.888,-8.236
35,1436471341888,31.747,-35.888,-8.236
36,1436471341907,31.747,-35.888,-8.236
37,1436471341927,31.747,-35.888,-8.236
38,1436471341945,31.747,-35.888,-8.236
39,1436471341977,32.058,-35.888,-8.236
40,1436471341984,32.058,-35.888,-8.236
41,1436471342007,32.058,-35.888,-8.236
42,1436471342027,32.058,-35.888,-7.901
43,1436471342050,32.058,-35.888,-7.901
44,1436471342066,32.058,-35.888,-7.901
45,1436471342087,32.058,-35.888,-7.901
46,1436471342106,32.058,-35.888,-7.901
47,1436471342129,32.058,-35.888,-7.901
48,1436471342154,32.058,-35.888,-7.901
49,1436471342213,32.058,-35.888,-7.901
50,1436471342214,32.058,-35.888,-7.901
51,1436471342215,32.058,-35.888,-7.901
52,1436471342225,32.058,-35.888,-7.901
53,1436471342247,32.058,-35.888,-7.901
54,1436471342265,32.058,-35.888,-7.901
55,1436471342286,32.058,-35.888,-7.901
56,1436471342307,32.058,-35.888,-7.901
57,1436471342327,32.058,-35.888,-7.901
58,1436471342345,32.058,-35.888,-7.901
59,1436471342366,32.058,-35.888,-7.901
60,1436471342386,32.058,-35.888,-7.901
61,1436471342409,32.058,-35.888,-7.901
62,1436471342425,32.058,-35.888,-7.901
63,1436471342448,32.058,-35.888,-7.525
64,1436471342468,32.058,-35.888,-7.525
65,1436471342488,32.058,-35.888,-7.525
66,1436471342508,32.058,-35.888,-7.525
67,1436471342528,32.058,-35.888,-7.525
68,1436471342548,32.058,-35.888,-7.525
69,1436471342568,32.058,-35.888,-7.525
70,1436471342588,32.058,-35.888,-7.525
71,1436471342607,32.058,-35.888,-7.525
72,1436471342628,31.672,-35.888,-7.2
73,1436471342648,31.672,-35.888,-7.2
74,1436471342668,31.672,-35.888,-7.2
75,1436471342688,31.672,-35.888,-7.2
76,1436471342708,31.672,-35.888,-7.2
77,1436471342727,31.34,-35.888,-7.2
78,1436471342748,31.34,-35.888,-7.2
79,1436471342768,31.34,-35.888,-7.2
80,1436471342788,31.34,-35.888,-7.2
81,1436471342808,31.34,-36.219,-7.2
82,1436471342828,31.34,-36.219,-7.2
83,1436471342846,31.025,-36.219,-7.556
84,1436471342878,31.025,-36.219,-7.556
85,1436471342948,31.025,-36.219,-7.556
86,1436471342949,31.025,-36.219,-7.556
87,1436471342950,31.025,-36.219,-7.556
88,1436471342951,31.025,-36.219,-7.556
89,1436471342967,30.722,-36.219,-7.556
90,1436471342987,30.722,-36.219,-7.556
91,1436471343006,30.722,-36.219,-7.556
92,1436471343026,30.722,-36.219,-7.556
