id,attr_time,attr_light
1,1436465583034,102.0
2,1436465583074,102.0
3,1436465583075,102.0
4,1436465583097,102.0
5,1436465583117,101.0
6,1436465583138,101.0
7,1436465583158,101.0
8,1436465583178,101.0
9,1436465583195,101.0
10,1436465583218,101.0
11,1436465583234,101.0
12,1436465583259,101.0
13,1436465583279,101.0
14,1436465583297,101.0
15,1436465583315,101.0
16,1436465583336,101.0
17,1436465583355,101.0
18,1436465583381,100.0
19,1436465583401,100.0
20,1436465583421,100.0
21,1436465583437,100.0
22,1436465583531,100.0
23,1436465583536,100.0
24,1436465583537,100.0
25,1436465583538,100.0
26,1436465583539,100.0
27,1436465583563,100.0
28,1436465583649,100.0
29,1436465583650,99.0
30,1436465583651,99.0
31,1436465583652,99.0
32,1436465583666,99.0
33,1436465583677,99.0
34,1436465583695,99.0
35,1436465583718,99.0
36,1436465583738,98.0
37,1436465583758,98.0
38,1436465583778,98.0
39,1436465583798,98.0
40,1436465583818,98.0
41,1436465583838,98.0
42,1436465583858,98.0
43,1436465583878,97.0
44,1436465583898,97.0
45,1436465583918,97.0
46,1436465583938,97.0
47,1436465583959,98.0
48,1436465583979,98.0
49,1436465583999,97.0
50,1436465584018,98.0
51,1436465584038,98.0
52,1436465584058,98.0
53,1436465584078,98.0
54,1436465584100,98.0
55,1436465584118,98.0
56,1436465584138,98.0
57,1436465584156,98.0
58,1436465584179,98.0
59,1436465584289,98.0
60,1436465584290,98.0
61,1436465584291,98.0
62,1436465584292,98.0
63,1436465584293,98.0
64,1436465584305,98.0
65,1436465584331,98.0
66,1436465584336,98.0
67,1436465584356,98.0
68,1436465584376,98.0
69,1436465584398,98.0
70,1436465584418,98.0
71,1436465584437,98.0
72,1436465584459,98.0
73,1436465584477,98.0
74,1436465584499,98.0
75,1436465584519,98.0
76,1436465584539,99.0
77,1436465584559,99.0
78,1436465584578,99.0
79,1436465584599,99.0
80,1436465584619,99.0
81,1436465584639,99.0
82,1436465584658,99.0
83,1436465584677,99.0
84,1436465584699,99.0
85,1436465584718,99.0
86,1436465584738,99.0
87,1436465584756,99.0
88,1436465584779,99.0
89,1436465584800,99.0
90,1436465584820,99.0
91,1436465584839,99.0
92,1436465584858,99.0
93,1436465584877,99.0
94,1436465584898,99.0
95,1436465584918,99.0
96,1436465584988,99.0
97,1436465584999,99.0
98,1436465585000,99.0
99,1436465585001,99.0
100,1436465585017,99.0
101,1436465585038,99.0
102,1436465585057,98.0
103,1436465585077,98.0
104,1436465585098,98.0
105,1436465585118,97.0
106,1436465585140,97.0
107,1436465585160,97.0
108,1436465585178,97.0
109,1436465585201,97.0
110,1436465585218,97.0
111,1436465585237,97.0
112,1436465585257,97.0
113,1436465585280,97.0
114,1436465585300,97.0
115,1436465585320,97.0
116,1436465585340,97.0
117,1436465585360,97.0
118,1436465585379,97.0
119,1436465585400,97.0
120,1436465585420,97.0
121,1436465585439,97.0
122,1436465585459,97.0
123,1436465585477,97.0
124,1436465585500,97.0
125,1436465585520,97.0
126,1436465585541,97.0
127,1436465585558,97.0
128,1436465585579,97.0
129,1436465585598,97.0
130,1436465585620,97.0
131,1436465585639,96.0
132,1436465585707,96.0
133,1436465585708,96.0
134,1436465585709,96.0
135,1436465585723,96.0
136,1436465585738,96.0
137,1436465585760,96.0
138,1436465585779,96.0
139,1436465585799,96.0
140,1436465585820,96.0
141,1436465585838,96.0
142,1436465585859,96.0
143,1436465585878,96.0
144,1436465585900,96.0
145,1436465585921,96.0
146,1436465585940,96.0
147,1436465585960,96.0
148,1436465585978,96.0
149,1436465586000,96.0
150,1436465586021,96.0
151,1436465586038,96.0
152,1436465586061,96.0
153,1436465586078,96.0
154,1436465586100,96.0
155,1436465586120,96.0
156,1436465586140,96.0
157,1436465586166,96.0
158,1436465586179,96.0
159,1436465586207,96.0
160,1436465586224,96.0
161,1436465586244,96.0
162,1436465586262,96.0
163,1436465586279,96.0
164,1436465586298,96.0
165,1436465586320,96.0
166,1436465586341,96.0
167,1436465586359,96.0
168,1436465586423,96.0
169,1436465586424,96.0
170,1436465586425,96.0
171,1436465586438,96.0
172,1436465586458,96.0
173,1436465586478,96.0
174,1436465586499,96.0
175,1436465586519,96.0
176,1436465586540,96.0
177,1436465586559,97.0
178,1436465586580,97.0
179,1436465586599,97.0
180,1436465586620,97.0
181,1436465586638,97.0
182,1436465586660,97.0
183,1436465586679,97.0
184,1436465586702,97.0
185,1436465586720,97.0
186,1436465586741,97.0
187,1436465586762,97.0
188,1436465586779,98.0
189,1436465586801,98.0
190,1436465586822,98.0
191,1436465586838,98.0
192,1436465586862,98.0
193,1436465586881,98.0
194,1436465586902,98.0
195,1436465586923,98.0
196,1436465586940,98.0
197,1436465586961,98.0
198,1436465586979,98.0
199,1436465587000,99.0
200,1436465587023,100.0
201,1436465587043,100.0
202,1436465587063,101.0
203,1436465587080,101.0
204,1436465587225,102.0
205,1436465587236,102.0
206,1436465587243,102.0
207,1436465587244,102.0
208,1436465587245,102.0
209,1436465587246,102.0
210,1436465587247,102.0
211,1436465587248,102.0
212,1436465587320,102.0
213,1436465587321,103.0
214,1436465587322,103.0
215,1436465587323,103.0
216,1436465587342,103.0
217,1436465587360,103.0
218,1436465587379,103.0
219,1436465587399,104.0
220,1436465587423,104.0
221,1436465587441,104.0
222,1436465587463,105.0
223,1436465587483,105.0
224,1436465587502,106.0
225,1436465587522,106.0
226,1436465587543,106.0
227,1436465587563,106.0
228,1436465587583,107.0
229,1436465587618,107.0
230,1436465587619,108.0
231,1436465587639,110.0
232,1436465587660,110.0
233,1436465587679,111.0
234,1436465587701,111.0
235,1436465587722,113.0
236,1436465587743,113.0
237,1436465587762,115.0
238,1436465587782,115.0
239,1436465587803,119.0
240,1436465587833,119.0
241,1436465587846,123.0
242,1436465587862,129.0
243,1436465588005,129.0
244,1436465588006,137.0
245,1436465588007,137.0
246,1436465588008,151.0
247,1436465588009,151.0
248,1436465588010,172.0
249,1436465588011,172.0
250,1436465588022,198.0
251,1436465588041,198.0
252,1436465588060,223.0
