id,attr_time,attr_x,attr_y,attr_z
1,1436472360014,4.708,-44.535,12.388
2,1436472360033,4.708,-44.535,12.388
3,1436472360056,4.708,-44.535,12.388
4,1436472360072,4.708,-44.535,12.388
5,1436472360103,4.708,-44.535,12.388
6,1436472360114,4.708,-44.535,12.388
7,1436472360133,4.396,-44.535,12.388
8,1436472360155,4.396,-44.535,12.388
9,1436472360175,4.396,-44.535,12.388
10,1436472360195,4.396,-44.535,12.388
11,1436472360215,4.396,-44.535,12.388
12,1436472360235,4.396,-44.535,12.388
13,1436472360253,4.396,-44.535,12.388
14,1436472360275,4.396,-44.535,12.388
15,1436472360296,4.396,-44.535,12.062
16,1436472360317,4.396,-44.535,12.062
17,1436472360336,4.396,-44.535,12.062
18,1436472360355,4.396,-44.535,12.062
19,1436472360376,4.396,-44.535,12.062
20,1436472360436,4.396,-44.535,12.062
21,1436472360437,4.396,-44.535,12.062
22,1436472360438,4.396,-44.863,11.718
23,1436472360462,4.396,-44.863,11.718
24,1436472360473,4.396,-44.863,11.718
25,1436472360500,4.396,-44.863,11.718
26,1436472360514,4.396,-44.863,11.718
27,1436472360534,4.396,-44.863,11.718
28,1436472360553,4.396,-44.863,11.718
29,1436472360574,4.396,-44.863,11.718
30,1436472360595,4.396,-44.863,11.718
31,1436472360615,4.396,-44.863,11.718
32,1436472360637,4.396,-44.863,11.396
33,1436472360656,4.396,-44.863,11.396
34,1436472360676,4.396,-44.863,11.396
35,1436472360695,4.396,-44.863,11.396
36,1436472360716,4.396,-44.863,11.396
37,1436472360735,4.396,-44.863,11.396
38,1436472360756,4.396,-44.863,11.396
39,1436472360777,4.396,-44.863,11.396
40,1436472360796,4.396,-44.863,11.396
41,1436472360815,4.396,-44.863,11.396
42,1436472360843,4.396,-44.863,11.396
43,1436472360902,4.396,-44.863,11.396
44,1436472360903,4.396,-44.863,11.396
45,1436472360904,4.716,-44.863,11.396
46,1436472360929,4.716,-44.863,11.396
47,1436472360933,4.716,-44.863,11.396
48,1436472360953,4.716,-44.863,11.396
49,1436472360974,4.716,-44.863,11.396
50,1436472360997,4.716,-44.863,11.396
51,1436472361025,4.716,-44.863,11.396
52,1436472361043,4.716,-44.863,11.396
53,1436472361057,4.716,-44.863,11.396
54,1436472361075,4.716,-44.863,11.396
55,1436472361095,4.716,-44.863,11.396
56,1436472361117,4.716,-44.863,11.396
57,1436472361136,4.716,-44.863,11.396
58,1436472361155,4.716,-44.863,11.396
59,1436472361181,4.716,-44.863,11.396
60,1436472361195,4.716,-44.863,11.396
61,1436472361213,4.716,-44.863,11.396
62,1436472361233,4.716,-44.863,11.396
63,1436472361253,4.716,-44.863,11.396
64,1436472361275,4.716,-44.863,11.396
65,1436472361303,4.716,-44.863,11.396
66,1436472361403,4.716,-44.863,11.396
67,1436472361404,4.716,-44.863,11.396
68,1436472361405,4.716,-44.863,11.396
69,1436472361406,4.716,-44.863,11.396
70,1436472361407,4.716,-44.863,11.396
71,1436472361420,4.399,-44.863,11.396
72,1436472361451,4.399,-44.863,11.396
73,1436472361454,4.399,-44.863,11.396
74,1436472361474,4.399,-44.863,11.396
75,1436472361494,4.399,-44.863,11.396
76,1436472361518,4.399,-44.863,11.396
77,1436472361534,4.399,-44.863,11.396
78,1436472361554,4.399,-44.863,11.396
79,1436472361575,4.399,-44.863,11.396
80,1436472361599,4.399,-44.863,11.396
81,1436472361618,4.399,-44.863,11.396
82,1436472361634,4.399,-44.863,11.396
83,1436472361654,4.399,-44.863,11.396
84,1436472361675,4.399,-44.863,11.396
85,1436472361701,4.399,-44.863,11.396
86,1436472361721,4.399,-44.863,11.396
87,1436472361740,4.399,-44.863,11.396
88,1436472361755,4.399,-44.863,11.396
89,1436472361783,4.399,-44.863,11.396
90,1436472361794,4.399,-44.863,11.396
91,1436472361834,4.399,-44.863,11.396
92,1436472361835,4.399,-44.863,11.396
93,1436472361854,4.399,-44.863,11.396
94,1436472361875,4.399,-44.863,11.396
95,1436472361897,4.399,-44.863,11.396
96,1436472361914,4.704,-44.863,11.396
97,1436472361940,4.704,-44.863,11.396
98,1436472361955,4.704,-44.863,11.396
99,1436472361982,4.704,-44.863,11.061
100,1436472361998,4.704,-44.863,11.061
101,1436472362022,4.704,-44.863,11.061
102,1436472362041,4.704,-44.863,11.061
103,1436472362065,4.704,-44.863,11.061
104,1436472362081,4.704,-44.863,11.061
105,1436472362101,4.704,-44.863,11.061
106,1436472362117,4.704,-44.863,11.061
107,1436472362135,4.704,-44.863,11.061
108,1436472362156,4.704,-44.863,11.061
109,1436472362177,4.704,-44.863,11.061
