id,attr_time,attr_x,attr_y,attr_z
1,1436472360023,51.445,15.5609,16.7114
2,1436472360037,50.2197,17.4957,17.2165
3,1436472360056,50.2197,17.4957,17.2165
4,1436472360076,50.9201,16.7923,17.5522
5,1436472360094,50.9201,16.0889,18.2251
6,1436472360116,50.9201,16.0889,18.2251
7,1436472360134,50.9201,17.8467,18.898
8,1436472360155,50.7446,14.5065,17.3843
9,1436472360174,50.7446,14.5065,17.3843
10,1436472360195,52.6718,15.7379,17.5522
11,1436472360215,51.0956,15.21,15.7028
12,1436472360233,51.0956,15.21,15.7028
13,1436472360255,50.9201,16.0889,15.535
14,1436472360272,51.2695,17.1432,14.8621
15,1436472360293,51.2695,17.1432,14.8621
16,1436472360314,49.6933,16.6168,17.72
17,1436472360334,51.445,14.859,16.3757
18,1436472360354,51.445,14.859,16.3757
19,1436472360374,51.445,16.2643,15.7028
20,1436472360393,50.9201,12.9242,14.8621
21,1436472360413,50.9201,12.9242,14.8621
22,1436472360433,50.5692,12.5732,14.8621
23,1436472360453,51.0956,10.9909,15.7028
24,1436472360473,51.0956,10.9909,15.7028
25,1436472360491,51.2695,10.8154,13.1805
26,1436472360512,50.3937,10.2875,14.6942
27,1436472360532,50.3937,10.2875,14.6942
28,1436472360551,50.3937,8.52966,14.0213
29,1436472360572,51.0956,7.47528,13.0112
30,1436472360589,51.0956,7.47528,13.0112
31,1436472360611,50.2197,6.94885,12.1704
32,1436472360629,50.5692,6.24542,12.5076
33,1436472360648,50.5692,6.24542,12.5076
34,1436472360671,51.0956,5.36652,12.0026
35,1436472360690,49.3439,3.95966,11.3297
36,1436472360710,49.3439,3.95966,11.3297
37,1436472360730,49.5178,3.43323,12.8433
38,1436472360750,48.9929,1.85089,12.0026
39,1436472360769,48.9929,1.85089,12.0026
40,1436472360789,49.1684,2.02637,12.5076
41,1436472360807,51.445,1.49841,13.3484
42,1436472360828,51.445,1.49841,13.3484
43,1436472360847,48.9929,1.14746,13.6841
44,1436472360869,50.7446,0.444031,14.0213
45,1436472360885,50.7446,0.444031,14.0213
46,1436472360906,50.0442,1.14746,14.357
47,1436472360926,50.9201,0.971985,14.5248
48,1436472360947,50.9201,0.971985,14.5248
49,1436472360966,51.6205,4.13513,12.5076
50,1436472360987,50.2197,1.67542,13.5162
51,1436472361007,50.2197,1.67542,13.5162
52,1436472361026,51.6205,2.02637,13.5162
53,1436472361047,52.4963,2.55432,13.0112
54,1436472361066,52.4963,2.55432,13.0112
55,1436472361085,51.2695,3.43323,11.1618
56,1436472361106,51.796,3.25623,10.6583
57,1436472361124,51.796,3.25623,10.6583
58,1436472361146,51.6205,4.83856,10.8261
59,1436472361165,51.796,3.95966,10.6583
60,1436472361184,51.796,3.95966,10.6583
61,1436472361204,53.5477,5.71747,10.6583
62,1436472361222,52.4963,6.4209,10.994
63,1436472361244,52.4963,6.4209,10.994
64,1436472361263,53.3722,6.59637,10.8261
65,1436472361284,51.2695,6.94885,11.8347
66,1436472361303,51.2695,6.94885,11.8347
67,1436472361323,51.6205,6.59637,12.1704
68,1436472361343,51.6205,6.94885,11.1618
69,1436472361362,51.6205,6.94885,11.1618
70,1436472361382,52.3209,9.05762,10.8261
71,1436472361401,50.7446,8.88214,10.994
72,1436472361422,50.7446,8.88214,10.994
73,1436472361441,51.2695,9.05762,9.81751
74,1436472361462,51.0956,9.23309,10.6583
75,1436472361481,51.0956,9.23309,10.6583
76,1436472361501,50.9201,11.1664,8.80737
77,1436472361521,51.6205,9.76105,8.80737
78,1436472361542,51.6205,9.76105,8.80737
79,1436472361560,50.0442,10.2875,9.64813
80,1436472361579,50.2197,11.1664,11.1618
81,1436472361600,50.2197,11.1664,11.1618
82,1436472361619,51.445,11.3434,10.6583
83,1436472361639,50.5692,11.8698,10.1532
84,1436472361659,50.5692,11.8698,10.1532
85,1436472361679,49.3439,12.7487,12.0026
86,1436472361699,50.7446,12.3978,12.3398
87,1436472361717,50.7446,12.3978,12.3398
88,1436472361738,47.5906,14.1556,12.3398
89,1436472361757,49.6933,14.1556,12.6755
90,1436472361777,49.6933,14.1556,12.6755
91,1436472361798,49.6933,12.0453,12.3398
92,1436472361817,50.5692,13.2767,11.1618
93,1436472361837,50.5692,13.2767,11.1618
94,1436472361857,50.2197,12.5732,12.5076
95,1436472361877,49.5178,11.5189,9.48029
96,1436472361896,49.5178,11.5189,9.48029
97,1436472361916,52.6718,10.8154,10.8261
98,1436472361939,51.796,9.58557,9.64813
99,1436472361954,51.796,9.58557,9.64813
100,1436472361976,51.9714,9.40857,8.80737
101,1436472361996,51.2695,9.76105,8.80737
102,1436472362015,51.2695,9.76105,8.80737
103,1436472362034,51.796,8.52966,9.31244
104,1436472362055,52.8473,9.58557,9.64813
105,1436472362074,52.8473,9.58557,9.64813
106,1436472362094,52.1469,8.88214,10.6583
107,1436472362114,51.445,8.52966,10.6583
108,1436472362134,51.445,8.52966,10.6583
109,1436472362153,51.445,8.52966,10.6583
110,1436472362173,51.445,9.58557,9.64813
111,1436472362193,51.445,9.58557,9.64813
112,1436472362212,51.0956,8.52966,10.6583
113,1436472362233,51.0956,8.17871,11.3297
114,1436472362251,51.0956,8.17871,11.3297
115,1436472362272,51.2695,8.35419,12.8433
116,1436472362291,51.9714,8.35419,10.8261
117,1436472362312,51.9714,8.35419,10.8261
118,1436472362332,51.9714,8.70666,10.1532
119,1436472362350,51.2695,8.35419,10.4889
120,1436472362371,51.2695,8.35419,10.4889
121,1436472362389,53.7231,9.05762,7.46307
122,1436472362411,51.9714,6.59637,7.46307
123,1436472362430,51.9714,6.59637,7.46307
124,1436472362450,51.445,7.12433,8.97675
125,1436472362470,50.2197,4.48761,8.80737
126,1436472362490,50.2197,4.48761,8.80737
127,1436472362509,50.7446,4.31213,8.63953
128,1436472362529,51.2695,3.08075,10.1532
129,1436472362549,51.2695,3.08075,10.1532
130,1436472362568,52.1469,1.85089,11.3297
131,1436472362589,51.6205,-0.785828,11.499
132,1436472362608,51.6205,-0.785828,11.499
133,1436472362627,50.3937,-0.259399,9.98535
134,1436472362647,51.0956,-1.66473,9.31244
135,1436472362666,51.0956,-1.66473,9.31244
136,1436472362687,51.9714,-1.48926,9.81751
137,1436472362706,51.9714,-1.84021,7.12585
138,1436472362727,51.9714,-1.84021,7.12585
139,1436472362747,53.0228,-2.19269,9.81751
140,1436472362767,50.9201,-2.89612,9.48029
141,1436472362786,50.9201,-2.89612,9.48029
142,1436472362806,50.2197,-3.24707,9.14459
143,1436472362826,51.0956,-4.47693,8.63953
144,1436472362845,51.0956,-4.47693,8.63953
145,1436472362866,50.7446,-4.12598,5.9494
146,1436472362884,51.796,-3.07159,8.97675
147,1436472362905,51.796,-3.07159,8.97675
148,1436472362925,51.445,-3.77502,7.63092
149,1436472362945,51.796,-3.42255,7.2937
150,1436472362964,51.796,-3.42255,7.2937
151,1436472362983,52.8473,-1.66473,8.97675
152,1436472363004,51.2695,-1.84021,9.48029
153,1436472363024,51.2695,-1.84021,9.48029
154,1436472363043,51.445,-2.71912,8.30383
155,1436472363064,50.9201,-2.89612,8.13446
156,1436472363083,50.9201,-2.89612,8.13446
157,1436472363105,50.9201,-1.48926,9.14459
158,1436472363123,50.7446,-0.259399,9.64813
159,1436472363142,50.7446,-0.259399,9.64813
160,1436472363160,52.8473,0.444031,7.96661
161,1436472363181,51.0956,0.796509,10.321
162,1436472363201,51.0956,0.796509,10.321
163,1436472363221,51.9714,-0.785828,7.79877
164,1436472363241,51.0956,-2.36816,8.97675
165,1436472363261,51.0956,-2.36816,8.97675
166,1436472363280,51.9714,-2.19269,10.1532
167,1436472363300,51.6205,-2.54364,10.1532
168,1436472363320,51.6205,-2.54364,10.1532
169,1436472363339,51.9714,-2.89612,11.1618
170,1436472363360,51.6205,-3.59802,9.14459
171,1436472363379,51.6205,-3.59802,9.14459
172,1436472363402,51.0956,-4.47693,8.97675
173,1436472363419,51.2695,-3.9505,10.4889
174,1436472363439,51.2695,-3.9505,10.4889
175,1436472363459,51.445,-3.42255,10.6583
176,1436472363477,51.796,-3.77502,10.6583
177,1436472363503,51.796,-3.77502,10.6583
178,1436472363514,51.6205,-3.59802,9.48029
179,1436472363538,51.2695,-1.84021,11.499
180,1436472363558,51.2695,-1.84021,11.499
181,1436472363577,51.796,-2.36816,11.3297
182,1436472363598,51.796,0.0930786,13.3484
183,1436472363616,51.796,0.0930786,13.3484
184,1436472363636,53.5477,-0.259399,13.3484
185,1436472363658,52.6718,2.37732,12.5076
186,1436472363676,52.6718,2.37732,12.5076
187,1436472363698,53.5477,4.66309,12.0026
188,1436472363716,54.4235,6.59637,9.81751
189,1436472363735,54.4235,6.59637,9.81751
190,1436472363756,54.4235,7.65076,11.8347
191,1436472363775,53.5477,7.47528,9.98535
192,1436472363794,53.5477,7.47528,9.98535
193,1436472363815,53.3722,13.6276,11.1618
194,1436472363834,50.2197,15.0345,12.8433
195,1436472363854,50.2197,15.0345,12.8433
196,1436472363874,48.8174,18.9011,14.1891
197,1436472363894,50.0442,20.8344,12.3398
198,1436472363913,50.0442,20.8344,12.3398
199,1436472363933,48.2925,22.9446,13.6841
200,1436472363953,45.8389,22.9446,14.6942
201,1436472363973,45.8389,22.9446,14.6942
202,1436472363993,45.8389,25.4059,15.0299
203,1436472364013,46.3654,24.1745,15.1978
204,1436472364032,46.3654,24.1745,15.1978
205,1436472364052,45.8389,23.2956,16.7114
206,1436472364071,46.1899,22.5922,16.0385
207,1436472364092,46.1899,22.5922,16.0385
208,1436472364109,46.5393,23.999,17.3843
209,1436472364131,48.642,20.1324,17.3843
210,1436472364149,48.642,20.1324,17.3843
211,1436472364170,47.9416,21.8903,17.72
212,1436472364191,47.7661,21.7133,16.2064
213,1436472364210,47.7661,21.7133,16.2064
214,1436472364232,47.4167,22.7692,18.898
215,1436472364250,47.5906,22.2412,19.0659
216,1436472364269,47.5906,22.2412,19.0659
217,1436472364289,46.8903,22.5922,18.0573
218,1436472364309,47.5906,22.9446,17.72
219,1436472364328,47.5906,22.9446,17.72
220,1436472364349,47.2412,22.9446,18.0573
221,1436472364369,46.5393,23.2956,17.72
222,1436472364388,46.5393,23.2956,17.72
223,1436472364408,46.7148,26.6357,17.2165
224,1436472364426,46.1899,25.4059,16.7114
225,1436472364447,46.1899,25.4059,16.7114
226,1436472364466,46.5393,27.8656,16.3757
227,1436472364488,44.9631,25.2289,17.2165
228,1436472364507,44.9631,25.2289,17.2165
229,1436472364527,45.6635,27.3392,16.2064
230,1436472364547,45.8389,26.4603,18.0573
231,1436472364566,45.8389,26.4603,18.0573
232,1436472364586,45.1386,26.1078,18.7302
233,1436472364606,44.9631,25.9323,19.5709
234,1436472364625,44.9631,25.9323,19.5709
235,1436472364643,46.1899,24.7025,21.0831
236,1436472364665,43.3868,24.7025,19.7388
237,1436472364686,43.3868,24.7025,19.7388
238,1436472364704,44.7876,25.0534,21.0831
239,1436472364725,44.9631,26.2848,21.9254
240,1436472364743,44.9631,26.2848,21.9254
241,1436472364764,45.4895,24.35,21.756
242,1436472364782,45.1386,23.999,22.4289
243,1436472364803,45.1386,23.999,22.4289
244,1436472364823,45.4895,26.4603,22.4289
245,1436472364843,44.7876,25.4059,21.4203
246,1436472364863,44.7876,25.4059,21.4203
247,1436472364883,44.9631,24.527,21.9254
248,1436472364903,44.2627,24.1745,23.6069
249,1436472364920,44.2627,24.1745,23.6069
250,1436472364942,44.0872,25.4059,22.7661
251,1436472364960,44.7876,23.999,23.1018
252,1436472364982,44.7876,23.999,23.1018
253,1436472365001,43.3868,23.2956,24.7833
254,1436472365018,44.7876,22.5922,24.4476
255,1436472365040,44.7876,22.5922,24.4476
256,1436472365059,43.9117,24.1745,25.2884
257,1436472365081,46.1899,21.5378,25.119
258,1436472365100,46.1899,21.5378,25.119
259,1436472365120,46.5393,22.9446,24.4476
260,1436472365140,45.314,21.3623,24.9512
261,1436472365159,45.314,21.3623,24.9512
262,1436472365178,46.3654,21.3623,23.9426
263,1436472365199,45.6635,22.0657,23.6069
264,1436472365218,45.6635,22.0657,23.6069
265,1436472365237,47.0657,20.6589,21.9254
266,1436472365259,46.1899,20.4834,22.4289
267,1436472365276,46.1899,20.4834,22.4289
268,1436472365298,47.0657,22.0657,22.261
269,1436472365318,46.8903,22.2412,21.4203
270,1436472365337,46.8903,22.2412,21.4203
271,1436472365357,48.1171,22.7692,20.9152
272,1436472365376,49.5178,21.3623,19.5709
273,1436472365396,49.5178,21.3623,19.5709
274,1436472365416,49.8688,19.9554,18.5608
275,1436472365436,50.9201,19.2535,15.8707
276,1436472365456,50.9201,19.2535,15.8707
277,1436472365476,52.1469,19.0765,15.7028
278,1436472365496,51.6205,18.1976,16.2064
279,1436472365515,51.6205,18.1976,16.2064
280,1436472365535,52.3209,16.7923,15.8707
281,1436472365554,51.796,13.8031,14.6942
282,1436472365574,51.796,13.8031,14.6942
283,1436472365593,53.1967,13.8031,15.0299
284,1436472365614,54.248,11.6943,13.6841
285,1436472365633,54.248,11.6943,13.6841
286,1436472365654,53.8986,12.3978,15.0299
287,1436472365674,53.8986,10.2875,13.6841
288,1436472365693,53.8986,10.2875,13.6841
289,1436472365713,53.7231,8.70666,13.1805
290,1436472365733,53.8986,7.47528,15.3656
291,1436472365755,53.8986,7.47528,15.3656
292,1436472365771,55.1239,7.2998,14.5248
293,1436472365792,54.4235,7.2998,14.8621
294,1436472365812,54.4235,7.2998,14.8621
295,1436472365832,53.7231,4.13513,13.8535
296,1436472365852,53.3722,3.43323,13.1805
297,1436472365869,53.3722,3.43323,13.1805
298,1436472365891,54.95,2.20184,12.0026
299,1436472365911,52.4963,0.444031,12.0026
300,1436472365930,52.4963,0.444031,12.0026
301,1436472365950,53.7231,0.268555,11.1618
302,1436472365970,52.4963,1.14746,8.63953
303,1436472365990,52.4963,1.14746,8.63953
304,1436472366010,52.4963,-0.961304,9.31244
305,1436472366030,50.7446,-1.31378,6.95801
306,1436472366049,50.7446,-1.31378,6.95801
307,1436472366069,51.796,-2.36816,6.95801
308,1436472366088,50.7446,-3.07159,5.9494
309,1436472366109,50.7446,-3.07159,5.9494
310,1436472366128,49.8688,-2.89612,6.11725
311,1436472366149,49.8688,-3.9505,4.77142
312,1436472366167,49.8688,-3.9505,4.77142
313,1436472366193,49.1684,-4.30145,4.77142
314,1436472366205,47.2412,-6.93817,4.60358
315,1436472366227,47.2412,-6.93817,4.60358
316,1436472366247,48.2925,-4.47693,4.9408
317,1436472366267,46.3654,-7.46613,4.77142
318,1436472366286,46.3654,-7.46613,4.77142
319,1436472366306,47.4167,-7.11365,3.76282
320,1436472366326,46.5393,-8.34503,2.24915
321,1436472366346,46.5393,-8.34503,2.24915
322,1436472366364,47.9416,-8.69598,3.25775
323,1436472366386,47.4167,-7.81708,2.75421
324,1436472366404,47.4167,-7.81708,2.75421
325,1436472366425,47.9416,-8.34503,2.24915
326,1436472366445,45.1386,-7.29065,2.58636
327,1436472366464,45.1386,-7.29065,2.58636
328,1436472366484,47.2412,-8.34503,3.25775
329,1436472366503,46.0144,-7.11365,3.42712
330,1436472366524,46.0144,-7.11365,3.42712
331,1436472366543,48.1171,-7.46613,3.76282
332,1436472366564,49.1684,-7.11365,5.78155
333,1436472366583,49.1684,-7.11365,5.78155
334,1436472366602,49.8688,-6.7627,5.10864
335,1436472366623,50.3937,-4.12598,6.95801
336,1436472366642,50.3937,-4.12598,6.95801
337,1436472366662,51.796,-1.31378,8.63953
338,1436472366681,50.9201,2.7298,10.1532
339,1436472366702,50.9201,2.7298,10.1532
340,1436472366720,52.8473,6.06995,9.98535
341,1436472366742,51.0956,6.77185,10.994
342,1436472366761,51.0956,6.77185,10.994
343,1436472366781,51.445,9.58557,12.3398
344,1436472366801,51.6205,10.112,13.1805
345,1436472366820,51.6205,10.112,13.1805
346,1436472366840,53.1967,14.859,14.0213
347,1436472366860,51.2695,13.9801,12.8433
348,1436472366880,51.2695,13.9801,12.8433
349,1436472366899,51.796,16.6168,13.3484
350,1436472366919,51.445,17.6712,13.6841
351,1436472366938,51.445,17.6712,13.6841
352,1436472366959,50.2197,18.1976,14.5248
353,1436472366979,48.4665,19.2535,14.1891
354,1436472366997,48.4665,19.2535,14.1891
355,1436472367018,48.8174,20.3079,13.5162
356,1436472367037,49.5178,22.4167,13.8535
357,1436472367058,49.5178,22.4167,13.8535
358,1436472367078,48.2925,23.999,14.6942
359,1436472367098,46.7148,24.8779,16.2064
360,1436472367117,46.7148,24.8779,16.2064
361,1436472367137,45.4895,24.35,15.3656
362,1436472367157,46.1899,25.0534,17.0471
363,1436472367176,46.1899,25.0534,17.0471
364,1436472367196,46.0144,24.8779,16.5436
365,1436472367216,44.2627,25.9323,16.5436
366,1436472367236,44.2627,25.9323,16.5436
367,1436472367255,44.9631,26.6357,17.2165
368,1436472367275,44.4382,27.1637,17.3843
369,1436472367295,44.4382,27.1637,17.3843
370,1436472367314,45.4895,27.1637,17.72
371,1436472367335,45.1386,24.7025,19.0659
372,1436472367353,45.1386,24.7025,19.0659
373,1436472367375,45.314,24.8779,21.2524
374,1436472367394,45.4895,23.6481,22.7661
375,1436472367414,45.4895,23.6481,22.7661
376,1436472367433,45.314,23.8235,23.2697
377,1436472367454,44.4382,22.9446,24.7833
378,1436472367473,44.4382,22.9446,24.7833
379,1436472367493,44.4382,23.6481,25.119
380,1436472367513,43.7363,21.5378,25.7919
381,1436472367531,43.7363,21.5378,25.7919
382,1436472367554,44.2627,22.0657,26.6327
383,1436472367572,43.5623,22.0657,26.297
384,1436472367592,43.5623,22.0657,26.297
385,1436472367611,43.2114,22.0657,25.9613
386,1436472367630,43.2114,22.0657,24.9512
387,1436472367651,43.2114,22.0657,24.9512
388,1436472367670,44.4382,23.2956,24.4476
389,1436472367691,43.2114,23.1201,22.5967
390,1436472367711,43.2114,23.1201,22.5967
391,1436472367730,42.8604,24.1745,21.5881
392,1436472367751,44.4382,23.6481,21.4203
393,1436472367770,44.4382,23.6481,21.4203
394,1436472367789,43.9117,23.8235,21.2524
395,1436472367810,43.7363,23.6481,20.4117
396,1436472367829,43.7363,23.6481,20.4117
397,1436472367848,44.4382,24.7025,20.7474
398,1436472367869,44.6121,24.527,18.898
399,1436472367888,44.6121,24.527,18.898
400,1436472367908,44.2627,25.2289,18.898
401,1436472367928,46.0144,25.2289,17.8894
402,1436472367946,46.0144,25.2289,17.8894
403,1436472367967,44.9631,26.2848,20.5795
404,1436472367986,44.7876,23.6481,19.7388
405,1436472368006,44.7876,23.6481,19.7388
406,1436472368027,43.7363,25.4059,20.0745
407,1436472368048,45.1386,25.4059,19.0659
408,1436472368066,45.1386,25.4059,19.0659
409,1436472368086,45.8389,23.999,18.7302
410,1436472368106,45.314,24.1745,20.5795
411,1436472368133,45.314,24.1745,20.5795
412,1436472368143,43.7363,23.999,19.7388
413,1436472368164,45.6635,26.6357,19.5709
414,1436472368185,45.6635,26.6357,19.5709
415,1436472368205,46.1899,25.4059,19.7388
416,1436472368225,46.1899,24.7025,21.0831
417,1436472368244,46.1899,24.7025,21.0831
418,1436472368263,45.314,24.1745,19.5709
419,1436472368283,45.1386,24.35,19.0659
420,1436472368303,45.1386,24.35,19.0659
421,1436472368323,47.2412,23.999,20.0745
422,1436472368344,45.4895,23.6481,18.3929
423,1436472368363,45.4895,23.6481,18.3929
424,1436472368383,45.8389,23.2956,19.0659
425,1436472368403,45.4895,25.7568,19.0659
426,1436472368422,45.4895,25.7568,19.0659
427,1436472368443,45.6635,23.4711,20.5795
428,1436472368462,45.8389,24.7025,19.7388
